w,taza
"('The', 'fat')",0.0,Encounter with Evil
"('fat', 'man')",0.2,Encounter with Evil
"('man', 'said')",0.16666666666666666,Encounter with Evil
"('said', ',')",0.0,Encounter with Evil
"(',', '``')",0.0,Encounter with Evil
"('``', 'All')",0.0,Encounter with Evil
"('All', 'we')",0.0,Encounter with Evil
"('we', 'gotta')",0.0,Encounter with Evil
"('gotta', 'do')",0.2,Encounter with Evil
"('do', 'is')",0.0,Encounter with Evil
"('is', 'go')",0.0,Encounter with Evil
"('go', 'around')",0.14285714285714285,Encounter with Evil
"('around', 'the')",0.0,Encounter with Evil
"('the', 'corner')",0.14285714285714285,Encounter with Evil
"('corner', ""''"")",0.0,Encounter with Evil
"(""''"", '.')",0.0,Encounter with Evil
"('.', 'The')",0.0,Encounter with Evil
"('The', 'gun')",0.0,Encounter with Evil
"('gun', 'moved')",0.0,Encounter with Evil
"('moved', '.')",0.0,Encounter with Evil
"('The', 'thin')",0.16666666666666666,Encounter with Evil
"('thin', 'man')",0.16666666666666666,Encounter with Evil
"('``', 'That-a-way')",0.0,Encounter with Evil
"('That-a-way', ""''"")",0.0,Encounter with Evil
"('.', '``')",0.0,Encounter with Evil
"('``', '--')",0.0,Encounter with Evil
"('--', 'second')",0.0,Encounter with Evil
"('second', 'building')",0.18181818181818182,Encounter with Evil
"('building', 'on')",0.125,Encounter with Evil
"('on', 'the')",0.0,Encounter with Evil
"('the', 'right')",0.3333333333333333,Encounter with Evil
"('right', ""''"")",0.0,Encounter with Evil
"('--', 'it')",0.0,Encounter with Evil
"('it', 'says')",0.0,Encounter with Evil
"('says', 'police')",0.0,Encounter with Evil
"('police', 'right')",0.1,Encounter with Evil
"('right', 'on')",0.0,Encounter with Evil
"('the', 'door')",0.0,Encounter with Evil
"('door', ""''"")",0.0,Encounter with Evil
"('--', 'so')",0.0,Encounter with Evil
"('so', 'even')",0.0,Encounter with Evil
"('even', 'if')",0.0,Encounter with Evil
"('if', 'we')",0.0,Encounter with Evil
"('we', 'was')",0.25,Encounter with Evil
"('was', 'as')",0.6666666666666666,Encounter with Evil
"('as', 'dumb')",0.0,Encounter with Evil
"('dumb', 'as')",0.0,Encounter with Evil
"('as', 'you')",0.0,Encounter with Evil
"('you', 'take')",0.0,Encounter with Evil
"('take', 'us')",0.0,Encounter with Evil
"('us', 'for')",0.0,Encounter with Evil
"('for', ',')",0.0,Encounter with Evil
"(',', 'we')",0.0,Encounter with Evil
"('we', 'could')",0.0,Encounter with Evil
"('could', 'still')",0.125,Encounter with Evil
"('still', 'find')",0.14285714285714285,Encounter with Evil
"('find', 'it')",0.2,Encounter with Evil
"('it', ""''"")",0.0,Encounter with Evil
"('.', 'Roberta')",0.0,Encounter with Evil
"('Roberta', 'and')",0.1111111111111111,Encounter with Evil
"('and', 'Dave')",0.16666666666666666,Encounter with Evil
"('Dave', 'began')",0.2857142857142857,Encounter with Evil
"('began', 'to')",0.0,Encounter with Evil
"('to', 'back')",0.0,Encounter with Evil
"('back', 'toward')",0.1111111111111111,Encounter with Evil
"('toward', 'the')",0.125,Encounter with Evil
"('door', '.')",0.0,Encounter with Evil
"('man', 'waved')",0.14285714285714285,Encounter with Evil
"('waved', 'the')",0.14285714285714285,Encounter with Evil
"('the', 'gun')",0.0,Encounter with Evil
"('gun', 'again')",0.4,Encounter with Evil
"('again', '.')",0.0,Encounter with Evil
"('.', 'He')",0.0,Encounter with Evil
"('He', 'said')",0.0,Encounter with Evil
"('``', 'Right')",0.0,Encounter with Evil
"('Right', 'around')",0.0,Encounter with Evil
"('``', 'It')",0.0,Encounter with Evil
"('It', 'says')",0.0,Encounter with Evil
"('says', 'water')",0.14285714285714285,Encounter with Evil
"('water', 'works')",0.25,Encounter with Evil
