w,taza
"('I', 'was')",0.0,"Fair, Bachelors Get Lonely"
"('was', 'giving')",0.0,"Fair, Bachelors Get Lonely"
"('giving', 'the')",0.0,"Fair, Bachelors Get Lonely"
"('the', 'parked')",0.125,"Fair, Bachelors Get Lonely"
"('parked', 'cars')",0.25,"Fair, Bachelors Get Lonely"
"('cars', 'the')",0.0,"Fair, Bachelors Get Lonely"
"('the', 'once-over')",0.1111111111111111,"Fair, Bachelors Get Lonely"
"('once-over', '.')",0.0,"Fair, Bachelors Get Lonely"
"('.', 'The')",0.0,"Fair, Bachelors Get Lonely"
"('The', 'Oldsmobile')",0.09090909090909091,"Fair, Bachelors Get Lonely"
"('Oldsmobile', 'with')",0.08333333333333333,"Fair, Bachelors Get Lonely"
"('with', 'the')",0.4,"Fair, Bachelors Get Lonely"
"('the', 'license')",0.125,"Fair, Bachelors Get Lonely"
"('license', 'number')",0.2,"Fair, Bachelors Get Lonely"
"('number', 'JYJ')",0.0,"Fair, Bachelors Get Lonely"
"('JYJ', '114')",0.0,"Fair, Bachelors Get Lonely"
"('114', 'was')",0.0,"Fair, Bachelors Get Lonely"
"('was', 'in')",0.0,"Fair, Bachelors Get Lonely"
"('in', 'stall')",0.0,"Fair, Bachelors Get Lonely"
"('stall', 'number')",0.0,"Fair, Bachelors Get Lonely"
"('number', 'five')",0.1111111111111111,"Fair, Bachelors Get Lonely"
"('five', '.')",0.0,"Fair, Bachelors Get Lonely"
"('.', '``')",0.0,"Fair, Bachelors Get Lonely"
"('``', 'Okay')",0.0,"Fair, Bachelors Get Lonely"
"('Okay', ""''"")",0.0,"Fair, Bachelors Get Lonely"
"(""''"", ',')",0.0,"Fair, Bachelors Get Lonely"
"(',', 'I')",0.0,"Fair, Bachelors Get Lonely"
"('I', 'said')",0.0,"Fair, Bachelors Get Lonely"
"('said', 'to')",0.0,"Fair, Bachelors Get Lonely"
"('to', 'the')",0.25,"Fair, Bachelors Get Lonely"
"('the', 'attendant')",0.3333333333333333,"Fair, Bachelors Get Lonely"
"('attendant', ',')",0.0,"Fair, Bachelors Get Lonely"
"(',', '``')",0.0,"Fair, Bachelors Get Lonely"
"('``', ""I'll"")",0.0,"Fair, Bachelors Get Lonely"
"(""I'll"", 'let')",0.2,"Fair, Bachelors Get Lonely"
"('let', 'you')",0.0,"Fair, Bachelors Get Lonely"
"('you', 'know')",0.16666666666666666,"Fair, Bachelors Get Lonely"
"('know', 'if')",0.0,"Fair, Bachelors Get Lonely"
"('if', 'I')",0.0,"Fair, Bachelors Get Lonely"
"('I', 'close')",0.0,"Fair, Bachelors Get Lonely"
"('close', 'the')",0.14285714285714285,"Fair, Bachelors Get Lonely"
"('the', 'deal')",0.16666666666666666,"Fair, Bachelors Get Lonely"
"('deal', 'on')",0.0,"Fair, Bachelors Get Lonely"
"('on', 'the')",0.0,"Fair, Bachelors Get Lonely"
"('the', 'office')",0.14285714285714285,"Fair, Bachelors Get Lonely"
"('office', 'in')",0.16666666666666666,"Fair, Bachelors Get Lonely"
"('in', 'this')",0.2,"Fair, Bachelors Get Lonely"
"('this', 'building')",0.1,"Fair, Bachelors Get Lonely"
"('building', ""''"")",0.0,"Fair, Bachelors Get Lonely"
"(""''"", '.')",0.0,"Fair, Bachelors Get Lonely"
"('.', 'I')",0.0,"Fair, Bachelors Get Lonely"
"('I', 'walked')",0.0,"Fair, Bachelors Get Lonely"
"('walked', 'with')",0.1111111111111111,"Fair, Bachelors Get Lonely"
"('with', 'him')",0.4,"Fair, Bachelors Get Lonely"
"('him', 'back')",0.0,"Fair, Bachelors Get Lonely"
"('back', 'to')",0.0,"Fair, Bachelors Get Lonely"
"('the', 'entrance')",0.2857142857142857,"Fair, Bachelors Get Lonely"
"('entrance', '.')",0.0,"Fair, Bachelors Get Lonely"
"('.', 'He')",0.0,"Fair, Bachelors Get Lonely"
"('He', 'gave')",0.2,"Fair, Bachelors Get Lonely"
"('gave', 'me')",0.2,"Fair, Bachelors Get Lonely"
"('me', 'a')",0.0,"Fair, Bachelors Get Lonely"
"('a', 'ticket')",0.0,"Fair, Bachelors Get Lonely"
"('ticket', 'on')",0.0,"Fair, Bachelors Get Lonely"
"('the', 'agency')",0.125,"Fair, Bachelors Get Lonely"
"('agency', 'car')",0.2857142857142857,"Fair, Bachelors Get Lonely"
"('car', 'and')",0.2,"Fair, Bachelors Get Lonely"
"('and', 'parked')",0.2857142857142857,"Fair, Bachelors Get Lonely"
"('parked', 'it')",0.0,"Fair, Bachelors Get Lonely"
"('it', '.')",0.0,"Fair, Bachelors Get Lonely"
"('was', 'back')",0.16666666666666666,"Fair, Bachelors Get Lonely"
"('back', 'in')",0.0,"Fair, Bachelors Get Lonely"
"('in', 'ten')",0.25,"Fair, Bachelors Get Lonely"
"('ten', 'minutes')",0.42857142857142855,"Fair, Bachelors Get Lonely"
"('minutes', '.')",0.0,"Fair, Bachelors Get Lonely"
"('``', 'Forgot')",0.0,"Fair, Bachelors Get Lonely"
"('Forgot', 'to')",0.4,"Fair, Bachelors Get Lonely"
"('to', 'get')",0.25,"Fair, Bachelors Get Lonely"
"('get', 'something')",0.3333333333333333,"Fair, Bachelors Get Lonely"
"('something', 'out')",0.2,"Fair, Bachelors Get Lonely"
"('out', 'of')",0.25,"Fair, Bachelors Get Lonely"
"('of', 'the')",0.0,"Fair, Bachelors Get Lonely"
"('the', 'car')",0.0,"Fair, Bachelors Get Lonely"
"('car', ""''"")",0.0,"Fair, Bachelors Get Lonely"
"('I', 'told')",0.0,"Fair, Bachelors Get Lonely"
"('told', 'him')",0.0,"Fair, Bachelors Get Lonely"
"('him', ',')",0.0,"Fair, Bachelors Get Lonely"
"(',', 'showing')",0.0,"Fair, Bachelors Get Lonely"
"('showing', 'him')",0.25,"Fair, Bachelors Get Lonely"
"('him', 'my')",0.25,"Fair, Bachelors Get Lonely"
"('my', 'ticket')",0.0,"Fair, Bachelors Get Lonely"
"('ticket', '.')",0.0,"Fair, Bachelors Get Lonely"
"('He', 'started')",0.14285714285714285,"Fair, Bachelors Get Lonely"
"('started', 'to')",0.14285714285714285,"Fair, Bachelors Get Lonely"
"('to', 'say')",0.0,"Fair, Bachelors Get Lonely"
"('say', 'something')",0.09090909090909091,"Fair, Bachelors Get Lonely"
"('something', 'as')",0.1,"Fair, Bachelors Get Lonely"
"('as', 'I')",0.0,"Fair, Bachelors Get Lonely"
"('walked', 'in')",0.0,"Fair, Bachelors Get Lonely"
"('in', 'and')",0.25,"Fair, Bachelors Get Lonely"
"('and', 'then')",0.16666666666666666,"Fair, Bachelors Get Lonely"
"('then', 'suddenly')",0.2222222222222222,"Fair, Bachelors Get Lonely"
"('suddenly', 'grinned')",0.3,"Fair, Bachelors Get Lonely"
"('grinned', 'and')",0.2857142857142857,"Fair, Bachelors Get Lonely"
"('and', 'said')",0.4,"Fair, Bachelors Get Lonely"
"('said', ',')",0.0,"Fair, Bachelors Get Lonely"
"('``', 'Oh')",0.0,"Fair, Bachelors Get Lonely"
"('Oh', ',')",0.0,"Fair, Bachelors Get Lonely"
"(',', 'yes')",0.0,"Fair, Bachelors Get Lonely"
"('yes', '.')",0.0,"Fair, Bachelors Get Lonely"
"('.', ""You're"")",0.0,"Fair, Bachelors Get Lonely"
"(""You're"", 'the')",0.125,"Fair, Bachelors Get Lonely"
"('the', 'one')",0.2,"Fair, Bachelors Get Lonely"
"('one', 'I')",0.0,"Fair, Bachelors Get Lonely"
"('was', 'talking')",0.1111111111111111,"Fair, Bachelors Get Lonely"
"('talking', 'to')",0.125,"Fair, Bachelors Get Lonely"
"('to', 'about')",0.4,"Fair, Bachelors Get Lonely"
"('about', 'a')",0.2,"Fair, Bachelors Get Lonely"
"('a', 'monthly')",0.0,"Fair, Bachelors Get Lonely"
"('monthly', 'rental')",0.3,"Fair, Bachelors Get Lonely"
"('rental', '.')",0.0,"Fair, Bachelors Get Lonely"
"('``', ""That's"")",0.0,"Fair, Bachelors Get Lonely"
"(""That's"", 'right')",0.2222222222222222,"Fair, Bachelors Get Lonely"
"('right', ""''"")",0.0,"Fair, Bachelors Get Lonely"
"('him', '.')",0.0,"Fair, Bachelors Get Lonely"
"('He', 'consulted')",0.1,"Fair, Bachelors Get Lonely"
"('consulted', 'the')",0.2,"Fair, Bachelors Get Lonely"
"('the', 'parking')",0.0,"Fair, Bachelors Get Lonely"
"('parking', 'ticket')",0.2,"Fair, Bachelors Get Lonely"
"('ticket', ',')",0.0,"Fair, Bachelors Get Lonely"
"(',', 'then')",0.0,"Fair, Bachelors Get Lonely"
"('then', 'looked')",0.125,"Fair, Bachelors Get Lonely"
