w,taza
"('Such', 'was')",0.0,Here Comes Pete Now.
"('was', 'my')",0.0,Here Comes Pete Now.
"('my', 'state')",0.0,Here Comes Pete Now.
"('state', 'of')",0.0,Here Comes Pete Now.
"('of', 'mind')",0.0,Here Comes Pete Now.
"('mind', 'that')",0.0,Here Comes Pete Now.
"('that', 'I')",0.0,Here Comes Pete Now.
"('I', 'did')",0.0,Here Comes Pete Now.
"('did', 'not')",0.0,Here Comes Pete Now.
"('not', 'question')",0.375,Here Comes Pete Now.
"('question', 'the')",0.2222222222222222,Here Comes Pete Now.
"('the', 'possibility')",0.1,Here Comes Pete Now.
"('possibility', 'of')",0.1111111111111111,Here Comes Pete Now.
"('of', 'this')",0.0,Here Comes Pete Now.
"('this', ';')",0.0,Here Comes Pete Now.
"(';', ';')",1.0,Here Comes Pete Now.
"(';', 'under')",0.0,Here Comes Pete Now.
"('under', 'the')",0.14285714285714285,Here Comes Pete Now.
"('the', 'circumstances')",0.18181818181818182,Here Comes Pete Now.
"('circumstances', 'I')",0.0,Here Comes Pete Now.
"('I', 'was')",0.0,Here Comes Pete Now.
"('was', 'only')",0.0,Here Comes Pete Now.
"('only', 'too')",0.2,Here Comes Pete Now.
"('too', 'willing')",0.0,Here Comes Pete Now.
"('willing', 'to')",0.0,Here Comes Pete Now.
"('to', 'confess')",0.14285714285714285,Here Comes Pete Now.
"('confess', 'all')",0.0,Here Comes Pete Now.
"('all', '.')",0.0,Here Comes Pete Now.
"('.', 'I')",0.0,Here Comes Pete Now.
"('was', 'nearly')",0.125,Here Comes Pete Now.
"('nearly', 'thirty')",0.2222222222222222,Here Comes Pete Now.
"('thirty', 'at')",0.16666666666666666,Here Comes Pete Now.
"('at', 'the')",0.25,Here Comes Pete Now.
"('the', 'time')",0.4,Here Comes Pete Now.
"('time', '.')",0.0,Here Comes Pete Now.
"('I', 'went')",0.0,Here Comes Pete Now.
"('went', 'to')",0.2,Here Comes Pete Now.
"('to', 'the')",0.25,Here Comes Pete Now.
"('the', 'hall')",0.2,Here Comes Pete Now.
"('hall', 'in')",0.0,Here Comes Pete Now.
"('in', 'the')",0.0,Here Comes Pete Now.
"('the', 'afternoons')",0.2222222222222222,Here Comes Pete Now.
"('afternoons', 'only')",0.2,Here Comes Pete Now.
"('only', ',')",0.0,Here Comes Pete Now.
"(',', 'on')",0.0,Here Comes Pete Now.
"('on', 'these')",0.0,Here Comes Pete Now.
"('these', 'preliminary')",0.08333333333333333,Here Comes Pete Now.
"('preliminary', 'matters')",0.36363636363636365,Here Comes Pete Now.
"('matters', '.')",0.0,Here Comes Pete Now.
"('.', 'It')",0.0,Here Comes Pete Now.
"('It', 'was')",0.0,Here Comes Pete Now.
"('was', 'dark')",0.16666666666666666,Here Comes Pete Now.
"('dark', 'and')",0.4,Here Comes Pete Now.
"('and', ',')",0.0,Here Comes Pete Now.
"(',', 'I')",0.0,Here Comes Pete Now.
"('I', 'sensed')",0.0,Here Comes Pete Now.
"('sensed', ',')",0.0,Here Comes Pete Now.
"(',', 'very')",0.0,Here Comes Pete Now.
"('very', 'large')",0.2857142857142857,Here Comes Pete Now.
"('large', ';')",0.0,Here Comes Pete Now.
"(';', 'only')",0.0,Here Comes Pete Now.
"('only', 'the')",0.0,Here Comes Pete Now.
"('the', 'counter')",0.25,Here Comes Pete Now.
"('counter', 'at')",0.125,Here Comes Pete Now.
"('at', 'one')",0.0,Here Comes Pete Now.
