w,taza
"('The', 'lyric')",0.0,High Fidelity
"('lyric', 'beauties')",0.09090909090909091,High Fidelity
"('beauties', 'of')",0.0,High Fidelity
"('of', ""Schubert's"")",0.0,High Fidelity
"(""Schubert's"", 'Trout')",0.25,High Fidelity
"('Trout', 'Quintet')",0.2222222222222222,High Fidelity
"('Quintet', '--')",0.0,High Fidelity
"('--', 'its')",0.0,High Fidelity
"('its', 'elemental')",0.125,High Fidelity
"('elemental', 'rhythms')",0.2,High Fidelity
"('rhythms', 'and')",0.0,High Fidelity
"('and', 'infectious')",0.09090909090909091,High Fidelity
"('infectious', 'melodies')",0.3333333333333333,High Fidelity
"('melodies', '--')",0.0,High Fidelity
"('--', 'make')",0.0,High Fidelity
"('make', 'it')",0.0,High Fidelity
"('it', 'a')",0.0,High Fidelity
"('a', 'source')",0.0,High Fidelity
"('source', 'of')",0.14285714285714285,High Fidelity
"('of', 'pure')",0.0,High Fidelity
"('pure', 'pleasure')",0.5714285714285714,High Fidelity
"('pleasure', 'for')",0.1111111111111111,High Fidelity
"('for', 'almost')",0.125,High Fidelity
"('almost', 'all')",0.3333333333333333,High Fidelity
"('all', 'music')",0.0,High Fidelity
"('music', 'listeners')",0.2,High Fidelity
"('listeners', '.')",0.0,High Fidelity
"('.', 'But')",0.0,High Fidelity
"('But', 'for')",0.0,High Fidelity
"('for', 'students')",0.0,High Fidelity
"('students', 'of')",0.0,High Fidelity
"('of', 'musical')",0.0,High Fidelity
"('musical', 'forms')",0.2,High Fidelity
"('forms', 'and')",0.0,High Fidelity
"('and', 'would-be')",0.1,High Fidelity
"('would-be', 'classifiers')",0.14285714285714285,High Fidelity
"('classifiers', ',')",0.0,High Fidelity
"(',', 'the')",0.0,High Fidelity
"('the', 'work')",0.0,High Fidelity
"('work', 'presents')",0.1111111111111111,High Fidelity
"('presents', 'its')",0.2857142857142857,High Fidelity
"('its', 'problems')",0.1,High Fidelity
"('problems', '.')",0.0,High Fidelity
"('.', 'Since')",0.0,High Fidelity
"('Since', 'it')",0.16666666666666666,High Fidelity
"('it', 'requires')",0.14285714285714285,High Fidelity
"('requires', 'only')",0.0,High Fidelity
"('only', 'five')",0.0,High Fidelity
"('five', 'players')",0.1,High Fidelity
"('players', ',')",0.0,High Fidelity
"(',', 'it')",0.0,High Fidelity
"('it', 'would')",0.0,High Fidelity
"('would', 'seem')",0.0,High Fidelity
"('seem', 'to')",0.0,High Fidelity
"('to', 'fall')",0.0,High Fidelity
"('fall', 'into')",0.0,High Fidelity
"('into', 'the')",0.16666666666666666,High Fidelity
"('the', 'category')",0.2222222222222222,High Fidelity
"('category', 'of')",0.1111111111111111,High Fidelity
"('of', 'chamber')",0.0,High Fidelity
"('chamber', 'music')",0.2,High Fidelity
"('music', '--')",0.0,High Fidelity
"('--', 'yet')",0.0,High Fidelity
"('yet', 'it')",0.25,High Fidelity
"('it', 'calls')",0.0,High Fidelity
"('calls', 'for')",0.0,High Fidelity
"('for', 'a')",0.0,High Fidelity
"('a', 'double')",0.0,High Fidelity
"('double', 'bass')",0.125,High Fidelity
"('bass', ',')",0.0,High Fidelity
