w,taza
"('In', 'American')",0.1111111111111111,How Much Do You Tell When You Talk?
"('American', 'romance')",0.6666666666666666,How Much Do You Tell When You Talk?
"('romance', ',')",0.0,How Much Do You Tell When You Talk?
"(',', 'almost')",0.0,How Much Do You Tell When You Talk?
"('almost', 'nothing')",0.2,How Much Do You Tell When You Talk?
"('nothing', 'rates')",0.1,How Much Do You Tell When You Talk?
"('rates', 'higher')",0.25,How Much Do You Tell When You Talk?
"('higher', 'than')",0.125,How Much Do You Tell When You Talk?
"('than', 'what')",0.6,How Much Do You Tell When You Talk?
"('what', 'the')",0.4,How Much Do You Tell When You Talk?
"('the', 'movie')",0.14285714285714285,How Much Do You Tell When You Talk?
"('movie', 'men')",0.3333333333333333,How Much Do You Tell When You Talk?
"('men', 'have')",0.16666666666666666,How Much Do You Tell When You Talk?
"('have', 'called')",0.2857142857142857,How Much Do You Tell When You Talk?
"('called', '``')",0.0,How Much Do You Tell When You Talk?
"('``', 'meeting')",0.0,How Much Do You Tell When You Talk?
"('meeting', 'cute')",0.25,How Much Do You Tell When You Talk?
"('cute', ""''"")",0.0,How Much Do You Tell When You Talk?
"(""''"", '--')",0.0,How Much Do You Tell When You Talk?
"('--', 'that')",0.0,How Much Do You Tell When You Talk?
"('that', 'is')",0.0,How Much Do You Tell When You Talk?
"('is', ',')",0.0,How Much Do You Tell When You Talk?
"(',', 'boy-meets-girl')",0.0,How Much Do You Tell When You Talk?
"('boy-meets-girl', 'seems')",0.25,How Much Do You Tell When You Talk?
"('seems', 'more')",0.4,How Much Do You Tell When You Talk?
"('more', 'adorable')",0.375,How Much Do You Tell When You Talk?
"('adorable', 'if')",0.0,How Much Do You Tell When You Talk?
"('if', 'it')",0.3333333333333333,How Much Do You Tell When You Talk?
"('it', ""doesn't"")",0.125,How Much Do You Tell When You Talk?
"(""doesn't"", 'take')",0.2222222222222222,How Much Do You Tell When You Talk?
"('take', 'place')",0.2857142857142857,How Much Do You Tell When You Talk?
"('place', 'in')",0.0,How Much Do You Tell When You Talk?
"('in', 'an')",0.3333333333333333,How Much Do You Tell When You Talk?
"('an', 'atmosphere')",0.1,How Much Do You Tell When You Talk?
"('atmosphere', 'of')",0.1,How Much Do You Tell When You Talk?
"('of', 'correct')",0.16666666666666666,How Much Do You Tell When You Talk?
"('correct', 'and')",0.0,How Much Do You Tell When You Talk?
"('and', 'acute')",0.14285714285714285,How Much Do You Tell When You Talk?
"('acute', 'boredom')",0.1,How Much Do You Tell When You Talk?
"('boredom', '.')",0.0,How Much Do You Tell When You Talk?
"('.', 'Just')",0.0,How Much Do You Tell When You Talk?
"('Just', 'about')",0.2857142857142857,How Much Do You Tell When You Talk?
"('about', 'the')",0.14285714285714285,How Much Do You Tell When You Talk?
"('the', 'most')",0.16666666666666666,How Much Do You Tell When You Talk?
"('most', 'enthralling')",0.08333333333333333,How Much Do You Tell When You Talk?
"('enthralling', 'real-life')",0.45454545454545453,How Much Do You Tell When You Talk?
"('real-life', 'example')",0.3,How Much Do You Tell When You Talk?
"('example', 'of')",0.0,How Much Do You Tell When You Talk?
"('of', 'meeting')",0.0,How Much Do You Tell When You Talk?
"('cute', 'is')",0.0,How Much Do You Tell When You Talk?
"('is', 'the')",0.0,How Much Do You Tell When You Talk?
"('the', 'Charles')",0.25,How Much Do You Tell When You Talk?
"('Charles', 'MacArthur-Helen')",0.3333333333333333,How Much Do You Tell When You Talk?
"('MacArthur-Helen', 'Hayes')",0.2,How Much Do You Tell When You Talk?
"('Hayes', 'saga')",0.3333333333333333,How Much Do You Tell When You Talk?
"('saga', ':')",0.0,How Much Do You Tell When You Talk?
"(':', 'reputedly')",0.0,How Much Do You Tell When You Talk?
"('reputedly', 'all')",0.1111111111111111,How Much Do You Tell When You Talk?
"('all', 'he')",0.0,How Much Do You Tell When You Talk?
"('he', 'did')",0.0,How Much Do You Tell When You Talk?
"('did', 'was')",0.0,How Much Do You Tell When You Talk?
"('was', 'give')",0.0,How Much Do You Tell When You Talk?
"('give', 'her')",0.16666666666666666,How Much Do You Tell When You Talk?
"('her', 'a')",0.0,How Much Do You Tell When You Talk?
"('a', 'handful')",0.14285714285714285,How Much Do You Tell When You Talk?
"('handful', 'of')",0.125,How Much Do You Tell When You Talk?
"('of', 'peanuts')",0.0,How Much Do You Tell When You Talk?
"('peanuts', ',')",0.0,How Much Do You Tell When You Talk?
"(',', 'but')",0.0,How Much Do You Tell When You Talk?
"('but', 'he')",0.0,How Much Do You Tell When You Talk?
"('he', 'said')",0.0,How Much Do You Tell When You Talk?
"('said', 'simultaneously')",0.25,How Much Do You Tell When You Talk?
"('simultaneously', ',')",0.0,How Much Do You Tell When You Talk?
"(',', '``')",0.0,How Much Do You Tell When You Talk?
"('``', 'I')",0.0,How Much Do You Tell When You Talk?
"('I', 'wish')",0.0,How Much Do You Tell When You Talk?
"('wish', 'they')",0.14285714285714285,How Much Do You Tell When You Talk?
"('they', 'were')",0.16666666666666666,How Much Do You Tell When You Talk?
"('were', 'emeralds')",0.25,How Much Do You Tell When You Talk?
"('emeralds', ""''"")",0.0,How Much Do You Tell When You Talk?
"(""''"", '.')",0.0,How Much Do You Tell When You Talk?
"('.', 'Aside')",0.0,How Much Do You Tell When You Talk?
"('Aside', 'from')",0.0,How Much Do You Tell When You Talk?
"('from', 'the')",0.0,How Much Do You Tell When You Talk?
"('the', 'comico-romantico')",0.09090909090909091,How Much Do You Tell When You Talk?
"('comico-romantico', 'content')",0.4,How Much Do You Tell When You Talk?
"('content', 'here')",0.14285714285714285,How Much Do You Tell When You Talk?
"('here', ',')",0.0,How Much Do You Tell When You Talk?
"(',', 'a')",0.0,How Much Do You Tell When You Talk?
"('a', 'good')",0.0,How Much Do You Tell When You Talk?
"('good', 'linguist-anthropologist')",0.14285714285714285,How Much Do You Tell When You Talk?
"('linguist-anthropologist', 'could')",0.2,How Much Do You Tell When You Talk?
"('could', 'readily')",0.2,How Much Do You Tell When You Talk?
"('readily', 'pick')",0.1,How Much Do You Tell When You Talk?
"('pick', 'up')",0.2,How Much Do You Tell When You Talk?
"('up', 'a')",0.0,How Much Do You Tell When You Talk?
"('a', 'few')",0.0,How Much Do You Tell When You Talk?
"('few', 'other')",0.14285714285714285,How Much Do You Tell When You Talk?
"('other', 'facts')",0.1111111111111111,How Much Do You Tell When You Talk?
"('facts', ',')",0.0,How Much Do You Tell When You Talk?
"(',', 'especially')",0.0,How Much Do You Tell When You Talk?
"('especially', 'if')",0.1111111111111111,How Much Do You Tell When You Talk?
"('if', 'he')",0.0,How Much Do You Tell When You Talk?
"('he', 'had')",0.25,How Much Do You Tell When You Talk?
"('had', 'a')",0.3333333333333333,How Much Do You Tell When You Talk?
"('a', 'little')",0.0,How Much Do You Tell When You Talk?
"('little', 'more')",0.14285714285714285,How Much Do You Tell When You Talk?
