w,taza
"('Eight', ',')",0.0,Hunter at Large
"(',', 'nine')",0.0,Hunter at Large
"('nine', 'steps')",0.16666666666666666,Hunter at Large
"('steps', 'above')",0.125,Hunter at Large
"('above', 'him')",0.0,Hunter at Large
"('him', ',')",0.0,Hunter at Large
"(',', 'Roberts')",0.0,Hunter at Large
"('Roberts', 'had')",0.0,Hunter at Large
"('had', 'paused')",0.2857142857142857,Hunter at Large
"('paused', '.')",0.0,Hunter at Large
"('.', 'Mickey')",0.0,Hunter at Large
"('Mickey', 'paused')",0.09090909090909091,Hunter at Large
"('paused', 'with')",0.0,Hunter at Large
"('with', 'him')",0.4,Hunter at Large
"(',', 'waiting')",0.0,Hunter at Large
"('waiting', ',')",0.0,Hunter at Large
"(',', 'no')",0.0,Hunter at Large
"('no', 'longer')",0.3333333333333333,Hunter at Large
"('longer', 'impatient')",0.18181818181818182,Hunter at Large
"('impatient', ',')",0.0,Hunter at Large
"(',', 'trying')",0.0,Hunter at Large
"('trying', 'now')",0.125,Hunter at Large
"('now', 'to')",0.25,Hunter at Large
"('to', 'think')",0.16666666666666666,Hunter at Large
"('think', 'it')",0.4,Hunter at Large
"('it', 'out')",0.25,Hunter at Large
"('out', ',')",0.0,Hunter at Large
"(',', 'do')",0.0,Hunter at Large
"('do', 'a')",0.0,Hunter at Large
"('a', 'little')",0.0,Hunter at Large
"('little', 'planning')",0.25,Hunter at Large
"('planning', '.')",0.0,Hunter at Large
"('.', 'He')",0.0,Hunter at Large
"('He', 'looked')",0.16666666666666666,Hunter at Large
"('looked', 'down')",0.2857142857142857,Hunter at Large
"('down', 'over')",0.14285714285714285,Hunter at Large
"('over', 'the')",0.16666666666666666,Hunter at Large
"('the', 'banister')",0.2222222222222222,Hunter at Large
"('banister', 'at')",0.25,Hunter at Large
"('at', 'the')",0.25,Hunter at Large
"('the', 'hotel')",0.6,Hunter at Large
"('hotel', 'desk')",0.125,Hunter at Large
"('desk', ',')",0.0,Hunter at Large
"(',', 'with')",0.0,Hunter at Large
"('with', 'the')",0.4,Hunter at Large
"('the', 'telephone')",0.42857142857142855,Hunter at Large
"('telephone', 'and')",0.1111111111111111,Hunter at Large
"('and', 'pen')",0.2,Hunter at Large
"('pen', 'set')",0.2,Hunter at Large
"('set', '.')",0.0,Hunter at Large
"('.', 'If')",0.0,Hunter at Large
"('If', 'I')",0.5,Hunter at Large
"('I', 'could')",0.0,Hunter at Large
"('could', 'call')",0.3333333333333333,Hunter at Large
"('call', 'in')",0.0,Hunter at Large
"('in', ',')",0.0,Hunter at Large
"(',', 'they')",0.0,Hunter at Large
"('they', 'could')",0.0,Hunter at Large
"('could', 'check')",0.125,Hunter at Large
"('check', 'the')",0.4,Hunter at Large
"('the', 'story')",0.14285714285714285,Hunter at Large
"('story', 'while')",0.0,Hunter at Large
"('while', 'we')",0.4,Hunter at Large
"('we', 'were')",0.6666666666666666,Hunter at Large
"('were', 'on')",0.0,Hunter at Large
"('on', 'our')",0.25,Hunter at Large
"('our', 'way')",0.0,Hunter at Large
"('way', '.')",0.0,Hunter at Large
"('.', 'I')",0.0,Hunter at Large
"('I', ""wouldn't"")",0.0,Hunter at Large
"(""wouldn't"", 'have')",0.0,Hunter at Large
"('have', 'to')",0.0,Hunter at Large
"('to', 'tell')",0.25,Hunter at Large
"('tell', 'them')",0.4,Hunter at Large
"('them', 'I')",0.0,Hunter at Large
"('I', 'had')",0.0,Hunter at Large
"('had', 'Roberts')",0.0,Hunter at Large
"('Roberts', '--')",0.0,Hunter at Large
"('--', 'Then')",0.0,Hunter at Large
"('Then', 'he')",0.5,Hunter at Large
"('he', 'heard')",0.4,Hunter at Large
"('heard', 'it')",0.0,Hunter at Large
"('it', ',')",0.0,Hunter at Large
"(',', 'like')",0.0,Hunter at Large
"('like', 'a')",0.0,Hunter at Large
"('a', 'muffled')",0.0,Hunter at Large
"('muffled', 'thud')",0.25,Hunter at Large
"('thud', ',')",0.0,Hunter at Large
"(',', 'felt')",0.0,Hunter at Large
