w,taza
"('There', 'is')",0.0,I've Been Here before!
"('is', 'a')",0.0,I've Been Here before!
"('a', 'pause')",0.2,I've Been Here before!
"('pause', 'in')",0.0,I've Been Here before!
"('in', 'the')",0.0,I've Been Here before!
"('the', 'merriment')",0.2857142857142857,I've Been Here before!
"('merriment', 'as')",0.0,I've Been Here before!
"('as', 'your')",0.0,I've Been Here before!
"('your', 'friends')",0.1,I've Been Here before!
"('friends', 'gaze')",0.1,I've Been Here before!
"('gaze', 'at')",0.2,I've Been Here before!
"('at', 'you')",0.0,I've Been Here before!
"('you', ',')",0.0,I've Been Here before!
"(',', 'wondering')",0.0,I've Been Here before!
"('wondering', 'why')",0.1,I've Been Here before!
"('why', 'you')",0.2,I've Been Here before!
"('you', 'are')",0.0,I've Been Here before!
"('are', 'staring')",0.25,I've Been Here before!
"('staring', ',')",0.0,I've Been Here before!
"(',', 'open-mouthed')",0.0,I've Been Here before!
"('open-mouthed', 'in')",0.09090909090909091,I've Been Here before!
"('in', 'amazement')",0.14285714285714285,I've Been Here before!
"('amazement', '.')",0.0,I've Been Here before!
"('.', 'You')",0.0,I've Been Here before!
"('You', 'explain')",0.0,I've Been Here before!
"('explain', ',')",0.0,I've Been Here before!
"(',', '``')",0.0,I've Been Here before!
"('``', 'I')",0.0,I've Been Here before!
"('I', 'have')",0.0,I've Been Here before!
"('have', 'the')",0.4,I've Been Here before!
"('the', 'strangest')",0.25,I've Been Here before!
"('strangest', 'feeling')",0.3,I've Been Here before!
"('feeling', 'of')",0.14285714285714285,I've Been Here before!
"('of', 'having')",0.0,I've Been Here before!
"('having', 'lived')",0.2222222222222222,I've Been Here before!
"('lived', 'through')",0.0,I've Been Here before!
"('through', 'this')",0.25,I've Been Here before!
"('this', 'very')",0.0,I've Been Here before!
"('very', 'same')",0.14285714285714285,I've Been Here before!
"('same', 'event')",0.14285714285714285,I've Been Here before!
"('event', 'before')",0.125,I've Been Here before!
"('before', '.')",0.0,I've Been Here before!
"('.', 'I')",0.0,I've Been Here before!
"('I', ""can't"")",0.0,I've Been Here before!
"(""can't"", 'tell')",0.14285714285714285,I've Been Here before!
"('tell', 'when')",0.16666666666666666,I've Been Here before!
"('when', ',')",0.0,I've Been Here before!
"(',', 'but')",0.0,I've Been Here before!
"('but', ""I'm"")",0.0,I've Been Here before!
"(""I'm"", 'positive')",0.0,I've Been Here before!
"('positive', 'I')",0.0,I've Been Here before!
"('I', 'witnessed')",0.0,I've Been Here before!
"('witnessed', 'this')",0.375,I've Been Here before!
"('this', 'same')",0.14285714285714285,I've Been Here before!
"('same', 'scene')",0.3333333333333333,I've Been Here before!
"('scene', 'of')",0.0,I've Been Here before!
"('of', 'this')",0.0,I've Been Here before!
"('this', 'particular')",0.2,I've Been Here before!
"('particular', 'gathering')",0.3333333333333333,I've Been Here before!
