w,taza
"('Help', 'when')",0.14285714285714285,Newark Evening News
"('when', 'needed')",0.4,Newark Evening News
"('needed', 'If')",0.0,Newark Evening News
"('If', 'the')",0.0,Newark Evening News
"('the', 'Dominican')",0.0,Newark Evening News
"('Dominican', 'Republic')",0.15384615384615385,Newark Evening News
"('Republic', 'achieves')",0.25,Newark Evening News
"('achieves', 'free')",0.1111111111111111,Newark Evening News
"('free', ',')",0.0,Newark Evening News
"(',', 'democratic')",0.0,Newark Evening News
"('democratic', 'government')",0.4166666666666667,Newark Evening News
"('government', ',')",0.0,Newark Evening News
"(',', 'it')",0.0,Newark Evening News
"('it', 'will')",0.25,Newark Evening News
"('will', 'be')",0.0,Newark Evening News
"('be', 'due')",0.25,Newark Evening News
"('due', 'in')",0.0,Newark Evening News
"('in', 'large')",0.0,Newark Evening News
"('large', 'part')",0.2857142857142857,Newark Evening News
"('part', 'to')",0.2,Newark Evening News
"('to', 'the')",0.25,Newark Evening News
"('the', 'U.S.')",0.0,Newark Evening News
"('U.S.', 'show')",0.0,Newark Evening News
"('show', 'of')",0.2,Newark Evening News
"('of', 'force')",0.4,Newark Evening News
"('force', 'that')",0.0,Newark Evening News
"('that', 'enabled')",0.125,Newark Evening News
"('enabled', 'President')",0.2727272727272727,Newark Evening News
"('President', 'Balaguer')",0.15384615384615385,Newark Evening News
"('Balaguer', 'to')",0.0,Newark Evening News
"('to', 'prevent')",0.14285714285714285,Newark Evening News
"('prevent', 'a')",0.0,Newark Evening News
"('a', 'threatened')",0.14285714285714285,Newark Evening News
"('threatened', 'restoration')",0.5,Newark Evening News
"('restoration', 'of')",0.1111111111111111,Newark Evening News
"('of', 'Trujillo')",0.125,Newark Evening News
"('Trujillo', 'dictatorship')",0.21428571428571427,Newark Evening News
"('dictatorship', '.')",0.0,Newark Evening News
"('.', 'Outwardly')",0.0,Newark Evening News
"('Outwardly', ',')",0.0,Newark Evening News
"(',', 'Ciudad')",0.0,Newark Evening News
"('Ciudad', 'Trujillo')",0.2,Newark Evening News
"('Trujillo', 'is')",0.125,Newark Evening News
"('is', 'calm')",0.0,Newark Evening News
"('calm', '.')",0.0,Newark Evening News
"('.', 'None')",0.0,Newark Evening News
"('None', 'of')",0.2,Newark Evening News
"('of', 'the')",0.0,Newark Evening News
"('the', 'Trujillo')",0.0,Newark Evening News
"('Trujillo', 'family')",0.18181818181818182,Newark Evening News
"('family', 'remains')",0.3,Newark Evening News
"('remains', '.')",0.0,Newark Evening News
"('.', 'Mr.')",0.3333333333333333,Newark Evening News
"('Mr.', 'Balaguer')",0.1111111111111111,Newark Evening News
"('Balaguer', 'is')",0.0,Newark Evening News
"('is', 'in')",0.3333333333333333,Newark Evening News
"('in', 'control')",0.14285714285714285,Newark Evening News
"('control', ',')",0.0,Newark Evening News
"(',', 'and')",0.0,Newark Evening News
"('and', 'opposition')",0.125,Newark Evening News
"('opposition', 'leaders')",0.09090909090909091,Newark Evening News
"('leaders', 'have')",0.25,Newark Evening News
"('have', 'no')",0.0,Newark Evening News
"('no', 'further')",0.0,Newark Evening News
"('further', 'excuse')",0.2222222222222222,Newark Evening News
"('excuse', 'to')",0.0,Newark Evening News
"('to', 'suspect')",0.14285714285714285,Newark Evening News
"('suspect', 'his')",0.125,Newark Evening News
"('his', 'offer')",0.0,Newark Evening News
"('offer', 'of')",0.5,Newark Evening News
"('of', 'a')",0.0,Newark Evening News
"('a', 'coalition')",0.14285714285714285,Newark Evening News
"('coalition', 'government')",0.25,Newark Evening News
"('government', 'preliminary')",0.3076923076923077,Newark Evening News
"('preliminary', 'to')",0.0,Newark Evening News
"('to', 'free')",0.0,Newark Evening News
"('free', 'elections')",0.1,Newark Evening News
"('elections', 'in')",0.25,Newark Evening News
"('in', 'the')",0.0,Newark Evening News
"('the', 'spring')",0.0,Newark Evening News
"('spring', '.')",0.0,Newark Evening News
"('.', 'Had')",0.0,Newark Evening News
"('Had', 'U.S.')",0.0,Newark Evening News
"('U.S.', 'warships')",0.0,Newark Evening News
"('warships', 'not')",0.0,Newark Evening News
"('not', 'appeared')",0.0,Newark Evening News
"('appeared', 'off')",0.0,Newark Evening News
"('off', 'the')",0.0,Newark Evening News
"('Dominican', 'coast')",0.3333333333333333,Newark Evening News
"('coast', ',')",0.0,Newark Evening News
"(',', 'there')",0.0,Newark Evening News
"('there', 'is')",0.0,Newark Evening News
"('is', 'every')",0.0,Newark Evening News
"('every', 'possibility')",0.09090909090909091,Newark Evening News
"('possibility', 'that')",0.1,Newark Evening News
"('that', 'the')",0.5,Newark Evening News
"('the', 'country')",0.1111111111111111,Newark Evening News
"('country', 'would')",0.2,Newark Evening News
"('would', 'now')",0.3333333333333333,Newark Evening News
"('now', 'be')",0.0,Newark Evening News
"('be', 'wracked')",0.125,Newark Evening News
"('wracked', 'by')",0.0,Newark Evening News
"('by', 'civil')",0.0,Newark Evening News
"('civil', 'war')",0.0,Newark Evening News
"('war', '.')",0.0,Newark Evening News
"('.', 'Ultimately')",0.0,Newark Evening News
"('Ultimately', 'either')",0.3,Newark Evening News
"('either', 'the')",0.6,Newark Evening News
"('the', 'Trujillos')",0.0,Newark Evening News
"('Trujillos', 'would')",0.3,Newark Evening News
"('would', 'have')",0.0,Newark Evening News
"('have', 'been')",0.16666666666666666,Newark Evening News
"('been', 'returned')",0.2857142857142857,Newark Evening News
"('returned', 'to')",0.14285714285714285,Newark Evening News
"('to', 'power')",0.16666666666666666,Newark Evening News
"('power', 'or')",0.4,Newark Evening News
"('or', 'the')",0.0,Newark Evening News
"('the', 'conflict')",0.1111111111111111,Newark Evening News
