w,taza
"('Northern', 'liberals')",0.16666666666666666,Northern Liberals and Southern Bourbons
"('liberals', 'are')",0.42857142857142855,Northern Liberals and Southern Bourbons
"('are', 'the')",0.2,Northern Liberals and Southern Bourbons
"('the', 'chief')",0.3333333333333333,Northern Liberals and Southern Bourbons
"('chief', 'supporters')",0.09090909090909091,Northern Liberals and Southern Bourbons
"('supporters', 'of')",0.125,Northern Liberals and Southern Bourbons
"('of', 'civil')",0.0,Northern Liberals and Southern Bourbons
"('civil', 'rights')",0.1111111111111111,Northern Liberals and Southern Bourbons
"('rights', 'and')",0.0,Northern Liberals and Southern Bourbons
"('and', 'of')",0.0,Northern Liberals and Southern Bourbons
"('of', 'integration')",0.1111111111111111,Northern Liberals and Southern Bourbons
"('integration', '.')",0.0,Northern Liberals and Southern Bourbons
"('.', 'They')",0.0,Northern Liberals and Southern Bourbons
"('They', 'have')",0.3333333333333333,Northern Liberals and Southern Bourbons
"('have', 'also')",0.14285714285714285,Northern Liberals and Southern Bourbons
"('also', 'led')",0.16666666666666666,Northern Liberals and Southern Bourbons
"('led', 'the')",0.2,Northern Liberals and Southern Bourbons
"('the', 'nation')",0.14285714285714285,Northern Liberals and Southern Bourbons
"('nation', 'in')",0.4,Northern Liberals and Southern Bourbons
"('in', 'the')",0.0,Northern Liberals and Southern Bourbons
"('the', 'direction')",0.2222222222222222,Northern Liberals and Southern Bourbons
"('direction', 'of')",0.1111111111111111,Northern Liberals and Southern Bourbons
"('of', 'a')",0.0,Northern Liberals and Southern Bourbons
"('a', 'welfare')",0.16666666666666666,Northern Liberals and Southern Bourbons
"('welfare', 'state')",0.25,Northern Liberals and Southern Bourbons
"('state', '.')",0.0,Northern Liberals and Southern Bourbons
"('.', 'And')",0.0,Northern Liberals and Southern Bourbons
"('And', 'both')",0.0,Northern Liberals and Southern Bourbons
"('both', 'in')",0.0,Northern Liberals and Southern Bourbons
"('in', 'their')",0.16666666666666666,Northern Liberals and Southern Bourbons
"('their', 'objectives')",0.2727272727272727,Northern Liberals and Southern Bourbons
"('objectives', 'of')",0.1,Northern Liberals and Southern Bourbons
"('of', 'non-discrimination')",0.08333333333333333,Northern Liberals and Southern Bourbons
"('non-discrimination', 'and')",0.2727272727272727,Northern Liberals and Southern Bourbons
"('of', 'social')",0.14285714285714285,Northern Liberals and Southern Bourbons
"('social', 'progress')",0.2,Northern Liberals and Southern Bourbons
"('progress', 'they')",0.1111111111111111,Northern Liberals and Southern Bourbons
"('they', 'have')",0.3333333333333333,Northern Liberals and Southern Bourbons
"('have', 'had')",0.4,Northern Liberals and Southern Bourbons
"('had', 'ranged')",0.2857142857142857,Northern Liberals and Southern Bourbons
"('ranged', 'against')",0.3333333333333333,Northern Liberals and Southern Bourbons
"('against', 'them')",0.1111111111111111,Northern Liberals and Southern Bourbons
"('them', 'the')",0.75,Northern Liberals and Southern Bourbons
"('the', 'Southerners')",0.3333333333333333,Northern Liberals and Southern Bourbons
"('Southerners', 'who')",0.2,Northern Liberals and Southern Bourbons
"('who', 'are')",0.0,Northern Liberals and Southern Bourbons
"('are', 'called')",0.3333333333333333,Northern Liberals and Southern Bourbons
"('called', 'Bourbons')",0.0,Northern Liberals and Southern Bourbons
"('Bourbons', '.')",0.0,Northern Liberals and Southern Bourbons
"('.', 'The')",0.0,Northern Liberals and Southern Bourbons
"('The', 'name')",0.16666666666666666,Northern Liberals and Southern Bourbons
"('name', 'presumably')",0.2727272727272727,Northern Liberals and Southern Bourbons
"('presumably', 'derives')",0.23076923076923078,Northern Liberals and Southern Bourbons
"('derives', 'from')",0.1111111111111111,Northern Liberals and Southern Bourbons
"('from', 'the')",0.0,Northern Liberals and Southern Bourbons
"('the', 'French')",0.2857142857142857,Northern Liberals and Southern Bourbons
"('French', 'royal')",0.1,Northern Liberals and Southern Bourbons
"('royal', 'house')",0.1111111111111111,Northern Liberals and Southern Bourbons
"('house', 'which')",0.125,Northern Liberals and Southern Bourbons
"('which', 'never')",0.0,Northern Liberals and Southern Bourbons
"('never', 'learned')",0.42857142857142855,Northern Liberals and Southern Bourbons
"('learned', 'and')",0.5,Northern Liberals and Southern Bourbons
"('and', 'never')",0.16666666666666666,Northern Liberals and Southern Bourbons
"('never', 'forgot')",0.125,Northern Liberals and Southern Bourbons
"('forgot', ';')",0.0,Northern Liberals and Southern Bourbons
"(';', ';')",1.0,Northern Liberals and Southern Bourbons
"(';', 'since')",0.0,Northern Liberals and Southern Bourbons
"('since', 'Bourbon')",0.1,Northern Liberals and Southern Bourbons
"('Bourbon', 'whiskey')",0.0,Northern Liberals and Southern Bourbons
"('whiskey', ',')",0.0,Northern Liberals and Southern Bourbons
"(',', 'though')",0.0,Northern Liberals and Southern Bourbons
"('though', 'of')",0.16666666666666666,Northern Liberals and Southern Bourbons
"('of', 'Kentucky')",0.0,Northern Liberals and Southern Bourbons
"('Kentucky', 'origin')",0.08333333333333333,Northern Liberals and Southern Bourbons
"('origin', ',')",0.0,Northern Liberals and Southern Bourbons
"(',', 'is')",0.0,Northern Liberals and Southern Bourbons
