w,taza
"('The', 'most')",0.0,"Organic Gardening and Farming,"
"('most', 'beautiful')",0.09090909090909091,"Organic Gardening and Farming,"
"('beautiful', 'bed')",0.2222222222222222,"Organic Gardening and Farming,"
"('bed', 'of')",0.0,"Organic Gardening and Farming,"
"('of', 'pansies')",0.0,"Organic Gardening and Farming,"
"('pansies', ""I've"")",0.1111111111111111,"Organic Gardening and Farming,"
"(""I've"", 'seen')",0.16666666666666666,"Organic Gardening and Farming,"
"('seen', 'was')",0.2,"Organic Gardening and Farming,"
"('was', 'in')",0.0,"Organic Gardening and Farming,"
"('in', 'a')",0.0,"Organic Gardening and Farming,"
"('a', 'South')",0.0,"Organic Gardening and Farming,"
"('South', 'Dakota')",0.25,"Organic Gardening and Farming,"
"('Dakota', 'yard')",0.125,"Organic Gardening and Farming,"
"('yard', 'on')",0.0,"Organic Gardening and Farming,"
"('on', 'a')",0.0,"Organic Gardening and Farming,"
"('a', 'sizzling')",0.0,"Organic Gardening and Farming,"
"('sizzling', 'day')",0.0,"Organic Gardening and Farming,"
"('day', '.')",0.0,"Organic Gardening and Farming,"
"('.', 'Pansies')",0.0,"Organic Gardening and Farming,"
"('Pansies', 'are')",0.2857142857142857,"Organic Gardening and Farming,"
"('are', 'supposed')",0.125,"Organic Gardening and Farming,"
"('supposed', 'to')",0.14285714285714285,"Organic Gardening and Farming,"
"('to', 'like')",0.0,"Organic Gardening and Farming,"
"('like', 'it')",0.2,"Organic Gardening and Farming,"
"('it', 'cool')",0.0,"Organic Gardening and Farming,"
"('cool', ',')",0.0,"Organic Gardening and Farming,"
"(',', 'but')",0.0,"Organic Gardening and Farming,"
"('but', 'those')",0.14285714285714285,"Organic Gardening and Farming,"
"('those', 'great')",0.25,"Organic Gardening and Farming,"
"('great', 'velvety')",0.25,"Organic Gardening and Farming,"
"('velvety', 'flowers')",0.2,"Organic Gardening and Farming,"
"('flowers', 'were')",0.42857142857142855,"Organic Gardening and Farming,"
"('were', 'healthy')",0.125,"Organic Gardening and Farming,"
"('healthy', 'and')",0.125,"Organic Gardening and Farming,"
"('and', 'perky')",0.0,"Organic Gardening and Farming,"
"('perky', 'in')",0.0,"Organic Gardening and Farming,"
"('in', 'the')",0.0,"Organic Gardening and Farming,"
"('the', 'glaring')",0.0,"Organic Gardening and Farming,"
"('glaring', 'sun')",0.125,"Organic Gardening and Farming,"
"('sun', '.')",0.0,"Organic Gardening and Farming,"
