w,taza
"('Abstract', 'Experiments')",0.21428571428571427,Proceedings of the 1961 Heat
"('Experiments', 'were')",0.18181818181818182,Proceedings of the 1961 Heat
"('were', 'made')",0.16666666666666666,Proceedings of the 1961 Heat
"('made', 'on')",0.0,Proceedings of the 1961 Heat
"('on', 'an')",0.3333333333333333,Proceedings of the 1961 Heat
"('an', 'electric')",0.0,Proceedings of the 1961 Heat
"('electric', 'arc')",0.2857142857142857,Proceedings of the 1961 Heat
"('arc', 'applying')",0.1111111111111111,Proceedings of the 1961 Heat
"('applying', 'a')",0.14285714285714285,Proceedings of the 1961 Heat
"('a', 'porous')",0.0,Proceedings of the 1961 Heat
"('porous', 'graphite')",0.18181818181818182,Proceedings of the 1961 Heat
"('graphite', 'anode')",0.18181818181818182,Proceedings of the 1961 Heat
"('anode', 'cooled')",0.42857142857142855,Proceedings of the 1961 Heat
"('cooled', 'by')",0.0,Proceedings of the 1961 Heat
"('by', 'a')",0.0,Proceedings of the 1961 Heat
"('a', 'transpiring')",0.125,Proceedings of the 1961 Heat
"('transpiring', 'gas')",0.375,Proceedings of the 1961 Heat
"('gas', '(')",0.0,Proceedings of the 1961 Heat
"('(', 'Argon')",0.0,Proceedings of the 1961 Heat
"('Argon', ')')",0.0,Proceedings of the 1961 Heat
"(')', '.')",0.0,Proceedings of the 1961 Heat
"('.', 'Thus')",0.0,Proceedings of the 1961 Heat
"('Thus', ',')",0.0,Proceedings of the 1961 Heat
"(',', 'the')",0.0,Proceedings of the 1961 Heat
"('the', 'energy')",0.14285714285714285,Proceedings of the 1961 Heat
"('energy', 'transferred')",0.3,Proceedings of the 1961 Heat
"('transferred', 'from')",0.2,Proceedings of the 1961 Heat
"('from', 'the')",0.0,Proceedings of the 1961 Heat
"('the', 'arc')",0.0,Proceedings of the 1961 Heat
"('arc', 'to')",0.0,Proceedings of the 1961 Heat
"('to', 'the')",0.25,Proceedings of the 1961 Heat
"('the', 'anode')",0.14285714285714285,Proceedings of the 1961 Heat
"('anode', 'was')",0.14285714285714285,Proceedings of the 1961 Heat
"('was', 'partly')",0.125,Proceedings of the 1961 Heat
"('partly', 'fed')",0.0,Proceedings of the 1961 Heat
"('fed', 'back')",0.0,Proceedings of the 1961 Heat
"('back', 'into')",0.0,Proceedings of the 1961 Heat
"('into', 'the')",0.16666666666666666,Proceedings of the 1961 Heat
"('arc', '.')",0.0,Proceedings of the 1961 Heat
"('.', 'It')",0.0,Proceedings of the 1961 Heat
"('It', 'was')",0.0,Proceedings of the 1961 Heat
"('was', 'shown')",0.3333333333333333,Proceedings of the 1961 Heat
"('shown', 'that')",0.14285714285714285,Proceedings of the 1961 Heat
"('that', 'by')",0.0,Proceedings of the 1961 Heat
"('by', 'proper')",0.0,Proceedings of the 1961 Heat
"('proper', 'anode')",0.2857142857142857,Proceedings of the 1961 Heat
"('anode', 'design')",0.375,Proceedings of the 1961 Heat
"('design', 'the')",0.125,Proceedings of the 1961 Heat
"('the', 'net')",0.5,Proceedings of the 1961 Heat
"('net', 'energy')",0.3333333333333333,Proceedings of the 1961 Heat
"('energy', 'loss')",0.0,Proceedings of the 1961 Heat
"('loss', 'of')",0.25,Proceedings of the 1961 Heat
"('of', 'the')",0.0,Proceedings of the 1961 Heat
"('anode', 'could')",0.25,Proceedings of the 1961 Heat
"('could', 'be')",0.0,Proceedings of the 1961 Heat
"('be', 'reduced')",0.16666666666666666,Proceedings of the 1961 Heat
"('reduced', 'to')",0.0,Proceedings of the 1961 Heat
"('to', 'approximately')",0.18181818181818182,Proceedings of the 1961 Heat
"('approximately', '15%')",0.0,Proceedings of the 1961 Heat
"('15%', 'of')",0.0,Proceedings of the 1961 Heat
"('the', 'total')",0.16666666666666666,Proceedings of the 1961 Heat
"('total', 'arc')",0.16666666666666666,Proceedings of the 1961 Heat
"('arc', 'energy')",0.14285714285714285,Proceedings of the 1961 Heat
"('energy', '.')",0.0,Proceedings of the 1961 Heat
"('.', 'A')",0.0,Proceedings of the 1961 Heat
"('A', 'detailed')",0.0,Proceedings of the 1961 Heat
"('detailed', 'energy')",0.1,Proceedings of the 1961 Heat
"('energy', 'balance')",0.2222222222222222,Proceedings of the 1961 Heat
"('balance', 'of')",0.0,Proceedings of the 1961 Heat
"('was', 'established')",0.2,Proceedings of the 1961 Heat
"('established', '.')",0.0,Proceedings of the 1961 Heat
"('.', 'The')",0.0,Proceedings of the 1961 Heat
"('The', 'anode')",0.14285714285714285,Proceedings of the 1961 Heat
"('anode', 'ablation')",0.3333333333333333,Proceedings of the 1961 Heat
"('ablation', 'could')",0.2,Proceedings of the 1961 Heat
"('to', 'a')",0.0,Proceedings of the 1961 Heat
"('a', 'negligible')",0.0,Proceedings of the 1961 Heat
"('negligible', 'amount')",0.09090909090909091,Proceedings of the 1961 Heat
"('amount', '.')",0.0,Proceedings of the 1961 Heat
"('The', 'dependence')",0.14285714285714285,Proceedings of the 1961 Heat
"('dependence', 'of')",0.0,Proceedings of the 1961 Heat
"('arc', 'voltage')",0.1111111111111111,Proceedings of the 1961 Heat
"('voltage', 'upon')",0.1,Proceedings of the 1961 Heat
"('upon', 'the')",0.0,Proceedings of the 1961 Heat
"('the', 'mass')",0.0,Proceedings of the 1961 Heat
"('mass', 'flow')",0.0,Proceedings of the 1961 Heat
"('flow', 'velocity')",0.2,Proceedings of the 1961 Heat
"('velocity', 'of')",0.1111111111111111,Proceedings of the 1961 Heat
"('the', 'transpirating')",0.1,Proceedings of the 1961 Heat
"('transpirating', 'gas')",0.375,Proceedings of the 1961 Heat
"('gas', 'was')",0.5,Proceedings of the 1961 Heat
"('was', 'investigated')",0.2,Proceedings of the 1961 Heat
"('investigated', 'for')",0.0,Proceedings of the 1961 Heat
"('for', 'various')",0.25,Proceedings of the 1961 Heat
"('various', 'arc')",0.25,Proceedings of the 1961 Heat
"('arc', 'lengths')",0.0,Proceedings of the 1961 Heat
"('lengths', 'and')",0.1111111111111111,Proceedings of the 1961 Heat
"('and', 'currents')",0.1111111111111111,Proceedings of the 1961 Heat
"('currents', 'between')",0.3333333333333333,Proceedings of the 1961 Heat
"('between', '100')",0.0,Proceedings of the 1961 Heat
"('100', 'Amp')",0.0,Proceedings of the 1961 Heat
"('Amp', 'and')",0.0,Proceedings of the 1961 Heat
"('and', '200')",0.0,Proceedings of the 1961 Heat
"('200', 'Aj')",0.0,Proceedings of the 1961 Heat
"('Aj', '.')",0.0,Proceedings of the 1961 Heat
"('.', 'Qualitative')",0.0,Proceedings of the 1961 Heat
"('Qualitative', 'observations')",0.38461538461538464,Proceedings of the 1961 Heat
"('observations', 'were')",0.18181818181818182,Proceedings of the 1961 Heat
"('made', 'and')",0.4,Proceedings of the 1961 Heat
"('and', 'high-speed')",0.1,Proceedings of the 1961 Heat
"('high-speed', 'motion')",0.08333333333333333,Proceedings of the 1961 Heat
"('motion', 'pictures')",0.18181818181818182,Proceedings of the 1961 Heat
"('pictures', 'were')",0.2222222222222222,Proceedings of the 1961 Heat
"('were', 'taken')",0.14285714285714285,Proceedings of the 1961 Heat
"('taken', 'to')",0.16666666666666666,Proceedings of the 1961 Heat
"('to', 'study')",0.16666666666666666,Proceedings of the 1961 Heat
"('study', 'flow')",0.0,Proceedings of the 1961 Heat
"('flow', 'phenomena')",0.1,Proceedings of the 1961 Heat
"('phenomena', 'in')",0.125,Proceedings of the 1961 Heat
