w,taza
"('A', 'proton')",0.0,Proton magnetic resonance study
"('proton', 'magnetic')",0.18181818181818182,Proton magnetic resonance study
"('magnetic', 'resonance')",0.36363636363636365,Proton magnetic resonance study
"('resonance', 'study')",0.09090909090909091,Proton magnetic resonance study
"('study', 'of')",0.0,Proton magnetic resonance study
"('of', 'polycrystalline')",0.07692307692307693,Proton magnetic resonance study
"('polycrystalline', 'Af')",0.0,Proton magnetic resonance study
"('Af', 'as')",0.0,Proton magnetic resonance study
"('as', 'a')",0.5,Proton magnetic resonance study
"('a', 'function')",0.0,Proton magnetic resonance study
"('function', 'of')",0.2857142857142857,Proton magnetic resonance study
"('of', 'magnetic')",0.0,Proton magnetic resonance study
"('magnetic', 'field')",0.18181818181818182,Proton magnetic resonance study
"('field', 'and')",0.14285714285714285,Proton magnetic resonance study
"('and', 'temperature')",0.1111111111111111,Proton magnetic resonance study
"('temperature', 'is')",0.0,Proton magnetic resonance study
"('is', 'presented')",0.125,Proton magnetic resonance study
"('presented', '.')",0.0,Proton magnetic resonance study
"('.', 'Af')",0.0,Proton magnetic resonance study
"('Af', 'is')",0.0,Proton magnetic resonance study
"('is', 'paramagnetic')",0.09090909090909091,Proton magnetic resonance study
"('paramagnetic', ',')",0.0,Proton magnetic resonance study
"(',', 'and')",0.0,Proton magnetic resonance study
"('and', 'electron')",0.1111111111111111,Proton magnetic resonance study
"('electron', 'paramagnetic')",0.4166666666666667,Proton magnetic resonance study
"('paramagnetic', 'dipole')",0.23076923076923078,Proton magnetic resonance study
"('dipole', 'as')",0.0,Proton magnetic resonance study
"('as', 'well')",0.0,Proton magnetic resonance study
"('well', 'as')",0.0,Proton magnetic resonance study
"('as', 'nuclear')",0.125,Proton magnetic resonance study
"('nuclear', 'dipole')",0.18181818181818182,Proton magnetic resonance study
"('dipole', 'effects')",0.1,Proton magnetic resonance study
"('effects', 'lead')",0.125,Proton magnetic resonance study
"('lead', 'to')",0.0,Proton magnetic resonance study
"('to', 'line')",0.0,Proton magnetic resonance study
"('line', 'broadening')",0.3,Proton magnetic resonance study
"('broadening', '.')",0.0,Proton magnetic resonance study
"('.', 'The')",0.0,Proton magnetic resonance study
"('The', 'lines')",0.14285714285714285,Proton magnetic resonance study
"('lines', 'are')",0.14285714285714285,Proton magnetic resonance study
