w,taza
"('1', '.')",0.0,Radio Emission of the Moon and Planet
"('.', 'Introduction')",0.0,Radio Emission of the Moon and Planet
"('Introduction', 'It')",0.2222222222222222,Radio Emission of the Moon and Planet
"('It', 'has')",0.0,Radio Emission of the Moon and Planet
"('has', 'recently')",0.0,Radio Emission of the Moon and Planet
"('recently', 'become')",0.2,Radio Emission of the Moon and Planet
"('become', 'practical')",0.09090909090909091,Radio Emission of the Moon and Planet
"('practical', 'to')",0.125,Radio Emission of the Moon and Planet
"('to', 'use')",0.0,Radio Emission of the Moon and Planet
"('use', 'the')",0.2,Radio Emission of the Moon and Planet
"('the', 'radio')",0.0,Radio Emission of the Moon and Planet
"('radio', 'emission')",0.2222222222222222,Radio Emission of the Moon and Planet
"('emission', 'of')",0.14285714285714285,Radio Emission of the Moon and Planet
"('of', 'the')",0.0,Radio Emission of the Moon and Planet
"('the', 'moon')",0.0,Radio Emission of the Moon and Planet
"('moon', 'and')",0.2,Radio Emission of the Moon and Planet
"('and', 'planets')",0.25,Radio Emission of the Moon and Planet
"('planets', 'as')",0.2857142857142857,Radio Emission of the Moon and Planet
"('as', 'a')",0.5,Radio Emission of the Moon and Planet
"('a', 'new')",0.0,Radio Emission of the Moon and Planet
"('new', 'source')",0.125,Radio Emission of the Moon and Planet
"('source', 'of')",0.14285714285714285,Radio Emission of the Moon and Planet
"('of', 'information')",0.25,Radio Emission of the Moon and Planet
"('information', 'about')",0.3,Radio Emission of the Moon and Planet
"('about', 'these')",0.125,Radio Emission of the Moon and Planet
"('these', 'bodies')",0.25,Radio Emission of the Moon and Planet
"('bodies', 'and')",0.125,Radio Emission of the Moon and Planet
"('and', 'their')",0.0,Radio Emission of the Moon and Planet
"('their', 'atmospheres')",0.4,Radio Emission of the Moon and Planet
"('atmospheres', '.')",0.0,Radio Emission of the Moon and Planet
"('.', 'The')",0.0,Radio Emission of the Moon and Planet
"('The', 'results')",0.125,Radio Emission of the Moon and Planet
"('results', 'of')",0.0,Radio Emission of the Moon and Planet
"('of', 'present')",0.0,Radio Emission of the Moon and Planet
"('present', 'observations')",0.45454545454545453,Radio Emission of the Moon and Planet
"('observations', 'of')",0.09090909090909091,Radio Emission of the Moon and Planet
"('the', 'thermal')",0.42857142857142855,Radio Emission of the Moon and Planet
"('thermal', 'radio')",0.2,Radio Emission of the Moon and Planet
"('moon', 'are')",0.0,Radio Emission of the Moon and Planet
"('are', 'consistent')",0.1111111111111111,Radio Emission of the Moon and Planet
"('consistent', 'with')",0.2222222222222222,Radio Emission of the Moon and Planet
"('with', 'the')",0.4,Radio Emission of the Moon and Planet
"('the', 'very')",0.16666666666666666,Radio Emission of the Moon and Planet
"('very', 'low')",0.0,Radio Emission of the Moon and Planet
"('low', 'thermal')",0.1111111111111111,Radio Emission of the Moon and Planet
"('thermal', 'conductivity')",0.06666666666666667,Radio Emission of the Moon and Planet
"('conductivity', 'of')",0.1,Radio Emission of the Moon and Planet
"('the', 'surface')",0.1111111111111111,Radio Emission of the Moon and Planet
"('surface', 'layer')",0.3333333333333333,Radio Emission of the Moon and Planet
"('layer', 'which')",0.0,Radio Emission of the Moon and Planet
"('which', 'was')",0.16666666666666666,Radio Emission of the Moon and Planet
"('was', 'derived')",0.0,Radio Emission of the Moon and Planet
"('derived', 'from')",0.125,Radio Emission of the Moon and Planet
"('from', 'the')",0.0,Radio Emission of the Moon and Planet
"('the', 'variation')",0.1111111111111111,Radio Emission of the Moon and Planet
"('variation', 'in')",0.2857142857142857,Radio Emission of the Moon and Planet
"('in', 'the')",0.0,Radio Emission of the Moon and Planet
"('the', 'infrared')",0.1111111111111111,Radio Emission of the Moon and Planet
"('infrared', 'emission')",0.3,Radio Emission of the Moon and Planet
"('emission', 'during')",0.2,Radio Emission of the Moon and Planet
"('during', 'eclipses')",0.09090909090909091,Radio Emission of the Moon and Planet
"('eclipses', '(')",0.0,Radio Emission of the Moon and Planet
"('(', 'e.g.')",0.0,Radio Emission of the Moon and Planet
"('e.g.', ',')",0.0,Radio Emission of the Moon and Planet
"(',', 'Garstung')",0.0,Radio Emission of the Moon and Planet
"('Garstung', ',')",0.0,Radio Emission of the Moon and Planet
"(',', '1958')",0.0,Radio Emission of the Moon and Planet
"('1958', ')')",0.0,Radio Emission of the Moon and Planet
"(')', '.')",0.0,Radio Emission of the Moon and Planet
"('.', 'When')",0.0,Radio Emission of the Moon and Planet
"('When', 'sufficiently')",0.16666666666666666,Radio Emission of the Moon and Planet
"('sufficiently', 'accurate')",0.3333333333333333,Radio Emission of the Moon and Planet
"('accurate', 'and')",0.125,Radio Emission of the Moon and Planet
"('and', 'complete')",0.0,Radio Emission of the Moon and Planet
"('complete', 'measurements')",0.25,Radio Emission of the Moon and Planet
"('measurements', 'are')",0.375,Radio Emission of the Moon and Planet
"('are', 'available')",0.2857142857142857,Radio Emission of the Moon and Planet
"('available', ',')",0.0,Radio Emission of the Moon and Planet
"(',', 'it')",0.0,Radio Emission of the Moon and Planet
"('it', 'will')",0.25,Radio Emission of the Moon and Planet
"('will', 'be')",0.0,Radio Emission of the Moon and Planet
"('be', 'possible')",0.2857142857142857,Radio Emission of the Moon and Planet
"('possible', 'to')",0.125,Radio Emission of the Moon and Planet
"('to', 'set')",0.25,Radio Emission of the Moon and Planet
"('set', 'limits')",0.3333333333333333,Radio Emission of the Moon and Planet
"('limits', 'on')",0.0,Radio Emission of the Moon and Planet
"('on', 'the')",0.0,Radio Emission of the Moon and Planet
"('thermal', 'and')",0.1111111111111111,Radio Emission of the Moon and Planet
"('and', 'electrical')",0.1111111111111111,Radio Emission of the Moon and Planet
"('electrical', 'characteristics')",0.6666666666666666,Radio Emission of the Moon and Planet
"('characteristics', 'of')",0.0,Radio Emission of the Moon and Planet
"('surface', 'and')",0.1111111111111111,Radio Emission of the Moon and Planet
"('and', 'subsurface')",0.1,Radio Emission of the Moon and Planet
"('subsurface', 'materials')",0.3333333333333333,Radio Emission of the Moon and Planet
"('materials', 'of')",0.0,Radio Emission of the Moon and Planet
"('moon', '.')",0.0,Radio Emission of the Moon and Planet
"('.', 'Observations')",0.0,Radio Emission of the Moon and Planet
"('Observations', 'of')",0.08333333333333333,Radio Emission of the Moon and Planet
"('of', 'a')",0.0,Radio Emission of the Moon and Planet
"('a', 'planet')",0.16666666666666666,Radio Emission of the Moon and Planet
"('planet', 'which')",0.0,Radio Emission of the Moon and Planet
"('which', 'has')",0.16666666666666666,Radio Emission of the Moon and Planet
"('has', 'an')",0.25,Radio Emission of the Moon and Planet
"('an', 'extensive')",0.125,Radio Emission of the Moon and Planet
"('extensive', 'atmosphere')",0.23076923076923078,Radio Emission of the Moon and Planet
"('atmosphere', 'will')",0.0,Radio Emission of the Moon and Planet
"('will', 'probe')",0.0,Radio Emission of the Moon and Planet
"('probe', 'the')",0.14285714285714285,Radio Emission of the Moon and Planet
"('the', 'atmosphere')",0.3333333333333333,Radio Emission of the Moon and Planet
"('atmosphere', 'to')",0.2222222222222222,Radio Emission of the Moon and Planet
"('to', 'a')",0.0,Radio Emission of the Moon and Planet
"('a', 'greater')",0.2,Radio Emission of the Moon and Planet
"('greater', 'extent')",0.2857142857142857,Radio Emission of the Moon and Planet
"('extent', 'than')",0.3333333333333333,Radio Emission of the Moon and Planet
"('than', 'those')",0.2857142857142857,Radio Emission of the Moon and Planet
"('those', 'using')",0.1111111111111111,Radio Emission of the Moon and Planet
"('using', 'shorter')",0.1,Radio Emission of the Moon and Planet
"('shorter', 'wave')",0.1111111111111111,Radio Emission of the Moon and Planet
"('wave', 'lengths')",0.1,Radio Emission of the Moon and Planet
"('lengths', 'and')",0.1111111111111111,Radio Emission of the Moon and Planet
"('and', 'should')",0.125,Radio Emission of the Moon and Planet
"('should', 'in')",0.0,Radio Emission of the Moon and Planet
"('in', 'some')",0.0,Radio Emission of the Moon and Planet
"('some', 'cases')",0.3333333333333333,Radio Emission of the Moon and Planet
"('cases', 'give')",0.14285714285714285,Radio Emission of the Moon and Planet
"('give', 'otherwise')",0.2,Radio Emission of the Moon and Planet
"('otherwise', 'unobtainable')",0.3076923076923077,Radio Emission of the Moon and Planet
"('unobtainable', 'information')",0.4166666666666667,Radio Emission of the Moon and Planet
"('about', 'the')",0.14285714285714285,Radio Emission of the Moon and Planet
"('the', 'characteristics')",0.375,Radio Emission of the Moon and Planet
"('the', 'solid')",0.0,Radio Emission of the Moon and Planet
"('solid', 'surface')",0.09090909090909091,Radio Emission of the Moon and Planet
"('surface', '.')",0.0,Radio Emission of the Moon and Planet
"('.', 'Radio')",0.0,Radio Emission of the Moon and Planet
"('Radio', 'observations')",0.25,Radio Emission of the Moon and Planet
"('of', 'Venus')",0.0,Radio Emission of the Moon and Planet
"('Venus', 'and')",0.14285714285714285,Radio Emission of the Moon and Planet
"('and', 'Jupiter')",0.0,Radio Emission of the Moon and Planet
"('Jupiter', 'have')",0.1,Radio Emission of the Moon and Planet
"('have', 'already')",0.25,Radio Emission of the Moon and Planet
"('already', 'supplied')",0.3,Radio Emission of the Moon and Planet
"('supplied', 'unexpected')",0.36363636363636365,Radio Emission of the Moon and Planet
"('unexpected', 'experimental')",0.38461538461538464,Radio Emission of the Moon and Planet
"('experimental', 'data')",0.18181818181818182,Radio Emission of the Moon and Planet
"('data', 'on')",0.0,Radio Emission of the Moon and Planet
"('the', 'physical')",0.1,Radio Emission of the Moon and Planet
"('physical', 'conditions')",0.25,Radio Emission of the Moon and Planet
"('conditions', 'of')",0.125,Radio Emission of the Moon and Planet
"('of', 'these')",0.0,Radio Emission of the Moon and Planet
"('these', 'planets')",0.375,Radio Emission of the Moon and Planet
"('planets', '.')",0.0,Radio Emission of the Moon and Planet
"('The', 'observed')",0.1111111111111111,Radio Emission of the Moon and Planet
"('observed', 'intensity')",0.18181818181818182,Radio Emission of the Moon and Planet
"('intensity', 'of')",0.0,Radio Emission of the Moon and Planet
"('Venus', 'is')",0.16666666666666666,Radio Emission of the Moon and Planet
"('is', 'much')",0.0,Radio Emission of the Moon and Planet
"('much', 'higher')",0.125,Radio Emission of the Moon and Planet
"('higher', 'than')",0.125,Radio Emission of the Moon and Planet
"('than', 'the')",0.4,Radio Emission of the Moon and Planet
"('the', 'expected')",0.2857142857142857,Radio Emission of the Moon and Planet
"('expected', 'thermal')",0.18181818181818182,Radio Emission of the Moon and Planet
"('thermal', 'intensity')",0.18181818181818182,Radio Emission of the Moon and Planet
"('intensity', ',')",0.0,Radio Emission of the Moon and Planet
"(',', 'although')",0.0,Radio Emission of the Moon and Planet
"('although', 'the')",0.25,Radio Emission of the Moon and Planet
"('the', 'spectrum')",0.2222222222222222,Radio Emission of the Moon and Planet
"('spectrum', 'indicated')",0.25,Radio Emission of the Moon and Planet
"('indicated', 'by')",0.0,Radio Emission of the Moon and Planet
"('by', 'measurements')",0.0,Radio Emission of the Moon and Planet
"('measurements', 'at')",0.25,Radio Emission of the Moon and Planet
"('at', 'wave')",0.2,Radio Emission of the Moon and Planet
"('lengths', 'near')",0.2222222222222222,Radio Emission of the Moon and Planet
"('near', '3')",0.0,Radio Emission of the Moon and Planet
"('3', 'cm')",0.0,Radio Emission of the Moon and Planet
"('cm', 'and')",0.0,Radio Emission of the Moon and Planet
"('and', '10')",0.0,Radio Emission of the Moon and Planet
"('10', 'cm')",0.0,Radio Emission of the Moon and Planet
"('cm', 'is')",0.0,Radio Emission of the Moon and Planet
"('is', 'like')",0.2,Radio Emission of the Moon and Planet
"('like', 'that')",0.0,Radio Emission of the Moon and Planet
"('that', 'of')",0.0,Radio Emission of the Moon and Planet
"('a', 'black')",0.2,Radio Emission of the Moon and Planet
"('black', 'body')",0.125,Radio Emission of the Moon and Planet
"('body', 'at')",0.0,Radio Emission of the Moon and Planet
"('at', 'about')",0.4,Radio Emission of the Moon and Planet
"('about', '600-degrees')",0.0,Radio Emission of the Moon and Planet
"('600-degrees', '.')",0.0,Radio Emission of the Moon and Planet
"('.', 'This')",0.0,Radio Emission of the Moon and Planet
"('This', 'result')",0.1111111111111111,Radio Emission of the Moon and Planet
"('result', 'suggests')",0.5714285714285714,Radio Emission of the Moon and Planet
"('suggests', 'a')",0.0,Radio Emission of the Moon and Planet
"('a', 'very')",0.0,Radio Emission of the Moon and Planet
"('very', 'high')",0.0,Radio Emission of the Moon and Planet
"('high', 'temperature')",0.0,Radio Emission of the Moon and Planet
"('temperature', 'at')",0.2857142857142857,Radio Emission of the Moon and Planet
"('at', 'the')",0.25,Radio Emission of the Moon and Planet
"('surface', 'of')",0.125,Radio Emission of the Moon and Planet
"('the', 'planet')",0.2857142857142857,Radio Emission of the Moon and Planet
"('planet', ',')",0.0,Radio Emission of the Moon and Planet
"('although', 'there')",0.2222222222222222,Radio Emission of the Moon and Planet
"('there', 'is')",0.0,Radio Emission of the Moon and Planet
"('is', 'the')",0.0,Radio Emission of the Moon and Planet
"('the', 'possibility')",0.1,Radio Emission of the Moon and Planet
"('possibility', 'that')",0.1,Radio Emission of the Moon and Planet
"('that', 'the')",0.5,Radio Emission of the Moon and Planet
"('the', 'observed')",0.1111111111111111,Radio Emission of the Moon and Planet
"('observed', 'radiation')",0.2727272727272727,Radio Emission of the Moon and Planet
