w,taza
"('There', 'comes')",0.125,Renting a Car in Europe
"('comes', 'a')",0.0,Renting a Car in Europe
"('a', 'time')",0.0,Renting a Car in Europe
"('time', 'in')",0.2,Renting a Car in Europe
"('in', 'the')",0.0,Renting a Car in Europe
"('the', 'lives')",0.14285714285714285,Renting a Car in Europe
"('lives', 'of')",0.0,Renting a Car in Europe
"('of', 'most')",0.2,Renting a Car in Europe
"('most', 'of')",0.2,Renting a Car in Europe
"('of', 'us')",0.0,Renting a Car in Europe
"('us', 'when')",0.0,Renting a Car in Europe
"('when', 'we')",0.5,Renting a Car in Europe
"('we', 'want')",0.2,Renting a Car in Europe
"('want', 'to')",0.2,Renting a Car in Europe
"('to', 'be')",0.0,Renting a Car in Europe
"('be', 'alone')",0.16666666666666666,Renting a Car in Europe
"('alone', '.')",0.0,Renting a Car in Europe
"('.', 'Not')",0.0,Renting a Car in Europe
"('Not', 'necessarily')",0.0,Renting a Car in Europe
"('necessarily', 'to')",0.0,Renting a Car in Europe
"('be', 'off')",0.0,Renting a Car in Europe
"('off', 'all')",0.0,Renting a Car in Europe
"('all', 'by')",0.0,Renting a Car in Europe
"('by', 'ourselves')",0.0,Renting a Car in Europe
"('ourselves', ',')",0.0,Renting a Car in Europe
"(',', 'but')",0.0,Renting a Car in Europe
"('but', 'away')",0.0,Renting a Car in Europe
"('away', 'from')",0.0,Renting a Car in Europe
"('from', 'the')",0.0,Renting a Car in Europe
"('the', 'crowds')",0.0,Renting a Car in Europe
"('crowds', 'and')",0.125,Renting a Car in Europe
"('and', 'common')",0.16666666666666666,Renting a Car in Europe
"('common', 'happenstance')",0.2,Renting a Car in Europe
"('happenstance', '.')",0.0,Renting a Car in Europe
"('.', 'If')",0.0,Renting a Car in Europe
"('If', ""you've"")",0.0,Renting a Car in Europe
"(""you've"", 'travelled')",0.18181818181818182,Renting a Car in Europe
"('travelled', 'in')",0.0,Renting a Car in Europe
"('in', 'Europe')",0.0,Renting a Car in Europe
"('Europe', 'a')",0.0,Renting a Car in Europe
"('time', 'or')",0.0,Renting a Car in Europe
"('or', 'two')",0.25,Renting a Car in Europe
"('two', ',')",0.0,Renting a Car in Europe
"(',', 'it')",0.0,Renting a Car in Europe
"('it', 'is')",0.3333333333333333,Renting a Car in Europe
"('is', 'quite')",0.16666666666666666,Renting a Car in Europe
"('quite', 'certain')",0.3333333333333333,Renting a Car in Europe
"('certain', 'that')",0.25,Renting a Car in Europe
"('that', ""you've"")",0.0,Renting a Car in Europe
"(""you've"", 'had')",0.0,Renting a Car in Europe
"('had', 'that')",0.5,Renting a Car in Europe
"('that', 'wanting-to-be-alone')",0.16666666666666666,Renting a Car in Europe
"('wanting-to-be-alone', 'feeling')",0.4166666666666667,Renting a Car in Europe
"('feeling', 'or')",0.0,Renting a Car in Europe
"('or', 'that')",0.0,Renting a Car in Europe
"('that', 'you')",0.0,Renting a Car in Europe
"('you', 'will')",0.0,Renting a Car in Europe
"('will', 'get')",0.0,Renting a Car in Europe
"('get', 'it')",0.25,Renting a Car in Europe
"('it', 'on')",0.0,Renting a Car in Europe
"('on', 'your')",0.2,Renting a Car in Europe
"('your', 'next')",0.0,Renting a Car in Europe
"('next', 'visit')",0.14285714285714285,Renting a Car in Europe
"('visit', 'across')",0.125,Renting a Car in Europe
"('across', 'the')",0.0,Renting a Car in Europe
"('the', 'Atlantic')",0.1111111111111111,Renting a Car in Europe
"('Atlantic', '.')",0.0,Renting a Car in Europe
"('.', 'Following')",0.0,Renting a Car in Europe
"('Following', 'a')",0.0,Renting a Car in Europe
"('a', 'guide')",0.0,Renting a Car in Europe
"('guide', ',')",0.0,Renting a Car in Europe
"(',', 'and')",0.0,Renting a Car in Europe
"('and', 'gratefully')",0.09090909090909091,Renting a Car in Europe
"('gratefully', 'so')",0.0,Renting a Car in Europe
"('so', ',')",0.0,Renting a Car in Europe
"(',', 'is')",0.0,Renting a Car in Europe
"('is', 'an')",0.0,Renting a Car in Europe
"('an', 'excellent')",0.14285714285714285,Renting a Car in Europe
"('excellent', 'way')",0.0,Renting a Car in Europe
"('way', 'to')",0.0,Renting a Car in Europe
"('to', 'see')",0.0,Renting a Car in Europe
"('see', 'all')",0.0,Renting a Car in Europe
"('all', 'the')",0.0,Renting a Car in Europe
"('the', 'important')",0.1,Renting a Car in Europe
"('important', 'places')",0.16666666666666666,Renting a Car in Europe
"('places', 'when')",0.1111111111111111,Renting a Car in Europe
"('when', 'everything')",0.3,Renting a Car in Europe
"('everything', 'is')",0.1,Renting a Car in Europe
"('is', 'strange')",0.125,Renting a Car in Europe
"('strange', 'and')",0.25,Renting a Car in Europe
"('and', 'new')",0.2,Renting a Car in Europe
"('new', '.')",0.0,Renting a Car in Europe
"('.', 'However')",0.0,Renting a Car in Europe
"('However', ',')",0.0,Renting a Car in Europe
"(',', 'after')",0.0,Renting a Car in Europe
"('after', ""you've"")",0.1,Renting a Car in Europe
"(""you've"", 'seen')",0.125,Renting a Car in Europe
"('seen', 'all')",0.0,Renting a Car in Europe
"('the', 'historical')",0.2,Renting a Car in Europe
"('historical', 'piazzas')",0.2727272727272727,Renting a Car in Europe
"('piazzas', 'and')",0.14285714285714285,Renting a Car in Europe
"('and', 'plazas')",0.14285714285714285,Renting a Car in Europe
"('plazas', ',')",0.0,Renting a Car in Europe
"(',', 'the')",0.0,Renting a Car in Europe
"('the', 'places')",0.125,Renting a Car in Europe
"('places', 'and')",0.125,Renting a Car in Europe
"('and', 'forums')",0.0,Renting a Car in Europe
"('forums', ',')",0.0,Renting a Car in Europe
"('the', 'churches')",0.2857142857142857,Renting a Car in Europe
"('churches', 'and')",0.0,Renting a Car in Europe
"('and', 'museums')",0.0,Renting a Car in Europe
"('museums', ',')",0.0,Renting a Car in Europe
"('the', 'palaces')",0.125,Renting a Car in Europe
"('palaces', 'and')",0.125,Renting a Car in Europe
"('and', 'castles')",0.125,Renting a Car in Europe
"('castles', ',')",0.0,Renting a Car in Europe
"('and', 'begin')",0.14285714285714285,Renting a Car in Europe
"('begin', 'to')",0.0,Renting a Car in Europe
"('to', 'feel')",0.0,Renting a Car in Europe
"('feel', 'at')",0.0,Renting a Car in Europe
"('at', 'home')",0.0,Renting a Car in Europe
"('home', 'in')",0.0,Renting a Car in Europe
"('the', 'capitals')",0.1111111111111111,Renting a Car in Europe
"('capitals', 'of')",0.0,Renting a Car in Europe
"('of', 'Europe')",0.14285714285714285,Renting a Car in Europe
"('Europe', ',')",0.0,Renting a Car in Europe
"(',', ""you'll"")",0.0,Renting a Car in Europe
"(""you'll"", 'want')",0.0,Renting a Car in Europe
"('to', 'change')",0.0,Renting a Car in Europe
"('change', 'your')",0.0,Renting a Car in Europe
"('your', 'course')",0.42857142857142855,Renting a Car in Europe
"('course', 'and')",0.0,Renting a Car in Europe
"('and', 'follow')",0.0,Renting a Car in Europe
"('follow', 'the')",0.0,Renting a Car in Europe
"('the', 'by-roads')",0.0,Renting a Car in Europe
"('by-roads', 'at')",0.1111111111111111,Renting a Car in Europe
"('at', 'will')",0.0,Renting a Car in Europe
"('will', ',')",0.0,Renting a Car in Europe
"(',', 'far')",0.0,Renting a Car in Europe
"('far', 'from')",0.4,Renting a Car in Europe
"('the', 'market')",0.2857142857142857,Renting a Car in Europe
"('market', 'places')",0.2,Renting a Car in Europe
"('places', '.')",0.0,Renting a Car in Europe
"('.', 'The')",0.0,Renting a Car in Europe
"('The', 'champagne')",0.2222222222222222,Renting a Car in Europe
"('champagne', 'at')",0.1111111111111111,Renting a Car in Europe
"('at', 'Troyes')",0.0,Renting a Car in Europe
"('Troyes', ',')",0.0,Renting a Car in Europe
"('the', 'traditional')",0.1,Renting a Car in Europe
"('traditional', 'capital')",0.4,Renting a Car in Europe
"('capital', 'of')",0.0,Renting a Car in Europe
"('of', 'the')",0.0,Renting a Car in Europe
"('the', 'champagne')",0.2222222222222222,Renting a Car in Europe
"('champagne', 'country')",0.15384615384615385,Renting a Car in Europe
"('country', ',')",0.0,Renting a Car in Europe
"(',', 'has')",0.0,Renting a Car in Europe
"('has', 'more')",0.0,Renting a Car in Europe
"('more', 'ambrosial')",0.3333333333333333,Renting a Car in Europe
"('ambrosial', 'taste')",0.2,Renting a Car in Europe
"('taste', 'somehow')",0.25,Renting a Car in Europe
"('somehow', 'than')",0.1111111111111111,Renting a Car in Europe
"('than', 'it')",0.2,Renting a Car in Europe
"('it', 'has')",0.0,Renting a Car in Europe
"('has', 'at')",0.25,Renting a Car in Europe
"('at', 'a')",0.5,Renting a Car in Europe
"('a', 'sidewalk')",0.125,Renting a Car in Europe
"('sidewalk', 'cafe')",0.2,Renting a Car in Europe
"('cafe', 'on')",0.0,Renting a Car in Europe
"('on', 'the')",0.0,Renting a Car in Europe
"('the', 'Rue')",0.2,Renting a Car in Europe
"('Rue', 'de')",0.25,Renting a Car in Europe
"('de', 'la')",0.0,Renting a Car in Europe
"('la', 'Paix')",0.2,Renting a Car in Europe
"('Paix', 'or')",0.0,Renting a Car in Europe
"('or', 'at')",0.0,Renting a Car in Europe
"('at', 'Tour')",0.0,Renting a Car in Europe
"('Tour', ""D'Argent"")",0.09090909090909091,Renting a Car in Europe
"(""D'Argent"", '.')",0.0,Renting a Car in Europe
"('.', 'You')",0.0,Renting a Car in Europe
"('You', 'can')",0.0,Renting a Car in Europe
"('can', 'relive')",0.0,Renting a Car in Europe
"('relive', 'history')",0.2,Renting a Car in Europe
"('history', 'and')",0.0,Renting a Car in Europe
"('follow', ',')",0.0,Renting a Car in Europe
"(',', 'in')",0.0,Renting a Car in Europe
"('in', 'fancy')",0.16666666666666666,Renting a Car in Europe
"('fancy', ',')",0.0,Renting a Car in Europe
"('the', 'Crusaders')",0.1111111111111111,Renting a Car in Europe
"('Crusaders', 'in')",0.0,Renting a Car in Europe
"('in', 'their')",0.16666666666666666,Renting a Car in Europe
"('their', 'quest')",0.25,Renting a Car in Europe
"('quest', 'for')",0.0,Renting a Car in Europe
"('for', 'the')",0.0,Renting a Car in Europe
"('the', 'Holy')",0.0,Renting a Car in Europe
"('Holy', 'Grail')",0.125,Renting a Car in Europe
"('Grail', 'as')",0.16666666666666666,Renting a Car in Europe
"('as', 'they')",0.0,Renting a Car in Europe
"('they', 'sail')",0.0,Renting a Car in Europe
"('sail', 'out')",0.0,Renting a Car in Europe
"('out', 'from')",0.16666666666666666,Renting a Car in Europe
"('from', 'Brindisi')",0.1111111111111111,Renting a Car in Europe
"('Brindisi', ',')",0.0,Renting a Car in Europe
"(',', 'an')",0.0,Renting a Car in Europe
"('an', 'ancient')",0.3333333333333333,Renting a Car in Europe
"('ancient', 'town')",0.25,Renting a Car in Europe
"('town', 'in')",0.2,Renting a Car in Europe
"('the', 'heel')",0.5,Renting a Car in Europe
"('heel', 'of')",0.0,Renting a Car in Europe
"('of', ""Italy's"")",0.0,Renting a Car in Europe
"(""Italy's"", 'boot')",0.1111111111111111,Renting a Car in Europe
"('boot', '.')",0.0,Renting a Car in Europe
"('.', 'And')",0.0,Renting a Car in Europe
"('And', 'you')",0.0,Renting a Car in Europe
"('you', ""don't"")",0.14285714285714285,Renting a Car in Europe
"(""don't"", 'meet')",0.14285714285714285,Renting a Car in Europe
"('meet', 'the')",0.5,Renting a Car in Europe
"('the', 'folks')",0.0,Renting a Car in Europe
"('folks', 'from')",0.2857142857142857,Renting a Car in Europe
"('from', 'home')",0.3333333333333333,Renting a Car in Europe
"('in', 'Northwest')",0.0,Renting a Car in Europe
"('Northwest', 'Spain')",0.0,Renting a Car in Europe
"('Spain', 'which')",0.125,Renting a Car in Europe
"('which', 'has')",0.16666666666666666,Renting a Car in Europe
"('has', 'remained')",0.1111111111111111,Renting a Car in Europe
"('remained', 'almost')",0.18181818181818182,Renting a Car in Europe
"('almost', 'untouched')",0.16666666666666666,Renting a Car in Europe
"('untouched', 'by')",0.0,Renting a Car in Europe
"('by', 'time')",0.0,Renting a Car in Europe
"('time', 'and')",0.0,Renting a Car in Europe
"('and', 'tourists')",0.0,Renting a Car in Europe
"('tourists', 'since')",0.2222222222222222,Renting a Car in Europe
"('since', 'the')",0.14285714285714285,Renting a Car in Europe
"('the', 'Middle')",0.14285714285714285,Renting a Car in Europe
"('Middle', 'Ages')",0.125,Renting a Car in Europe
"('Ages', '.')",0.0,Renting a Car in Europe
"('.', 'Time')",0.0,Renting a Car in Europe
"('Time', 'stands')",0.0,Renting a Car in Europe
"('stands', 'still')",0.2857142857142857,Renting a Car in Europe
"('still', 'as')",0.2,Renting a Car in Europe
"('as', 'you')",0.0,Renting a Car in Europe
"('you', 'climb')",0.0,Renting a Car in Europe
"('climb', 'the')",0.0,Renting a Car in Europe
"('the', 'narrow')",0.0,Renting a Car in Europe
"('narrow', ',')",0.0,Renting a Car in Europe
"(',', 'stone')",0.0,Renting a Car in Europe
"('stone', 'stairways')",0.2,Renting a Car in Europe
"('stairways', 'in')",0.125,Renting a Car in Europe
"('in', 'tiny')",0.5,Renting a Car in Europe
"('tiny', 'villages')",0.1,Renting a Car in Europe
"('villages', 'clinging')",0.3333333333333333,Renting a Car in Europe
"('clinging', 'to')",0.0,Renting a Car in Europe
"('to', 'steep')",0.2,Renting a Car in Europe
"('steep', 'mountain')",0.1,Renting a Car in Europe
"('mountain', 'slopes')",0.09090909090909091,Renting a Car in Europe
"('slopes', 'or')",0.16666666666666666,Renting a Car in Europe
"('or', 'wander')",0.14285714285714285,Renting a Car in Europe
"('wander', 'through')",0.09090909090909091,Renting a Car in Europe
"('through', 'story-book')",0.2727272727272727,Renting a Car in Europe
"('story-book', 'towns')",0.3,Renting a Car in Europe
"('towns', ',')",0.0,Renting a Car in Europe
"(',', 'perched')",0.0,Renting a Car in Europe
"('perched', 'atop')",0.1111111111111111,Renting a Car in Europe
"('atop', 'lofty')",0.2857142857142857,Renting a Car in Europe
"('lofty', 'crags')",0.0,Renting a Car in Europe
"('crags', ',')",0.0,Renting a Car in Europe
"(',', 'their')",0.0,Renting a Car in Europe
"('their', 'faces')",0.1111111111111111,Renting a Car in Europe
"('faces', 'turned')",0.1,Renting a Car in Europe
"('turned', 'to')",0.14285714285714285,Renting a Car in Europe
"('to', 'the')",0.25,Renting a Car in Europe
"('the', 'sea')",0.2,Renting a Car in Europe
"('sea', '.')",0.0,Renting a Car in Europe
"('.', ""They've"")",0.0,Renting a Car in Europe
"(""They've"", 'been')",0.125,Renting a Car in Europe
"('been', 'there')",0.16666666666666666,Renting a Car in Europe
"('there', 'since')",0.125,Renting a Car in Europe
"('the', 'days')",0.0,Renting a Car in Europe
"('days', 'of')",0.0,Renting a Car in Europe
"('the', 'Moors')",0.0,Renting a Car in Europe
"('Moors', 'and')",0.0,Renting a Car in Europe
"('and', 'the')",0.0,Renting a Car in Europe
"('the', 'Saracens')",0.1111111111111111,Renting a Car in Europe
