w,taza
"('The', 'reading')",0.1111111111111111,Reviews
"('reading', 'public')",0.08333333333333333,Reviews
"('public', ',')",0.0,Reviews
"(',', 'the')",0.0,Reviews
"('the', 'theatergoing')",0.3333333333333333,Reviews
"('theatergoing', 'public')",0.07142857142857142,Reviews
"('the', 'skindiving')",0.0,Reviews
"('skindiving', 'public')",0.08333333333333333,Reviews
"('the', 'horse-playing')",0.14285714285714285,Reviews
"('horse-playing', 'public')",0.1875,Reviews
"('public', '--')",0.0,Reviews
"('--', 'all')",0.0,Reviews
"('all', 'these')",0.0,Reviews
"('these', 'and')",0.0,Reviews
"('and', 'others')",0.0,Reviews
"('others', 'fill')",0.0,Reviews
"('fill', 'substantial')",0.2222222222222222,Reviews
"('substantial', 'roles')",0.18181818181818182,Reviews
"('roles', 'in')",0.0,Reviews
"('in', 'U.S.')",0.0,Reviews
"('U.S.', 'life')",0.0,Reviews
"('life', ',')",0.0,Reviews
"(',', 'but')",0.0,Reviews
"('but', 'none')",0.0,Reviews
"('none', 'is')",0.0,Reviews
"('is', 'so')",0.3333333333333333,Reviews
"('so', 'varied')",0.0,Reviews
"('varied', ',')",0.0,Reviews
"(',', 'vast')",0.0,Reviews
"('vast', 'and')",0.16666666666666666,Reviews
"('and', 'vigilant')",0.25,Reviews
"('vigilant', 'as')",0.125,Reviews
"('as', 'the')",0.0,Reviews
"('the', 'eating')",0.2857142857142857,Reviews
"('eating', 'public')",0.09090909090909091,Reviews
"('public', '.')",0.0,Reviews
"('.', 'The')",0.0,Reviews
"('The', 'Department')",0.1,Reviews
"('Department', 'of')",0.0,Reviews
"('of', 'Agriculture')",0.0,Reviews
"('Agriculture', 'averaged')",0.25,Reviews
"('averaged', 'out')",0.0,Reviews
"('out', 'U.S.')",0.0,Reviews
"('U.S.', 'food')",0.0,Reviews
"('food', 'consumption')",0.09090909090909091,Reviews
"('consumption', 'last')",0.18181818181818182,Reviews
"('last', 'year')",0.14285714285714285,Reviews
"('year', 'at')",0.2,Reviews
"('at', '1,488')",0.0,Reviews
"('1,488', 'lbs.')",0.0,Reviews
"('lbs.', 'per')",0.0,Reviews
"('per', 'person')",0.5,Reviews
"('person', ',')",0.0,Reviews
"(',', 'which')",0.0,Reviews
"('which', ',')",0.0,Reviews
"(',', 'allowing')",0.0,Reviews
"('allowing', 'for')",0.1111111111111111,Reviews
"('for', 'the')",0.0,Reviews
"('the', '17')",0.0,Reviews
"('17', 'million')",0.0,Reviews
"('million', 'Americans')",0.2727272727272727,Reviews
"('Americans', 'that')",0.09090909090909091,Reviews
"('that', 'John')",0.16666666666666666,Reviews
"('John', 'Kennedy')",0.125,Reviews
"('Kennedy', 'said')",0.125,Reviews
"('said', 'go')",0.0,Reviews
"('go', 'to')",0.3333333333333333,Reviews
"('to', 'bed')",0.0,Reviews
"('bed', 'hungry')",0.0,Reviews
"('hungry', 'every')",0.25,Reviews
"('every', 'night')",0.0,Reviews
"('night', ',')",0.0,Reviews
"(',', 'means')",0.0,Reviews
"('means', 'that')",0.14285714285714285,Reviews
"('that', 'certain')",0.25,Reviews
"('certain', 'gluttons')",0.16666666666666666,Reviews
"('gluttons', 'on')",0.2857142857142857,Reviews
"('on', 'the')",0.0,Reviews
"('the', 'upper')",0.16666666666666666,Reviews
"('upper', 'end')",0.16666666666666666,Reviews
"('end', 'must')",0.0,Reviews
"('must', 'somehow')",0.25,Reviews
"('somehow', 'down')",0.25,Reviews
"('down', '8')",0.0,Reviews
"('8', 'lbs.')",0.0,Reviews
"('lbs.', 'or')",0.0,Reviews
"('or', 'more')",0.5,Reviews
"('more', 'a')",0.0,Reviews
"('a', 'day')",0.3333333333333333,Reviews
"('day', '.')",0.0,Reviews
"('.', 'That')",0.0,Reviews
"('That', 'mother')",0.25,Reviews
"('mother', 'hen')",0.2857142857142857,Reviews
"('hen', 'of')",0.0,Reviews
"('of', 'the')",0.0,Reviews
"('the', 'weight-height')",0.42857142857142855,Reviews
"('weight-height', 'tables')",0.18181818181818182,Reviews
"('tables', ',')",0.0,Reviews
"('the', 'Metropolitan')",0.18181818181818182,Reviews
"('Metropolitan', 'Life')",0.16666666666666666,Reviews
"('Life', 'Insurance')",0.09090909090909091,Reviews
"('Insurance', 'Co.')",0.0,Reviews
"('Co.', ',')",0.0,Reviews
"(',', 'clucks')",0.0,Reviews
"('clucks', 'that')",0.0,Reviews
"('that', '48')",0.0,Reviews
"('48', 'million')",0.0,Reviews
"('Americans', 'are')",0.3333333333333333,Reviews
"('are', 'overweight')",0.2,Reviews
"('overweight', '.')",0.0,Reviews
"('.', 'Through')",0.0,Reviews
"('Through', 'previous')",0.2727272727272727,Reviews
"('previous', 'centuries')",0.45454545454545453,Reviews
"('centuries', ',')",0.0,Reviews
"(',', 'eating')",0.0,Reviews
"('eating', 'changed')",0.4444444444444444,Reviews
"('changed', 'by')",0.0,Reviews
"('by', 'nearly')",0.14285714285714285,Reviews
"('nearly', 'imperceptible')",0.25,Reviews
"('imperceptible', 'degrees')",0.16666666666666666,Reviews
"('degrees', ',')",0.0,Reviews
"(',', 'and')",0.0,Reviews
"('and', 'mostly')",0.0,Reviews
"('mostly', 'toward')",0.2,Reviews
"('toward', 'just')",0.1111111111111111,Reviews
"('just', 'getting')",0.125,Reviews
"('getting', 'enough')",0.375,Reviews
"('enough', '.')",0.0,Reviews
"('.', 'Now')",0.0,Reviews
"('Now', 'big')",0.0,Reviews
"('big', 'forces')",0.0,Reviews
"('forces', 'buffet')",0.2222222222222222,Reviews
"('buffet', 'food')",0.14285714285714285,Reviews
"('food', '.')",0.0,Reviews
"('.', 'For')",0.0,Reviews
"('For', 'the')",0.0,Reviews
"('the', 'first')",0.14285714285714285,Reviews
"('first', 'time')",0.2857142857142857,Reviews
"('time', 'in')",0.2,Reviews
"('in', 'history')",0.125,Reviews
"('history', ',')",0.0,Reviews
"('the', 'U.S.')",0.0,Reviews
"('U.S.', 'has')",0.0,Reviews
"('has', 'produced')",0.0,Reviews
"('produced', 'a')",0.0,Reviews
"('a', 'society')",0.0,Reviews
"('society', 'in')",0.125,Reviews
"('in', 'which')",0.2,Reviews
"('which', 'less')",0.0,Reviews
"('less', 'than')",0.0,Reviews
"('than', 'one-tenth')",0.42857142857142855,Reviews
"('one-tenth', 'of')",0.14285714285714285,Reviews
"('the', 'people')",0.16666666666666666,Reviews
"('people', 'turn')",0.0,Reviews
"('turn', 'out')",0.4,Reviews
"('out', 'so')",0.25,Reviews
"('so', 'much')",0.0,Reviews
"('much', 'food')",0.0,Reviews
"('food', 'that')",0.0,Reviews
"('that', 'the')",0.5,Reviews
"('the', ""Government's"")",0.18181818181818182,Reviews
"(""Government's"", 'most')",0.4,Reviews
"('most', 'embarrassing')",0.18181818181818182,Reviews
"('embarrassing', 'problem')",0.3333333333333333,Reviews
"('problem', 'is')",0.0,Reviews
"('is', 'how')",0.0,Reviews
"('how', 'to')",0.25,Reviews
"('to', 'dispose')",0.14285714285714285,Reviews
"('dispose', 'inconspicuously')",0.36363636363636365,Reviews
"('inconspicuously', 'of')",0.1,Reviews
"('of', '100')",0.0,Reviews
"('100', 'million')",0.0,Reviews
