w,taza
"('Origin', 'of')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('of', 'state')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('state', 'automobile')",0.3,Rhode Island Legislative Council. Research Report Number 1
"('automobile', 'practices')",0.3076923076923077,Rhode Island Legislative Council. Research Report Number 1
"('practices', '.')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('.', 'The')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('The', 'practice')",0.1111111111111111,Rhode Island Legislative Council. Research Report Number 1
"('practice', 'of')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('of', 'state-owned')",0.1,Rhode Island Legislative Council. Research Report Number 1
"('state-owned', 'vehicles')",0.14285714285714285,Rhode Island Legislative Council. Research Report Number 1
"('vehicles', 'for')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('for', 'use')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('use', 'of')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('of', 'employees')",0.125,Rhode Island Legislative Council. Research Report Number 1
"('employees', 'on')",0.125,Rhode Island Legislative Council. Research Report Number 1
"('on', 'business')",0.14285714285714285,Rhode Island Legislative Council. Research Report Number 1
"('business', 'dates')",0.2222222222222222,Rhode Island Legislative Council. Research Report Number 1
"('dates', 'back')",0.125,Rhode Island Legislative Council. Research Report Number 1
"('back', 'over')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('over', 'forty')",0.2857142857142857,Rhode Island Legislative Council. Research Report Number 1
"('forty', 'years')",0.25,Rhode Island Legislative Council. Research Report Number 1
"('years', '.')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('.', 'At')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('At', 'least')",0.16666666666666666,Rhode Island Legislative Council. Research Report Number 1
"('least', 'one')",0.14285714285714285,Rhode Island Legislative Council. Research Report Number 1
"('one', 'state')",0.16666666666666666,Rhode Island Legislative Council. Research Report Number 1
"('state', 'vehicle')",0.1111111111111111,Rhode Island Legislative Council. Research Report Number 1
"('vehicle', 'was')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('was', 'in')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('in', 'existence')",0.2857142857142857,Rhode Island Legislative Council. Research Report Number 1
"('existence', 'in')",0.2857142857142857,Rhode Island Legislative Council. Research Report Number 1
"('in', '1917')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('1917', '.')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('The', 'state')",0.16666666666666666,Rhode Island Legislative Council. Research Report Number 1
"('state', 'presently')",0.3333333333333333,Rhode Island Legislative Council. Research Report Number 1
"('presently', 'owns')",0.2,Rhode Island Legislative Council. Research Report Number 1
"('owns', '389')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('389', 'passenger')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('passenger', 'vehicles')",0.16666666666666666,Rhode Island Legislative Council. Research Report Number 1
"('vehicles', 'in')",0.125,Rhode Island Legislative Council. Research Report Number 1
"('in', 'comparison')",0.2222222222222222,Rhode Island Legislative Council. Research Report Number 1
"('comparison', 'to')",0.1,Rhode Island Legislative Council. Research Report Number 1
"('to', 'approximately')",0.18181818181818182,Rhode Island Legislative Council. Research Report Number 1
"('approximately', '200')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('200', 'in')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('in', '1940')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('1940', '.')",0.0,Rhode Island Legislative Council. Research Report Number 1
"('The', 'automobile')",0.09090909090909091,Rhode Island Legislative Council. Research Report Number 1
"('automobile', 'maintenance')",0.45454545454545453,Rhode Island Legislative Council. Research Report Number 1
"('maintenance', 'unit')",0.375,Rhode Island Legislative Council. Research Report Number 1
