w,taza
"('``', 'Bastards')",0.0,Riding the Dark Train Out
"('Bastards', ""''"")",0.0,Riding the Dark Train Out
"(""''"", ',')",0.0,Riding the Dark Train Out
"(',', 'he')",0.0,Riding the Dark Train Out
"('he', 'would')",0.0,Riding the Dark Train Out
"('would', 'say')",0.0,Riding the Dark Train Out
"('say', ',')",0.0,Riding the Dark Train Out
"(',', '``')",0.0,Riding the Dark Train Out
"('``', 'all')",0.0,Riding the Dark Train Out
"('all', 'I')",0.0,Riding the Dark Train Out
"('I', 'did')",0.0,Riding the Dark Train Out
"('did', 'was')",0.0,Riding the Dark Train Out
"('was', 'put')",0.0,Riding the Dark Train Out
"('put', 'a')",0.0,Riding the Dark Train Out
"('a', 'beat')",0.25,Riding the Dark Train Out
"('beat', 'to')",0.2,Riding the Dark Train Out
"('to', 'that')",0.25,Riding the Dark Train Out
"('that', 'Vivaldi')",0.125,Riding the Dark Train Out
"('Vivaldi', 'stuff')",0.0,Riding the Dark Train Out
"('stuff', ',')",0.0,Riding the Dark Train Out
"(',', 'and')",0.0,Riding the Dark Train Out
"('and', 'the')",0.0,Riding the Dark Train Out
"('the', 'first')",0.14285714285714285,Riding the Dark Train Out
"('first', 'chair')",0.25,Riding the Dark Train Out
"('chair', 'clobbered')",0.2,Riding the Dark Train Out
"('clobbered', 'me')",0.125,Riding the Dark Train Out
"('me', ""''"")",0.0,Riding the Dark Train Out
"(""''"", '!')",0.0,Riding the Dark Train Out
"('!', '!')",1.0,Riding the Dark Train Out
"('!', 'Since')",0.0,Riding the Dark Train Out
"('Since', 'then')",0.2857142857142857,Riding the Dark Train Out
"('then', ',')",0.0,Riding the Dark Train Out
"('and', 'since')",0.14285714285714285,Riding the Dark Train Out
"('since', 'the')",0.14285714285714285,Riding the Dark Train Out
"('the', 'pure')",0.16666666666666666,Riding the Dark Train Out
"('pure', 'grain')",0.125,Riding the Dark Train Out
"('grain', 'had')",0.14285714285714285,Riding the Dark Train Out
"('had', 'gotten')",0.0,Riding the Dark Train Out
"('gotten', 'him')",0.0,Riding the Dark Train Out
"('him', 'divorced')",0.1111111111111111,Riding the Dark Train Out
"('divorced', 'from')",0.2222222222222222,Riding the Dark Train Out
"('from', 'every')",0.14285714285714285,Riding the Dark Train Out
"('every', 'decent')",0.125,Riding the Dark Train Out
"('decent', '--')",0.0,Riding the Dark Train Out
"('--', 'and')",0.0,Riding the Dark Train Out
"('and', 'even')",0.2,Riding the Dark Train Out
"('even', 'indecent')",0.2857142857142857,Riding the Dark Train Out
"('indecent', '--')",0.0,Riding the Dark Train Out
"('--', 'group')",0.0,Riding the Dark Train Out
"('group', 'from')",0.2857142857142857,Riding the Dark Train Out
"('from', 'Greenwich')",0.09090909090909091,Riding the Dark Train Out
"('Greenwich', 'Village')",0.16666666666666666,Riding the Dark Train Out
"('Village', 'to')",0.0,Riding the Dark Train Out
"('to', 'the')",0.25,Riding the Dark Train Out
"('the', 'Embarcadero')",0.09090909090909091,Riding the Dark Train Out
"('Embarcadero', ',')",0.0,Riding the Dark Train Out
"('he', 'had')",0.25,Riding the Dark Train Out
"('had', 'become')",0.0,Riding the Dark Train Out
"('become', 'a')",0.0,Riding the Dark Train Out
"('a', 'sucker-rolling')",0.0,Riding the Dark Train Out
"('sucker-rolling', 'freight-jumper')",0.3333333333333333,Riding the Dark Train Out
"('freight-jumper', '.')",0.0,Riding the Dark Train Out
"('.', '``')",0.0,Riding the Dark Train Out
"('``', 'There')",0.0,Riding the Dark Train Out
"('There', ""ain't"")",0.0,Riding the Dark Train Out
"(""ain't"", ""nothin'"")",0.5714285714285714,Riding the Dark Train Out
"(""nothin'"", 'faster')",0.09090909090909091,Riding the Dark Train Out
"('faster', ',')",0.0,Riding the Dark Train Out
"(',', 'or')",0.0,Riding the Dark Train Out
"('or', 'lonelier')",0.3333333333333333,Riding the Dark Train Out
"('lonelier', ',')",0.0,Riding the Dark Train Out
"('or', 'more')",0.5,Riding the Dark Train Out
"('more', 'direct')",0.25,Riding the Dark Train Out
"('direct', 'than')",0.1111111111111111,Riding the Dark Train Out
"('than', 'a')",0.25,Riding the Dark Train Out
"('a', 'cannonball')",0.16666666666666666,Riding the Dark Train Out
"('cannonball', 'freight')",0.0,Riding the Dark Train Out
"('freight', 'when')",0.2222222222222222,Riding the Dark Train Out
"('when', 'you')",0.0,Riding the Dark Train Out
"('you', 'wanna')",0.0,Riding the Dark Train Out
"('wanna', 'go')",0.0,Riding the Dark Train Out
"('go', 'someplace')",0.1111111111111111,Riding the Dark Train Out
"('someplace', ""''"")",0.0,Riding the Dark Train Out
"(',', 'Feathertop')",0.0,Riding the Dark Train Out
"('Feathertop', 'would')",0.08333333333333333,Riding the Dark Train Out
"('say', '.')",0.0,Riding the Dark Train Out
"('``', 'The')",0.0,Riding the Dark Train Out
"('The', 'accommodations')",0.0,Riding the Dark Train Out
"('accommodations', 'may')",0.2,Riding the Dark Train Out
"('may', 'not')",0.0,Riding the Dark Train Out
"('not', 'be')",0.0,Riding the Dark Train Out
"('be', 'the')",0.25,Riding the Dark Train Out
"('the', 'poshest')",0.5,Riding the Dark Train Out
"('poshest', ',')",0.0,Riding the Dark Train Out
"(',', 'but')",0.0,Riding the Dark Train Out
"('but', 'man')",0.0,Riding the Dark Train Out
"('man', '!')",0.0,Riding the Dark Train Out
"('!', 'There')",0.0,Riding the Dark Train Out
"(""ain't"", 'nobody')",0.1111111111111111,Riding the Dark Train Out
"('nobody', ""askin'"")",0.1,Riding the Dark Train Out
"(""askin'"", 'for')",0.0,Riding the Dark Train Out
"('for', 'your')",0.4,Riding the Dark Train Out
