w,taza
"('People', 'came')",0.125,Seize a Nettle
"('came', 'in')",0.0,Seize a Nettle
"('in', 'and')",0.25,Seize a Nettle
"('and', 'out')",0.0,Seize a Nettle
"('out', 'all')",0.0,Seize a Nettle
"('all', 'evening')",0.0,Seize a Nettle
"('evening', 'to')",0.0,Seize a Nettle
"('to', 'see')",0.0,Seize a Nettle
"('see', 'the')",0.25,Seize a Nettle
"('the', 'baby')",0.0,Seize a Nettle
"('baby', 'and')",0.2,Seize a Nettle
"('and', 'hold')",0.16666666666666666,Seize a Nettle
"('hold', 'it')",0.0,Seize a Nettle
"('it', '.')",0.0,Seize a Nettle
"('.', 'The')",0.0,Seize a Nettle
"('The', 'room')",0.0,Seize a Nettle
"('room', 'filled')",0.0,Seize a Nettle
"('filled', 'with')",0.125,Seize a Nettle
"('with', 'smoke')",0.0,Seize a Nettle
"('smoke', ',')",0.0,Seize a Nettle
"(',', 'and')",0.0,Seize a Nettle
"('and', ""Maggie's"")",0.1111111111111111,Seize a Nettle
"(""Maggie's"", 'head')",0.2222222222222222,Seize a Nettle
"('head', 'throbbed')",0.375,Seize a Nettle
"('throbbed', 'with')",0.2222222222222222,Seize a Nettle
"('with', 'excitement')",0.2222222222222222,Seize a Nettle
"('excitement', 'and')",0.1111111111111111,Seize a Nettle
"('and', 'fatigue')",0.1111111111111111,Seize a Nettle
"('fatigue', ',')",0.0,Seize a Nettle
"(',', 'but')",0.0,Seize a Nettle
"('but', 'Stuart')",0.3333333333333333,Seize a Nettle
"('Stuart', 'had')",0.14285714285714285,Seize a Nettle
"('had', 'such')",0.16666666666666666,Seize a Nettle
"('such', 'a')",0.0,Seize a Nettle
"('a', 'happy')",0.25,Seize a Nettle
"('happy', ',')",0.0,Seize a Nettle
"(',', 'earnest')",0.0,Seize a Nettle
"('earnest', 'look')",0.0,Seize a Nettle
"('look', 'of')",0.25,Seize a Nettle
"('of', 'proud')",0.16666666666666666,Seize a Nettle
"('proud', 'possession')",0.2222222222222222,Seize a Nettle
"('possession', 'on')",0.3333333333333333,Seize a Nettle
"('on', 'his')",0.0,Seize a Nettle
"('his', 'face')",0.0,Seize a Nettle
"('face', 'that')",0.16666666666666666,Seize a Nettle
"('that', 'Maggie')",0.14285714285714285,Seize a Nettle
"('Maggie', ""couldn't"")",0.0,Seize a Nettle
"(""couldn't"", 'bear')",0.0,Seize a Nettle
"('bear', 'to')",0.0,Seize a Nettle
"('to', 'do')",0.3333333333333333,Seize a Nettle
"('do', 'anything')",0.0,Seize a Nettle
"('anything', 'to')",0.125,Seize a Nettle
"('to', 'quench')",0.0,Seize a Nettle
"('quench', 'it')",0.0,Seize a Nettle
"('.', 'Little')",0.0,Seize a Nettle
"('Little', 'Anne')",0.14285714285714285,Seize a Nettle
"('Anne', 'rapidly')",0.0,Seize a Nettle
"('rapidly', 'outdistanced')",0.21428571428571427,Seize a Nettle
"('outdistanced', 'her')",0.08333333333333333,Seize a Nettle
"('her', 'mother')",0.5,Seize a Nettle
"('mother', 'in')",0.0,Seize a Nettle
"('in', 'recovery')",0.0,Seize a Nettle
"('recovery', '.')",0.0,Seize a Nettle
"('.', 'In')",0.0,Seize a Nettle
"('In', 'two')",0.0,Seize a Nettle
"('two', 'months')",0.2857142857142857,Seize a Nettle
"('months', 'she')",0.2857142857142857,Seize a Nettle
"('she', 'became')",0.14285714285714285,Seize a Nettle
"('became', 'a')",0.2,Seize a Nettle
"('a', 'fat')",0.3333333333333333,Seize a Nettle
"('fat', 'highly')",0.0,Seize a Nettle
"('highly', 'social')",0.2222222222222222,Seize a Nettle
"('social', 'baby')",0.125,Seize a Nettle
"('baby', ',')",0.0,Seize a Nettle
"(',', 'with')",0.0,Seize a Nettle
"('with', 'a')",0.0,Seize a Nettle
"('a', 'fuzz')",0.0,Seize a Nettle
"('fuzz', 'of')",0.25,Seize a Nettle
"('of', 'flaxen')",0.14285714285714285,Seize a Nettle
"('flaxen', 'hair')",0.1111111111111111,Seize a Nettle
"('hair', 'all')",0.2,Seize a Nettle
"('all', 'over')",0.0,Seize a Nettle
"('over', 'her')",0.4,Seize a Nettle
"('her', 'head')",0.4,Seize a Nettle
"('head', '.')",0.0,Seize a Nettle
"('.', 'She')",0.0,Seize a Nettle
"('She', 'stopped')",0.125,Seize a Nettle
"('stopped', 'flying')",0.0,Seize a Nettle
"('flying', 'into')",0.25,Seize a Nettle
"('into', 'rages')",0.0,Seize a Nettle
"('rages', 'and')",0.14285714285714285,Seize a Nettle
"('and', 'started')",0.2857142857142857,Seize a Nettle
"('started', 'digesting')",0.4444444444444444,Seize a Nettle
"('digesting', 'her')",0.1111111111111111,Seize a Nettle
"('her', 'food')",0.0,Seize a Nettle
"('food', ';')",0.0,Seize a Nettle
"(';', ';')",1.0,Seize a Nettle
"(';', 'she')",0.0,Seize a Nettle
"('she', 'developed')",0.125,Seize a Nettle
"('developed', 'a')",0.0,Seize a Nettle
"('a', 'peaches')",0.16666666666666666,Seize a Nettle
"('peaches', 'and')",0.125,Seize a Nettle
"('and', 'cream')",0.14285714285714285,Seize a Nettle
"('cream', 'complexion')",0.2727272727272727,Seize a Nettle
"('complexion', 'and')",0.09090909090909091,Seize a Nettle
"('and', 'a')",0.3333333333333333,Seize a Nettle
"('a', 'sunny')",0.0,Seize a Nettle
"('sunny', 'disposition')",0.2222222222222222,Seize a Nettle
"('disposition', ',')",0.0,Seize a Nettle
"('and', 'she')",0.0,Seize a Nettle
"('she', 'asked')",0.3333333333333333,Seize a Nettle
"('asked', 'for')",0.0,Seize a Nettle
"('for', 'nothing')",0.125,Seize a Nettle
"('nothing', 'more')",0.1111111111111111,Seize a Nettle
"('more', 'of')",0.2,Seize a Nettle
"('of', 'life')",0.2,Seize a Nettle
"('life', 'than')",0.0,Seize a Nettle
"('than', 'that')",0.75,Seize a Nettle
"('that', 'she')",0.2,Seize a Nettle
"('she', 'be')",0.25,Seize a Nettle
"('be', 'kept')",0.2,Seize a Nettle
"('kept', 'dry')",0.0,Seize a Nettle
"('dry', 'and')",0.2,Seize a Nettle
"('and', 'comfortable')",0.08333333333333333,Seize a Nettle
"('comfortable', 'and')",0.08333333333333333,Seize a Nettle
"('and', 'fed')",0.2,Seize a Nettle
"('fed', 'huge')",0.16666666666666666,Seize a Nettle
