w,taza
"('Now', 'that')",0.0,Stranger in a Strange Land.
"('that', 'he')",0.25,Stranger in a Strange Land.
"('he', 'knew')",0.2,Stranger in a Strange Land.
"('knew', 'himself')",0.1,Stranger in a Strange Land.
"('himself', 'to')",0.0,Stranger in a Strange Land.
"('to', 'be')",0.0,Stranger in a Strange Land.
"('be', 'self')",0.2,Stranger in a Strange Land.
"('self', 'he')",0.2,Stranger in a Strange Land.
"('he', 'was')",0.0,Stranger in a Strange Land.
"('was', 'free')",0.0,Stranger in a Strange Land.
"('free', 'to')",0.0,Stranger in a Strange Land.
"('to', 'grok')",0.2,Stranger in a Strange Land.
"('grok', 'ever')",0.16666666666666666,Stranger in a Strange Land.
"('ever', 'closer')",0.2857142857142857,Stranger in a Strange Land.
"('closer', 'to')",0.14285714285714285,Stranger in a Strange Land.
"('to', 'his')",0.0,Stranger in a Strange Land.
"('his', 'brothers')",0.25,Stranger in a Strange Land.
"('brothers', ',')",0.0,Stranger in a Strange Land.
"(',', 'merge')",0.0,Stranger in a Strange Land.
"('merge', 'without')",0.0,Stranger in a Strange Land.
"('without', 'let')",0.125,Stranger in a Strange Land.
"('let', '.')",0.0,Stranger in a Strange Land.
"('.', ""Self's"")",0.0,Stranger in a Strange Land.
"(""Self's"", 'integrity')",0.08333333333333333,Stranger in a Strange Land.
"('integrity', 'was')",0.0,Stranger in a Strange Land.
"('was', 'and')",0.2,Stranger in a Strange Land.
"('and', 'is')",0.0,Stranger in a Strange Land.
"('is', 'and')",0.0,Stranger in a Strange Land.
"('and', 'ever')",0.0,Stranger in a Strange Land.
"('ever', 'had')",0.0,Stranger in a Strange Land.
"('had', 'been')",0.0,Stranger in a Strange Land.
"('been', '.')",0.0,Stranger in a Strange Land.
"('.', 'Mike')",0.0,Stranger in a Strange Land.
"('Mike', 'stopped')",0.1111111111111111,Stranger in a Strange Land.
"('stopped', 'to')",0.3333333333333333,Stranger in a Strange Land.
"('to', 'cherish')",0.0,Stranger in a Strange Land.
"('cherish', 'all')",0.0,Stranger in a Strange Land.
"('all', 'his')",0.0,Stranger in a Strange Land.
"('his', 'brother')",0.125,Stranger in a Strange Land.
"('brother', 'selves')",0.1111111111111111,Stranger in a Strange Land.
"('selves', ',')",0.0,Stranger in a Strange Land.
"(',', 'the')",0.0,Stranger in a Strange Land.
"('the', 'many')",0.0,Stranger in a Strange Land.
"('many', 'threes-fulfilled')",0.0,Stranger in a Strange Land.
"('threes-fulfilled', 'on')",0.0,Stranger in a Strange Land.
"('on', 'Mars')",0.0,Stranger in a Strange Land.
