w,taza
"('Can', 'thermonuclear')",0.16666666666666666,The Chances of Accidental War
"('thermonuclear', 'war')",0.16666666666666666,The Chances of Accidental War
"('war', 'be')",0.0,The Chances of Accidental War
"('be', 'set')",0.25,The Chances of Accidental War
"('set', 'off')",0.0,The Chances of Accidental War
"('off', 'by')",0.0,The Chances of Accidental War
"('by', 'accident')",0.0,The Chances of Accidental War
"('accident', '?')",0.0,The Chances of Accidental War
"('?', '?')",1.0,The Chances of Accidental War
"('?', 'What')",0.0,The Chances of Accidental War
"('What', 'steps')",0.14285714285714285,The Chances of Accidental War
"('steps', 'have')",0.14285714285714285,The Chances of Accidental War
"('have', 'been')",0.16666666666666666,The Chances of Accidental War
"('been', 'taken')",0.3333333333333333,The Chances of Accidental War
"('taken', 'to')",0.16666666666666666,The Chances of Accidental War
"('to', 'guard')",0.0,The Chances of Accidental War
"('guard', 'against')",0.2222222222222222,The Chances of Accidental War
"('against', 'the')",0.125,The Chances of Accidental War
"('the', 'one')",0.2,The Chances of Accidental War
"('one', 'sort')",0.16666666666666666,The Chances of Accidental War
"('sort', 'of')",0.2,The Chances of Accidental War
"('of', 'mishap')",0.0,The Chances of Accidental War
"('mishap', 'that')",0.2857142857142857,The Chances of Accidental War
"('that', 'could')",0.0,The Chances of Accidental War
"('could', 'trigger')",0.0,The Chances of Accidental War
"('trigger', 'the')",0.3333333333333333,The Chances of Accidental War
"('the', 'destruction')",0.18181818181818182,The Chances of Accidental War
"('destruction', 'of')",0.09090909090909091,The Chances of Accidental War
"('of', 'continents')",0.125,The Chances of Accidental War
"('continents', '?')",0.0,The Chances of Accidental War
"('?', 'Are')",0.0,The Chances of Accidental War
"('Are', 'we')",0.25,The Chances of Accidental War
"('we', 'as')",0.0,The Chances of Accidental War
"('as', 'safe')",0.5,The Chances of Accidental War
"('safe', 'as')",0.5,The Chances of Accidental War
"('as', 'we')",0.0,The Chances of Accidental War
"('we', 'should')",0.0,The Chances of Accidental War
"('should', 'be')",0.0,The Chances of Accidental War
"('be', 'from')",0.0,The Chances of Accidental War
"('from', 'such')",0.0,The Chances of Accidental War
"('such', 'a')",0.0,The Chances of Accidental War
"('a', 'disaster')",0.14285714285714285,The Chances of Accidental War
"('disaster', '?')",0.0,The Chances of Accidental War
"('?', 'Is')",0.0,The Chances of Accidental War
"('Is', 'anything')",0.0,The Chances of Accidental War
"('anything', 'being')",0.3333333333333333,The Chances of Accidental War
"('being', 'done')",0.2857142857142857,The Chances of Accidental War
