w,taza
"('Oslo', 'The')",0.0,The Christian Science Monitor
"('The', 'most')",0.0,The Christian Science Monitor
"('most', 'positive')",0.375,The Christian Science Monitor
"('positive', 'element')",0.2,The Christian Science Monitor
"('element', 'to')",0.16666666666666666,The Christian Science Monitor
"('to', 'emerge')",0.0,The Christian Science Monitor
"('emerge', 'from')",0.3333333333333333,The Christian Science Monitor
"('from', 'the')",0.0,The Christian Science Monitor
"('the', 'Oslo')",0.0,The Christian Science Monitor
"('Oslo', 'meeting')",0.0,The Christian Science Monitor
"('meeting', 'of')",0.0,The Christian Science Monitor
"('of', 'North')",0.16666666666666666,The Christian Science Monitor
"('North', 'Atlantic')",0.09090909090909091,The Christian Science Monitor
"('Atlantic', 'Treaty')",0.18181818181818182,The Christian Science Monitor
"('Treaty', 'Organization')",0.25,The Christian Science Monitor
"('Organization', 'Foreign')",0.45454545454545453,The Christian Science Monitor
"('Foreign', 'Ministers')",0.4,The Christian Science Monitor
"('Ministers', 'has')",0.1111111111111111,The Christian Science Monitor
"('has', 'been')",0.0,The Christian Science Monitor
"('been', 'the')",0.2,The Christian Science Monitor
"('the', 'freer')",0.2,The Christian Science Monitor
"('freer', ',')",0.0,The Christian Science Monitor
"(',', 'franker')",0.0,The Christian Science Monitor
"('franker', ',')",0.0,The Christian Science Monitor
"(',', 'and')",0.0,The Christian Science Monitor
"('and', 'wider')",0.14285714285714285,The Christian Science Monitor
"('wider', 'discussions')",0.2,The Christian Science Monitor
"('discussions', ',')",0.0,The Christian Science Monitor
"(',', 'animated')",0.0,The Christian Science Monitor
"('animated', 'by')",0.0,The Christian Science Monitor
"('by', 'much')",0.0,The Christian Science Monitor
"('much', 'better')",0.0,The Christian Science Monitor
"('better', 'mutual')",0.125,The Christian Science Monitor
"('mutual', 'understanding')",0.25,The Christian Science Monitor
"('understanding', 'than')",0.2727272727272727,The Christian Science Monitor
"('than', 'in')",0.2,The Christian Science Monitor
"('in', 'past')",0.0,The Christian Science Monitor
"('past', 'meetings')",0.2222222222222222,The Christian Science Monitor
"('meetings', '.')",0.0,The Christian Science Monitor
"('.', 'This')",0.0,The Christian Science Monitor
"('This', 'has')",0.4,The Christian Science Monitor
"('been', 'a')",0.0,The Christian Science Monitor
"('a', 'working')",0.0,The Christian Science Monitor
"('working', 'session')",0.3333333333333333,The Christian Science Monitor
"('session', 'of')",0.16666666666666666,The Christian Science Monitor
"('of', 'an')",0.0,The Christian Science Monitor
"('an', 'organization')",0.25,The Christian Science Monitor
"('organization', 'that')",0.2222222222222222,The Christian Science Monitor
"('that', ',')",0.0,The Christian Science Monitor
"(',', 'by')",0.0,The Christian Science Monitor
"('by', 'its')",0.0,The Christian Science Monitor
"('its', 'very')",0.0,The Christian Science Monitor
"('very', 'nature')",0.25,The Christian Science Monitor
"('nature', ',')",0.0,The Christian Science Monitor
"(',', 'can')",0.0,The Christian Science Monitor
"('can', 'only')",0.16666666666666666,The Christian Science Monitor
"('only', 'proceed')",0.1111111111111111,The Christian Science Monitor
"('proceed', 'along')",0.1,The Christian Science Monitor
"('along', 'its')",0.0,The Christian Science Monitor
"('its', 'route')",0.14285714285714285,The Christian Science Monitor
"('route', 'step')",0.2857142857142857,The Christian Science Monitor
"('step', 'by')",0.0,The Christian Science Monitor
"('by', 'step')",0.0,The Christian Science Monitor
"('step', 'and')",0.0,The Christian Science Monitor
"('and', 'without')",0.0,The Christian Science Monitor
"('without', 'dramatic')",0.18181818181818182,The Christian Science Monitor
"('dramatic', 'changes')",0.16666666666666666,The Christian Science Monitor
"('changes', '.')",0.0,The Christian Science Monitor
"('.', 'In')",0.0,The Christian Science Monitor
"('In', 'Oslo')",0.0,The Christian Science Monitor
"('Oslo', ',')",0.0,The Christian Science Monitor
"(',', 'the')",0.0,The Christian Science Monitor
"('the', 'ministers')",0.25,The Christian Science Monitor
"('ministers', 'have')",0.1,The Christian Science Monitor
"('have', 'met')",0.16666666666666666,The Christian Science Monitor
"('met', 'in')",0.0,The Christian Science Monitor
"('in', 'a')",0.0,The Christian Science Monitor
"('a', 'climate')",0.14285714285714285,The Christian Science Monitor
"('climate', 'of')",0.0,The Christian Science Monitor
"('of', 'candor')",0.14285714285714285,The Christian Science Monitor
"('candor', ',')",0.0,The Christian Science Monitor
"('and', 'made')",0.4,The Christian Science Monitor
"('made', 'a')",0.25,The Christian Science Monitor
"('a', 'genuine')",0.0,The Christian Science Monitor
"('genuine', 'attempt')",0.1111111111111111,The Christian Science Monitor
