w,taza
"('``', 'Thrifty')",0.0,The Fairbrothers
"('Thrifty', 'of')",0.125,The Fairbrothers
"('of', 'her')",0.0,The Fairbrothers
"('her', 'to')",0.0,The Fairbrothers
"('to', 'use')",0.0,The Fairbrothers
"('use', 'it')",0.0,The Fairbrothers
"('it', 'up')",0.0,The Fairbrothers
"('up', '.')",0.0,The Fairbrothers
"('.', 'Unusual')",0.0,The Fairbrothers
"('Unusual', 'in')",0.14285714285714285,The Fairbrothers
"('in', 'a')",0.0,The Fairbrothers
"('a', 'case')",0.25,The Fairbrothers
"('case', 'like')",0.14285714285714285,The Fairbrothers
"('like', 'this')",0.14285714285714285,The Fairbrothers
"('this', ',')",0.0,The Fairbrothers
"(',', 'but')",0.0,The Fairbrothers
"('but', ""''"")",0.0,The Fairbrothers
"(""''"", '--')",0.0,The Fairbrothers
"('--', '``')",0.0,The Fairbrothers
"('``', 'You')",0.0,The Fairbrothers
"('You', 'can')",0.0,The Fairbrothers
"('can', 'joke')",0.0,The Fairbrothers
"('joke', '!')",0.0,The Fairbrothers
"('!', '!')",1.0,The Fairbrothers
"('!', ""Didn't"")",0.0,The Fairbrothers
"(""Didn't"", 'you')",0.0,The Fairbrothers
"('you', 'read')",0.0,The Fairbrothers
"('read', 'it')",0.0,The Fairbrothers
"('it', '?')",0.0,The Fairbrothers
"('?', '?')",1.0,The Fairbrothers
"('?', ""She's"")",0.0,The Fairbrothers
"(""She's"", 'married')",0.1,The Fairbrothers
"('married', 'that')",0.125,The Fairbrothers
"('that', 'tenant')",0.4,The Fairbrothers
"('tenant', '!')",0.0,The Fairbrothers
"('!', ""''"")",0.0,The Fairbrothers
"(""''"", '``')",0.0,The Fairbrothers
"('``', 'I')",0.0,The Fairbrothers
"('I', 'read')",0.0,The Fairbrothers
"('it', ',')",0.0,The Fairbrothers
"(',', 'yes')",0.0,The Fairbrothers
"('yes', '.')",0.0,The Fairbrothers
"('.', 'This')",0.0,The Fairbrothers
"('This', 'ought')",0.125,The Fairbrothers
"('ought', 'to')",0.4,The Fairbrothers
"('to', 'simplify')",0.0,The Fairbrothers
"('simplify', ""Tolley's"")",0.2727272727272727,The Fairbrothers
"(""Tolley's"", 'life')",0.2222222222222222,The Fairbrothers
"('life', ""''"")",0.0,The Fairbrothers
"(""''"", '.')",0.0,The Fairbrothers
"('.', 'Laban')",0.0,The Fairbrothers
"('Laban', 'had')",0.16666666666666666,The Fairbrothers
"('had', 'more')",0.0,The Fairbrothers
"('more', 'to')",0.2,The Fairbrothers
"('to', 'say')",0.0,The Fairbrothers
"('say', '.')",0.0,The Fairbrothers
"('.', 'Tolley')",0.0,The Fairbrothers
"('Tolley', 'had')",0.0,The Fairbrothers
"('had', 'gone')",0.0,The Fairbrothers
"('gone', 'to')",0.2,The Fairbrothers
"('to', 'live')",0.0,The Fairbrothers
"('live', 'in')",0.2,The Fairbrothers
"('in', 'California')",0.25,The Fairbrothers
"('California', '.')",0.0,The Fairbrothers
