w,taza
"('Where', 'their')",0.5,The Ikon
"('their', 'sharp')",0.25,The Ikon
"('sharp', 'edges')",0.125,The Ikon
"('edges', 'seemed')",0.6,The Ikon
"('seemed', 'restless')",0.2857142857142857,The Ikon
"('restless', 'as')",0.16666666666666666,The Ikon
"('as', 'sea')",0.6666666666666666,The Ikon
"('sea', 'waves')",0.6,The Ikon
"('waves', 'thrusting')",0.08333333333333333,The Ikon
"('thrusting', 'themselves')",0.25,The Ikon
"('themselves', 'upward')",0.0,The Ikon
"('upward', 'in')",0.0,The Ikon
"('in', 'angry')",0.16666666666666666,The Ikon
"('angry', 'motion')",0.1111111111111111,The Ikon
"('motion', ',')",0.0,The Ikon
"(',', 'Papa-san')",0.0,The Ikon
"('Papa-san', 'sat')",0.2857142857142857,The Ikon
"('sat', 'glacier-like')",0.09090909090909091,The Ikon
"('glacier-like', ',')",0.0,The Ikon
"(',', 'his')",0.0,The Ikon
"('his', 'smooth')",0.3333333333333333,The Ikon
"('smooth', 'solidity')",0.3333333333333333,The Ikon
"('solidity', ',')",0.0,The Ikon
"('his', 'very')",0.0,The Ikon
"('very', 'immobility')",0.1,The Ikon
"('immobility', 'defying')",0.16666666666666666,The Ikon
"('defying', 'all')",0.0,The Ikon
"('all', 'the')",0.0,The Ikon
"('the', 'turmoil')",0.1111111111111111,The Ikon
"('turmoil', 'about')",0.3333333333333333,The Ikon
"('about', 'him')",0.0,The Ikon
"('him', '.')",0.0,The Ikon
"('.', '``')",0.0,The Ikon
"('``', 'Our')",0.0,The Ikon
"('Our', 'objective')",0.0,The Ikon
"('objective', ""''"")",0.0,The Ikon
"(""''"", ',')",0.0,The Ikon
"(',', 'the')",0.0,The Ikon
"('the', 'colonel')",0.14285714285714285,The Ikon
"('colonel', 'had')",0.0,The Ikon
"('had', 'said')",0.4,The Ikon
"('said', 'that')",0.16666666666666666,The Ikon
"('that', 'day')",0.2,The Ikon
"('day', 'of')",0.0,The Ikon
"('of', 'the')",0.0,The Ikon
"('the', 'briefing')",0.1111111111111111,The Ikon
"('briefing', ',')",0.0,The Ikon
"(',', '``')",0.0,The Ikon
"('``', 'is')",0.0,The Ikon
"('is', 'Papa-san')",0.14285714285714285,The Ikon
"('Papa-san', ""''"")",0.0,The Ikon
"(""''"", '.')",0.0,The Ikon
"('.', 'There')",0.0,The Ikon
"('There', 'the')",0.4,The Ikon
"('the', 'objective')",0.2222222222222222,The Ikon
"('objective', 'sat')",0.1,The Ikon
"('sat', ',')",0.0,The Ikon
"(',', 'brooding')",0.0,The Ikon
"('brooding', 'over')",0.2222222222222222,The Ikon
"('over', 'all')",0.0,The Ikon
"('all', '.')",0.0,The Ikon
"('.', 'Gouge')",0.0,The Ikon
"('Gouge', ',')",0.0,The Ikon
"(',', 'burn')",0.0,The Ikon
"('burn', ',')",0.0,The Ikon
"(',', 'blast')",0.0,The Ikon
"('blast', ',')",0.0,The Ikon
"(',', 'insult')",0.0,The Ikon
"('insult', 'it')",0.3333333333333333,The Ikon
"('it', 'as')",0.0,The Ikon
"('as', 'they')",0.0,The Ikon
"('they', 'would')",0.0,The Ikon
"('would', ',')",0.0,The Ikon
"(',', 'could')",0.0,The Ikon
"('could', 'anyone')",0.1111111111111111,The Ikon
"('anyone', 'really')",0.42857142857142855,The Ikon
"('really', 'take')",0.2857142857142857,The Ikon
"('take', 'Papa-san')",0.1111111111111111,The Ikon
"('Papa-san', '?')",0.0,The Ikon
"('?', '?')",1.0,The Ikon
"('?', 'Between')",0.0,The Ikon
"('Between', 'the')",0.3333333333333333,The Ikon
"('the', 'ponderous')",0.1,The Ikon
"('ponderous', 'hulk')",0.09090909090909091,The Ikon
"('hulk', 'and')",0.0,The Ikon
"('and', 'himself')",0.0,The Ikon
"('himself', ',')",0.0,The Ikon
"(',', 'in')",0.0,The Ikon
"('in', 'the')",0.0,The Ikon
"('the', 'valley')",0.14285714285714285,The Ikon
"('valley', 'over')",0.2857142857142857,The Ikon
"('over', 'which')",0.0,The Ikon
"('which', 'Papa-san')",0.0,The Ikon
"('Papa-san', 'reigned')",0.09090909090909091,The Ikon
"('reigned', ',')",0.0,The Ikon
"(',', 'men')",0.0,The Ikon
"('men', 'had')",0.0,The Ikon
"('had', 'hidden')",0.3333333333333333,The Ikon
"('hidden', 'high')",0.3333333333333333,The Ikon
"('high', 'explosives')",0.1,The Ikon
"('explosives', ',')",0.0,The Ikon
"(',', 'booby')",0.0,The Ikon
"('booby', 'traps')",0.0,The Ikon
"('traps', ',')",0.0,The Ikon
"(',', 'and')",0.0,The Ikon
"('and', 'mines')",0.14285714285714285,The Ikon
"('mines', '.')",0.0,The Ikon
"('.', 'The')",0.0,The Ikon
"('The', 'raped')",0.14285714285714285,The Ikon
"('raped', 'valley')",0.25,The Ikon
"('valley', 'was')",0.14285714285714285,The Ikon
"('was', 'a')",0.3333333333333333,The Ikon
"('a', 'pregnant')",0.14285714285714285,The Ikon
"('pregnant', 'womb')",0.0,The Ikon
"('womb', 'awaiting')",0.1111111111111111,The Ikon
"('awaiting', 'abortion')",0.4444444444444444,The Ikon
"('abortion', '.')",0.0,The Ikon
"('.', 'On')",0.0,The Ikon
"('On', 'the')",0.0,The Ikon
"('the', 'forward')",0.0,The Ikon
"('forward', 'slope')",0.1,The Ikon
"('slope', 'in')",0.0,The Ikon
"('in', 'front')",0.16666666666666666,The Ikon
"('front', 'of')",0.4,The Ikon
"('of', 'his')",0.0,The Ikon
"('his', 'own')",0.0,The Ikon
"('own', 'post')",0.16666666666666666,The Ikon
