w,taza
"('Suddenly', ',')",0.0,The Invisible Aborigine
"(',', 'however')",0.0,The Invisible Aborigine
"('however', ',')",0.0,The Invisible Aborigine
"(',', 'their')",0.0,The Invisible Aborigine
"('their', 'posture')",0.3333333333333333,The Invisible Aborigine
"('posture', 'changed')",0.07692307692307693,The Invisible Aborigine
"('changed', 'and')",0.42857142857142855,The Invisible Aborigine
"('and', 'the')",0.0,The Invisible Aborigine
"('the', 'game')",0.16666666666666666,The Invisible Aborigine
"('game', 'ended')",0.16666666666666666,The Invisible Aborigine
"('ended', '.')",0.0,The Invisible Aborigine
"('.', 'They')",0.0,The Invisible Aborigine
"('They', 'went')",0.14285714285714285,The Invisible Aborigine
"('went', 'as')",0.0,The Invisible Aborigine
"('as', 'rigid')",0.0,The Invisible Aborigine
"('rigid', 'as')",0.0,The Invisible Aborigine
"('as', 'black')",0.16666666666666666,The Invisible Aborigine
"('black', 'statuary')",0.1,The Invisible Aborigine
"('statuary', 'six')",0.125,The Invisible Aborigine
"('six', 'figures')",0.25,The Invisible Aborigine
"('figures', ',')",0.0,The Invisible Aborigine
"(',', 'lean')",0.0,The Invisible Aborigine
"('lean', 'and')",0.4,The Invisible Aborigine
"('and', 'tall')",0.2,The Invisible Aborigine
"('tall', 'and')",0.2,The Invisible Aborigine
"('and', 'angular')",0.2857142857142857,The Invisible Aborigine
"('angular', ',')",0.0,The Invisible Aborigine
"(',', 'went')",0.0,The Invisible Aborigine
"('went', 'still')",0.14285714285714285,The Invisible Aborigine
"('still', '.')",0.0,The Invisible Aborigine
"('.', 'Their')",0.0,The Invisible Aborigine
"('Their', 'heads')",0.25,The Invisible Aborigine
"('heads', 'were')",0.14285714285714285,The Invisible Aborigine
"('were', 'in')",0.0,The Invisible Aborigine
"('in', 'the')",0.0,The Invisible Aborigine
"('the', 'air')",0.0,The Invisible Aborigine
"('air', 'sniffing')",0.14285714285714285,The Invisible Aborigine
"('sniffing', '.')",0.0,The Invisible Aborigine
"('They', 'all')",0.0,The Invisible Aborigine
"('all', 'swung')",0.0,The Invisible Aborigine
"('swung', 'at')",0.0,The Invisible Aborigine
"('at', 'the')",0.25,The Invisible Aborigine
"('the', 'same')",0.16666666666666666,The Invisible Aborigine
"('same', 'instant')",0.2857142857142857,The Invisible Aborigine
