w,taza
"('Payne', 'dismounted')",0.16666666666666666,The Judges of the Secret Court
"('dismounted', 'in')",0.2222222222222222,The Judges of the Secret Court
"('in', 'Madison')",0.2857142857142857,The Judges of the Secret Court
"('Madison', 'Place')",0.09090909090909091,The Judges of the Secret Court
"('Place', 'and')",0.14285714285714285,The Judges of the Secret Court
"('and', 'handed')",0.6,The Judges of the Secret Court
"('handed', 'the')",0.3333333333333333,The Judges of the Secret Court
"('the', 'reins')",0.14285714285714285,The Judges of the Secret Court
"('reins', 'to')",0.0,The Judges of the Secret Court
"('to', 'Herold')",0.14285714285714285,The Judges of the Secret Court
"('Herold', '.')",0.0,The Judges of the Secret Court
"('.', 'There')",0.0,The Judges of the Secret Court
"('There', 'was')",0.0,The Judges of the Secret Court
"('was', 'a')",0.3333333333333333,The Judges of the Secret Court
"('a', 'fog')",0.0,The Judges of the Secret Court
"('fog', ',')",0.0,The Judges of the Secret Court
"(',', 'which')",0.0,The Judges of the Secret Court
"('which', 'increased')",0.2,The Judges of the Secret Court
"('increased', 'the')",0.1,The Judges of the Secret Court
"('the', 'darkness')",0.1111111111111111,The Judges of the Secret Court
"('darkness', 'of')",0.0,The Judges of the Secret Court
"('of', 'the')",0.0,The Judges of the Secret Court
"('the', 'night')",0.3333333333333333,The Judges of the Secret Court
"('night', '.')",0.0,The Judges of the Secret Court
"('.', 'Two')",0.0,The Judges of the Secret Court
"('Two', 'gas')",0.0,The Judges of the Secret Court
"('gas', 'lamps')",0.3333333333333333,The Judges of the Secret Court
"('lamps', 'were')",0.0,The Judges of the Secret Court
"('were', 'no')",0.0,The Judges of the Secret Court
"('no', 'more')",0.2,The Judges of the Secret Court
"('more', 'than')",0.0,The Judges of the Secret Court
"('than', 'a')",0.25,The Judges of the Secret Court
"('a', 'misleading')",0.1111111111111111,The Judges of the Secret Court
"('misleading', 'glow')",0.18181818181818182,The Judges of the Secret Court
"('glow', '.')",0.0,The Judges of the Secret Court
"('.', 'He')",0.0,The Judges of the Secret Court
"('He', 'might')",0.0,The Judges of the Secret Court
"('might', 'have')",0.125,The Judges of the Secret Court
"('have', 'been')",0.16666666666666666,The Judges of the Secret Court
"('been', 'anywhere')",0.25,The Judges of the Secret Court
"('anywhere', 'or')",0.125,The Judges of the Secret Court
"('or', 'nowhere')",0.3333333333333333,The Judges of the Secret Court
"('nowhere', '.')",0.0,The Judges of the Secret Court
"('.', 'The')",0.0,The Judges of the Secret Court
"('The', 'pretence')",0.125,The Judges of the Secret Court
"('pretence', 'was')",0.0,The Judges of the Secret Court
"('was', 'that')",0.2,The Judges of the Secret Court
"('that', 'he')",0.25,The Judges of the Secret Court
"('he', 'was')",0.0,The Judges of the Secret Court
"('was', 'delivering')",0.0,The Judges of the Secret Court
"('delivering', 'a')",0.0,The Judges of the Secret Court
"('a', 'prescription')",0.0,The Judges of the Secret Court
"('prescription', 'from')",0.18181818181818182,The Judges of the Secret Court
"('from', 'Dr.')",0.16666666666666666,The Judges of the Secret Court
"('Dr.', 'Verdi')",0.14285714285714285,The Judges of the Secret Court
"('Verdi', '.')",0.0,The Judges of the Secret Court
"('.', 'Secretary')",0.0,The Judges of the Secret Court
"('Secretary', 'of')",0.0,The Judges of the Secret Court
"('of', 'State')",0.0,The Judges of the Secret Court
"('State', 'Seward')",0.42857142857142855,The Judges of the Secret Court
"('Seward', 'was')",0.2857142857142857,The Judges of the Secret Court
"('a', 'sick')",0.0,The Judges of the Secret Court
"('sick', 'man')",0.0,The Judges of the Secret Court
"('man', '.')",0.0,The Judges of the Secret Court
"('The', 'idea')",0.16666666666666666,The Judges of the Secret Court
"('idea', 'had')",0.4,The Judges of the Secret Court
"('had', 'come')",0.0,The Judges of the Secret Court
"('come', 'from')",0.3333333333333333,The Judges of the Secret Court
"('from', 'Herold')",0.25,The Judges of the Secret Court
"('Herold', ',')",0.0,The Judges of the Secret Court
"(',', 'who')",0.0,The Judges of the Secret Court
"('who', 'had')",0.2,The Judges of the Secret Court
"('had', 'once')",0.0,The Judges of the Secret Court
"('once', 'been')",0.4,The Judges of the Secret Court
"('been', 'a')",0.0,The Judges of the Secret Court
"('a', ""chemist's"")",0.0,The Judges of the Secret Court
"(""chemist's"", 'clerk')",0.18181818181818182,The Judges of the Secret Court
"('clerk', '.')",0.0,The Judges of the Secret Court
"('The', 'sick')",0.0,The Judges of the Secret Court
"('sick', 'were')",0.0,The Judges of the Secret Court
"('were', 'always')",0.14285714285714285,The Judges of the Secret Court
"('always', 'receiving')",0.0,The Judges of the Secret Court
"('receiving', 'medicines')",0.4,The Judges of the Secret Court
"('medicines', '.')",0.0,The Judges of the Secret Court
"('.', 'No')",0.0,The Judges of the Secret Court
"('No', 'one')",0.25,The Judges of the Secret Court
"('one', 'would')",0.14285714285714285,The Judges of the Secret Court
"('would', 'question')",0.18181818181818182,The Judges of the Secret Court
"('question', 'such')",0.2,The Judges of the Secret Court
"('such', 'an')",0.0,The Judges of the Secret Court
"('an', 'errand')",0.4,The Judges of the Secret Court
"('errand', '.')",0.0,The Judges of the Secret Court
"('The', 'bottle')",0.14285714285714285,The Judges of the Secret Court
"('bottle', 'was')",0.0,The Judges of the Secret Court
"('was', 'filled')",0.0,The Judges of the Secret Court
"('filled', 'up')",0.0,The Judges of the Secret Court
"('up', 'with')",0.0,The Judges of the Secret Court
"('with', 'flour')",0.0,The Judges of the Secret Court
"('flour', '.')",0.0,The Judges of the Secret Court
"('.', 'Before')",0.0,The Judges of the Secret Court
"('Before', 'Payne')",0.1111111111111111,The Judges of the Secret Court
"('Payne', 'loomed')",0.1111111111111111,The Judges of the Secret Court
"('loomed', 'the')",0.14285714285714285,The Judges of the Secret Court
"('the', 'Old')",0.0,The Judges of the Secret Court
"('Old', 'Clubhouse')",0.1,The Judges of the Secret Court
"('Clubhouse', ',')",0.0,The Judges of the Secret Court
"(',', ""Seward's"")",0.0,The Judges of the Secret Court
"(""Seward's"", 'home')",0.09090909090909091,The Judges of the Secret Court
"('home', ',')",0.0,The Judges of the Secret Court
"(',', 'where')",0.0,The Judges of the Secret Court
"('where', 'Key')",0.16666666666666666,The Judges of the Secret Court
"('Key', 'had')",0.0,The Judges of the Secret Court
"('been', 'killed')",0.14285714285714285,The Judges of the Secret Court
"('killed', '.')",0.0,The Judges of the Secret Court
"('.', 'Now')",0.0,The Judges of the Secret Court
"('Now', 'it')",0.0,The Judges of the Secret Court
"('it', 'would')",0.0,The Judges of the Secret Court
"('would', 'have')",0.0,The Judges of the Secret Court
"('have', 'another')",0.375,The Judges of the Secret Court
"('another', 'death')",0.5,The Judges of the Secret Court
"('death', '.')",0.0,The Judges of the Secret Court
"('.', 'From')",0.0,The Judges of the Secret Court
