w,taza
"('A', 'shock')",0.0,"The Miami Herald, September"
"('shock', 'wave')",0.0,"The Miami Herald, September"
"('wave', 'from')",0.0,"The Miami Herald, September"
"('from', 'Africa')",0.25,"The Miami Herald, September"
"('Africa', 'Word')",0.1111111111111111,"The Miami Herald, September"
"('Word', 'of')",0.2,"The Miami Herald, September"
"('of', 'Dag')",0.0,"The Miami Herald, September"
"('Dag', ""Hammarskjold's"")",0.07692307692307693,"The Miami Herald, September"
"(""Hammarskjold's"", 'death')",0.14285714285714285,"The Miami Herald, September"
"('death', 'in')",0.0,"The Miami Herald, September"
"('in', 'an')",0.3333333333333333,"The Miami Herald, September"
"('an', 'African')",0.2857142857142857,"The Miami Herald, September"
"('African', 'plane')",0.2,"The Miami Herald, September"
"('plane', 'crash')",0.1111111111111111,"The Miami Herald, September"
"('crash', 'has')",0.6,"The Miami Herald, September"
"('has', 'sent')",0.16666666666666666,"The Miami Herald, September"
"('sent', 'a')",0.0,"The Miami Herald, September"
"('a', 'shockwave')",0.1111111111111111,"The Miami Herald, September"
"('shockwave', 'around')",0.15384615384615385,"The Miami Herald, September"
"('around', 'the')",0.0,"The Miami Herald, September"
"('the', 'globe')",0.14285714285714285,"The Miami Herald, September"
"('globe', '.')",0.0,"The Miami Herald, September"
"('.', 'As')",0.0,"The Miami Herald, September"
"('As', 'head')",0.0,"The Miami Herald, September"
"('head', 'of')",0.0,"The Miami Herald, September"
"('of', 'the')",0.0,"The Miami Herald, September"
"('the', 'United')",0.2857142857142857,"The Miami Herald, September"
"('United', 'Nations')",0.3,"The Miami Herald, September"
"('Nations', 'he')",0.0,"The Miami Herald, September"
"('he', 'was')",0.0,"The Miami Herald, September"
"('was', 'the')",0.0,"The Miami Herald, September"
"('the', 'symbol')",0.0,"The Miami Herald, September"
"('symbol', 'of')",0.14285714285714285,"The Miami Herald, September"
"('of', 'world')",0.16666666666666666,"The Miami Herald, September"
"('world', 'peace')",0.0,"The Miami Herald, September"
"('peace', ',')",0.0,"The Miami Herald, September"
"(',', 'and')",0.0,"The Miami Herald, September"
"('and', 'his')",0.0,"The Miami Herald, September"
"('his', 'tragic')",0.125,"The Miami Herald, September"
"('tragic', 'end')",0.0,"The Miami Herald, September"
"('end', 'came')",0.16666666666666666,"The Miami Herald, September"
"('came', 'at')",0.2,"The Miami Herald, September"
