w,taza
"('``', 'He')",0.0,The Moon and the Thorn.
"('He', 'must')",0.0,The Moon and the Thorn.
"('must', 'have')",0.0,The Moon and the Thorn.
"('have', 'forgiven')",0.2,The Moon and the Thorn.
"('forgiven', 'me')",0.1111111111111111,The Moon and the Thorn.
"('me', ""''"")",0.0,The Moon and the Thorn.
"(""''"", ',')",0.0,The Moon and the Thorn.
"(',', 'Henrietta')",0.0,The Moon and the Thorn.
"('Henrietta', 'murmured')",0.2,The Moon and the Thorn.
"('murmured', 'to')",0.0,The Moon and the Thorn.
"('to', 'the')",0.25,The Moon and the Thorn.
"('the', 'room')",0.0,The Moon and the Thorn.
"('room', '.')",0.0,The Moon and the Thorn.
"('.', 'The')",0.0,The Moon and the Thorn.
"('The', 'absolution')",0.0,The Moon and the Thorn.
"('absolution', 'of')",0.1,The Moon and the Thorn.
"('of', ""Doaty's"")",0.125,The Moon and the Thorn.
"(""Doaty's"", 'last')",0.375,The Moon and the Thorn.
"('last', 'will')",0.16666666666666666,The Moon and the Thorn.
"('will', 'and')",0.0,The Moon and the Thorn.
"('and', 'testament')",0.2857142857142857,The Moon and the Thorn.
"('testament', 'was')",0.2857142857142857,The Moon and the Thorn.
"('was', 'proof')",0.0,The Moon and the Thorn.
"('proof', 'enough')",0.1111111111111111,The Moon and the Thorn.
"('enough', 'of')",0.14285714285714285,The Moon and the Thorn.
"('of', 'that')",0.0,The Moon and the Thorn.
"('that', ';')",0.0,The Moon and the Thorn.
"(';', ';')",1.0,The Moon and the Thorn.
"(';', 'Doaty')",0.0,The Moon and the Thorn.
"('Doaty', 'would')",0.1111111111111111,The Moon and the Thorn.
"('would', 'never')",0.0,The Moon and the Thorn.
"('never', 'have')",0.3333333333333333,The Moon and the Thorn.
"('have', 'left')",0.14285714285714285,The Moon and the Thorn.
"('left', 'her')",0.16666666666666666,The Moon and the Thorn.
"('her', 'house')",0.3333333333333333,The Moon and the Thorn.
"('house', 'to')",0.16666666666666666,The Moon and the Thorn.
"('to', 'a')",0.0,The Moon and the Thorn.
"('a', 'godless')",0.0,The Moon and the Thorn.
"('godless', 'woman')",0.1,The Moon and the Thorn.
"('woman', '.')",0.0,The Moon and the Thorn.
"('.', 'She')",0.0,The Moon and the Thorn.
"('She', 'found')",0.0,The Moon and the Thorn.
"('found', 'herself')",0.1,The Moon and the Thorn.
"('herself', 'wishing')",0.2,The Moon and the Thorn.
"('wishing', 'an')",0.14285714285714285,The Moon and the Thorn.
"('an', 'old')",0.0,The Moon and the Thorn.
"('old', 'wish')",0.0,The Moon and the Thorn.
"('wish', ',')",0.0,The Moon and the Thorn.
"(',', 'that')",0.0,The Moon and the Thorn.
"('that', 'she')",0.2,The Moon and the Thorn.
"('she', 'had')",0.2,The Moon and the Thorn.
"('had', 'told')",0.16666666666666666,The Moon and the Thorn.
"('told', 'Doaty')",0.2857142857142857,The Moon and the Thorn.
"('Doaty', 'she')",0.0,The Moon and the Thorn.
"('she', 'was')",0.2,The Moon and the Thorn.
"('was', 'running')",0.0,The Moon and the Thorn.
"('running', 'away')",0.0,The Moon and the Thorn.
"('away', ',')",0.0,The Moon and the Thorn.
"('had', 'left')",0.0,The Moon and the Thorn.
"('left', 'something')",0.18181818181818182,The Moon and the Thorn.
"('something', 'more')",0.3,The Moon and the Thorn.
"('more', 'behind')",0.1111111111111111,The Moon and the Thorn.
"('behind', 'her')",0.2857142857142857,The Moon and the Thorn.
"('her', 'than')",0.16666666666666666,The Moon and the Thorn.
"('than', 'the')",0.4,The Moon and the Thorn.
"('the', 'loving')",0.0,The Moon and the Thorn.
"('loving', ',')",0.0,The Moon and the Thorn.
"(',', 'sorry')",0.0,The Moon and the Thorn.
"('sorry', 'note')",0.14285714285714285,The Moon and the Thorn.
"('note', 'and')",0.16666666666666666,The Moon and the Thorn.
"('and', 'her')",0.0,The Moon and the Thorn.
"('her', 'best')",0.16666666666666666,The Moon and the Thorn.
"('best', 'garnet')",0.25,The Moon and the Thorn.
"('garnet', 'pin')",0.125,The Moon and the Thorn.
"('pin', '.')",0.0,The Moon and the Thorn.
"('.', 'Perhaps')",0.0,The Moon and the Thorn.
"('Perhaps', 'Doaty')",0.09090909090909091,The Moon and the Thorn.
"('Doaty', 'had')",0.14285714285714285,The Moon and the Thorn.
"('had', 'guessed')",0.14285714285714285,The Moon and the Thorn.
"('guessed', 'already')",0.2222222222222222,The Moon and the Thorn.
"('already', 'and')",0.2857142857142857,The Moon and the Thorn.
"('and', 'kept')",0.0,The Moon and the Thorn.
"('kept', 'her')",0.16666666666666666,The Moon and the Thorn.
"('her', 'counsel')",0.1111111111111111,The Moon and the Thorn.
"('counsel', '.')",0.0,The Moon and the Thorn.
"('.', 'Henrietta')",0.0,The Moon and the Thorn.
"('Henrietta', 'thought')",0.09090909090909091,The Moon and the Thorn.
"('thought', ',')",0.0,The Moon and the Thorn.
"(',', ""It's"")",0.0,The Moon and the Thorn.
"(""It's"", 'extraordinary')",0.07692307692307693,The Moon and the Thorn.
"('extraordinary', 'how')",0.08333333333333333,The Moon and the Thorn.
"('how', 'much')",0.16666666666666666,The Moon and the Thorn.
"('much', 'she')",0.16666666666666666,The Moon and the Thorn.
"('she', 'always')",0.14285714285714285,The Moon and the Thorn.
"('always', 'knew')",0.125,The Moon and the Thorn.
"('knew', 'about')",0.0,The Moon and the Thorn.
"('about', 'both')",0.5,The Moon and the Thorn.
"('both', 'of')",0.2,The Moon and the Thorn.
"('of', 'us')",0.0,The Moon and the Thorn.
"('us', '.')",0.0,The Moon and the Thorn.
"('.', 'There')",0.0,The Moon and the Thorn.
"('There', 'had')",0.16666666666666666,The Moon and the Thorn.
"('had', 'been')",0.0,The Moon and the Thorn.
"('been', 'more')",0.16666666666666666,The Moon and the Thorn.
"('more', 'to')",0.2,The Moon and the Thorn.
"('to', 'know')",0.2,The Moon and the Thorn.
"('know', 'about')",0.125,The Moon and the Thorn.
"('about', 'Hetty')",0.125,The Moon and the Thorn.
"('Hetty', ',')",0.0,The Moon and the Thorn.
"(',', 'inevitably')",0.0,The Moon and the Thorn.
"('inevitably', ',')",0.0,The Moon and the Thorn.
"(',', 'and')",0.0,The Moon and the Thorn.
"('and', 'most')",0.0,The Moon and the Thorn.
"('most', 'of')",0.2,The Moon and the Thorn.
"('of', 'it')",0.0,The Moon and the Thorn.
"('it', 'unfavorable')",0.0,The Moon and the Thorn.
"('unfavorable', '.')",0.0,The Moon and the Thorn.
"('.', 'Adelia')",0.0,The Moon and the Thorn.
"('Adelia', 'was')",0.125,The Moon and the Thorn.
"('was', 'the')",0.0,The Moon and the Thorn.
"('the', 'good')",0.0,The Moon and the Thorn.
"('good', 'one')",0.2,The Moon and the Thorn.
"('one', ',')",0.0,The Moon and the Thorn.
"(',', 'or')",0.0,The Moon and the Thorn.
"('or', ',')",0.0,The Moon and the Thorn.
"(',', 'if')",0.0,The Moon and the Thorn.
"('if', 'not')",0.0,The Moon and the Thorn.
"('not', 'always')",0.0,The Moon and the Thorn.
"('always', 'good')",0.0,The Moon and the Thorn.
"('good', ',')",0.0,The Moon and the Thorn.
"(',', 'less')",0.0,The Moon and the Thorn.
"('less', 'frequently')",0.2,The Moon and the Thorn.
"('frequently', 'tempted')",0.16666666666666666,The Moon and the Thorn.
"('tempted', '.')",0.0,The Moon and the Thorn.
"('.', 'Their')",0.0,The Moon and the Thorn.
"('Their', 'childhood')",0.2222222222222222,The Moon and the Thorn.
"('childhood', 'would')",0.375,The Moon and the Thorn.
"('would', 'have')",0.0,The Moon and the Thorn.
"('have', 'been')",0.16666666666666666,The Moon and the Thorn.
"('been', 'quite')",0.14285714285714285,The Moon and the Thorn.
"('quite', 'circumspect')",0.4,The Moon and the Thorn.
"('circumspect', 'without')",0.25,The Moon and the Thorn.
"('without', ""Hetty's"")",0.09090909090909091,The Moon and the Thorn.
"(""Hetty's"", 'flair')",0.0,The Moon and the Thorn.
"('flair', 'for')",0.3333333333333333,The Moon and the Thorn.
"('for', 'drama')",0.16666666666666666,The Moon and the Thorn.
"('drama', ',')",0.0,The Moon and the Thorn.
"(',', 'especially')",0.0,The Moon and the Thorn.
"('especially', 'through')",0.0,The Moon and the Thorn.
"('through', 'the')",0.2857142857142857,The Moon and the Thorn.
"('the', 'long')",0.0,The Moon and the Thorn.
"('long', 'summers')",0.0,The Moon and the Thorn.
"('summers', '.')",0.0,The Moon and the Thorn.
"('.', 'In')",0.0,The Moon and the Thorn.
"('In', 'winter')",0.14285714285714285,The Moon and the Thorn.
"('winter', ',')",0.0,The Moon and the Thorn.
"(',', 'in')",0.0,The Moon and the Thorn.
"('in', 'the')",0.0,The Moon and the Thorn.
"('the', 'city')",0.16666666666666666,The Moon and the Thorn.
"('city', ',')",0.0,The Moon and the Thorn.
"(',', 'there')",0.0,The Moon and the Thorn.
"('there', 'had')",0.16666666666666666,The Moon and the Thorn.
"('been', 'the')",0.2,The Moon and the Thorn.
