w,taza
"('Francois', ""D'Albert"")",0.06666666666666667,The New York Times
"(""D'Albert"", ',')",0.0,The New York Times
"(',', 'Hungarian-born')",0.0,The New York Times
"('Hungarian-born', 'violinist')",0.21428571428571427,The New York Times
"('violinist', 'who')",0.1111111111111111,The New York Times
"('who', 'made')",0.0,The New York Times
"('made', 'his')",0.0,The New York Times
"('his', 'New')",0.0,The New York Times
"('New', 'York')",0.0,The New York Times
"('York', 'debut')",0.0,The New York Times
"('debut', 'three')",0.2857142857142857,The New York Times
"('three', 'years')",0.2857142857142857,The New York Times
"('years', 'ago')",0.14285714285714285,The New York Times
"('ago', ',')",0.0,The New York Times
"(',', 'played')",0.0,The New York Times
"('played', 'a')",0.16666666666666666,The New York Times
"('a', 'return')",0.0,The New York Times
"('return', 'engagement')",0.375,The New York Times
"('engagement', 'last')",0.25,The New York Times
"('last', 'night')",0.125,The New York Times
"('night', 'in')",0.4,The New York Times
"('in', 'Judson')",0.14285714285714285,The New York Times
"('Judson', 'Hall')",0.0,The New York Times
"('Hall', '.')",0.0,The New York Times
"('.', 'He')",0.0,The New York Times
"('He', 'is')",0.0,The New York Times
"('is', 'now')",0.0,The New York Times
"('now', 'president')",0.1,The New York Times
"('president', 'of')",0.0,The New York Times
"('of', 'the')",0.0,The New York Times
"('the', 'Chicago')",0.1111111111111111,The New York Times
"('Chicago', 'Conservatory')",0.21428571428571427,The New York Times
"('Conservatory', 'College')",0.25,The New York Times
"('College', '.')",0.0,The New York Times
"('.', 'His')",0.0,The New York Times
"('His', 'pianist')",0.2857142857142857,The New York Times
"('pianist', 'was')",0.2857142857142857,The New York Times
"('was', 'Donald')",0.125,The New York Times
"('Donald', 'Jenni')",0.1111111111111111,The New York Times
"('Jenni', ',')",0.0,The New York Times
"(',', 'a')",0.0,The New York Times
"('a', 'faculty')",0.14285714285714285,The New York Times
"('faculty', 'member')",0.0,The New York Times
"('member', 'at')",0.0,The New York Times
"('at', 'DePaul')",0.14285714285714285,The New York Times
"('DePaul', 'University')",0.07142857142857142,The New York Times
"('University', '.')",0.0,The New York Times
"('.', 'The')",0.0,The New York Times
"('The', 'acoustics')",0.0,The New York Times
"('acoustics', 'of')",0.125,The New York Times
"('the', 'small')",0.0,The New York Times
"('small', 'hall')",0.4,The New York Times
"('hall', 'had')",0.5,The New York Times
"('had', 'been')",0.0,The New York Times
"('been', 'misgauged')",0.1,The New York Times
"('misgauged', 'by')",0.0,The New York Times
"('by', 'the')",0.0,The New York Times
"('the', 'artists')",0.14285714285714285,The New York Times
"('artists', ',')",0.0,The New York Times
"(',', 'so')",0.0,The New York Times
"('so', 'that')",0.0,The New York Times
"('that', 'for')",0.0,The New York Times
"('for', 'the')",0.0,The New York Times
"('the', 'first')",0.14285714285714285,The New York Times
"('first', 'half')",0.125,The New York Times
"('half', 'of')",0.2,The New York Times
"('the', 'program')",0.0,The New York Times
"('program', ',')",0.0,The New York Times
"(',', 'when')",0.0,The New York Times
"('when', 'the')",0.4,The New York Times
"('the', 'piano')",0.0,The New York Times
"('piano', 'was')",0.14285714285714285,The New York Times
"('was', 'partially')",0.1111111111111111,The New York Times
"('partially', 'open')",0.1,The New York Times
"('open', ',')",0.0,The New York Times
"(',', 'Mr.')",0.0,The New York Times
"('Mr.', ""Jenni's"")",0.0,The New York Times
"(""Jenni's"", 'playing')",0.18181818181818182,The New York Times
