w,taza
"('A', 'band')",0.0,The Normal Forces and Their Thermodynamic Significance
"('band', 'viscometer')",0.0,The Normal Forces and Their Thermodynamic Significance
"('viscometer', 'is')",0.2222222222222222,The Normal Forces and Their Thermodynamic Significance
"('is', 'shown')",0.16666666666666666,The Normal Forces and Their Thermodynamic Significance
"('shown', 'in')",0.16666666666666666,The Normal Forces and Their Thermodynamic Significance
"('in', 'Figure')",0.14285714285714285,The Normal Forces and Their Thermodynamic Significance
"('Figure', '2')",0.0,The Normal Forces and Their Thermodynamic Significance
"('2', '.')",0.0,The Normal Forces and Their Thermodynamic Significance
"('.', 'It')",0.0,The Normal Forces and Their Thermodynamic Significance
"('It', 'consists')",0.14285714285714285,The Normal Forces and Their Thermodynamic Significance
"('consists', 'of')",0.14285714285714285,The Normal Forces and Their Thermodynamic Significance
"('of', 'two')",0.25,The Normal Forces and Their Thermodynamic Significance
"('two', 'blocks')",0.125,The Normal Forces and Their Thermodynamic Significance
"('blocks', 'with')",0.0,The Normal Forces and Their Thermodynamic Significance
"('with', 'flat')",0.14285714285714285,The Normal Forces and Their Thermodynamic Significance
"('flat', 'surfaces')",0.2222222222222222,The Normal Forces and Their Thermodynamic Significance
"('surfaces', 'held')",0.1,The Normal Forces and Their Thermodynamic Significance
"('held', 'apart')",0.0,The Normal Forces and Their Thermodynamic Significance
"('apart', 'by')",0.0,The Normal Forces and Their Thermodynamic Significance
"('by', 'shims')",0.0,The Normal Forces and Their Thermodynamic Significance
"('shims', '.')",0.0,The Normal Forces and Their Thermodynamic Significance
"('.', 'There')",0.0,The Normal Forces and Their Thermodynamic Significance
"('There', 'is')",0.0,The Normal Forces and Their Thermodynamic Significance
"('is', 'a')",0.0,The Normal Forces and Their Thermodynamic Significance
"('a', 'small')",0.25,The Normal Forces and Their Thermodynamic Significance
"('small', 'well')",0.16666666666666666,The Normal Forces and Their Thermodynamic Significance
"('well', 'in')",0.0,The Normal Forces and Their Thermodynamic Significance
"('in', 'the')",0.0,The Normal Forces and Their Thermodynamic Significance
"('the', 'top')",0.2,The Normal Forces and Their Thermodynamic Significance
"('top', 'in')",0.0,The Normal Forces and Their Thermodynamic Significance
"('in', 'which')",0.2,The Normal Forces and Their Thermodynamic Significance
"('which', 'the')",0.16666666666666666,The Normal Forces and Their Thermodynamic Significance
"('the', 'fluid')",0.0,The Normal Forces and Their Thermodynamic Significance
"('fluid', 'or')",0.0,The Normal Forces and Their Thermodynamic Significance
"('or', 'paste')",0.0,The Normal Forces and Their Thermodynamic Significance
"('paste', 'to')",0.16666666666666666,The Normal Forces and Their Thermodynamic Significance
"('to', 'be')",0.0,The Normal Forces and Their Thermodynamic Significance
"('be', 'tested')",0.2,The Normal Forces and Their Thermodynamic Significance
"('tested', 'is')",0.2,The Normal Forces and Their Thermodynamic Significance
"('is', 'placed')",0.0,The Normal Forces and Their Thermodynamic Significance
"('placed', '.')",0.0,The Normal Forces and Their Thermodynamic Significance
"('.', 'A')",0.0,The Normal Forces and Their Thermodynamic Significance
"('A', 'tape')",0.0,The Normal Forces and Their Thermodynamic Significance
"('tape', 'of')",0.0,The Normal Forces and Their Thermodynamic Significance
"('of', 'cellulose')",0.14285714285714285,The Normal Forces and Their Thermodynamic Significance
"('cellulose', 'acetate')",0.25,The Normal Forces and Their Thermodynamic Significance
"('acetate', 'is')",0.0,The Normal Forces and Their Thermodynamic Significance
"('is', 'pulled')",0.0,The Normal Forces and Their Thermodynamic Significance
"('pulled', 'between')",0.1111111111111111,The Normal Forces and Their Thermodynamic Significance
"('between', 'the')",0.3333333333333333,The Normal Forces and Their Thermodynamic Significance
"('the', 'blocks')",0.0,The Normal Forces and Their Thermodynamic Significance
"('blocks', 'and')",0.0,The Normal Forces and Their Thermodynamic Significance
"('and', 'the')",0.0,The Normal Forces and Their Thermodynamic Significance
"('the', 'tape')",0.4,The Normal Forces and Their Thermodynamic Significance
"('tape', 'pulls')",0.14285714285714285,The Normal Forces and Their Thermodynamic Significance
"('pulls', 'the')",0.0,The Normal Forces and Their Thermodynamic Significance
"('paste', 'with')",0.125,The Normal Forces and Their Thermodynamic Significance
"('with', 'it')",0.5,The Normal Forces and Their Thermodynamic Significance
"('it', 'between')",0.16666666666666666,The Normal Forces and Their Thermodynamic Significance
"('the', 'parallel')",0.14285714285714285,The Normal Forces and Their Thermodynamic Significance
"('parallel', 'faces')",0.25,The Normal Forces and Their Thermodynamic Significance
"('faces', 'of')",0.16666666666666666,The Normal Forces and Their Thermodynamic Significance
"('of', 'the')",0.0,The Normal Forces and Their Thermodynamic Significance
"('blocks', '.')",0.0,The Normal Forces and Their Thermodynamic Significance
"('.', 'In')",0.0,The Normal Forces and Their Thermodynamic Significance
"('In', 'normal')",0.14285714285714285,The Normal Forces and Their Thermodynamic Significance
"('normal', 'use')",0.0,The Normal Forces and Their Thermodynamic Significance
"('use', 'weights')",0.25,The Normal Forces and Their Thermodynamic Significance
"('weights', 'are')",0.1111111111111111,The Normal Forces and Their Thermodynamic Significance
"('are', 'hung')",0.0,The Normal Forces and Their Thermodynamic Significance
"('hung', 'on')",0.2,The Normal Forces and Their Thermodynamic Significance
"('on', 'the')",0.0,The Normal Forces and Their Thermodynamic Significance
"('the', 'end')",0.2,The Normal Forces and Their Thermodynamic Significance
"('end', 'of')",0.0,The Normal Forces and Their Thermodynamic Significance
"('tape', 'and')",0.16666666666666666,The Normal Forces and Their Thermodynamic Significance
"('and', 'allowed')",0.2857142857142857,The Normal Forces and Their Thermodynamic Significance
"('allowed', 'to')",0.14285714285714285,The Normal Forces and Their Thermodynamic Significance
"('to', 'pull')",0.0,The Normal Forces and Their Thermodynamic Significance
"('pull', 'the')",0.0,The Normal Forces and Their Thermodynamic Significance
"('the', 'material')",0.25,The Normal Forces and Their Thermodynamic Significance
"('material', 'to')",0.125,The Normal Forces and Their Thermodynamic Significance
"('tested', 'between')",0.2857142857142857,The Normal Forces and Their Thermodynamic Significance
"('.', 'After')",0.0,The Normal Forces and Their Thermodynamic Significance
"('After', 'it')",0.16666666666666666,The Normal Forces and Their Thermodynamic Significance
"('it', 'has')",0.0,The Normal Forces and Their Thermodynamic Significance
"('has', 'reached')",0.2857142857142857,The Normal Forces and Their Thermodynamic Significance
"('reached', 'terminal')",0.2727272727272727,The Normal Forces and Their Thermodynamic Significance
"('terminal', 'velocity')",0.3333333333333333,The Normal Forces and Their Thermodynamic Significance
"('velocity', ',')",0.0,The Normal Forces and Their Thermodynamic Significance
"(',', 'the')",0.0,The Normal Forces and Their Thermodynamic Significance
"('the', 'time')",0.4,The Normal Forces and Their Thermodynamic Significance
"('time', 'for')",0.0,The Normal Forces and Their Thermodynamic Significance
"('for', 'the')",0.0,The Normal Forces and Their Thermodynamic Significance
"('tape', 'to')",0.2,The Normal Forces and Their Thermodynamic Significance
"('to', 'travel')",0.14285714285714285,The Normal Forces and Their Thermodynamic Significance
"('travel', 'a')",0.16666666666666666,The Normal Forces and Their Thermodynamic Significance
"('a', 'known')",0.0,The Normal Forces and Their Thermodynamic Significance
"('known', 'distance')",0.09090909090909091,The Normal Forces and Their Thermodynamic Significance
"('distance', 'is')",0.25,The Normal Forces and Their Thermodynamic Significance
"('is', 'recorded')",0.0,The Normal Forces and Their Thermodynamic Significance
"('recorded', '.')",0.0,The Normal Forces and Their Thermodynamic Significance
"('.', 'By')",0.0,The Normal Forces and Their Thermodynamic Significance
"('By', 'the')",0.0,The Normal Forces and Their Thermodynamic Significance
"('the', 'use')",0.2,The Normal Forces and Their Thermodynamic Significance
"('use', 'of')",0.0,The Normal Forces and Their Thermodynamic Significance
