w,taza
"('Ryan', 'hefted')",0.0,The Planet with No Nightmare
"('hefted', 'his')",0.14285714285714285,The Planet with No Nightmare
"('his', 'bulk')",0.0,The Planet with No Nightmare
"('bulk', 'up')",0.2,The Planet with No Nightmare
"('up', 'and')",0.0,The Planet with No Nightmare
"('and', 'supported')",0.1,The Planet with No Nightmare
"('supported', 'it')",0.1111111111111111,The Planet with No Nightmare
"('it', 'on')",0.0,The Planet with No Nightmare
"('on', 'one')",0.6666666666666666,The Planet with No Nightmare
"('one', 'elbow')",0.3333333333333333,The Planet with No Nightmare
"('elbow', '.')",0.0,The Planet with No Nightmare
"('.', 'He')",0.0,The Planet with No Nightmare
"('He', 'rubbed')",0.16666666666666666,The Planet with No Nightmare
"('rubbed', 'his')",0.0,The Planet with No Nightmare
"('his', 'eyes')",0.2,The Planet with No Nightmare
"('eyes', 'sleepily')",0.5,The Planet with No Nightmare
"('sleepily', 'with')",0.1111111111111111,The Planet with No Nightmare
"('with', 'one')",0.0,The Planet with No Nightmare
"('one', 'huge')",0.16666666666666666,The Planet with No Nightmare
"('huge', 'paw')",0.0,The Planet with No Nightmare
"('paw', '.')",0.0,The Planet with No Nightmare
"('.', '``')",0.0,The Planet with No Nightmare
"('``', 'Ekstrohm')",0.0,The Planet with No Nightmare
"('Ekstrohm', ',')",0.0,The Planet with No Nightmare
"(',', 'Nogol')",0.0,The Planet with No Nightmare
"('Nogol', ',')",0.0,The Planet with No Nightmare
"(',', 'you')",0.0,The Planet with No Nightmare
"('you', 'guys')",0.4,The Planet with No Nightmare
"('guys', 'okay')",0.14285714285714285,The Planet with No Nightmare
"('okay', ""''"")",0.0,The Planet with No Nightmare
"(""''"", '?')",0.0,The Planet with No Nightmare
"('?', '?')",1.0,The Planet with No Nightmare
"('?', '``')",0.0,The Planet with No Nightmare
"('``', 'Nothing')",0.0,The Planet with No Nightmare
"('Nothing', 'wrong')",0.3333333333333333,The Planet with No Nightmare
"('wrong', 'with')",0.125,The Planet with No Nightmare
"('with', 'me')",0.0,The Planet with No Nightmare
"('me', 'that')",0.0,The Planet with No Nightmare
"('that', ""couldn't"")",0.1,The Planet with No Nightmare
"(""couldn't"", 'be')",0.0,The Planet with No Nightmare
"('be', 'cured')",0.16666666666666666,The Planet with No Nightmare
"('cured', ""''"")",0.0,The Planet with No Nightmare
"(""''"", ',')",0.0,The Planet with No Nightmare
"('Nogol', 'said')",0.0,The Planet with No Nightmare
"('said', '.')",0.0,The Planet with No Nightmare
"('He', ""didn't"")",0.0,The Planet with No Nightmare
"(""didn't"", 'say')",0.0,The Planet with No Nightmare
"('say', 'what')",0.16666666666666666,The Planet with No Nightmare
"('what', 'would')",0.125,The Planet with No Nightmare
"('would', 'cure')",0.125,The Planet with No Nightmare
"('cure', 'him')",0.0,The Planet with No Nightmare
"('him', ';')",0.0,The Planet with No Nightmare
"(';', ';')",1.0,The Planet with No Nightmare
"(';', 'he')",0.0,The Planet with No Nightmare
"('he', 'had')",0.25,The Planet with No Nightmare
"('had', 'been')",0.0,The Planet with No Nightmare
