w,taza
"('The', 'Theatre-by-the-Sea')",0.3,The Providence Journal
"('Theatre-by-the-Sea', ',')",0.0,The Providence Journal
"(',', 'Matunuck')",0.0,The Providence Journal
"('Matunuck', ',')",0.0,The Providence Journal
"(',', 'presents')",0.0,The Providence Journal
"('presents', '``')",0.0,The Providence Journal
"('``', 'King')",0.0,The Providence Journal
"('King', 'Of')",0.0,The Providence Journal
"('Of', 'Hearts')",0.0,The Providence Journal
"('Hearts', ""''"")",0.0,The Providence Journal
"(""''"", 'by')",0.0,The Providence Journal
"('by', 'Jean')",0.0,The Providence Journal
"('Jean', 'Kerr')",0.16666666666666666,The Providence Journal
"('Kerr', 'and')",0.0,The Providence Journal
"('and', 'Eleanor')",0.25,The Providence Journal
"('Eleanor', 'Brooke')",0.3333333333333333,The Providence Journal
"('Brooke', '.')",0.0,The Providence Journal
"('.', 'Directed')",0.0,The Providence Journal
"('Directed', 'by')",0.0,The Providence Journal
"('by', 'Michael')",0.0,The Providence Journal
"('Michael', 'Murray')",0.2,The Providence Journal
"('Murray', ';')",0.0,The Providence Journal
"(';', ';')",1.0,The Providence Journal
"(';', 'settings')",0.0,The Providence Journal
"('settings', 'by')",0.0,The Providence Journal
"('by', 'William')",0.0,The Providence Journal
"('William', 'David')",0.25,The Providence Journal
"('David', 'Roberts')",0.0,The Providence Journal
"('Roberts', '.')",0.0,The Providence Journal
"('.', 'The')",0.0,The Providence Journal
"('The', 'cast')",0.0,The Providence Journal
"('cast', ':')",0.0,The Providence Journal
"(':', 'Producer')",0.0,The Providence Journal
"('Producer', 'John')",0.1,The Providence Journal
"('John', 'Holmes')",0.1111111111111111,The Providence Journal
"('Holmes', 'has')",0.125,The Providence Journal
"('has', 'chosen')",0.2857142857142857,The Providence Journal
"('chosen', 'a')",0.0,The Providence Journal
"('a', 'delightful')",0.0,The Providence Journal
"('delightful', 'comedy')",0.15384615384615385,The Providence Journal
"('comedy', 'for')",0.125,The Providence Journal
"('for', 'his')",0.0,The Providence Journal
"('his', ""season's"")",0.125,The Providence Journal
"(""season's"", 'opener')",0.375,The Providence Journal
"('opener', 'at')",0.0,The Providence Journal
"('at', 'Matunuck')",0.2857142857142857,The Providence Journal
"('Matunuck', 'in')",0.125,The Providence Journal
"('in', 'Jean')",0.2,The Providence Journal
"('Jean', ""Kerr's"")",0.125,The Providence Journal
"(""Kerr's"", '``')",0.0,The Providence Journal
"(""''"", '.')",0.0,The Providence Journal
