w,taza
"('``', 'So')",0.0,The Shadow Catcher
"('So', 'it')",0.0,The Shadow Catcher
"('it', ""wasn't"")",0.14285714285714285,The Shadow Catcher
"(""wasn't"", 'the')",0.125,The Shadow Catcher
"('the', 'earthquake')",0.375,The Shadow Catcher
"('earthquake', 'that')",0.375,The Shadow Catcher
"('that', 'made')",0.16666666666666666,The Shadow Catcher
"('made', 'him')",0.16666666666666666,The Shadow Catcher
"('him', 'return')",0.0,The Shadow Catcher
"('return', 'to')",0.16666666666666666,The Shadow Catcher
"('to', 'his')",0.0,The Shadow Catcher
"('his', 'village')",0.125,The Shadow Catcher
"('village', ""''"")",0.0,The Shadow Catcher
"(""''"", '!')",0.0,The Shadow Catcher
"('!', '!')",1.0,The Shadow Catcher
"('!', '``')",0.0,The Shadow Catcher
"('``', 'No')",0.0,The Shadow Catcher
"('No', '.')",0.0,The Shadow Catcher
"('.', 'Now')",0.0,The Shadow Catcher
"('Now', 'dammit')",0.0,The Shadow Catcher
"('dammit', ',')",0.0,The Shadow Catcher
"(',', 'I')",0.0,The Shadow Catcher
"('I', ""don't"")",0.0,The Shadow Catcher
"(""don't"", 'want')",0.2857142857142857,The Shadow Catcher
"('want', 'to')",0.2,The Shadow Catcher
"('to', 'go')",0.3333333333333333,The Shadow Catcher
"('go', 'into')",0.2,The Shadow Catcher
"('into', 'any')",0.16666666666666666,The Shadow Catcher
"('any', 'more')",0.0,The Shadow Catcher
"('more', 'explanations')",0.16666666666666666,The Shadow Catcher
"('explanations', '.')",0.0,The Shadow Catcher
"('.', 'Here')",0.0,The Shadow Catcher
"('Here', 'comes')",0.14285714285714285,The Shadow Catcher
"('comes', 'Jason')",0.25,The Shadow Catcher
"('Jason', '.')",0.0,The Shadow Catcher
"('.', 'Keep')",0.0,The Shadow Catcher
"('Keep', 'this')",0.0,The Shadow Catcher
"('this', 'to')",0.2,The Shadow Catcher
"('to', 'yourself')",0.1111111111111111,The Shadow Catcher
"('yourself', ""''"")",0.0,The Shadow Catcher
"(""''"", '.')",0.0,The Shadow Catcher
"('.', 'Reverend')",0.0,The Shadow Catcher
"('Reverend', 'Jason')",0.1,The Shadow Catcher
"('Jason', ',')",0.0,The Shadow Catcher
"(',', 'looking')",0.0,The Shadow Catcher
"('looking', 'worried')",0.2,The Shadow Catcher
"('worried', ',')",0.0,The Shadow Catcher
