w,taza
"('She', 'lived')",0.14285714285714285,The Ship Who Sang
"('lived', 'and')",0.14285714285714285,The Ship Who Sang
"('and', 'was')",0.2,The Ship Who Sang
"('was', 'given')",0.0,The Ship Who Sang
"('given', 'a')",0.0,The Ship Who Sang
"('a', 'name')",0.25,The Ship Who Sang
"('name', '.')",0.0,The Ship Who Sang
"('.', 'Helva')",0.0,The Ship Who Sang
"('Helva', '.')",0.0,The Ship Who Sang
"('.', 'For')",0.0,The Ship Who Sang
"('For', 'her')",0.2,The Ship Who Sang
"('her', 'first')",0.14285714285714285,The Ship Who Sang
"('first', 'three')",0.2857142857142857,The Ship Who Sang
"('three', 'vegetable')",0.2222222222222222,The Ship Who Sang
"('vegetable', 'months')",0.08333333333333333,The Ship Who Sang
"('months', 'she')",0.2857142857142857,The Ship Who Sang
"('she', 'waved')",0.14285714285714285,The Ship Who Sang
"('waved', 'her')",0.14285714285714285,The Ship Who Sang
"('her', 'crabbed')",0.2857142857142857,The Ship Who Sang
"('crabbed', 'claws')",0.2222222222222222,The Ship Who Sang
"('claws', ',')",0.0,The Ship Who Sang
"(',', 'kicked')",0.0,The Ship Who Sang
"('kicked', 'weakly')",0.2222222222222222,The Ship Who Sang
"('weakly', 'with')",0.1111111111111111,The Ship Who Sang
"('with', 'her')",0.16666666666666666,The Ship Who Sang
"('her', 'clubbed')",0.125,The Ship Who Sang
"('clubbed', 'feet')",0.125,The Ship Who Sang
"('feet', 'and')",0.0,The Ship Who Sang
"('and', 'enjoyed')",0.2857142857142857,The Ship Who Sang
"('enjoyed', 'the')",0.125,The Ship Who Sang
"('the', 'usual')",0.0,The Ship Who Sang
"('usual', 'routine')",0.1,The Ship Who Sang
"('routine', 'of')",0.125,The Ship Who Sang
"('of', 'the')",0.0,The Ship Who Sang
"('the', 'infant')",0.14285714285714285,The Ship Who Sang
"('infant', '.')",0.0,The Ship Who Sang
"('.', 'She')",0.0,The Ship Who Sang
"('She', 'was')",0.0,The Ship Who Sang
"('was', 'not')",0.0,The Ship Who Sang
"('not', 'alone')",0.3333333333333333,The Ship Who Sang
"('alone', 'for')",0.14285714285714285,The Ship Who Sang
"('for', 'there')",0.16666666666666666,The Ship Who Sang
"('there', 'were')",0.4,The Ship Who Sang
"('were', 'three')",0.4,The Ship Who Sang
"('three', 'other')",0.8,The Ship Who Sang
"('other', 'such')",0.125,The Ship Who Sang
"('such', 'children')",0.2,The Ship Who Sang
"('children', 'in')",0.25,The Ship Who Sang
"('in', 'the')",0.0,The Ship Who Sang
"('the', 'big')",0.0,The Ship Who Sang
"('big', ""city's"")",0.125,The Ship Who Sang
"(""city's"", 'special')",0.3,The Ship Who Sang
"('special', 'nursery')",0.18181818181818182,The Ship Who Sang
"('nursery', '.')",0.0,The Ship Who Sang
"('.', 'Soon')",0.0,The Ship Who Sang
"('Soon', 'they')",0.0,The Ship Who Sang
"('they', 'all')",0.0,The Ship Who Sang
"('all', 'were')",0.0,The Ship Who Sang
"('were', 'removed')",0.2857142857142857,The Ship Who Sang
"('removed', 'to')",0.14285714285714285,The Ship Who Sang
"('to', 'Central')",0.125,The Ship Who Sang
"('Central', 'Laboratory')",0.2727272727272727,The Ship Who Sang
"('Laboratory', 'School')",0.09090909090909091,The Ship Who Sang
"('School', 'where')",0.125,The Ship Who Sang
"('where', 'their')",0.5,The Ship Who Sang
