w,taza
"('This', 'was')",0.16666666666666666,The Star Dwellers
"('was', 'not')",0.0,The Star Dwellers
"('not', ',')",0.0,The Star Dwellers
"(',', 'for')",0.0,The Star Dwellers
"('for', 'the')",0.0,The Star Dwellers
"('the', 'Angel')",0.14285714285714285,The Star Dwellers
"('Angel', ',')",0.0,The Star Dwellers
"(',', 'just')",0.0,The Star Dwellers
"('just', 'a')",0.0,The Star Dwellers
"('a', 'matter')",0.2,The Star Dwellers
"('matter', 'of')",0.0,The Star Dwellers
"('of', 'running')",0.0,The Star Dwellers
"('running', 'through')",0.375,The Star Dwellers
"('through', 'a')",0.0,The Star Dwellers
"('a', 'logical')",0.16666666666666666,The Star Dwellers
"('logical', 'or')",0.14285714285714285,The Star Dwellers
"('or', 'deductive')",0.0,The Star Dwellers
"('deductive', 'chain')",0.2,The Star Dwellers
"('chain', ',')",0.0,The Star Dwellers
"(',', 'or')",0.0,The Star Dwellers
"('or', 'deciding')",0.0,The Star Dwellers
"('deciding', 'on')",0.14285714285714285,The Star Dwellers
"('on', 'some')",0.2,The Star Dwellers
"('some', 'action')",0.1111111111111111,The Star Dwellers
"('action', 'from')",0.1111111111111111,The Star Dwellers
"('from', 'some')",0.3333333333333333,The Star Dwellers
"('some', 'already')",0.1111111111111111,The Star Dwellers
"('already', 'established')",0.36363636363636365,The Star Dwellers
"('established', 'premise')",0.25,The Star Dwellers
"('premise', '.')",0.0,The Star Dwellers
"('.', 'No')",0.0,The Star Dwellers
"('No', 'doubt')",0.16666666666666666,The Star Dwellers
"('doubt', 'the')",0.14285714285714285,The Star Dwellers
"('the', 'Angels')",0.125,The Star Dwellers
"('Angels', 'could')",0.1,The Star Dwellers
"('could', 'do')",0.4,The Star Dwellers
"('do', 'that')",0.0,The Star Dwellers
"('that', 'kind')",0.0,The Star Dwellers
"('kind', 'of')",0.0,The Star Dwellers
"('of', 'thing')",0.0,The Star Dwellers
"('thing', 'as')",0.0,The Star Dwellers
"('as', 'fast')",0.5,The Star Dwellers
