w,taza
"('Gavin', 'paused')",0.1,The Valley
"('paused', 'wearily')",0.18181818181818182,The Valley
"('wearily', '.')",0.0,The Valley
"('.', '``')",0.0,The Valley
"('``', 'You')",0.0,The Valley
"('You', ""can't"")",0.0,The Valley
"(""can't"", 'stay')",0.2857142857142857,The Valley
"('stay', 'here')",0.0,The Valley
"('here', 'with')",0.16666666666666666,The Valley
"('with', 'me')",0.0,The Valley
"('me', '.')",0.0,The Valley
"('.', ""It's"")",0.0,The Valley
"(""It's"", 'late')",0.14285714285714285,The Valley
"('late', 'and')",0.16666666666666666,The Valley
"('and', 'you')",0.0,The Valley
"('you', 'said')",0.0,The Valley
"('said', ""they'd"")",0.1111111111111111,The Valley
"(""they'd"", 'be')",0.14285714285714285,The Valley
"('be', 'here')",0.25,The Valley
"('here', 'by')",0.0,The Valley
"('by', 'dawn')",0.0,The Valley
"('dawn', ""''"")",0.0,The Valley
"(""''"", '.')",0.0,The Valley
"(""can't"", 'make')",0.125,The Valley
"('make', 'me')",0.5,The Valley
"('me', 'go')",0.0,The Valley
"('go', ""''"")",0.0,The Valley
"('.', 'Gavin')",0.0,The Valley
"('Gavin', 'sank')",0.2857142857142857,The Valley
"('sank', 'down')",0.14285714285714285,The Valley
"('down', 'again')",0.14285714285714285,The Valley
"('again', 'into')",0.3333333333333333,The Valley
"('into', 'his')",0.16666666666666666,The Valley
"('his', 'chair')",0.3333333333333333,The Valley
"('chair', 'and')",0.14285714285714285,The Valley
"('and', 'began')",0.3333333333333333,The Valley
"('began', 'to')",0.0,The Valley
"('to', 'rock')",0.2,The Valley
"('rock', '.')",0.0,The Valley
"('.', 'He')",0.0,The Valley
"('He', 'was')",0.0,The Valley
"('was', 'thinking')",0.0,The Valley
"('thinking', 'of')",0.0,The Valley
"('of', 'Rittenhouse')",0.1,The Valley
"('Rittenhouse', 'and')",0.09090909090909091,The Valley
"('and', 'how')",0.0,The Valley
"('how', 'he')",0.25,The Valley
"('he', 'had')",0.25,The Valley
"('had', 'left')",0.0,The Valley
"('left', 'him')",0.0,The Valley
"('him', 'there')",0.16666666666666666,The Valley
"('there', ',')",0.0,The Valley
"(',', 'to')",0.0,The Valley
"('rock', 'to')",0.2,The Valley
"('to', 'death')",0.16666666666666666,The Valley
"('death', 'on')",0.0,The Valley
"('on', 'the')",0.0,The Valley
"('the', 'porch')",0.14285714285714285,The Valley
"('porch', 'of')",0.16666666666666666,The Valley
"('of', 'the')",0.0,The Valley
"('the', 'Splendide')",0.1111111111111111,The Valley
"('Splendide', '.')",0.0,The Valley
"('.', 'It')",0.0,The Valley
"('It', 'was')",0.0,The Valley
"('was', 'the')",0.0,The Valley
"('the', 'only')",0.0,The Valley
"('only', 'thing')",0.125,The Valley
"('thing', 'in')",0.4,The Valley
"('in', 'his')",0.25,The Valley
"('his', 'life')",0.16666666666666666,The Valley
"('life', 'for')",0.16666666666666666,The Valley
"('for', 'which')",0.0,The Valley
"('which', 'he')",0.2,The Valley
"('he', 'felt')",0.2,The Valley
"('felt', 'guilt')",0.2857142857142857,The Valley
"('guilt', '.')",0.0,The Valley
"('.', 'Beneath')",0.0,The Valley
"('Beneath', 'his')",0.125,The Valley
"('his', 'black')",0.0,The Valley
"('black', 'shirt')",0.0,The Valley
"('shirt', 'his')",0.6,The Valley
"('his', 'frail')",0.14285714285714285,The Valley
"('frail', 'shoulders')",0.18181818181818182,The Valley
"('shoulders', 'shook')",0.3333333333333333,The Valley
"('shook', 'and')",0.0,The Valley
"('and', 'croaks')",0.125,The Valley
"('croaks', 'of')",0.14285714285714285,The Valley
"('of', 'pain')",0.0,The Valley
"('pain', 'broke')",0.0,The Valley
"('broke', 'from')",0.2857142857142857,The Valley
"('from', 'his')",0.0,The Valley
"('his', 'throat')",0.14285714285714285,The Valley
"('throat', ',')",0.0,The Valley
"(',', 'the')",0.0,The Valley
"('the', 'stored')",0.2857142857142857,The Valley
"('stored', 'pain')",0.0,The Valley
"('pain', 'shattering')",0.3,The Valley
"('shattering', 'free')",0.2,The Valley
"('free', 'in')",0.0,The Valley
"('in', 'slow')",0.0,The Valley
"('slow', 'gasps')",0.14285714285714285,The Valley
"('gasps', ',')",0.0,The Valley
"(',', 'terrible')",0.0,The Valley
"('terrible', 'to')",0.14285714285714285,The Valley
"('to', 'see')",0.0,The Valley
"('see', '.')",0.0,The Valley
"('.', 'Clayton')",0.0,The Valley
"('Clayton', 'tried')",0.09090909090909091,The Valley
"('tried', 'to')",0.16666666666666666,The Valley
"('to', 'call')",0.0,The Valley
"('call', 'back')",0.4,The Valley
"('back', 'the')",0.0,The Valley
"('the', 'face')",0.16666666666666666,The Valley
"('face', 'of')",0.2,The Valley
"('the', 'man')",0.0,The Valley
"('man', 'he')",0.0,The Valley
"('had', 'known')",0.0,The Valley
"('known', '.')",0.0,The Valley
"('.', 'Against')",0.0,The Valley
"('Against', 'that')",0.25,The Valley
"('that', 'other')",0.3333333333333333,The Valley
"('other', 'man')",0.0,The Valley
"('he', 'could')",0.0,The Valley
"('could', 'rally')",0.125,The Valley
"('rally', 'his')",0.0,The Valley
"('his', 'anger')",0.0,The Valley
"('anger', ';')",0.0,The Valley
"(';', ';')",1.0,The Valley
"(';', 'against')",0.0,The Valley
"('against', 'this')",0.42857142857142855,The Valley
"('this', 'bent')",0.14285714285714285,The Valley
"('bent', 'man')",0.16666666666666666,The Valley
"('man', 'in')",0.25,The Valley
"('in', 'the')",0.0,The Valley
"('the', 'chair')",0.14285714285714285,The Valley
"('chair', 'he')",0.16666666666666666,The Valley
"('he', 'was')",0.0,The Valley
"('was', 'powerless')",0.25,The Valley
"('powerless', '.')",0.0,The Valley
"('.', ""Gavin's"")",0.0,The Valley
"(""Gavin's"", 'lips')",0.2222222222222222,The Valley
"('lips', 'moved')",0.0,The Valley
"('moved', 'so')",0.16666666666666666,The Valley
"('so', 'that')",0.0,The Valley
"('that', 'Clayton')",0.25,The Valley
"('Clayton', 'had')",0.1111111111111111,The Valley
"('had', 'to')",0.0,The Valley
"('to', 'stoop')",0.5,The Valley
"('stoop', 'to')",0.5,The Valley
"('to', 'catch')",0.2,The Valley
"('catch', 'the')",0.4,The Valley
"('the', 'words')",0.0,The Valley
"('words', '.')",0.0,The Valley
"('``', 'Do')",0.0,The Valley
"('Do', 'you')",0.25,The Valley
"('you', 'remember')",0.0,The Valley
"('remember', 'Big')",0.0,The Valley
"('Big', 'Charlie')",0.1111111111111111,The Valley
"('Charlie', ""''"")",0.0,The Valley
"(""''"", '?')",0.0,The Valley
"('?', '?')",1.0,The Valley
"('?', 'He')",0.0,The Valley
"('He', 'whispered')",0.1111111111111111,The Valley
"('whispered', '.')",0.0,The Valley
"('``', 'He')",0.0,The Valley
"('He', 'stuck')",0.0,The Valley
"('stuck', 'with')",0.125,The Valley
"('me', 'all')",0.0,The Valley
"('all', 'these')",0.0,The Valley
