w,taza
"('Furthermore', ',')",0.0,Theodore Parker: Apostasy within Liberalism
"(',', 'as')",0.0,Theodore Parker: Apostasy within Liberalism
"('as', 'an')",0.3333333333333333,Theodore Parker: Apostasy within Liberalism
"('an', 'encouragement')",0.2,Theodore Parker: Apostasy within Liberalism
"('encouragement', 'to')",0.2,Theodore Parker: Apostasy within Liberalism
"('to', 'revisionist')",0.25,Theodore Parker: Apostasy within Liberalism
"('revisionist', 'thinking')",0.2727272727272727,Theodore Parker: Apostasy within Liberalism
"('thinking', ',')",0.0,Theodore Parker: Apostasy within Liberalism
"(',', 'it')",0.0,Theodore Parker: Apostasy within Liberalism
"('it', 'manifestly')",0.2,Theodore Parker: Apostasy within Liberalism
"('manifestly', 'is')",0.2,Theodore Parker: Apostasy within Liberalism
"('is', 'fair')",0.2,Theodore Parker: Apostasy within Liberalism
"('fair', 'to')",0.0,Theodore Parker: Apostasy within Liberalism
"('to', 'admit')",0.16666666666666666,Theodore Parker: Apostasy within Liberalism
"('admit', 'that')",0.3333333333333333,Theodore Parker: Apostasy within Liberalism
"('that', 'any')",0.2,Theodore Parker: Apostasy within Liberalism
"('any', 'fraternity')",0.375,Theodore Parker: Apostasy within Liberalism
"('fraternity', 'has')",0.1,Theodore Parker: Apostasy within Liberalism
"('has', 'a')",0.3333333333333333,Theodore Parker: Apostasy within Liberalism
"('a', 'constitutional')",0.1111111111111111,Theodore Parker: Apostasy within Liberalism
"('constitutional', 'right')",0.16666666666666666,Theodore Parker: Apostasy within Liberalism
"('right', 'to')",0.16666666666666666,Theodore Parker: Apostasy within Liberalism
"('to', 'refuse')",0.0,Theodore Parker: Apostasy within Liberalism
"('refuse', 'to')",0.0,Theodore Parker: Apostasy within Liberalism
"('to', 'accept')",0.16666666666666666,Theodore Parker: Apostasy within Liberalism
"('accept', 'persons')",0.2222222222222222,Theodore Parker: Apostasy within Liberalism
"('persons', 'it')",0.0,Theodore Parker: Apostasy within Liberalism
"('it', 'dislikes')",0.14285714285714285,Theodore Parker: Apostasy within Liberalism
"('dislikes', '.')",0.0,Theodore Parker: Apostasy within Liberalism
"('.', 'The')",0.0,Theodore Parker: Apostasy within Liberalism
"('The', 'Unitarian')",0.0,Theodore Parker: Apostasy within Liberalism
"('Unitarian', 'clergy')",0.09090909090909091,Theodore Parker: Apostasy within Liberalism
