w,taza
"('In', 'the')",0.0,Toward a Concept of National Responsibility
"('the', 'past')",0.16666666666666666,Toward a Concept of National Responsibility
"('past', ',')",0.0,Toward a Concept of National Responsibility
"(',', 'the')",0.0,Toward a Concept of National Responsibility
"('the', 'duties')",0.2857142857142857,Toward a Concept of National Responsibility
"('duties', 'of')",0.0,Toward a Concept of National Responsibility
"('of', 'the')",0.0,Toward a Concept of National Responsibility
"('the', 'state')",0.4,Toward a Concept of National Responsibility
"('state', ',')",0.0,Toward a Concept of National Responsibility
"(',', 'as')",0.0,Toward a Concept of National Responsibility
"('as', 'Sir')",0.0,Toward a Concept of National Responsibility
"('Sir', 'Henry')",0.14285714285714285,Toward a Concept of National Responsibility
"('Henry', 'Maine')",0.25,Toward a Concept of National Responsibility
"('Maine', 'noted')",0.25,Toward a Concept of National Responsibility
"('noted', 'long')",0.2857142857142857,Toward a Concept of National Responsibility
"('long', 'ago')",0.4,Toward a Concept of National Responsibility
"('ago', ',')",0.0,Toward a Concept of National Responsibility
"(',', 'were')",0.0,Toward a Concept of National Responsibility
"('were', 'only')",0.0,Toward a Concept of National Responsibility
"('only', 'two')",0.16666666666666666,Toward a Concept of National Responsibility
"('two', 'in')",0.0,Toward a Concept of National Responsibility
"('in', 'number')",0.14285714285714285,Toward a Concept of National Responsibility
"('number', ':')",0.0,Toward a Concept of National Responsibility
"(':', 'internal')",0.0,Toward a Concept of National Responsibility
"('internal', 'order')",0.2222222222222222,Toward a Concept of National Responsibility
"('order', 'and')",0.16666666666666666,Toward a Concept of National Responsibility
"('and', 'external')",0.25,Toward a Concept of National Responsibility
"('external', 'security')",0.25,Toward a Concept of National Responsibility
"('security', '.')",0.0,Toward a Concept of National Responsibility
"('.', 'By')",0.0,Toward a Concept of National Responsibility
"('By', 'prevailing')",0.0,Toward a Concept of National Responsibility
"('prevailing', 'over')",0.3,Toward a Concept of National Responsibility
"('over', 'other')",0.5,Toward a Concept of National Responsibility
"('other', 'claimants')",0.08333333333333333,Toward a Concept of National Responsibility
"('claimants', 'for')",0.0,Toward a Concept of National Responsibility
"('for', 'the')",0.0,Toward a Concept of National Responsibility
"('the', 'loyalties')",0.2222222222222222,Toward a Concept of National Responsibility
"('loyalties', 'of')",0.1111111111111111,Toward a Concept of National Responsibility
"('of', 'men')",0.0,Toward a Concept of National Responsibility
"('men', ',')",0.0,Toward a Concept of National Responsibility
"('the', 'nation-state')",0.2222222222222222,Toward a Concept of National Responsibility
"('nation-state', 'maintained')",0.5,Toward a Concept of National Responsibility
"('maintained', 'an')",0.2857142857142857,Toward a Concept of National Responsibility
"('an', 'adequate')",0.14285714285714285,Toward a Concept of National Responsibility
"('adequate', 'measure')",0.3333333333333333,Toward a Concept of National Responsibility
"('measure', 'of')",0.0,Toward a Concept of National Responsibility
"('of', 'certainty')",0.0,Toward a Concept of National Responsibility
"('certainty', 'and')",0.2222222222222222,Toward a Concept of National Responsibility
"('and', 'order')",0.16666666666666666,Toward a Concept of National Responsibility
"('order', 'within')",0.0,Toward a Concept of National Responsibility
"('within', 'its')",0.3333333333333333,Toward a Concept of National Responsibility
"('its', 'territorial')",0.25,Toward a Concept of National Responsibility
"('territorial', 'borders')",0.3,Toward a Concept of National Responsibility
"('borders', '.')",0.0,Toward a Concept of National Responsibility
"('.', 'Outside')",0.0,Toward a Concept of National Responsibility
"('Outside', 'those')",0.3333333333333333,Toward a Concept of National Responsibility
"('those', 'limits')",0.25,Toward a Concept of National Responsibility
"('limits', 'it')",0.4,Toward a Concept of National Responsibility
"('it', 'asserted')",0.14285714285714285,Toward a Concept of National Responsibility
"('asserted', ',')",0.0,Toward a Concept of National Responsibility
"('as', 'against')",0.3333333333333333,Toward a Concept of National Responsibility
"('against', 'other')",0.1,Toward a Concept of National Responsibility
"('other', 'states')",0.2857142857142857,Toward a Concept of National Responsibility
"('states', ',')",0.0,Toward a Concept of National Responsibility
