w,taza
"('I', 'have')",0.0,Tracts published by American Tract Society
"('have', ',')",0.0,Tracts published by American Tract Society
"(',', 'within')",0.0,Tracts published by American Tract Society
"('within', 'the')",0.3333333333333333,Tracts published by American Tract Society
"('the', 'past')",0.16666666666666666,Tracts published by American Tract Society
"('past', 'fifty')",0.14285714285714285,Tracts published by American Tract Society
"('fifty', 'years')",0.125,Tracts published by American Tract Society
"('years', ',')",0.0,Tracts published by American Tract Society
"(',', 'come')",0.0,Tracts published by American Tract Society
"('come', 'out')",0.16666666666666666,Tracts published by American Tract Society
"('out', 'of')",0.25,Tracts published by American Tract Society
"('of', 'all')",0.0,Tracts published by American Tract Society
"('all', 'uncertainty')",0.1,Tracts published by American Tract Society
"('uncertainty', 'into')",0.3,Tracts published by American Tract Society
"('into', 'a')",0.0,Tracts published by American Tract Society
"('a', 'faith')",0.2,Tracts published by American Tract Society
"('faith', 'which')",0.2857142857142857,Tracts published by American Tract Society
"('which', 'is')",0.2,Tracts published by American Tract Society
"('is', 'a')",0.0,Tracts published by American Tract Society
"('a', 'dominating')",0.125,Tracts published by American Tract Society
"('dominating', 'conviction')",0.4,Tracts published by American Tract Society
"('conviction', 'of')",0.14285714285714285,Tracts published by American Tract Society
"('of', 'the')",0.0,Tracts published by American Tract Society
"('the', 'Truth')",0.3333333333333333,Tracts published by American Tract Society
"('Truth', 'and')",0.0,Tracts published by American Tract Society
"('and', 'about')",0.14285714285714285,Tracts published by American Tract Society
"('about', 'which')",0.0,Tracts published by American Tract Society
"('which', 'I')",0.0,Tracts published by American Tract Society
"('have', 'not')",0.0,Tracts published by American Tract Society
"('not', 'a')",0.0,Tracts published by American Tract Society
"('a', 'shadow')",0.16666666666666666,Tracts published by American Tract Society
"('shadow', 'of')",0.14285714285714285,Tracts published by American Tract Society
"('of', 'doubt')",0.16666666666666666,Tracts published by American Tract Society
"('doubt', '.')",0.0,Tracts published by American Tract Society
"('.', 'It')",0.0,Tracts published by American Tract Society
"('It', 'has')",0.0,Tracts published by American Tract Society
