w,taza
"('The', 'sentry')",0.125,Trail of the Tattered Star
"('sentry', 'was')",0.125,Trail of the Tattered Star
"('was', 'not')",0.0,Trail of the Tattered Star
"('not', 'dead')",0.0,Trail of the Tattered Star
"('dead', '.')",0.0,Trail of the Tattered Star
"('.', 'He')",0.0,Trail of the Tattered Star
"('He', 'was')",0.0,Trail of the Tattered Star
"('was', ',')",0.0,Trail of the Tattered Star
"(',', 'in')",0.0,Trail of the Tattered Star
"('in', 'fact')",0.0,Trail of the Tattered Star
"('fact', ',')",0.0,Trail of the Tattered Star
"(',', 'showing')",0.0,Trail of the Tattered Star
"('showing', 'signs')",0.5714285714285714,Trail of the Tattered Star
"('signs', 'of')",0.0,Trail of the Tattered Star
"('of', 'reviving')",0.0,Trail of the Tattered Star
"('reviving', '.')",0.0,Trail of the Tattered Star
"('He', 'had')",0.0,Trail of the Tattered Star
"('had', 'been')",0.0,Trail of the Tattered Star
"('been', 'carrying')",0.1111111111111111,Trail of the Tattered Star
"('carrying', 'an')",0.2857142857142857,Trail of the Tattered Star
"('an', 'Enfield')",0.125,Trail of the Tattered Star
"('Enfield', 'rifle')",0.5,Trail of the Tattered Star
"('rifle', 'and')",0.0,Trail of the Tattered Star
"('and', 'a')",0.3333333333333333,Trail of the Tattered Star
"('a', 'holstered')",0.0,Trail of the Tattered Star
"('holstered', 'navy')",0.0,Trail of the Tattered Star
"('navy', 'cap-and-ball')",0.2,Trail of the Tattered Star
"('cap-and-ball', 'pistol')",0.16666666666666666,Trail of the Tattered Star
"('pistol', '.')",0.0,Trail of the Tattered Star
"('.', 'A')",0.0,Trail of the Tattered Star
"('A', 'bayonet')",0.0,Trail of the Tattered Star
"('bayonet', 'hung')",0.1,Trail of the Tattered Star
"('hung', 'in')",0.2,Trail of the Tattered Star
"('in', 'a')",0.0,Trail of the Tattered Star
"('a', 'belt')",0.0,Trail of the Tattered Star
"('belt', 'scabbard')",0.1111111111111111,Trail of the Tattered Star
"('scabbard', '.')",0.0,Trail of the Tattered Star
"('was', 'partially')",0.1111111111111111,Trail of the Tattered Star
"('partially', 'uniformed')",0.14285714285714285,Trail of the Tattered Star
"('uniformed', 'in')",0.2222222222222222,Trail of the Tattered Star
"('a', 'cavalry')",0.16666666666666666,Trail of the Tattered Star
"('cavalry', 'tunic')",0.1,Trail of the Tattered Star
"('tunic', 'and')",0.14285714285714285,Trail of the Tattered Star
"('and', 'hat')",0.2,Trail of the Tattered Star
"('hat', '.')",0.0,Trail of the Tattered Star
"('.', 'Mike')",0.0,Trail of the Tattered Star
"('Mike', 'stripped')",0.2222222222222222,Trail of the Tattered Star
"('stripped', 'these')",0.375,Trail of the Tattered Star
"('these', 'from')",0.0,Trail of the Tattered Star
"('from', 'him')",0.16666666666666666,Trail of the Tattered Star
"('him', 'and')",0.0,Trail of the Tattered Star
"('and', 'donned')",0.4,Trail of the Tattered Star
"('donned', 'them')",0.14285714285714285,Trail of the Tattered Star
"('them', '.')",0.0,Trail of the Tattered Star
"('He', 'and')",0.0,Trail of the Tattered Star
"('and', 'Dean')",0.4,Trail of the Tattered Star
"('Dean', 'tied')",0.14285714285714285,Trail of the Tattered Star
"('tied', 'and')",0.16666666666666666,Trail of the Tattered Star
"('and', 'gagged')",0.4,Trail of the Tattered Star
"('gagged', 'the')",0.16666666666666666,Trail of the Tattered Star
"('the', 'man')",0.0,Trail of the Tattered Star
"('man', ',')",0.0,Trail of the Tattered Star
"(',', 'using')",0.0,Trail of the Tattered Star
"('using', 'his')",0.3333333333333333,Trail of the Tattered Star
"('his', 'belt')",0.0,Trail of the Tattered Star
"('belt', 'and')",0.0,Trail of the Tattered Star
"('and', 'shirt')",0.0,Trail of the Tattered Star
"('shirt', 'for')",0.14285714285714285,Trail of the Tattered Star
"('for', 'the')",0.0,Trail of the Tattered Star
"('the', 'purpose')",0.125,Trail of the Tattered Star
"('purpose', '.')",0.0,Trail of the Tattered Star
"('.', 'They')",0.0,Trail of the Tattered Star
"('They', 'dragged')",0.125,Trail of the Tattered Star
"('dragged', 'him')",0.0,Trail of the Tattered Star
"('him', 'inside')",0.14285714285714285,Trail of the Tattered Star
"('inside', 'the')",0.14285714285714285,Trail of the Tattered Star
"('the', 'building')",0.0,Trail of the Tattered Star
"('building', '.')",0.0,Trail of the Tattered Star
"('.', 'Fiske')",0.0,Trail of the Tattered Star
"('Fiske', 'joined')",0.2222222222222222,Trail of the Tattered Star
