w,taza
"('Mickie', 'sat')",0.0,"Tristram Coffin, Not to the Swift"
"('sat', 'over')",0.0,"Tristram Coffin, Not to the Swift"
"('over', 'his')",0.0,"Tristram Coffin, Not to the Swift"
"('his', 'second')",0.125,"Tristram Coffin, Not to the Swift"
"('second', 'whisky-on-the-rocks')",0.35714285714285715,"Tristram Coffin, Not to the Swift"
"('whisky-on-the-rocks', 'in')",0.15384615384615385,"Tristram Coffin, Not to the Swift"
"('in', 'a')",0.0,"Tristram Coffin, Not to the Swift"
"('a', 'little')",0.0,"Tristram Coffin, Not to the Swift"
"('little', 'bar')",0.0,"Tristram Coffin, Not to the Swift"
"('bar', 'next')",0.0,"Tristram Coffin, Not to the Swift"
"('next', 'to')",0.2,"Tristram Coffin, Not to the Swift"
"('to', 'the')",0.25,"Tristram Coffin, Not to the Swift"
"('the', 'funeral')",0.1111111111111111,"Tristram Coffin, Not to the Swift"
"('funeral', 'parlor')",0.3333333333333333,"Tristram Coffin, Not to the Swift"
"('parlor', 'on')",0.16666666666666666,"Tristram Coffin, Not to the Swift"
"('on', 'Pennsylvania')",0.1,"Tristram Coffin, Not to the Swift"
"('Pennsylvania', 'Avenue')",0.2727272727272727,"Tristram Coffin, Not to the Swift"
"('Avenue', '.')",0.0,"Tristram Coffin, Not to the Swift"
"('.', ""Al's"")",0.0,"Tristram Coffin, Not to the Swift"
"(""Al's"", 'Little')",0.125,"Tristram Coffin, Not to the Swift"
"('Little', 'Cafe')",0.125,"Tristram Coffin, Not to the Swift"
"('Cafe', 'was')",0.16666666666666666,"Tristram Coffin, Not to the Swift"
"('was', 'small')",0.4,"Tristram Coffin, Not to the Swift"
"('small', ',')",0.0,"Tristram Coffin, Not to the Swift"
"(',', 'dark')",0.0,"Tristram Coffin, Not to the Swift"
"('dark', ',')",0.0,"Tristram Coffin, Not to the Swift"
"(',', 'narrow')",0.0,"Tristram Coffin, Not to the Swift"
"('narrow', ',')",0.0,"Tristram Coffin, Not to the Swift"
"(',', 'and')",0.0,"Tristram Coffin, Not to the Swift"
"('and', 'filled')",0.14285714285714285,"Tristram Coffin, Not to the Swift"
"('filled', 'with')",0.125,"Tristram Coffin, Not to the Swift"
"('with', 'the')",0.4,"Tristram Coffin, Not to the Swift"
"('the', 'mingled')",0.1111111111111111,"Tristram Coffin, Not to the Swift"
"('mingled', 'scent')",0.2,"Tristram Coffin, Not to the Swift"
"('scent', 'of')",0.0,"Tristram Coffin, Not to the Swift"
"('of', 'beer')",0.0,"Tristram Coffin, Not to the Swift"
"('beer', ',')",0.0,"Tristram Coffin, Not to the Swift"
"(',', 'tobacco')",0.0,"Tristram Coffin, Not to the Swift"
"('tobacco', 'smoke')",0.1111111111111111,"Tristram Coffin, Not to the Swift"
"('smoke', ',')",0.0,"Tristram Coffin, Not to the Swift"
"('and', 'Italian')",0.2857142857142857,"Tristram Coffin, Not to the Swift"
"('Italian', 'cooking')",0.2,"Tristram Coffin, Not to the Swift"
"('cooking', '.')",0.0,"Tristram Coffin, Not to the Swift"
"('.', 'Hanging')",0.0,"Tristram Coffin, Not to the Swift"
"('Hanging', 'over')",0.0,"Tristram Coffin, Not to the Swift"
"('over', 'the')",0.16666666666666666,"Tristram Coffin, Not to the Swift"
"('the', 'bar')",0.0,"Tristram Coffin, Not to the Swift"
"('bar', 'was')",0.2,"Tristram Coffin, Not to the Swift"
"('was', 'an')",0.25,"Tristram Coffin, Not to the Swift"
"('an', 'oil')",0.0,"Tristram Coffin, Not to the Swift"
"('oil', 'painting')",0.125,"Tristram Coffin, Not to the Swift"
"('painting', 'of')",0.0,"Tristram Coffin, Not to the Swift"
"('of', 'a')",0.0,"Tristram Coffin, Not to the Swift"
"('a', 'nude')",0.0,"Tristram Coffin, Not to the Swift"
"('nude', 'Al')",0.0,"Tristram Coffin, Not to the Swift"
"('Al', 'had')",0.0,"Tristram Coffin, Not to the Swift"
"('had', 'accepted')",0.2857142857142857,"Tristram Coffin, Not to the Swift"
"('accepted', 'from')",0.0,"Tristram Coffin, Not to the Swift"
"('from', 'a')",0.0,"Tristram Coffin, Not to the Swift"
"('a', 'student')",0.0,"Tristram Coffin, Not to the Swift"
"('student', 'at')",0.14285714285714285,"Tristram Coffin, Not to the Swift"
"('at', 'the')",0.25,"Tristram Coffin, Not to the Swift"
"('the', 'Corcoran')",0.0,"Tristram Coffin, Not to the Swift"
"('Corcoran', 'Gallery')",0.2,"Tristram Coffin, Not to the Swift"
"('Gallery', 'who')",0.0,"Tristram Coffin, Not to the Swift"
"('who', 'needed')",0.0,"Tristram Coffin, Not to the Swift"
"('needed', 'to')",0.0,"Tristram Coffin, Not to the Swift"
"('to', 'eat')",0.25,"Tristram Coffin, Not to the Swift"
"('eat', 'and')",0.2,"Tristram Coffin, Not to the Swift"
"('and', 'drink')",0.3333333333333333,"Tristram Coffin, Not to the Swift"
"('drink', 'and')",0.3333333333333333,"Tristram Coffin, Not to the Swift"
"('and', 'was')",0.2,"Tristram Coffin, Not to the Swift"
"('was', 'broke')",0.0,"Tristram Coffin, Not to the Swift"
"('broke', '.')",0.0,"Tristram Coffin, Not to the Swift"
"('.', 'The')",0.0,"Tristram Coffin, Not to the Swift"
"('The', 'nude')",0.16666666666666666,"Tristram Coffin, Not to the Swift"
"('nude', 'was')",0.0,"Tristram Coffin, Not to the Swift"
"('small', 'and')",0.16666666666666666,"Tristram Coffin, Not to the Swift"
"('and', 'black-haired')",0.16666666666666666,"Tristram Coffin, Not to the Swift"
"('black-haired', 'and')",0.16666666666666666,"Tristram Coffin, Not to the Swift"
"('and', 'elfin')",0.14285714285714285,"Tristram Coffin, Not to the Swift"
"('elfin', ',')",0.0,"Tristram Coffin, Not to the Swift"
"('was', 'called')",0.14285714285714285,"Tristram Coffin, Not to the Swift"
"('called', '``')",0.0,"Tristram Coffin, Not to the Swift"
"('``', 'Eloise')",0.0,"Tristram Coffin, Not to the Swift"
"('Eloise', ""''"")",0.0,"Tristram Coffin, Not to the Swift"
"(""''"", '.')",0.0,"Tristram Coffin, Not to the Swift"
"('.', 'This')",0.0,"Tristram Coffin, Not to the Swift"
"('This', 'was')",0.16666666666666666,"Tristram Coffin, Not to the Swift"
"('was', 'one')",0.0,"Tristram Coffin, Not to the Swift"
"('one', 'place')",0.14285714285714285,"Tristram Coffin, Not to the Swift"
"('place', 'where')",0.125,"Tristram Coffin, Not to the Swift"
"('where', 'Moonan')",0.0,"Tristram Coffin, Not to the Swift"
"('Moonan', 'could')",0.125,"Tristram Coffin, Not to the Swift"
"('could', 'go')",0.16666666666666666,"Tristram Coffin, Not to the Swift"
"('go', 'for')",0.25,"Tristram Coffin, Not to the Swift"
"('for', 'a')",0.0,"Tristram Coffin, Not to the Swift"
"('a', 'drink')",0.0,"Tristram Coffin, Not to the Swift"
"('drink', 'in')",0.4,"Tristram Coffin, Not to the Swift"
"('a', 'back')",0.25,"Tristram Coffin, Not to the Swift"
