w,taza
"('As', 'a')",0.0,"William G. Pollard, Physicist and Christian"
"('a', 'result')",0.0,"William G. Pollard, Physicist and Christian"
"('result', ',')",0.0,"William G. Pollard, Physicist and Christian"
"(',', 'although')",0.0,"William G. Pollard, Physicist and Christian"
"('although', 'we')",0.0,"William G. Pollard, Physicist and Christian"
"('we', 'still')",0.0,"William G. Pollard, Physicist and Christian"
"('still', 'make')",0.0,"William G. Pollard, Physicist and Christian"
"('make', 'use')",0.16666666666666666,"William G. Pollard, Physicist and Christian"
"('use', 'of')",0.0,"William G. Pollard, Physicist and Christian"
"('of', 'this')",0.0,"William G. Pollard, Physicist and Christian"
"('this', 'distinction')",0.375,"William G. Pollard, Physicist and Christian"
"('distinction', ',')",0.0,"William G. Pollard, Physicist and Christian"
"(',', 'there')",0.0,"William G. Pollard, Physicist and Christian"
"('there', 'is')",0.0,"William G. Pollard, Physicist and Christian"
"('is', 'much')",0.0,"William G. Pollard, Physicist and Christian"
"('much', 'confusion')",0.2222222222222222,"William G. Pollard, Physicist and Christian"
"('confusion', 'as')",0.125,"William G. Pollard, Physicist and Christian"
"('as', 'to')",0.0,"William G. Pollard, Physicist and Christian"
"('to', 'the')",0.25,"William G. Pollard, Physicist and Christian"
"('the', 'meaning')",0.125,"William G. Pollard, Physicist and Christian"
"('meaning', 'of')",0.0,"William G. Pollard, Physicist and Christian"
"('of', 'the')",0.0,"William G. Pollard, Physicist and Christian"
"('the', 'basic')",0.0,"William G. Pollard, Physicist and Christian"
"('basic', 'terms')",0.1111111111111111,"William G. Pollard, Physicist and Christian"
"('terms', 'employed')",0.2,"William G. Pollard, Physicist and Christian"
"('employed', '.')",0.0,"William G. Pollard, Physicist and Christian"
"('.', 'Just')",0.0,"William G. Pollard, Physicist and Christian"
"('Just', 'what')",0.14285714285714285,"William G. Pollard, Physicist and Christian"
"('what', 'is')",0.0,"William G. Pollard, Physicist and Christian"
"('is', 'meant')",0.0,"William G. Pollard, Physicist and Christian"
"('meant', 'by')",0.0,"William G. Pollard, Physicist and Christian"
