w,vector_semantico
contract,"['contract', 'cut', 'narrow', 'sign_on', 'shrink', 'abridge', 'sign_up', 'compact', 'foreshorten', 'press', 'get', 'squeeze', 'take', 'contract_bridge', 'shorten', 'abbreviate', 'sign', 'compress', 'declaration', 'constrict', 'reduce', 'condense', 'concentrate', 'undertake']"," The Atlanta Constitution,"
financial,"['fiscal', 'financial']"," The Atlanta Constitution,"
found,"['detect', 'found', 'line_up', 'retrieve', 'discover', 'find', 'ascertain', 'receive', 'establish', 'find_oneself', 'come_up', 'observe', 'institute', 'constitute', 'notice', 'plant', 'encounter', 'feel', 'happen', 'set_up', 'get', 'rule', 'witness', 'ground', 'see', 'determine', 'chance', 'find_out', 'get_hold', 'incur', 'bump', 'regain', 'launch', 'obtain', 'base', 'recover']"," The Atlanta Constitution,"
leadership,"['leaders', 'leading', 'leadership']"," The Atlanta Constitution,"
also,"['likewise', 'also', 'too', 'besides', 'as_well']"," The Atlanta Constitution,"
next,"['following', 'succeeding', 'adjacent', 'future', 'next', 'side_by_side']"," The Atlanta Constitution,"
strategy,"['scheme', 'strategy']"," The Atlanta Constitution,"
above,"['supra', 'in_a_higher_place', 'higher_up', 'above', 'to_a_higher_place']"," The Atlanta Constitution,"
besides,"['likewise', 'also', 'too', 'besides', 'in_any_case', 'as_well']"," The Atlanta Constitution,"
guess,"['think', 'judge', 'imagine', 'dead_reckoning', 'reckon', 'guess', 'shot', 'surmisal', 'surmise', 'opine', 'guessing', 'supposition', 'hypothesis', 'hazard', 'guesswork', 'conjecture', 'suppose', 'pretend', 'gauge', 'approximate', 'infer', 'speculation', 'venture', 'estimate']"," The Atlanta Constitution,"
democratic,"['popular', 'Democratic', 'democratic']"," The Atlanta Constitution,"
For,[]," The Atlanta Constitution,"
by,"['aside', 'away', 'by', 'past']"," The Atlanta Constitution,"
last,"['death', 'live_on', 'in_conclusion', 'finally', 'finish', 'close', 'last', 'live', 'terminal', 'hold_up', 'final_stage', 'endure', 'finale', 'utmost', 'last-place', 'end', 'lastly', ""cobbler's_last"", 'final', 'lowest', 'stopping_point', 'go', 'hold_out', 'concluding', 'finis', 'net', 'conclusion', 'survive', ""shoemaker's_last""]"," The Atlanta Constitution,"
ultimate,['ultimate']," The Atlanta Constitution,"
neighbors,"['neighbour', 'neighbor']"," The Atlanta Constitution,"
careful,"['deliberate', 'heedful', 'thrifty', 'measured', 'careful']"," The Atlanta Constitution,"
Unquestionably,"['definitely', 'unquestionably', 'unimpeachably', 'in_spades', 'by_all_odds', 'emphatically', 'decidedly']"," The Atlanta Constitution,"
them,[]," The Atlanta Constitution,"
John,"['King_John', 'bathroom', 'John_the_Evangelist', 'privy', 'John', 'Saint_John', 'whoremonger', 'St._John', 'lav', 'Gospel_According_to_John', 'John_Lackland', 'john', 'Saint_John_the_Apostle', 'trick', 'lavatory', 'John_the_Divine', 'whoremaster', 'can', 'St._John_the_Apostle', 'toilet']"," The Atlanta Constitution,"
repulsive,"['repulsive', 'hideous', 'detestable', 'abhorrent', 'repugnant', 'obscene']"," The Atlanta Constitution,"
real,"['material', 'real', 'real_number', 'genuine', 'existent', 'literal', 'substantial', 'tangible', 'really', 'rattling', 'veridical', 'actual', 'very']"," The Atlanta Constitution,"
members,"['phallus', 'extremity', 'member', 'fellow_member', 'penis', 'appendage']"," The Atlanta Constitution,"
risk,"['gamble', 'chance', 'take_a_chance', 'risk_of_exposure', 'adventure', 'take_chances', 'risk', 'endangerment', 'jeopardy', 'danger', 'risk_of_infection', 'put_on_the_line', 'run_a_risk', 'lay_on_the_line', 'peril', 'hazard']"," The Atlanta Constitution,"
balanced,"['equilibrate', 'balanced', 'equilibrize', 'balance', 'equilibrise', 'poise']"," The Atlanta Constitution,"
That,[]," The Atlanta Constitution,"
