w,vector_semantico
Some,"['roughly', 'just_about', 'some', 'approximately', 'around', 'or_so', 'more_or_less', 'close_to', 'about']",America's Secret Poison Gas Tragedy
Maddalena,[],America's Secret Poison Gas Tragedy
here,"['here', 'Here', 'Hera', 'hither']",America's Secret Poison Gas Tragedy
bombs,"['bomb', 'bombard', 'flush_it', 'turkey', 'dud', 'bomb_calorimeter', 'fail', 'flunk']",America's Secret Poison Gas Tragedy
poison,"['envenom', 'poisonous_substance', 'poison', 'toxicant']",America's Secret Poison Gas Tragedy
post,"['office', 'mail', 'station', 'post', 'situation', 'Emily_Price_Post', 'send', 'military_post', 'place', 'berth', 'Charles_William_Post', 'Post', 'postal_service', 'position', 'stake', 'put_up', 'carry', 'billet', 'C._W._Post', 'Wiley_Post', 'Emily_Post', 'spot', 'brand', 'mail_service']",America's Secret Poison Gas Tragedy
evident,"['discernible', 'plain', 'unmistakable', 'manifest', 'apparent', 'evident', 'patent', 'observable']",America's Secret Poison Gas Tragedy
categorically,"['categorically', 'unconditionally', 'flatly']",America's Secret Poison Gas Tragedy
wrapping,"['swathe', 'roll', 'wrap', 'wrapping', 'twine', 'enfold', 'enclose', 'enwrap', 'wrapper', 'wind', 'wrap_up', 'envelop']",America's Secret Poison Gas Tragedy
Army,"['United_States_Army', 'USA', 'army', 'ground_forces', 'Army', 'regular_army', 'US_Army', 'U._S._Army']",America's Secret Poison Gas Tragedy
desperation,"['despair', 'desperation']",America's Secret Poison Gas Tragedy
right,"['decently', 'flop', 'mightily', 'right_field', 'mighty', 'right', 'powerful', 'aright', 'rightfield', 'justly', 'ripe', 'right_wing', 'rectify', 'rightfulness', 'compensate', 'in_good_order', 'correctly', 'good', 'properly', 'right_on', 'redress', 'proper', 'correct', 'right_hand', 'veracious', 'right-hand', 'the_right_way', 'decent']",America's Secret Poison Gas Tragedy
unerring,"['inerrable', 'inerrant', 'unerring']",America's Secret Poison Gas Tragedy
silhouette,['silhouette'],America's Secret Poison Gas Tragedy
