w,vector_semantico
numerous,"['numerous', 'legion']","Annual Report of Year Ending June 30, 1961"
like,"['wish', 'like', 'corresponding', 'comparable', 'the_like', 'care', 'same', 'alike', 'ilk', 'similar', 'the_likes_of']","Annual Report of Year Ending June 30, 1961"
either,['either'],"Annual Report of Year Ending June 30, 1961"
new,"['newfangled', 'New', 'novel', 'new', 'newly', 'unexampled', 'freshly', 'fresh', 'young', 'raw', 'Modern']","Annual Report of Year Ending June 30, 1961"
capacities,"['capability', 'mental_ability', 'content', 'capacity', 'capacitance', 'electrical_capacity']","Annual Report of Year Ending June 30, 1961"
into,[],"Annual Report of Year Ending June 30, 1961"
laboratories,"['lab', 'science_laboratory', 'research_laboratory', 'laboratory', 'research_lab', 'science_lab', 'testing_ground']","Annual Report of Year Ending June 30, 1961"
review,"['go_over', 'brushup', 'recapitulation', 'reexamination', 'reappraisal', 'review', 'look_back', 'followup', 'critique', 'recap', 'revue', 'limited_review', 'reassessment', 'brush_up', 'refresh', 'review_article', 'retrospect', 'reexamine', 'critical_review', 'follow-up', 'survey', 'revaluation', 'inspection']","Annual Report of Year Ending June 30, 1961"
most,"['near', 'nigh', 'well-nigh', 'nearly', 'about', 'almost', 'virtually', 'most', 'to_the_highest_degree']","Annual Report of Year Ending June 30, 1961"
remember,"['retrieve', 'commend', 'think_back', 'think', 'commemorate', 'recall', 'call_up', 'call_back', 'think_of', 'recollect', 'remember']","Annual Report of Year Ending June 30, 1961"
collects,"['call_for', 'gather_up', 'pile_up', 'accumulate', 'garner', 'pick_up', 'amass', 'pull_in', 'take_in', 'compile', 'hoard', 'pull_together', 'gather', 'collect', 'roll_up']","Annual Report of Year Ending June 30, 1961"
study,"['analyze', 'read', 'canvass', 'report', 'study', 'cogitation', 'consider', 'learn', 'work', 'contemplate', 'meditate', 'hit_the_books', 'bailiwick', 'field', 'sketch', 'examine', 'subject', 'subject_area', 'written_report', 'analyse', 'canvas', 'discipline', 'subject_field', 'survey', 'take', 'field_of_study']","Annual Report of Year Ending June 30, 1961"
ability,"['ability', 'power']","Annual Report of Year Ending June 30, 1961"
By,"['aside', 'by', 'past', 'away']","Annual Report of Year Ending June 30, 1961"
perception,"['percept', 'sensing', 'perception', 'perceptual_experience']","Annual Report of Year Ending June 30, 1961"
promoting,"['raise', 'encourage', 'advance', 'advertize', 'kick_upstairs', 'promote', 'upgrade', 'elevate', 'push', 'boost', 'advertise', 'further']","Annual Report of Year Ending June 30, 1961"
Implementation,"['implementation', 'effectuation', 'execution', 'carrying_out']","Annual Report of Year Ending June 30, 1961"
staff,"['staff', 'stave', 'faculty']","Annual Report of Year Ending June 30, 1961"
unaggressive,"['unaggressive', 'nonaggressive']","Annual Report of Year Ending June 30, 1961"
contrast,"['direct_contrast', 'dividing_line', 'contrast', 'demarcation', 'line', 'counterpoint']","Annual Report of Year Ending June 30, 1961"
virtue,"['merit', 'chastity', 'virtue', 'moral_excellence', 'virtuousness', 'sexual_morality']","Annual Report of Year Ending June 30, 1961"
Indirectly,['indirectly'],"Annual Report of Year Ending June 30, 1961"
worst,"['pip', 'tough', 'high-risk', 'speculative', 'spoilt', 'worst', 'forged', 'defective', 'unsound', 'mop_up', 'whip', 'rack_up', 'spoiled', 'uncollectible', 'big', 'sorry', 'bad', 'risky', 'unfit', 'regretful']","Annual Report of Year Ending June 30, 1961"
starvation,"['starving', 'famishment', 'starvation']","Annual Report of Year Ending June 30, 1961"
candidates,"['campaigner', 'candidate', 'nominee', 'prospect']","Annual Report of Year Ending June 30, 1961"
been,"['equal', 'constitute', 'follow', 'be', 'exist', 'embody', 'live', 'make_up', 'cost', 'personify', 'represent', 'comprise']","Annual Report of Year Ending June 30, 1961"
maximum,"['level_best', 'utmost', 'maximal', 'uttermost', 'upper_limit', 'maximum']","Annual Report of Year Ending June 30, 1961"
outside,"['alfresco', 'outdoors', 'extraneous', 'outside', 'international', 'remote', 'external', 'away', 'out-of-door', 'outdoor', 'exterior', 'out_of_doors']","Annual Report of Year Ending June 30, 1961"
drag,"['hang_back', 'sweep_up', 'drag_out', 'drop_back', 'pull', 'haul', 'tangle', 'embroil', 'hale', 'drag', 'puff', 'scuff', 'get_behind', 'dredge', 'trail', 'sweep', 'drop_behind', 'drag_in', 'retarding_force', 'draw', 'drag_on', 'cart']","Annual Report of Year Ending June 30, 1961"
decisions,"['decisiveness', 'conclusion', 'decision', 'determination']","Annual Report of Year Ending June 30, 1961"
management,"['direction', 'management']","Annual Report of Year Ending June 30, 1961"
useful,"['useful', 'utilitarian', 'utile']","Annual Report of Year Ending June 30, 1961"
self,"['ego', 'self']","Annual Report of Year Ending June 30, 1961"
interchange,"['flip', 'exchange', 'transpose', 'counterchange', 'alternate', 'substitute', 'give-and-take', 'flip-flop', 'change', 'interchange', 'reciprocation', 'switch', 'tack', 'replace']","Annual Report of Year Ending June 30, 1961"
offset,"['branch', 'beginning', 'runner', 'cancel', 'counterbalance', 'kickoff', 'showtime', 'countervail', 'offset_printing', 'offshoot', 'first', 'start', 'set_off', 'set-back', 'stolon', 'offset', 'starting_time', 'outset', 'get-go', 'setoff', 'outgrowth', 'commencement']","Annual Report of Year Ending June 30, 1961"
others,[],"Annual Report of Year Ending June 30, 1961"
quality,"['caliber', 'calibre', 'character', 'prize', 'select', 'lineament', 'tone', 'prime', 'choice', 'timber', 'quality', 'timbre']","Annual Report of Year Ending June 30, 1961"
knowledge,"['cognition', 'noesis', 'knowledge']","Annual Report of Year Ending June 30, 1961"
A,"['vitamin_A', 'A', 'deoxyadenosine_monophosphate', 'adenine', 'a', 'group_A', 'amp', 'ampere', 'angstrom', 'type_A', 'antiophthalmic_factor', 'axerophthol', 'angstrom_unit']","Annual Report of Year Ending June 30, 1961"
qualifications,"['making', 'qualification', 'reservation']","Annual Report of Year Ending June 30, 1961"
energy,"['energy', 'free_energy', 'zip', 'muscularity', 'vim', 'Department_of_Energy', 'vitality', 'Energy', 'get-up-and-go', 'DOE', 'vigour', 'Energy_Department', 'push', 'vigor']","Annual Report of Year Ending June 30, 1961"
involve,"['call_for', 'imply', 'affect', 'involve', 'need', 'regard', 'take', 'postulate', 'ask', 'require', 'demand', 'necessitate']","Annual Report of Year Ending June 30, 1961"
'',[],"Annual Report of Year Ending June 30, 1961"
himself,[],"Annual Report of Year Ending June 30, 1961"
than,[],"Annual Report of Year Ending June 30, 1961"
whose,[],"Annual Report of Year Ending June 30, 1961"
institution,"['introduction', 'insane_asylum', 'initiation', 'establishment', 'origination', 'psychiatric_hospital', 'asylum', 'instauration', 'mental_hospital', 'founding', 'mental_institution', 'institution', 'innovation', 'foundation', 'creation', 'mental_home']","Annual Report of Year Ending June 30, 1961"
day-by-day,"['day-by-day', 'daily', 'day-to-day', 'day-after-day']","Annual Report of Year Ending June 30, 1961"
trustees,"['regent', 'trustee', 'legal_guardian']","Annual Report of Year Ending June 30, 1961"
Proposed,"['project', 'advise', 'declare_oneself', 'nominate', 'propose', 'offer', 'purpose', 'pop_the_question', 'aim', 'purport', 'suggest']","Annual Report of Year Ending June 30, 1961"
materials,"['textile', 'cloth', 'fabric', 'stuff', 'material']","Annual Report of Year Ending June 30, 1961"
budget,['budget'],"Annual Report of Year Ending June 30, 1961"
officers,"['officer', 'military_officer', ""ship's_officer"", 'officeholder', 'policeman', 'police_officer']","Annual Report of Year Ending June 30, 1961"
deciding,"['determinant', 'deciding', 'determinative', 'decision_making', 'determine', 'decide', 'adjudicate', 'determining', 'settle', ""make_up_one's_mind"", 'resolve']","Annual Report of Year Ending June 30, 1961"
cites,"['name', 'acknowledgment', 'cite', 'abduce', 'summon', 'mention', 'refer', 'summons', 'credit', 'quotation', 'adduce', 'bring_up', 'reference', 'citation', 'quote', 'advert']","Annual Report of Year Ending June 30, 1961"
potent,"['virile', 'stiff', 'potent', 'strong', 'powerful']","Annual Report of Year Ending June 30, 1961"
would,[],"Annual Report of Year Ending June 30, 1961"
attention,"['tending', 'care', 'aid', 'attending', 'attention']","Annual Report of Year Ending June 30, 1961"
institutions,"['introduction', 'insane_asylum', 'initiation', 'establishment', 'origination', 'psychiatric_hospital', 'asylum', 'instauration', 'mental_hospital', 'founding', 'mental_institution', 'institution', 'innovation', 'foundation', 'creation', 'mental_home']","Annual Report of Year Ending June 30, 1961"
institution-wide,[],"Annual Report of Year Ending June 30, 1961"
product,"['mathematical_product', 'merchandise', 'ware', 'production', 'intersection', 'Cartesian_product', 'product']","Annual Report of Year Ending June 30, 1961"
as,"['adenine', 'group_A', 'arsenic', 'AS', 'angstrom_unit', 'As', 'as', 'Eastern_Samoa', 'angstrom', 'every_bit', 'a', 'ampere', 'type_A', 'axerophthol', 'atomic_number_33', 'vitamin_A', 'A', 'deoxyadenosine_monophosphate', 'equally', 'amp', 'American_Samoa', 'antiophthalmic_factor']","Annual Report of Year Ending June 30, 1961"
serious,"['good', 'serious', 'dangerous', 'sober', 'life-threatening', 'grievous', 'severe', 'unplayful', 'grave']","Annual Report of Year Ending June 30, 1961"
exchange,"['convert', 'exchange', 'commutation', 'substitute', 'substitution', 'change', 'commute', 'telephone_exchange', 'interchange', 'switch_over', 'central', 'rally', 'switch', 'replace']","Annual Report of Year Ending June 30, 1961"
they,[],"Annual Report of Year Ending June 30, 1961"
cents,"['centime', 'penny', 'cent']","Annual Report of Year Ending June 30, 1961"
tends,"['be_given', 'lean', 'run', 'incline', 'tend']","Annual Report of Year Ending June 30, 1961"
periodically,"['periodically', 'sporadically']","Annual Report of Year Ending June 30, 1961"
stimulate,"['shake', 'rush', 'shake_up', 'stir', 'energize', 'make', 'excite', 'energise', 'perk_up', 'provoke', 'arouse', 'hasten', 'get', 'stimulate', 'brace', 'induce', 'have', 'cause']","Annual Report of Year Ending June 30, 1961"
aide,"['auxiliary', 'aide-de-camp', 'adjutant', 'aide']","Annual Report of Year Ending June 30, 1961"
members,"['member', 'extremity', 'penis', 'appendage', 'phallus', 'fellow_member']","Annual Report of Year Ending June 30, 1961"
university,['university'],"Annual Report of Year Ending June 30, 1961"
enthusiastically,"['enthusiastically', 'sky-high']","Annual Report of Year Ending June 30, 1961"
measured,"['mensural', 'careful', 'assess', 'quantify', 'metrical', 'measure_out', 'mensurate', 'appraise', 'metric', 'deliberate', 'mensurable', 'value', 'calculated', 'measured', 'measure', 'evaluate', 'valuate']","Annual Report of Year Ending June 30, 1961"
When,[],"Annual Report of Year Ending June 30, 1961"
good,"['proficient', 'sound', 'respectable', 'well', 'salutary', 'full', 'serious', 'estimable', 'effective', 'in_effect', 'commodity', 'skilful', 'just', 'dear', 'practiced', 'good', 'adept', 'thoroughly', 'safe', 'trade_good', 'honest', 'near', 'goodness', 'skillful', 'right', 'unspoilt', 'expert', 'ripe', 'undecomposed', 'unspoiled', 'secure', 'in_force', 'soundly', 'honorable', 'upright', 'dependable', 'beneficial']","Annual Report of Year Ending June 30, 1961"
views,"['aspect', 'horizon', 'perspective', 'vista', 'regard', 'look_at', 'take_in', 'catch', 'persuasion', 'reckon', 'consider', 'sentiment', 'eyeshot', 'opinion', 'watch', 'thought', 'view', 'purview', 'scene', 'position', 'prospect', 'sight', 'panorama', 'survey', 'see']","Annual Report of Year Ending June 30, 1961"
chairmen,"['president', 'chairperson', 'chairman', 'chair', 'chairwoman']","Annual Report of Year Ending June 30, 1961"
equipment,['equipment'],"Annual Report of Year Ending June 30, 1961"
instead,"['instead', 'alternatively', 'or_else', 'rather']","Annual Report of Year Ending June 30, 1961"
appointment,"['date', 'naming', 'appointment', 'engagement', 'assignment', 'appointee', 'designation', 'fitting']","Annual Report of Year Ending June 30, 1961"
How,[],"Annual Report of Year Ending June 30, 1961"
information,"['data', 'entropy', 'information', 'selective_information', 'info']","Annual Report of Year Ending June 30, 1961"
at,"['At', 'atomic_number_85', 'astatine', 'at']","Annual Report of Year Ending June 30, 1961"
reports,"['write_up', 'reputation', 'theme', 'report_card', 'written_report', 'cover', 'story', 'composition', 'paper', 'news_report', 'report', 'account', 'describe', 'study']","Annual Report of Year Ending June 30, 1961"
view,"['aspect', 'horizon', 'perspective', 'vista', 'regard', 'look_at', 'take_in', 'catch', 'persuasion', 'reckon', 'consider', 'sentiment', 'eyeshot', 'opinion', 'watch', 'thought', 'view', 'purview', 'scene', 'position', 'prospect', 'sight', 'panorama', 'survey', 'see']","Annual Report of Year Ending June 30, 1961"
decide,"['determine', 'decide', 'adjudicate', 'settle', ""make_up_one's_mind"", 'resolve']","Annual Report of Year Ending June 30, 1961"
much,"['a_good_deal', 'often', 'a_lot', 'a_great_deal', 'very_much', 'much', 'lots', 'practically']","Annual Report of Year Ending June 30, 1961"
innovation,"['introduction', 'initiation', 'origination', 'conception', 'instauration', 'invention', 'founding', 'innovation', 'excogitation', 'foundation', 'institution', 'creation', 'design']","Annual Report of Year Ending June 30, 1961"
One,"['ane', 'unitary', 'peerless', 'unity', 'single', 'unrivaled', 'unmatched', '1', 'one_and_only', 'unrivalled', 'I', 'unmatchable', 'i', 'one', 'nonpareil', 'ace', 'matchless']","Annual Report of Year Ending June 30, 1961"
their,[],"Annual Report of Year Ending June 30, 1961"
if,[],"Annual Report of Year Ending June 30, 1961"
insist,"['take_a_firm_stand', 'insist', 'importune', 'assert']","Annual Report of Year Ending June 30, 1961"
projects,"['image', 'project', 'protrude', 'plan', 'propose', 'figure', 'fancy', 'throw', 'jut_out', 'projection', 'labor', 'cast', 'send_off', 'visualize', 'contrive', 'envision', 'stick_out', 'jut', 'externalise', 'undertaking', 'picture', 'task', 'externalize', 'visualise', 'design', 'see']","Annual Report of Year Ending June 30, 1961"
the,[],"Annual Report of Year Ending June 30, 1961"
planning,"['planning', 'be_after', 'project', 'preparation', 'design', 'plan', 'provision', 'contrive']","Annual Report of Year Ending June 30, 1961"
regenerates,"['revitalize', 'rejuvenate', 'reform', 'renew', 'regenerate', 'reclaim', 'restore', 'rectify']","Annual Report of Year Ending June 30, 1961"
highest,"['gamey', 'high-pitched', 'mellow', 'in_high_spirits', 'high', 'gamy', 'eminent']","Annual Report of Year Ending June 30, 1961"
There,"['on_that_point', 'at_that_place', 'in_that_location', 'in_that_respect', 'there', 'thither']","Annual Report of Year Ending June 30, 1961"
deadlines,['deadline'],"Annual Report of Year Ending June 30, 1961"
standing,"['suffer', 'stick_out', 'bear', 'place_upright', 'brook', 'remain_firm', 'endure', 'fend', 'tolerate', 'stand', 'standing', 'digest', 'stomach', 'stand_up', 'support', 'resist', 'abide', 'put_up']","Annual Report of Year Ending June 30, 1961"
which,[],"Annual Report of Year Ending June 30, 1961"
widest,"['panoptic', 'encompassing', 'wide_of_the_mark', 'all-encompassing', 'across-the-board', 'all-inclusive', 'broad', 'blanket', 'all-embracing', 'spacious', 'wide-cut', 'extensive', 'full', 'wide', 'wide-eyed']","Annual Report of Year Ending June 30, 1961"
opportunity,"['opportunity', 'chance']","Annual Report of Year Ending June 30, 1961"
vital,"['full_of_life', 'critical', 'life-sustaining', 'lively', 'vital']","Annual Report of Year Ending June 30, 1961"
building,"['edifice', 'progress', 'make', 'ramp_up', 'build_up', 'establish', 'construct', 'construction', 'work_up', 'building', 'build']","Annual Report of Year Ending June 30, 1961"
(,[],"Annual Report of Year Ending June 30, 1961"
pattern,"['pattern', 'approach_pattern', 'blueprint', 'shape', 'practice', 'rule', 'normal', 'convention', 'model', 'traffic_pattern', 'radiation_pattern', 'figure', 'radiation_diagram', 'design', 'form', 'formula']","Annual Report of Year Ending June 30, 1961"
pay,"['compensate', 'pay', 'pay_up', 'bear', 'pay_off', 'give', 'yield', 'earnings', 'ante_up', 'wage', 'remuneration', 'devote', 'make_up', 'salary']","Annual Report of Year Ending June 30, 1961"
step,"['gradation', 'step', 'whole_tone', 'whole_step', 'tread', 'stair', 'dance_step', 'pace', 'footstep', 'footfall', 'mistreat', 'stride', 'maltreat', 'tone', 'footprint', 'ill-treat', 'ill-use', ""stone's_throw"", 'abuse', 'measure', 'footmark']","Annual Report of Year Ending June 30, 1961"
persist,"['stay', 'persist', 'remain', 'endure', 'die_hard', 'persevere', 'hang_in', 'run', 'prevail', 'hang_on', 'hold_on']","Annual Report of Year Ending June 30, 1961"
advance,"['in_advance', 'advance', 'bring_forward', 'throw_out', 'forward_motion', 'elevate', 'get_ahead', 'win', 'pull_ahead', 'betterment', 'come_along', 'improvement', 'progression', 'supercharge', 'shape_up', 'advancement', 'cash_advance', 'promote', 'come_on', 'procession', 'upgrade', 'progress', 'gain_ground', 'get_along', 'set_ahead', 'kick_upstairs', 'rise', 'move_on', 'go_on', 'march_on', 'approach', 'boost', 'get_on', 'beforehand', 'feeler', 'raise', 'onward_motion', 'pass_on', 'encourage', 'advanced', 'gain', 'make_headway', 'overture', 'further']","Annual Report of Year Ending June 30, 1961"
insuring,"['assure', 'cover', 'insure', 'control', 'secure', 'see_to_it', 'ascertain', 'check', 'underwrite', 'ensure', 'guarantee', 'see']","Annual Report of Year Ending June 30, 1961"
criteria,"['standard', 'criterion', 'measure', 'touchstone']","Annual Report of Year Ending June 30, 1961"
fitness,"['fittingness', 'physical_fitness', 'fitness', 'seaworthiness']","Annual Report of Year Ending June 30, 1961"
allow,"['allow_for', 'reserve', 'admit', 'permit', 'grant', 'take_into_account', 'let', 'give_up', 'countenance', 'allow', 'set_aside', 'tolerate', 'leave', 'provide', 'earmark', 'appropriate']","Annual Report of Year Ending June 30, 1961"
