w,vector_semantico
also,"['likewise', 'also', 'too', 'besides', 'as_well']",Chicago Daily Tribune
follows,"['watch', 'accompany', 'surveil', 'come_after', 'adopt', 'survey', 'observe', 'keep_abreast', 'stick_with', 'come', 'watch_over', 'play_along', 'keep_up', 'take_after', 'espouse', 'travel_along', 'abide_by', 'fall_out', 'trace', 'succeed', 'conform_to', 'comply', 'pursue', 'follow', 'stick_to', 'be', 'postdate', 'keep_an_eye_on']",Chicago Daily Tribune
singing,"['sear', 'singing', 'scorch', 'spill_the_beans', 'babble_out', 'peach', 'tattle', 'let_the_cat_out_of_the_bag', 'singe', 'babble', 'vocalizing', 'talk', 'sing', 'blab', 'telling', 'whistle', 'blab_out', 'swinge', 'cantabile']",Chicago Daily Tribune
frustrated,"['crucify', 'dun', 'foiled', 'frustrate', 'frustrated', 'baffle', 'defeated', 'queer', 'spoil', 'torment', 'discomfited', 'bedevil', 'disappointed', 'thwarted', 'foil', 'cross', 'thwart', 'bilk', 'rag', 'scotch']",Chicago Daily Tribune
designed,"['design', 'designed', 'contrive', 'intentional', 'project', 'plan']",Chicago Daily Tribune
next,"['following', 'succeeding', 'adjacent', 'future', 'next', 'side_by_side']",Chicago Daily Tribune
For,[],Chicago Daily Tribune
find,"['uncovering', 'detect', 'line_up', 'retrieve', 'discover', 'find', 'ascertain', 'receive', 'find_oneself', 'come_up', 'discovery', 'observe', 'notice', 'encounter', 'feel', 'happen', 'get', 'rule', 'witness', 'see', 'determine', 'find_out', 'chance', 'get_hold', 'incur', 'bump', 'regain', 'breakthrough', 'obtain', 'recover']",Chicago Daily Tribune
tradition,"['custom', 'tradition']",Chicago Daily Tribune
Marlene,[],Chicago Daily Tribune
Greenwich,['Greenwich'],Chicago Daily Tribune
by,"['aside', 'away', 'by', 'past']",Chicago Daily Tribune
