w,vector_semantico
here,"['here', 'Here', 'Hera', 'hither']",Christian Unity in England
experience,"['experience', 'receive', 'go_through', 'get', 'see', 'have', 'feel', 'know', 'live']",Christian Unity in England
popularly,['popularly'],Christian Unity in England
Some,"['roughly', 'just_about', 'some', 'approximately', 'around', 'or_so', 'more_or_less', 'close_to', 'about']",Christian Unity in England
dramatically,['dramatically'],Christian Unity in England
dowry,"['portion', 'dowery', 'dower', 'dowry']",Christian Unity in England
falling,"['go_down', 'come', 'falling', 'precipitate', 'settle', 'diminish', 'return', 'hang', 'fall_down', 'come_down', 'shine', 'lessen', 'descend', 'flow', 'strike', 'light', 'fall', 'decrease', 'dropping', 'pass', 'devolve', 'accrue']",Christian Unity in England
shifts,"['careen', 'switching', 'wobble', 'transformation', 'teddy', 'displacement', 'transmutation', 'reposition', 'sack', 'lurch', 'dislodge', 'shifting', 'agitate', 'faulting', 'work_shift', 'fault', 'fracture', 'geological_fault', 'chemise', 'transfer', 'change_over', 'switch', 'tilt', 'stir', 'shift_key', 'shimmy', 'shift', 'pitch', 'slip', 'change', 'break', 'budge', 'duty_period']",Christian Unity in England
Nonconformists,"['nonconformist', 'chapelgoer', 'Nonconformist', 'recusant']",Christian Unity in England
daily,"['day-after-day', 'day_by_day', 'casual', 'day-by-day', 'daily', 'everyday', 'day-to-day']",Christian Unity in England
literature,"['lit', 'literature']",Christian Unity in England
as,"['a', 'As', 'amp', 'as', 'deoxyadenosine_monophosphate', 'AS', 'adenine', 'every_bit', 'vitamin_A', 'A', 'ampere', 'angstrom', 'group_A', 'Eastern_Samoa', 'equally', 'angstrom_unit', 'arsenic', 'axerophthol', 'American_Samoa', 'atomic_number_33', 'antiophthalmic_factor', 'type_A']",Christian Unity in England
really,"['really', 'rattling', 'actually', 'truly', 'very', 'genuinely', 'real', 'in_truth']",Christian Unity in England
came,"['come', 'make_out', 'number', 'amount', 'get_along', 'issue_forth', 'hail', 'derive', 'get', 'follow', 'arrive', 'occur', 'do', 'descend', 'add_up', 'come_in', 'fare', 'fall', 'total', 'come_up']",Christian Unity in England
1840's,[],Christian Unity in England
admitted,"['admit', 'hold', 'acknowledge', 'take_on', 'accommodate', 'let_in', 'take', 'allow_in', 'intromit', 'accept', 'include', 'allow']",Christian Unity in England
Sunday,"['Sun', 'Sunday', ""Lord's_Day"", 'Dominicus', 'Billy_Sunday', 'William_Ashley_Sunday']",Christian Unity in England
York,"['House_of_York', 'York']",Christian Unity in England
little,"['trivial', 'slight', 'piffling', 'short', 'piddling', 'little', 'petty', 'niggling', 'footling', 'picayune', 'minuscule', 'fiddling', 'lilliputian', 'small']",Christian Unity in England
50,"['L', 'l', '50', 'fifty']",Christian Unity in England
statistics,"['statistics', 'statistic']",Christian Unity in England
Sacrifice,"['forfeiture', 'ritual_killing', 'forfeit', 'give', 'sacrifice']",Christian Unity in England
feeds,"['feed_in', 'run', 'prey', 'fertilize', 'feast', 'flow', 'course', 'give', 'fertilise', 'feed', 'eat', 'provender']",Christian Unity in England
at,"['astatine', 'atomic_number_85', 'at', 'At']",Christian Unity in England
English,"['side', 'English_language', 'English', 'English_people']",Christian Unity in England
phenomenon,['phenomenon'],Christian Unity in England
In,"['inch', 'inwards', 'indium', 'inward', 'Indiana', 'In', 'in', 'IN', 'atomic_number_49', 'Hoosier_State']",Christian Unity in England
clergy,['clergy'],Christian Unity in England
gradually,"['step_by_step', 'bit_by_bit', 'gradually']",Christian Unity in England
saying,"['saying', 'state', 'pronounce', 'enounce', 'locution', 'expression', 'read', 'aver', 'allege', 'articulate', 'say', 'tell', 'suppose', 'sound_out', 'enunciate', 'enjoin', 'order']",Christian Unity in England
mid-Victorian,[],Christian Unity in England
always,"['ever', 'always', 'incessantly', 'perpetually', ""e'er"", 'forever', 'invariably', 'constantly']",Christian Unity in England
be,"['exist', 'cost', 'represent', 'make_up', 'be', 'embody', 'follow', 'beryllium', 'Be', 'comprise', 'live', 'constitute', 'equal', 'glucinium', 'personify', 'atomic_number_4']",Christian Unity in England
redundant,"['redundant', 'pleonastic', 'superfluous', 'supernumerary', 'surplus', 'tautologic', 'supererogatory', 'excess', 'tautological', 'spare', 'extra']",Christian Unity in England
20,"['xx', '20', 'twenty', 'XX']",Christian Unity in England
Tractarians,['Tractarian'],Christian Unity in England
particularly,"['specially', 'peculiarly', 'particularly', 'in_particular', 'especially']",Christian Unity in England
which,[],Christian Unity in England
anti-Catholicism,['anti-Catholicism'],Christian Unity in England
soon,"['presently', 'before_long', 'shortly', 'soon']",Christian Unity in England
"2,887,671",[],Christian Unity in England
recounting,"['recite', 'tell', 'narrate', 'recounting', 'relation', 'recount', 'telling']",Christian Unity in England
because,[],Christian Unity in England
),[],Christian Unity in England
Catholicism,"['Catholicity', 'Catholicism']",Christian Unity in England
Guardian,"['shielder', 'defender', 'protector', 'guardian']",Christian Unity in England
since,[],Christian Unity in England
students,"['pupil', 'educatee', 'scholar', 'student', 'scholarly_person', 'bookman']",Christian Unity in England
paid,"['pay_up', 'paid', 'pay_off', 'yield', 'nonrecreational', 'make_up', 'bear', 'pay', 'ante_up', 'devote', 'give', 'compensate', 'paying', 'gainful']",Christian Unity in England
venture,"['jeopardize', 'hazard', 'adventure', 'pretend', 'speculation', 'guess', 'venture', 'stake', 'embark']",Christian Unity in England
committee,"['citizens_committee', 'commission', 'committee']",Christian Unity in England
ecclesiastical,"['ecclesiastic', 'ecclesiastical']",Christian Unity in England
will,"['testament', 'volition', 'leave', 'will', 'bequeath']",Christian Unity in England
parochial,"['parochial', 'insular']",Christian Unity in England
Heenan,[],Christian Unity in England
but,"['but', 'simply', 'just', 'only', 'merely']",Christian Unity in England
hope,"['hope', 'desire', 'Hope', 'promise', 'Bob_Hope', 'trust', 'go_for', 'Leslie_Townes_Hope']",Christian Unity in England
"800,000",[],Christian Unity in England
come,"['come', 'make_out', 'semen', 'seed', 'number', 'amount', 'get_along', 'issue_forth', 'ejaculate', 'hail', 'derive', 'get', 'follow', 'arrive', 'occur', 'do', 'seminal_fluid', 'descend', 'add_up', 'come_in', 'cum', 'fare', 'fall', 'total', 'come_up']",Christian Unity in England
secondary,"['secondary', 'lowly', 'secondary_coil', 'petty', 'subaltern', 'junior-grade', 'secondary_winding', 'lower-ranking']",Christian Unity in England
nun,"['nun_buoy', 'nun', 'conical_buoy']",Christian Unity in England
television,"['boob_tube', 'telecasting', 'telly', 'television_receiver', 'video', 'tv', 'tv_set', 'goggle_box', 'television', 'idiot_box', 'television_system', 'television_set', 'TV']",Christian Unity in England
brought,"['wreak', 'make_for', 'fetch', 'work', 'add', 'get', 'bring', 'land', 'impart', 'bestow', 'contribute', 'bring_in', 'play', 'take', 'institute', 'lend', 'convey']",Christian Unity in England
again,"['over_again', 'once_again', 'once_more', 'again']",Christian Unity in England
part,"['persona', 'office', 'percentage', 'section', 'portion', 'part', 'function', 'depart', 'split_up', 'start_out', 'share', 'separate', 'split', 'take_off', 'break_up', 'set_off', 'theatrical_role', 'component', 'start', 'role', 'set_out', 'component_part', 'divide', 'division', 'partly', 'disunite', 'region', 'piece', 'character', 'set_forth', 'contribution', 'partially', 'break', 'voice', 'parting', 'constituent']",Christian Unity in England
England's,[],Christian Unity in England
school,"['civilise', 'educate', 'shoal', 'school', 'cultivate', 'schooling', 'civilize', 'school_day', 'schoolhouse', 'train', 'schooltime']",Christian Unity in England
mornings,"['dawning', 'dawn', 'first_light', 'morn', 'break_of_the_day', 'cockcrow', 'forenoon', 'sunup', 'aurora', 'morning_time', 'daybreak', 'break_of_day', 'sunrise', 'morning', 'good_morning', 'dayspring']",Christian Unity in England
St.,[],Christian Unity in England
experiences,"['experience', 'receive', 'go_through', 'get', 'see', 'have', 'feel', 'know', 'live']",Christian Unity in England
upset,"['broken', 'worried', 'disturb', 'distressed', 'upset', 'turnover', 'disturbance', 'disturbed', 'tump_over', 'upturned', 'discomfit', 'bowl_over', 'disorder', 'derangement', 'tip_over', 'overturned', 'overturn', 'perturbation', 'overthrow', 'trouble', 'disquieted', 'disconcert', 'turn_over', 'swage', 'knock_over', 'confused', 'discompose', 'untune', 'disordered']",Christian Unity in England
Christmas,"['Christmastide', 'Yule', 'Xmas', 'Noel', 'Yuletide', 'Dec_25', 'Christmas_Day', 'Christmas', 'Christmastime']",Christian Unity in England
(,[],Christian Unity in England
hundred,"['100', 'one_C', 'c', 'C', 'one_hundred', 'hundred', 'century']",Christian Unity in England
represents,"['symbolize', 'typify', 'lay_out', 'map', 'present', 'interpret', 'symbolise', 'represent', 'make_up', 'be', 'stage', 'act', 'correspond', 'play', 'defend', 'stand_for', 'comprise', 'constitute', 'exemplify']",Christian Unity in England
call,"['birdcall', 'foretell', 'vociferation', 'outcry', 'Call', 'birdsong', 'claim', 'send_for', 'call_off', 'scream', 'call', 'phone', 'holler', 'shout', 'name', 'cry', 'song', 'call_up', 'prognosticate', 'hollo', 'anticipate', 'telephone_call', 'promise', 'ring', 'shout_out', 'phone_call', 'forebode', 'bid', 'address', 'yell', 'predict', 'call_option', 'telephone', 'squall', 'call_in', 'visit', 'margin_call']",Christian Unity in England
Protestant-dominated,[],Christian Unity in England
members,"['member', 'fellow_member', 'phallus', 'extremity', 'appendage', 'penis']",Christian Unity in England
might,"['might', 'power', 'mightiness']",Christian Unity in England
successive,"['successive', 'sequential', 'consecutive', 'sequent', 'serial']",Christian Unity in England
Liverpool,['Liverpool'],Christian Unity in England
Anglicanism,['Anglicanism'],Christian Unity in England
Office,"['office', 'power', 'federal_agency', 'post', 'part', 'function', 'situation', 'place', 'government_agency', 'berth', 'authority', 'business_office', 'bureau', 'role', 'position', 'office_staff', 'agency', 'billet', 'spot']",Christian Unity in England
this,[],Christian Unity in England
Fate,"['doom', 'designate', 'destiny', 'destine', 'portion', 'lot', 'fate', 'fortune', 'circumstances', 'luck']",Christian Unity in England
Slough,"['sphacelus', 'exuviate', 'gangrene', 'moult', 'slough', 'shed', 'molt']",Christian Unity in England
