w,vector_semantico
quick,"['quick', 'warm', 'fast', 'promptly', 'straightaway', 'speedy', 'flying', 'ready', 'immediate', 'quickly', 'agile', 'prompt', 'spry', 'nimble']","Christopher Davis, First Family."
politeness,"['politeness', 'niceness', 'civility']","Christopher Davis, First Family."
useless,['useless'],"Christopher Davis, First Family."
tiring,"['tiring', 'fatigue', 'play_out', 'bore', 'pall', 'wear_out', 'exhausting', 'jade', 'exhaust', 'outwear', 'wear_upon', 'weary', 'fag', 'wearing', 'run_down', 'fag_out', 'wearying', 'wear', 'tire', 'tire_out', 'sap', 'wear_down']","Christopher Davis, First Family."
mind,"['brain', 'creative_thinker', 'mind', 'judgement', 'head', 'judgment', 'idea', 'take_care', 'listen', 'bear_in_mind', 'intellect', 'nous', 'psyche', 'beware', 'thinker', 'heed']","Christopher Davis, First Family."
next,"['following', 'succeeding', 'adjacent', 'future', 'next', 'side_by_side']","Christopher Davis, First Family."
by,"['aside', 'away', 'by', 'past']","Christopher Davis, First Family."
drunk,"['wassail', 'rummy', 'sot', 'toast', 'tope', 'drink_in', 'drunkard', 'fuddle', 'imbibe', 'wino', 'pledge', 'booze', 'intoxicated', 'drink', 'inebriated', 'drunk', 'inebriate', 'salute']","Christopher Davis, First Family."
pleasant,['pleasant'],"Christopher Davis, First Family."
them,[],"Christopher Davis, First Family."
moving,"['make_a_motion', 'strike', 'proceed', 'moving', 'actuate', 'locomote', 'prompt', 'propel', 'act', 'go', 'affect', 'displace', 'incite', 'run', 'be_active', 'impress', 'travel', 'move', 'motivate']","Christopher Davis, First Family."
members,"['phallus', 'extremity', 'member', 'fellow_member', 'penis', 'appendage']","Christopher Davis, First Family."
That,[],"Christopher Davis, First Family."
stronger,"['hard', 'inviolable', 'warm', 'stiff', 'substantial', 'secure', 'impregnable', 'unattackable', 'potent', 'solid', 'firm', 'strong', 'unassailable']","Christopher Davis, First Family."
touch,"['allude', 'adjoin', 'impact', 'touching', 'have-to_doe_with', 'tactile_sensation', 'refer', 'jot', 'soupcon', 'match', 'skin_senses', 'partake', 'bear_on', 'come_to', 'touch', 'equal', 'signature', 'ghost', 'sense_of_touch', 'pertain', 'bear_upon', 'speck', 'extend_to', 'cutaneous_senses', 'advert', 'feeling', 'affect', 'tactual_sensation', 'touch_modality', 'hint', 'tinge', 'trace', 'tint', 'rival', 'touch_sensation', 'meet', 'contact', 'tinct', 'touch_on', 'disturb', 'reach', 'spot', 'pinch', 'stir', 'mite', 'relate', 'concern']","Christopher Davis, First Family."
drove,"['push_back', 'force_back', 'drove_chisel', 'push', 'repel', 'ram', 'labor', 'force', 'drove', 'get', 'repulse', 'take', 'aim', 'swarm', 'ride', 'motor', 'tug', 'drive', 'horde', 'labour', 'beat_back']","Christopher Davis, First Family."
really,"['genuinely', 'truly', 'real', 'in_truth', 'really', 'rattling', 'actually', 'very']","Christopher Davis, First Family."
that's,[],"Christopher Davis, First Family."
exercise,"['recitation', 'use', 'practice_session', 'exercising', 'work', 'example', 'physical_exertion', 'utilisation', 'drill', 'exercise', 'workout', 'work_out', 'utilization', 'practice', 'exert', 'do', 'usage', 'practise', 'employment', 'physical_exercise']","Christopher Davis, First Family."
loudly,"['aloud', 'clamorously', 'obstreperously', 'loud', 'loudly', 'forte']","Christopher Davis, First Family."
