w,vector_semantico
A,"['vitamin_A', 'A', 'a', 'axerophthol', 'deoxyadenosine_monophosphate', 'group_A', 'ampere', 'amp', 'type_A', 'angstrom', 'adenine', 'angstrom_unit', 'antiophthalmic_factor']",Deadlier Than the Male.
dome,"['dome', 'covered_stadium', 'noggin', 'bean', 'domed_stadium', 'attic', 'noodle', 'bonce']",Deadlier Than the Male.
marriage,"['man_and_wife', 'marriage', 'wedlock', 'married_couple', 'union', 'spousal_relationship', 'wedding', 'matrimony', 'marriage_ceremony']",Deadlier Than the Male.
kept,"['celebrate', 'sustain', 'kept', 'save', 'keep_back', 'proceed', 'maintain', 'hold_open', 'prevent', 'unbroken', 'keep_on', 'keep_open', 'hold_on', 'stay_fresh', 'preserve', 'continue', 'observe', 'keep', 'restrain', 'retain', 'hold_back', 'hold', 'go_along', 'go_on']",Deadlier Than the Male.
beginning,"['beginning', 'showtime', 'set_about', 'kickoff', 'start_out', 'root', 'get_down', 'get', 'set_out', 'commence', 'offset', 'get-go', 'begin', 'origin', 'rootage', 'outset', 'source', 'starting_time', 'lead_off', 'start', 'commencement', 'first']",Deadlier Than the Male.
cautioned,"['monish', 'admonish', 'caution']",Deadlier Than the Male.
left,"['get_out', 'leave_alone', 'go_away', 'left', 'left-hand', 'entrust', 'remaining', 'allow_for', 'exit', 'left_over', 'left_hand', 'go_out', 'pull_up_stakes', 'leftfield', 'go_forth', 'leftover', 'odd', 'impart', 'allow', 'leave', 'provide', 'depart', 'unexpended', 'left_wing', 'will', 'pass_on', 'bequeath', 'forget', 'leave_behind', 'left_field', 'lead', 'result', 'give']",Deadlier Than the Male.
trial,"['test', 'run', 'tryout', 'trial', 'tribulation', 'visitation', 'trial_run']",Deadlier Than the Male.
bet,"['stakes', 'stake', 'reckon', 'calculate', 'look', 'wager', 'depend', 'bet', 'play', 'count']",Deadlier Than the Male.
Since,[],Deadlier Than the Male.
Hey,[],Deadlier Than the Male.
puttering,"['putter_around', 'potter', 'muck_about', 'monkey_around', 'tinker', 'monkey', 'mess_around', 'putter', 'potter_around', 'muck_around']",Deadlier Than the Male.
moon,"['moonshine', 'moon_on', 'lunation', 'Sun_Myung_Moon', 'synodic_month', 'lunar_month', 'moon_around', 'moon', 'moonlight', 'daydream', 'Moon']",Deadlier Than the Male.
illumined,"['light', 'light_up', 'illume', 'illuminate', 'illumine']",Deadlier Than the Male.
started,"['come_out', 'pop_out', 'get_going', 'set_about', 'take_up', 'originate', 'start_out', 'jump', 'set_off', 'get_down', 'startle', 'initiate', 'pop', 'get', 'set_out', 'commence', 'depart', 'embark_on', 'bulge', 'bulge_out', 'begin', 'start_up', 'take_off', 'set_forth', 'part', 'go', 'bug_out', 'protrude', 'lead_off', 'start']",Deadlier Than the Male.
Something,[],Deadlier Than the Male.
growth,"['ontogenesis', 'growing', 'maturation', 'ontogeny', 'outgrowth', 'growth', 'development', 'increment', 'increase', 'emergence']",Deadlier Than the Male.
married,"['hook_up_with', 'splice', 'espouse', 'marry', 'marital', 'married', 'get_hitched_with', 'get_married', 'conjoin', 'matrimonial', 'tie', 'wed']",Deadlier Than the Male.
vault,"['hurdle', 'bank_vault', 'burial_vault', 'vault', 'overleap']",Deadlier Than the Male.
with,[],Deadlier Than the Male.
like,"['corresponding', 'wish', 'like', 'similar', 'ilk', 'same', 'alike', 'the_likes_of', 'comparable', 'the_like', 'care']",Deadlier Than the Male.
lived,"['hold_up', 'subsist', 'experience', 'endure', 'live_on', 'live', 'go', 'be', 'know', 'survive', 'exist', 'inhabit', 'dwell', 'hold_out', 'populate', 'last']",Deadlier Than the Male.
who,"['World_Health_Organization', 'WHO']",Deadlier Than the Male.
clerk,"['shop_assistant', 'clerk', 'shop_clerk', 'salesclerk']",Deadlier Than the Male.
past,"['past_tense', 'retiring', 'past', 'yesteryear', 'preceding', 'past_times', 'by']",Deadlier Than the Male.
