w,vector_semantico
like,"['wish', 'like', 'corresponding', 'comparable', 'the_like', 'care', 'same', 'alike', 'ilk', 'similar', 'the_likes_of']",Dirty Dig Inn
Then,"['then', 'and_so', 'so', 'and_then']",Dirty Dig Inn
seen,"['image', 'project', 'assure', 'come_across', 'realize', 'find_out', 'regard', 'determine', 'take_in', 'catch', 'figure', 'ensure', 'reckon', 'look', 'construe', 'hear', 'run_across', 'fancy', 'consider', 'learn', 'realise', 'get_word', 'visit', 'discover', 'go_through', 'watch', 'examine', 'escort', 'understand', 'get_a_line', 'go_steady', 'witness', 'pick_up', 'see_to_it', 'view', 'visualize', 'encounter', 'find', 'go_out', 'envision', 'run_into', 'interpret', 'date', 'take_care', 'picture', 'control', 'ascertain', 'get_wind', 'visualise', 'check', 'attend', 'experience', 'insure', 'see', 'meet']",Dirty Dig Inn
new,"['newfangled', 'New', 'novel', 'new', 'newly', 'unexampled', 'freshly', 'fresh', 'young', 'raw', 'Modern']",Dirty Dig Inn
Handsome,"['liberal', 'well-favored', 'better-looking', 'giving', 'well-favoured', 'freehanded', 'openhanded', 'fine-looking', 'bountiful', 'good-looking', 'big', 'bighearted', 'bounteous', 'handsome']",Dirty Dig Inn
I,"['ane', 'unity', 'single', '1', 'iodin', 'I', 'i', 'one', 'atomic_number_53', 'ace', 'iodine']",Dirty Dig Inn
into,[],Dirty Dig Inn
passed,"['overtake', 'make_it', 'exit', 'snuff_it', 'kick_the_bucket', 'overhaul', 'fleet', 'travel_by', 'slip_by', 'fall_out', 'egest', 'go_through', 'fall', 'go_by', 'occur', 'slide_by', 'clear', 'evanesce', 'draw', 'drop_dead', 'lapse', 'overstep', 'top', 'conk', 'give', 'devolve', 'go', 'pass_away', 'spend', 'decease', 'transcend', 'pass_on', 'expire', 'pop_off', ""cash_in_one's_chips"", 'return', 'glide_by', 'happen', 'excrete', 'give-up_the_ghost', 'take_place', 'croak', 'go_on', 'hand', 'go_across', 'elapse', 'pass_by', 'pass', 'guide', 'buy_the_farm', 'exceed', 'perish', 'authorize', 'put_across', 'choke', 'go_along', 'pass_along', 'come_about', 'extend', 'fade', 'lead', 'sink', 'blow_over', 'run', 'pass_off', 'die', 'communicate', 'legislate', 'hap', 'surpass', 'go_past', 'reach', 'slip_away', 'make_pass', 'eliminate', 'authorise', 'turn_over']",Dirty Dig Inn
armor,"['armour', 'armor']",Dirty Dig Inn
opposite,"['antonym', 'opposite_word', 'opposite', 'opposition', 'contrary', 'polar', 'diametric', 'face-to-face', 'opponent', 'reverse', 'inverse', 'diametrical', 'paired']",Dirty Dig Inn
yeah,"['yea', 'yeah']",Dirty Dig Inn
So,"['and_so', 'hence', 'thus', 'therefore', 'thence', 'indeed', 'sol', 'then', 'soh', 'so', 'thusly', 'and_then']",Dirty Dig Inn
wise,"['impertinent', 'judicious', 'wise', 'Wise', 'Stephen_Samuel_Wise', 'knowing', 'impudent', 'overbold', 'wise_to', 'Isaac_Mayer_Wise', 'fresh', 'saucy', 'smart', 'sassy', 'heady']",Dirty Dig Inn
sipping,['sip'],Dirty Dig Inn
Sunday,"['Dominicus', 'Billy_Sunday', ""Lord's_Day"", 'Sunday', 'William_Ashley_Sunday', 'Sun']",Dirty Dig Inn
aloud,"['loudly', 'out_loud', 'aloud', 'loud']",Dirty Dig Inn
helped,"['facilitate', 'avail', 'aid', 'help', 'assist', 'help_oneself', 'serve']",Dirty Dig Inn
been,"['equal', 'constitute', 'follow', 'be', 'exist', 'embody', 'live', 'make_up', 'cost', 'personify', 'represent', 'comprise']",Dirty Dig Inn
weather,"['endure', 'weather_condition', 'brave', 'atmospheric_condition', 'conditions', 'upwind', 'weather', 'brave_out']",Dirty Dig Inn
April,"['Apr', 'April']",Dirty Dig Inn
Will,"['bequeath', 'volition', 'will', 'testament', 'leave']",Dirty Dig Inn
grounded,"['run_aground', 'ground', 'anchor', 'establish', 'prime', 'found', 'undercoat', 'strand', 'base']",Dirty Dig Inn
night's,[],Dirty Dig Inn
down,"['pile', 'blue', 'downcast', 'downhearted', 'land', 'kill', 'low-spirited', 'down_pat', 'consume', 'fine-tune', 'downwardly', 'dispirited', 'push_down', 'refine', 'polish', 'toss_off', 'knock_down', 'low', 'devour', 'down_feather', 'down', 'go_through', 'depressed', 'Down', 'grim', 'cut_down', 'shoot_down', 'pull_down', 'downward', 'drink_down', 'gloomy', 'bolt_down', 'John_L._H._Down', 'pop', 'belt_down', 'down_in_the_mouth', 'pour_down', 'downwards', 'mastered']",Dirty Dig Inn
feel,"['feel', 'flavor', 'smell', 'experience', 'flavour', 'tone', 'sense', 'finger', 'palpate', 'find', 'feeling', 'spirit', 'tactile_property', 'look']",Dirty Dig Inn
cork,"['bobber', 'cork', 'bob', 'phellem', 'bottle_cork', 'bobfloat', 'Cork', 'cork_up']",Dirty Dig Inn
waiting,"['wait', 'waitress', 'waiting', 'hold_off', 'await', 'hold_back', 'expect', 'ready_and_waiting', 'look']",Dirty Dig Inn
Only,"['solely', 'only', 'entirely', 'simply', 'solitary', 'lone', 'only_if', 'but', 'sole', 'just', 'alone', 'merely', 'exclusively', 'lonesome', 'only_when']",Dirty Dig Inn
returned,"['repay', 'retort', 'reelect', 'refund', 'rejoin', 'come_back', 'take_back', 'return', 'turn_back', 'riposte', 'give', 'recall', 'devolve', 'fall', 'generate', 'hark_back', 'give_back', 'yield', 'bring_back', 'retrovert', 'revert', 'pass', 'regress', 'deliver', 'render']",Dirty Dig Inn
mist-like,[],Dirty Dig Inn
observed,"['remark', 'watch_over', 'honour', 'notice', 'honor', 'maintain', 'observe', 'discover', 'watch', 'observed', 'find', 'respect', 'ascertained', 'discovered', 'note', 'celebrate', 'mention', 'follow', 'abide_by', 'keep', 'detect', 'take_note', 'keep_an_eye_on']",Dirty Dig Inn
tart,"['harlot', 'lemony', 'tangy', 'sharp-worded', 'sharp', 'lemonlike', 'sourish', 'prostitute', 'woman_of_the_street', 'fancy_woman', 'bawd', 'tart', 'cyprian', 'working_girl', 'sporting_lady', 'lady_of_pleasure', 'whore', 'cocotte']",Dirty Dig Inn
silly,"['ridiculous', 'cockamamie', 'zany', 'giddy', 'cockamamy', 'airheaded', 'punch-drunk', 'goofy', 'slaphappy', 'sappy', 'lightheaded', 'whacky', 'dizzy', 'silly', 'featherbrained', 'pathetic', 'light-headed', 'wacky', 'empty-headed']",Dirty Dig Inn
others,[],Dirty Dig Inn
silent,"['dumb', 'tacit', 'mum', 'unsounded', 'still', 'mute', 'soundless', 'understood', 'silent']",Dirty Dig Inn
unhappy,"['distressed', 'unhappy', 'infelicitous', 'dysphoric']",Dirty Dig Inn
straight,"['heterosexual', 'direct', 'flat', 'uncoiled', 'true', 'straight_person', 'unbent', 'unbowed', 'straightaway', 'heterosexual_person', 'consecutive', 'straightforward', 'directly', 'neat', 'full-strength', 'straight', 'square']",Dirty Dig Inn
cabaret,"['floor_show', 'floorshow', 'nightclub', 'club', 'night_club', 'cabaret', 'nightspot']",Dirty Dig Inn
known,"['cognize', 'fuck', 'get_laid', 'have_a_go_at_it', 'have_it_away', 'bed', 'have_it_off', 'sleep_together', 'sleep_with', 'have_intercourse', 'recognize', 'cognise', 'live', 'acknowledge', 'make_out', 'make_love', 'love', 'bang', 'jazz', 'recognise', 'bonk', 'be_intimate', 'lie_with', 'screw', 'hump', 'known', 'roll_in_the_hay', 'have_sex', 'eff', 'know', 'get_it_on', 'do_it', 'experience']",Dirty Dig Inn
A,"['vitamin_A', 'A', 'deoxyadenosine_monophosphate', 'adenine', 'a', 'group_A', 'amp', 'ampere', 'angstrom', 'type_A', 'antiophthalmic_factor', 'axerophthol', 'angstrom_unit']",Dirty Dig Inn
bath,"['bathing_tub', 'bathroom', 'bath', 'bathtub', 'bathe', 'Bath', 'tub']",Dirty Dig Inn
ravenous,"['famished', 'ravenous', 'wolfish', 'sharp-set', 'edacious', 'rapacious', 'starved', 'ravening', 'esurient', 'voracious']",Dirty Dig Inn
'',[],Dirty Dig Inn
army,"['U._S._Army', 'ground_forces', 'United_States_Army', 'Army', 'army', 'regular_army', 'US_Army', 'USA']",Dirty Dig Inn
ought,[],Dirty Dig Inn
than,[],Dirty Dig Inn
deeper,"['thick', 'cryptical', 'profoundly', 'inscrutable', 'rich', 'deeply', 'mysterious', 'mystifying', 'abstruse', 'deep', 'cryptic', 'bass', 'recondite']",Dirty Dig Inn
met,"['conform_to', 'touch', 'receive', 'come_across', 'assemble', 'gather', 'run_across', 'contact', 'fill', 'get_together', 'converge', 'play', 'cope_with', 'fulfill', 'encounter', 'satisfy', 'fit', 'take_on', 'foregather', 'run_into', 'suffer', 'forgather', 'match', 'fulfil', 'adjoin', 'see', 'meet']",Dirty Dig Inn
surprised,"['storm', 'surprise', 'surprised']",Dirty Dig Inn
sober,"['sombre', 'serious', 'sober', 'sober_up', 'somber', 'solemn', 'sedate', 'unplayful', 'grave', 'drab']",Dirty Dig Inn
paid,"['compensate', 'pay', 'pay_up', 'bear', 'pay_off', 'paid', 'yield', 'give', 'ante_up', 'devote', 'make_up', 'nonrecreational', 'paying', 'gainful']",Dirty Dig Inn
flop,"['right', 'flop', 'collapse', 'floating-point_operation', 'dud', 'fizzle', 'fall_through', 'founder', 'washout', 'fall_flat', 'bust']",Dirty Dig Inn
