w,vector_semantico
operation,"['operation', 'mental_process', 'procedure', 'surgical_operation', 'mathematical_operation', 'functioning', 'cognitive_operation', 'mathematical_process', 'process', 'surgery', 'military_operation', 'performance', 'cognitive_process', 'surgical_process', 'surgical_procedure']",Handbook of Federal Aids to Communities. U.S. Department of
contract,"['contract', 'cut', 'narrow', 'sign_on', 'shrink', 'abridge', 'sign_up', 'compact', 'foreshorten', 'press', 'get', 'squeeze', 'take', 'contract_bridge', 'shorten', 'abbreviate', 'sign', 'compress', 'declaration', 'constrict', 'reduce', 'condense', 'concentrate', 'undertake']",Handbook of Federal Aids to Communities. U.S. Department of
financial,"['fiscal', 'financial']",Handbook of Federal Aids to Communities. U.S. Department of
also,"['likewise', 'also', 'too', 'besides', 'as_well']",Handbook of Federal Aids to Communities. U.S. Department of
individual,"['mortal', 'case-by-case', 'soul', 'individual', 'person', 'somebody', 'single', 'someone', 'private', 'item-by-item']",Handbook of Federal Aids to Communities. U.S. Department of
retailers,"['retail_merchant', 'retailer']",Handbook of Federal Aids to Communities. U.S. Department of
designed,"['design', 'designed', 'contrive', 'intentional', 'project', 'plan']",Handbook of Federal Aids to Communities. U.S. Department of
For,[],Handbook of Federal Aids to Communities. U.S. Department of
above,"['supra', 'in_a_higher_place', 'higher_up', 'above', 'to_a_higher_place']",Handbook of Federal Aids to Communities. U.S. Department of
Proposed,"['offer', 'aim', 'pop_the_question', 'purport', 'declare_oneself', 'advise', 'nominate', 'project', 'suggest', 'purpose', 'propose']",Handbook of Federal Aids to Communities. U.S. Department of
by,"['aside', 'away', 'by', 'past']",Handbook of Federal Aids to Communities. U.S. Department of
situation,"['billet', 'position', 'post', 'site', 'berth', 'office', 'spot', 'place', 'situation', 'state_of_affairs']",Handbook of Federal Aids to Communities. U.S. Department of
sole,"['exclusive', 'solitary', 'lone', 'only', 'lonesome', 'fillet_of_sole', 'resole', 'sole']",Handbook of Federal Aids to Communities. U.S. Department of
them,[],Handbook of Federal Aids to Communities. U.S. Department of
real,"['material', 'real', 'real_number', 'genuine', 'existent', 'literal', 'substantial', 'tangible', 'really', 'rattling', 'veridical', 'actual', 'very']",Handbook of Federal Aids to Communities. U.S. Department of
economical,"['frugal', 'sparing', 'economical', 'stinting', 'scotch', 'economic']",Handbook of Federal Aids to Communities. U.S. Department of
meetings,"['adjoin', 'play', 'run_into', 'fill', 'cope_with', 'receive', 'meeting', 'fulfill', 'foregather', 'match', 'coming_together', 'fit', 'touch', 'group_meeting', 'encounter', 'converge', 'forgather', 'merging', 'get_together', 'run_across', 'see', 'come_across', 'suffer', 'gather', 'conform_to', 'assemble', 'take_on', 'meet', 'satisfy', 'contact', 'fulfil', 'confluence']",Handbook of Federal Aids to Communities. U.S. Department of
exploitation,"['victimisation', 'using', 'development', 'exploitation', 'victimization']",Handbook of Federal Aids to Communities. U.S. Department of
Federal,"['Fed', 'Federal', 'Federal_soldier', 'Union_soldier', 'Union', 'federal_official', 'federal']",Handbook of Federal Aids to Communities. U.S. Department of
supplies,"['render', 'issue', 'furnish', 'provide', 'add', 'cater', 'provision', 'supplying', 'ply', 'supply', 'append']",Handbook of Federal Aids to Communities. U.S. Department of
generally,"['in_general', 'more_often_than_not', 'loosely', 'mostly', 'in_the_main', 'generally', 'by_and_large', 'broadly_speaking', 'broadly']",Handbook of Federal Aids to Communities. U.S. Department of
directed,"['address', 'head', 'channelise', 'manoeuvre', 'calculate', 'send', 'steer', 'conduct', 'organise', 'engineer', 'directed', 'take', 'aim', 'orchestrate', 'place', 'direct', 'lead', 'manoeuver', 'guide', 'channelize', 'target', 'mastermind', 'point', 'train', 'take_aim', 'maneuver', 'organize']",Handbook of Federal Aids to Communities. U.S. Department of
Richmond,"['capital_of_Virginia', 'Richmond']",Handbook of Federal Aids to Communities. U.S. Department of
institutions,"['mental_institution', 'establishment', 'creation', 'introduction', 'psychiatric_hospital', 'origination', 'mental_hospital', 'asylum', 'institution', 'foundation', 'instauration', 'innovation', 'initiation', 'insane_asylum', 'mental_home', 'founding']",Handbook of Federal Aids to Communities. U.S. Department of
exploration,"['exploration', 'geographic_expedition']",Handbook of Federal Aids to Communities. U.S. Department of
Associations,"['affiliation', 'connexion', 'association', 'tie', 'tie-up', 'connection']",Handbook of Federal Aids to Communities. U.S. Department of
If,[],Handbook of Federal Aids to Communities. U.S. Department of
inventory,"['take_stock', 'stock_list', 'armoury', 'stock-taking', 'inventorying', 'armory', 'stock-take', 'stocktaking', 'inventory', 'stock']",Handbook of Federal Aids to Communities. U.S. Department of
raw,"['in_the_raw', 'bare-assed', 'in_the_altogether', 'natural', 'sensitive', 'sore', 'rude', 'crude', 'birthday_suit', 'bleak', 'tender', 'bare-ass', 'raw', 'cutting', 'peeled', 'altogether', 'naked_as_a_jaybird', 'naked', 'stark_naked', 'unsanded', 'in_the_buff', 'new']",Handbook of Federal Aids to Communities. U.S. Department of
Minn.,[],Handbook of Federal Aids to Communities. U.S. Department of
No.,"['no.', 'ordinal', 'ordinal_number']",Handbook of Federal Aids to Communities. U.S. Department of
Eligibility,['eligibility'],Handbook of Federal Aids to Communities. U.S. Department of
distinct,"['distinct', 'clear-cut', 'decided', 'discrete', 'trenchant', 'distinguishable']",Handbook of Federal Aids to Communities. U.S. Department of
as,"['every_bit', 'AS', 'a', 'group_A', 'arsenic', 'type_A', 'deoxyadenosine_monophosphate', 'amp', 'antiophthalmic_factor', 'American_Samoa', 'angstrom', 'atomic_number_33', 'As', 'as', 'equally', 'A', 'adenine', 'axerophthol', 'ampere', 'angstrom_unit', 'vitamin_A', 'Eastern_Samoa']",Handbook of Federal Aids to Communities. U.S. Department of
products,"['mathematical_product', 'ware', 'production', 'product', 'intersection', 'Cartesian_product', 'merchandise']",Handbook of Federal Aids to Communities. U.S. Department of
Denver,"['Denver', 'Mile-High_City', 'capital_of_Colorado']",Handbook of Federal Aids to Communities. U.S. Department of
numerous,"['legion', 'numerous']",Handbook of Federal Aids to Communities. U.S. Department of
direct,"['address', 'lineal', 'directly', 'head', 'channelise', 'manoeuvre', 'calculate', 'send', 'steer', 'conduct', 'organise', 'engineer', 'unmediated', 'take', 'aim', 'orchestrate', 'place', 'direct', 'lead', 'manoeuver', 'guide', 'channelize', 'target', 'mastermind', 'point', 'train', 'verbatim', 'take_aim', 'straight', 'maneuver', 'organize']",Handbook of Federal Aids to Communities. U.S. Department of
Technical,"['expert', 'technical', 'technical_foul', 'proficient', 'technological']",Handbook of Federal Aids to Communities. U.S. Department of
desire,"['desire', 'trust', 'hope', 'want']",Handbook of Federal Aids to Communities. U.S. Department of
royalty,"['royal_house', 'royal_line', 'royal_family', 'royalty']",Handbook of Federal Aids to Communities. U.S. Department of
establishments,"['establishment', 'organization', 'governing_body', 'brass', 'organisation', 'administration', 'governance', 'ecesis', 'institution', 'formation', 'validation', 'constitution']",Handbook of Federal Aids to Communities. U.S. Department of
news,"['news_program', 'intelligence', 'newsworthiness', 'tidings', 'word', 'news_show', 'news']",Handbook of Federal Aids to Communities. U.S. Department of
explore,"['research', 'explore', 'search']",Handbook of Federal Aids to Communities. U.S. Department of
other,"['early', 'former', 'other']",Handbook of Federal Aids to Communities. U.S. Department of
pools,"['pond', 'kitty', 'pool', 'consortium', 'puddle', 'syndicate', 'pocket_billiards']",Handbook of Federal Aids to Communities. U.S. Department of
repayment,"['quittance', 'refund', 'repayment']",Handbook of Federal Aids to Communities. U.S. Department of
indicate,"['point', 'signal', 'indicate', 'argue', 'designate', 'betoken', 'show', 'suggest', 'bespeak']",Handbook of Federal Aids to Communities. U.S. Department of
market,"['securities_industry', 'marketplace', 'market_place', 'commercialize', 'grocery_store', 'market', 'food_market', 'commercialise', 'mart', 'grocery']",Handbook of Federal Aids to Communities. U.S. Department of
problems,"['problem', 'job', 'trouble']",Handbook of Federal Aids to Communities. U.S. Department of
independently,"['independently', 'severally']",Handbook of Federal Aids to Communities. U.S. Department of
management,"['management', 'direction']",Handbook of Federal Aids to Communities. U.S. Department of
periodical,"['periodic', 'periodical']",Handbook of Federal Aids to Communities. U.S. Department of
and,[],Handbook of Federal Aids to Communities. U.S. Department of
Seattle,['Seattle'],Handbook of Federal Aids to Communities. U.S. Department of
Products,"['mathematical_product', 'ware', 'production', 'product', 'intersection', 'Cartesian_product', 'merchandise']",Handbook of Federal Aids to Communities. U.S. Department of
produced,"['create', 'grow', 'raise', 'farm', 'bring_on', 'give_rise', 'bring_out', 'develop', 'make', 'bring_about', 'acquire', 'produce', 'bring_forth', 'get']",Handbook of Federal Aids to Communities. U.S. Department of
balance,"['rest', 'Balance', 'residue', 'equalizer', 'balance', 'correspondence', 'equilibrate', 'equilibrize', 'proportionality', 'equilibrise', 'symmetricalness', 'Libra_the_Scales', 'equaliser', 'balance_wheel', 'counterpoise', 'proportion', 'residuum', 'counterweight', 'Libra_the_Balance', 'Libra', 'equipoise', 'remainder', 'poise', 'symmetry', 'equilibrium', 'counterbalance', 'residual']",Handbook of Federal Aids to Communities. U.S. Department of
short-term,"['short-term', 'short-run']",Handbook of Federal Aids to Communities. U.S. Department of
D.C.,"['DC', 'District_of_Columbia', 'D.C.']",Handbook of Federal Aids to Communities. U.S. Department of
property,"['prop', 'holding', 'belongings', 'place', 'property', 'dimension', 'attribute']",Handbook of Federal Aids to Communities. U.S. Department of
explored,"['research', 'explore', 'search']",Handbook of Federal Aids to Communities. U.S. Department of
insure,"['see', 'check', 'cover', 'guarantee', 'see_to_it', 'ascertain', 'secure', 'underwrite', 'control', 'insure', 'assure', 'ensure']",Handbook of Federal Aids to Communities. U.S. Department of
business,"['byplay', 'business_organization', 'commercial_enterprise', 'job', 'clientele', 'patronage', 'occupation', 'business_concern', 'line', 'stage_business', 'business_organisation', 'business_enterprise', 'line_of_work', 'business_sector', 'concern', 'business']",Handbook of Federal Aids to Communities. U.S. Department of
Of,[],Handbook of Federal Aids to Communities. U.S. Department of
OME,[],Handbook of Federal Aids to Communities. U.S. Department of
rural,['rural'],Handbook of Federal Aids to Communities. U.S. Department of
manufacturers,"['manufacturing_business', 'maker', 'manufacturer', 'producer']",Handbook of Federal Aids to Communities. U.S. Department of
encourages,"['boost', 'further', 'promote', 'advance', 'encourage']",Handbook of Federal Aids to Communities. U.S. Department of
economists,"['economist', 'economic_expert']",Handbook of Federal Aids to Communities. U.S. Department of
Chicago,"['boodle', 'Chicago', 'Newmarket', 'stops', 'Michigan', 'Windy_City']",Handbook of Federal Aids to Communities. U.S. Department of
employees,['employee'],Handbook of Federal Aids to Communities. U.S. Department of
promptly,"['pronto', 'quick', 'promptly', 'readily', 'right_away', 'quickly']",Handbook of Federal Aids to Communities. U.S. Department of
plant,"['embed', 'engraft', 'institute', 'found', 'constitute', 'plant', 'imbed', 'industrial_plant', 'establish', 'set', 'implant', 'works', 'flora', 'plant_life']",Handbook of Federal Aids to Communities. U.S. Department of
office,"['billet', 'government_agency', 'business_office', 'situation', 'position', 'agency', 'office', 'power', 'bureau', 'part', 'role', 'berth', 'place', 'authority', 'function', 'federal_agency', 'post', 'office_staff', 'spot']",Handbook of Federal Aids to Communities. U.S. Department of
diversification,"['diversification', 'variegation']",Handbook of Federal Aids to Communities. U.S. Department of
offices,"['billet', 'government_agency', 'business_office', 'situation', 'position', 'agency', 'office', 'power', 'bureau', 'part', 'role', 'berth', 'place', 'authority', 'function', 'federal_agency', 'post', 'office_staff', 'spot']",Handbook of Federal Aids to Communities. U.S. Department of
short-run,"['short-term', 'short-run']",Handbook of Federal Aids to Communities. U.S. Department of
past,"['retiring', 'preceding', 'past_times', 'yesteryear', 'by', 'past_tense', 'past']",Handbook of Federal Aids to Communities. U.S. Department of
The,[],Handbook of Federal Aids to Communities. U.S. Department of
Community,"['residential_area', 'community', 'community_of_interests', 'biotic_community', 'residential_district']",Handbook of Federal Aids to Communities. U.S. Department of
Dallas,['Dallas'],Handbook of Federal Aids to Communities. U.S. Department of
frequently,"['oft', 'frequently', 'often', 'oftentimes', 'ofttimes']",Handbook of Federal Aids to Communities. U.S. Department of
identifying,"['distinguish', 'describe', 'discover', 'identify', 'name', 'place', 'key', 'key_out']",Handbook of Federal Aids to Communities. U.S. Department of
60,"['lx', 'LX', '60', 'sixty', 'threescore']",Handbook of Federal Aids to Communities. U.S. Department of
term,"['condition', 'terminus', 'term', 'full_term', 'terminal_figure']",Handbook of Federal Aids to Communities. U.S. Department of
dealt,"['address', 'contend', 'look_at', 'treat', 'parcel_out', 'dole_out', 'portion_out', 'make_out', 'share', 'distribute', 'cover', 'conduct', 'handle', 'carry_on', 'care', 'shell_out', 'administer', 'deal', 'dispense', 'divvy_up', 'take', 'consider', 'make_do', 'mete_out', 'dish_out', 'lot', 'get_by', 'allot', 'trade', 'grapple', 'apportion', 'sell', 'cope', 'manage', 'deal_out', 'plow']",Handbook of Federal Aids to Communities. U.S. Department of
addition,"['accession', 'plus', 'improver', 'increase', 'add-on', 'addition', 'summation', 'gain']",Handbook of Federal Aids to Communities. U.S. Department of
up,"['improving', 'upwardly', 'astir', 'upwards', 'upward', 'up']",Handbook of Federal Aids to Communities. U.S. Department of
educational,['educational'],Handbook of Federal Aids to Communities. U.S. Department of
pool,"['pond', 'kitty', 'pool', 'consortium', 'puddle', 'syndicate', 'pocket_billiards']",Handbook of Federal Aids to Communities. U.S. Department of
local,"['topical_anesthetic', 'local_anaesthetic', 'topical_anaesthetic', 'local', 'local_anesthetic']",Handbook of Federal Aids to Communities. U.S. Department of
processes,"['operation', 'treat', 'cognitive_process', 'serve', 'work', 'work_on', 'swear_out', 'summons', 'outgrowth', 'litigate', 'procedure', 'process', 'mental_process', 'physical_process', 'action', 'cognitive_operation', 'appendage', 'march', 'unconscious_process', 'sue']",Handbook of Federal Aids to Communities. U.S. Department of
10,"['x', '10', 'ten', 'X', 'decade', 'tenner']",Handbook of Federal Aids to Communities. U.S. Department of
obtain,"['prevail', 'hold', 'find', 'obtain', 'receive', 'incur', 'get']",Handbook of Federal Aids to Communities. U.S. Department of
purposes,"['design', 'aim', 'use', 'role', 'purport', 'resolve', 'intention', 'intent', 'purpose', 'determination', 'propose', 'function']",Handbook of Federal Aids to Communities. U.S. Department of
provided,"['render', 'allow_for', 'furnish', 'provide', 'bring_home_the_bacon', 'leave', 'put_up', 'cater', 'ply', 'supply', 'offer', 'allow']",Handbook of Federal Aids to Communities. U.S. Department of
When,[],Handbook of Federal Aids to Communities. U.S. Department of
Courses,"['course_of_instruction', 'row', 'course_of_action', 'form', 'grade', 'feed', 'trend', 'course', 'line', 'track', 'path', 'class', 'course_of_study', 'run', 'flow']",Handbook of Federal Aids to Communities. U.S. Department of
Congress,"['relation', 'US_Congress', 'sexual_intercourse', 'United_States_Congress', 'coition', 'carnal_knowledge', 'sexual_congress', 'U.S._Congress', 'Congress', 'intercourse', 'congress', 'coitus', 'sex_act', 'copulation', 'sexual_relation']",Handbook of Federal Aids to Communities. U.S. Department of
qualify,"['stipulate', 'characterize', 'dispose', 'qualify', 'condition', 'modify', 'restrict', 'characterise', 'specify', 'measure_up']",Handbook of Federal Aids to Communities. U.S. Department of
third,"['third_gear', 'third_base', 'tierce', 'third', 'tertiary', 'thirdly', 'one-third', '3rd']",Handbook of Federal Aids to Communities. U.S. Department of
within,"['within', 'inside']",Handbook of Federal Aids to Communities. U.S. Department of
communities,"['residential_area', 'community', 'community_of_interests', 'biotic_community', 'residential_district']",Handbook of Federal Aids to Communities. U.S. Department of
any,"['whatever', 'whatsoever', 'any']",Handbook of Federal Aids to Communities. U.S. Department of
repay,"['give_back', 'return', 'rejoin', 'pay_back', 'refund', 'repay', 'come_back', 'requite', 'riposte', 'retort', 'reward']",Handbook of Federal Aids to Communities. U.S. Department of
most,"['about', 'nearly', 'near', 'almost', 'well-nigh', 'most', 'virtually', 'to_the_highest_degree', 'nigh']",Handbook of Federal Aids to Communities. U.S. Department of
series,"['serial_publication', 'series', 'serial']",Handbook of Federal Aids to Communities. U.S. Department of
Loan,"['loan', 'lend', 'loanword']",Handbook of Federal Aids to Communities. U.S. Department of
applicants,"['applier', 'applicant']",Handbook of Federal Aids to Communities. U.S. Department of
work,"['body_of_work', 'knead', 'sour', 'play', 'piece_of_work', 'shape', 'bring', 'oeuvre', 'work', 'work_on', 'do_work', 'mould', 'ferment', 'put_to_work', 'wreak', 'exercise', 'lick', 'act_upon', 'puzzle_out', 'exploit', 'make_for', 'work_out', 'act', 'go', 'figure_out', 'workplace', 'operate', 'influence', 'process', 'turn', 'solve', 'run', 'function', 'form', 'crop', 'study', 'make', 'cultivate', 'forge', 'mold', 'employment']",Handbook of Federal Aids to Communities. U.S. Department of
type,"['character', 'type', 'eccentric', 'typecast', 'case', 'typewrite']",Handbook of Federal Aids to Communities. U.S. Department of
U.S.,"['America', 'U.S.', 'United_States', 'the_States', 'United_States_of_America', 'United_States_government', 'U.S._government', 'US', 'US_Government', 'U.S.A.', 'USA']",Handbook of Federal Aids to Communities. U.S. Department of
agency,"['government_agency', 'bureau', 'agency', 'means', 'way', 'office', 'delegacy', 'authority', 'federal_agency', 'representation']",Handbook of Federal Aids to Communities. U.S. Department of
amended,"['amend', 'amended', 'ameliorate', 'better', 'improve', 'remediate', 'repair', 'meliorate', 'rectify', 'remedy']",Handbook of Federal Aids to Communities. U.S. Department of
conferences,"['group_discussion', 'conference', 'league']",Handbook of Federal Aids to Communities. U.S. Department of
provdied,[],Handbook of Federal Aids to Communities. U.S. Department of
themselves,[],Handbook of Federal Aids to Communities. U.S. Department of
range,"['orbit', 'ambit', 'mountain_chain', 'grasp', 'order', 'stove', 'ramble', 'rove', 'chain_of_mountains', 'mountain_range', 'kitchen_stove', 'drift', 'array', 'wander', 'rate', 'tramp', 'graze', 'chain', 'compass', 'image', 'rank', 'range', 'range_of_a_function', 'cooking_stove', 'roam', 'vagabond', 'scope', 'swan', 'kitchen_range', 'place', 'straddle', 'run', 'range_of_mountains', 'set_out', 'browse', 'pasture', 'grade', 'lay_out', 'cast', 'crop', 'reach', 'roll', 'stray']",Handbook of Federal Aids to Communities. U.S. Department of
first,"['offset', 'first_off', '1st', 'low', 'firstly', 'commencement', 'get-go', 'for_the_first_time', 'first_of_all', 'number_one', 'maiden', 'world-class', 'first-class_honours_degree', 'initiative', 'showtime', 'first_gear', 'kickoff', 'starting_time', 'number_1', 'first', 'beginning', 'initiatory', 'outset', 'start', 'foremost', 'first_base', 'inaugural', 'low_gear']",Handbook of Federal Aids to Communities. U.S. Department of
exceeds,"['surpass', 'exceed', 'top', 'outmatch', 'outdo', 'outgo', 'go_past', 'outperform', 'pass', 'overstep', 'transcend', 'outstrip', 'surmount']",Handbook of Federal Aids to Communities. U.S. Department of
forests,"['woodland', 'timberland', 'woods', 'timber', 'forest', 'afforest', 'wood']",Handbook of Federal Aids to Communities. U.S. Department of
And,[],Handbook of Federal Aids to Communities. U.S. Department of
written,"['compose', 'save', 'drop_a_line', 'write', 'written', 'pen', 'publish', 'indite', 'spell', 'scripted']",Handbook of Federal Aids to Communities. U.S. Department of
Interest,"['matter_to', 'worry', 'involvement', 'interestingness', 'occupy', 'pastime', 'interest', 'sake', 'concern', 'interest_group', 'pursuit', 'stake']",Handbook of Federal Aids to Communities. U.S. Department of
Offices,"['billet', 'government_agency', 'business_office', 'situation', 'position', 'agency', 'office', 'power', 'bureau', 'part', 'role', 'berth', 'place', 'authority', 'function', 'federal_agency', 'post', 'office_staff', 'spot']",Handbook of Federal Aids to Communities. U.S. Department of
basic,"['introductory', 'staple', 'canonical', 'BASIC', 'canonic', 'basic']",Handbook of Federal Aids to Communities. U.S. Department of
Bank,"['money_box', 'savings_bank', 'depository_financial_institution', 'camber', 'bank', 'trust', 'banking_concern', 'banking_company', 'coin_bank', 'rely', 'swear', 'bank_building', 'cant', 'deposit']",Handbook of Federal Aids to Communities. U.S. Department of
monthly,['monthly'],Handbook of Federal Aids to Communities. U.S. Department of
area,"['field', 'surface_area', 'area', 'expanse', 'orbit', 'arena', 'domain', 'region', 'country', 'sphere']",Handbook of Federal Aids to Communities. U.S. Department of
flyers,"['flyer', 'flier', 'bill', 'aviator', 'airman', 'broadsheet', 'circular', 'broadside', 'throwaway', 'aeronaut', 'handbill']",Handbook of Federal Aids to Communities. U.S. Department of
house,"['planetary_house', 'home', 'house', 'put_up', 'sign_of_the_zodiac', 'business_firm', 'star_sign', 'family', 'sign', 'household', 'menage', 'theater', 'theatre', 'domiciliate', 'firm', 'mansion']",Handbook of Federal Aids to Communities. U.S. Department of
budgetary,['budgetary'],Handbook of Federal Aids to Communities. U.S. Department of
much,"['a_great_deal', 'a_good_deal', 'a_lot', 'practically', 'often', 'much', 'very_much', 'lots']",Handbook of Federal Aids to Communities. U.S. Department of
