w,vector_semantico
Curzon's,[],High Fidelity
performances,"['performance', 'operation', 'carrying_into_action', 'public_presentation', 'carrying_out', 'functioning', 'execution']",High Fidelity
somewhat,"['middling', 'somewhat', 'more_or_less', 'slightly', 'passably', 'reasonably', 'pretty', 'fairly', 'jolly', 'moderately']",High Fidelity
able,"['able-bodied', 'able', 'capable']",High Fidelity
notably,['notably'],High Fidelity
detail,"['particular', 'detail', 'item', 'point', 'contingent']",High Fidelity
orchestra,['orchestra'],High Fidelity
cite,"['adduce', 'mention', 'cite', 'advert', 'reference', 'refer', 'citation', 'summon', 'quote', 'acknowledgment', 'abduce', 'summons', 'quotation', 'credit', 'bring_up', 'name']",High Fidelity
impressive,"['impressive', 'telling']",High Fidelity
seem,"['appear', 'seem', 'look']",High Fidelity
opus,"['piece_of_music', 'musical_composition', 'composition', 'piece', 'opus']",High Fidelity
Too,"['excessively', 'overly', 'as_well', 'to_a_fault', 'besides', 'likewise', 'too', 'also']",High Fidelity
strikes,"['bang', 'affect', 'take_up', 'tap', 'impinge_on', 'work_stoppage', 'move', 'come_upon', 'coin', 'rap', 'light_upon', 'hit', 'chance_upon', 'come_across', 'excise', 'ten-strike', 'strike', 'run_into', 'collide_with', 'expunge', 'fall_upon', 'walk_out', 'shine', 'attain', 'assume', 'impress', 'take', 'come_to', 'smasher', 'mint', 'smash', 'fall', 'strickle', 'happen_upon', 'discover', 'chance_on', 'scratch']",High Fidelity
reflected,"['reflect', 'shine', 'think_over', 'excogitate', 'contemplate', 'reverberate', 'mull_over', 'muse', 'ponder', 'ruminate', 'mull', 'speculate', 'reflected', 'chew_over', 'meditate']",High Fidelity
in,"['atomic_number_49', 'inward', 'In', 'inch', 'inwards', 'IN', 'Hoosier_State', 'indium', 'in', 'Indiana']",High Fidelity
these,[],High Fidelity
much,"['very_much', 'often', 'a_lot', 'practically', 'a_great_deal', 'lots', 'a_good_deal', 'much']",High Fidelity
fatigue,"['wear_out', 'jade', 'tiredness', 'tire_out', 'wear', 'fag_out', 'fag', 'fatigue_duty', 'weary', 'tire', 'outwear', 'weariness', 'wear_upon', 'wear_down', 'fatigue', 'pall']",High Fidelity
organization,"['constitution', 'administration', 'organization', 'formation', 'governance', 'brass', 'organisation', 'system', 'arrangement', 'governing_body', 'establishment']",High Fidelity
end,"['death', 'remainder', 'oddment', 'final_stage', 'remnant', 'last', 'end', 'finish', 'cease', 'conclusion', 'destruction', 'terminate', 'goal', 'closing', 'terminal', 'close', 'stop', 'ending']",High Fidelity
whose,[],High Fidelity
edition,"['variant', 'variation', 'version', 'edition']",High Fidelity
indistinguishable,"['identical', 'undistinguishable', 'indistinguishable']",High Fidelity
practices,"['use', 'recitation', 'exercise', 'pattern', 'commit', 'praxis', 'practice_session', 'practise', 'drill', 'do', 'rehearse', 'apply', 'practice']",High Fidelity
natural,"['rude', 'innate', 'cancel', 'raw', 'natural', 'instinctive', 'born', 'lifelike']",High Fidelity
Recordings,"['record', 'tape', 'enter', 'show', 'commemorate', 'register', 'recording', 'immortalize', 'transcription', 'immortalise', 'put_down', 'memorialise', 'read', 'memorialize']",High Fidelity
acquire,"['gain', 'take_on', 'larn', 'assume', 'get', 'win', 'produce', 'learn', 'take', 'adopt', 'acquire', 'grow', 'develop', 'evolve']",High Fidelity
they,[],High Fidelity
set,"['arrange', 'adjust', 'go_down', 'do', 'specify', 'fix', 'solidification', 'countersink', 'Seth', 'coif', 'readiness', 'localise', 'dress', 'prepare', 'lay', 'set_up', 'fixed', 'laid', 'bent', 'mark', 'determined', 'Set', 'determine', 'jell', 'congeal', 'primed', 'set', 'define', 'put', 'place', 'curing', 'limit', 'rigid', 'hardening', 'go_under', 'located', 'dictated', 'correct', 'plant', 'typeset', 'lot', 'lay_out', 'coiffe', 'hardened', 'sic', 'position', 'fit', 'exercise_set', 'circle', 'placed', 'stage_set', 'ready', 'localize', 'fructify', 'coiffure', 'solidifying', 'situated', 'rig', 'pose', 'gear_up', 'band']",High Fidelity
calls,"['prognosticate', 'cry', 'send_for', 'phone_call', 'scream', 'shout', 'telephone_call', 'predict', 'call_option', 'hollo', 'name', 'holler', 'squall', 'call_off', 'call', 'address', 'phone', 'forebode', 'Call', 'song', 'call_up', 'shout_out', 'ring', 'vociferation', 'anticipate', 'telephone', 'call_in', 'claim', 'yell', 'margin_call', 'outcry', 'visit', 'promise', 'bid', 'foretell', 'birdcall', 'birdsong']",High Fidelity
statements,"['argument', 'program_line', 'affirmation', 'statement', 'assertion', 'command', 'instruction', 'financial_statement']",High Fidelity
belongs,"['go', 'belong_to', 'belong']",High Fidelity
Schubert's,[],High Fidelity
sounded,"['voice', 'vocalize', 'go', 'fathom', 'vocalise', 'sound']",High Fidelity
threshold,"['limen', 'doorstep', 'threshold', 'room_access', 'verge', 'doorway', 'door', 'doorsill', 'brink']",High Fidelity
receive,"['welcome', 'incur', 'get', 'receive', 'pick_up', 'find', 'invite', 'encounter', 'obtain', 'meet', 'take_in', 'experience', 'have']",High Fidelity
essentially,"['essentially', 'fundamentally', 'basically']",High Fidelity
Philharmonic,"['symphony_orchestra', 'philharmonic', 'symphony']",High Fidelity
pure,"['gross', 'complete', 'utter', 'arrant', 'unadulterated', 'double-dyed', 'saturated', 'vestal', 'virgin', 'virginal', 'stark', 'consummate', 'pure', 'perfect', 'staring', 'virtuous', 'thoroughgoing', 'sodding', 'everlasting']",High Fidelity
small,"['low', 'pocket-size', 'small-scale', 'modest', 'minor', 'belittled', 'small', 'diminished', 'lowly', 'minuscule', 'little', 'humble', 'pocket-sized']",High Fidelity
sturdy,"['hardy', 'stalwart', 'inflexible', 'uncompromising', 'sturdy', 'tough', 'stout']",High Fidelity
sort,"['sorting', 'form', 'kind', 'screen_out', 'sort', 'assort', 'separate', 'classify', 'variety', 'sieve', 'sort_out', 'class', 'screen']",High Fidelity
thing,"['matter', 'thing', 'affair']",High Fidelity
Brahms,"['Johannes_Brahms', 'Brahms']",High Fidelity
sells,"['deal', 'sell', 'trade', 'betray']",High Fidelity
no,"['No', 'no_more', 'no', 'nobelium', 'atomic_number_102']",High Fidelity
type,"['typewrite', 'typecast', 'character', 'type', 'eccentric', 'case']",High Fidelity
afraid,['afraid'],High Fidelity
too,"['excessively', 'overly', 'as_well', 'to_a_fault', 'besides', 'likewise', 'too', 'also']",High Fidelity
interpretative,"['interpretive', 'interpretative']",High Fidelity
outlook,"['mindset', 'lookout', 'prospect', 'expectation', 'mind-set', 'mentality', 'outlook']",High Fidelity
would-be,"['would-be', 'manque']",High Fidelity
There,"['in_that_respect', 'on_that_point', 'at_that_place', 'in_that_location', 'thither', 'there']",High Fidelity
Ensemble,"['ensemble', 'corps_de_ballet', 'supporting_players', 'tout_ensemble']",High Fidelity
Returning,"['take_back', 'reverting', 'give', 'refund', 'revert', 'give_back', 'retrovert', 'pass', 'generate', 'reelect', 'deliver', 'yield', 'retort', 'turn_back', 'riposte', 'hark_back', 'return', 'rejoin', 'come_back', 'devolve', 'returning', 'bring_back', 'fall', 'regress', 'reversive', 'render', 'recall', 'repay']",High Fidelity
four,"['quadruplet', 'quaternary', 'four', 'quartet', 'IV', 'Little_Joe', 'quaternity', 'foursome', 'tetrad', 'iv', 'quaternion', 'four-spot', 'quatern', '4']",High Fidelity
performer,"['performing_artist', 'performer']",High Fidelity
lyrical,"['lyric', 'lyrical']",High Fidelity
times,"['times', 'clock_time', 'meter', 'clock', 'metre', 'prison_term', 'clip', 'sentence', 'multiplication', 'time', 'fourth_dimension']",High Fidelity
home,"['house', 'abode', 'family', 'domicile', 'habitation', 'interior', 'home_base', 'place', 'national', 'dwelling', 'nursing_home', 'plate', 'rest_home', 'menage', 'home_plate', 'internal', 'home', 'dwelling_house', 'household', 'base']",High Fidelity
monophonic,"['mono', 'monophonic', 'single-channel']",High Fidelity
infectious,"['infectious', 'infective']",High Fidelity
last-mentioned,[],High Fidelity
interesting,"['matter_to', 'worry', 'interesting', 'concern', 'interest', 'occupy']",High Fidelity
values,"['economic_value', 'measure', 'valuate', 'prize', 'esteem', 'appreciate', 'value', 'note_value', 'prise', 'assess', 'appraise', 'rate', 'values', 'evaluate', 'treasure', 'time_value', 'respect']",High Fidelity
acquired,"['gain', 'take_on', 'larn', 'assume', 'get', 'win', 'produce', 'learn', 'take', 'adopt', 'acquire', 'grow', 'develop', 'evolve', 'acquired']",High Fidelity
concept,"['conception', 'construct', 'concept']",High Fidelity
disillusioning,"['disenchant', 'disillusion', 'disillusioning', 'disenchanting']",High Fidelity
losing,"['lose', 'miss', 'turn_a_loss', 'suffer', 'fall_back', 'mislay', 'drop_off', 'recede', 'fall_behind', 'misplace']",High Fidelity
undertow,"['sea_puss', 'sea-purse', 'sea_purse', 'sea-poose', 'sea-puss', 'undertow']",High Fidelity
Records,"['show', 'commemorate', 'criminal_record', 'track_record', 'record', 'platter', 'book', 'disc', 'disk', 'register', 'memorialise', 'enter', 'immortalize', 'put_down', 'record_book', 'read', 'tape', 'phonograph_record', 'immortalise', 'phonograph_recording', 'memorialize']",High Fidelity
versions,"['interpretation', 'variant', 'variation', 'adaptation', 'interlingual_rendition', 'rendering', 'reading', 'edition', 'translation', 'version']",High Fidelity
defects,"['flaw', 'desert', 'shortcoming', 'blemish', 'mar', 'fault', 'defect']",High Fidelity
differs,"['dissent', 'take_issue', 'disagree', 'differ']",High Fidelity
Clifford,[],High Fidelity
accustomed,"['accustom', 'customary', 'accustomed', 'habitual', 'wonted', 'habituate']",High Fidelity
Caruso,"['Enrico_Caruso', 'Caruso']",High Fidelity
make,"['urinate', 'get', 'realize', 'give', 'ca-ca', 'make', 'reach', 'do', 'arrive_at', 'cook', 'brand', 'fix', 'pull_in', 'build', 'pass_water', 'constitute', 'name', 'create', 'hit', 'piss', 'bring_in', 'construct', 'prepare', 'produce', 'stool', 'take_a_crap', 'pee', 'shuffle', 'induce', 'relieve_oneself', 'stimulate', 'gain', 'wee', 'attain', 'spend_a_penny', 'take_a_leak', 'seduce', 'pretend', 'clear', 'hold', 'make_water', 'make_up', 'progress_to', 'take', 'get_to', 'establish', 'shuffling', 'take_in', 'shit', 'piddle', 'take_a_shit', 'nominate', 'work', 'ready', 'micturate', 'defecate', 'lay_down', 'throw', 'cause', 'form', 'score', 'wee-wee', 'make_believe', 'pee-pee', 'draw', 'crap', 'earn', 'realise', 'puddle', 'have']",High Fidelity
Glazer-Fine,[],High Fidelity
until,[],High Fidelity
full,"['total', 'full-of-the-moon', 'good', 'full_phase_of_the_moon', 'full_moon', 'broad', 'to_the_full', 'wax', 'replete', 'full', 'entire', 'wide-cut', 'wide', 'fully']",High Fidelity
version,"['interpretation', 'variant', 'variation', 'adaptation', 'interlingual_rendition', 'rendering', 'reading', 'edition', 'translation', 'version']",High Fidelity
Toscanini,"['Toscanini', 'Arturo_Toscanini']",High Fidelity
its,"['information_technology', 'IT']",High Fidelity
some,"['about', 'more_or_less', 'just_about', 'around', 'close_to', 'or_so', 'some', 'approximately', 'roughly']",High Fidelity
outset,"['commencement', 'first', 'beginning', 'offset', 'showtime', 'kickoff', 'start', 'outset', 'get-go', 'starting_time']",High Fidelity
balance,"['Libra_the_Balance', 'counterpoise', 'poise', 'equaliser', 'balance', 'equipoise', 'residual', 'Balance', 'residuum', 'proportionality', 'residue', 'equilibrate', 'symmetry', 'equilibrium', 'correspondence', 'symmetricalness', 'remainder', 'equalizer', 'equilibrize', 'proportion', 'Libra_the_Scales', 'rest', 'counterbalance', 'equilibrise', 'balance_wheel', 'counterweight', 'Libra']",High Fidelity
notes,"['bank_bill', 'tone', 'preeminence', 'government_note', 'short_letter', 'note', 'remark', 'Federal_Reserve_note', 'notation', 'billet', ""banker's_bill"", 'mark', 'bill', 'distinction', 'eminence', 'observe', 'mention', 'take_down', 'line', 'promissory_note', 'banknote', 'take_note', 'greenback', 'annotation', 'musical_note', 'bank_note', 'notice', 'note_of_hand']",High Fidelity
as,"['antiophthalmic_factor', 'axerophthol', 'a', 'group_A', 'arsenic', 'As', 'as', 'vitamin_A', 'angstrom_unit', 'deoxyadenosine_monophosphate', 'ampere', 'every_bit', 'amp', 'AS', 'A', 'equally', 'adenine', 'atomic_number_33', 'American_Samoa', 'Eastern_Samoa', 'type_A', 'angstrom']",High Fidelity
valve,['valve'],High Fidelity
Second,"['sec', 'second', 'bit', 'indorsement', 'secondment', 'second_base', 'minute', 's', 'second_gear', 'secondly', 'indorse', '2nd', 'moment', '2d', 'endorsement', 'irregular', 'mo', 'endorse', 'instant', 'back', 'arcsecond']",High Fidelity
record,"['show', 'commemorate', 'criminal_record', 'track_record', 'record', 'platter', 'book', 'disc', 'disk', 'register', 'memorialise', 'enter', 'immortalize', 'put_down', 'record_book', 'read', 'tape', 'phonograph_record', 'immortalise', 'phonograph_recording', 'memorialize']",High Fidelity
faded,"['washy', 'languish', 'pass_off', 'faded', 'blow_over', 'washed-out', 'fade', 'bleached', 'wither', 'pass', 'attenuate', 'evanesce', 'weakened', 'fleet', 'attenuated', 'melt']",High Fidelity
movements,"['apparent_motion', 'drive', 'crusade', 'motility', 'motion', 'movement', 'cause', 'social_movement', 'effort', 'apparent_movement', 'bowel_movement', 'campaign', 'move', 'front', 'bm', 'drift', 'trend']",High Fidelity
penetration,"['insight', 'penetration', 'incursion']",High Fidelity
never,"['never', ""ne'er""]",High Fidelity
authority,"['self-assurance', 'say-so', 'government_agency', 'self-confidence', 'authorisation', 'authority', 'confidence', 'office', 'dominance', 'authorization', 'assurance', 'bureau', 'sanction', 'agency', 'potency', 'sureness', 'federal_agency']",High Fidelity
rhythmic,"['rhythmical', 'rhythmic']",High Fidelity
cumulative,"['cumulative', 'accumulative']",High Fidelity
slack,"['falling_off', 'slake', 'slow', 'morass', 'die_away', 'loose', 'falloff', 'slacken', 'quagmire', 'abate', 'let_up', 'slack', 'lax', 'slack_off', 'mire', 'drop-off', 'slow_down', 'slack_up', 'slack_water', 'slackness', 'quag', 'slump', 'slow_up', 'relax']",High Fidelity
means,"['intend', 'signify', 'imply', 'have_in_mind', 'entail', 'mean_value', 'think_of', 'substance', 'means', 'mean', 'stand_for', 'think', 'agency', 'way']",High Fidelity
fascinating,"['riveting', 'enamour', 'engrossing', 'intrigue', 'captivating', 'catch', 'beguile', 'enchanting', 'bewitching', 'entrancing', 'transfix', 'grip', 'enthralling', 'charm', 'entrance', 'absorbing', 'gripping', 'capture', 'fascinating', 'fascinate', 'enchant', 'becharm', 'captivate', 'trance', 'bewitch', 'enamor', 'spellbind']",High Fidelity
frequent,"['frequent', 'sponsor', 'shop_at', 'haunt', 'shop', 'patronise', 'patronize', 'buy_at']",High Fidelity
student's,[],High Fidelity
Every,['every'],High Fidelity
lucidity,"['lucidity', 'clearness', 'clarity', 'limpidity', 'lucidness', 'pellucidity']",High Fidelity
common,"['green', 'coarse', 'park', 'uncouth', 'common', 'rough-cut', 'vulgar', 'mutual', 'plebeian', 'commons', 'unwashed', 'usual', 'vernacular']",High Fidelity
Although,[],High Fidelity
been,"['equal', 'comprise', 'represent', 'cost', 'embody', 'follow', 'be', 'exist', 'make_up', 'personify', 'live', 'constitute']",High Fidelity
Seen,"['regard', 'run_across', 'look', 'realize', 'go_steady', 'assure', 'find', 'find_out', 'catch', 'ascertain', 'examine', 'witness', 'construe', 'come_across', 'interpret', 'consider', 'insure', 'get_wind', 'pick_up', 'determine', 'image', 'run_into', 'meet', 'reckon', 'envision', 'attend', 'check', 'go_out', 'get_a_line', 'project', 'escort', 'fancy', 'learn', 'take_care', 'picture', 'visualize', 'hear', 'take_in', 'date', 'see', 'watch', 'get_word', 'figure', 'understand', 'ensure', 'visit', 'visualise', 'view', 'go_through', 'encounter', 'discover', 'realise', 'see_to_it', 'experience', 'control']",High Fidelity
both,['both'],High Fidelity
hearing,"['earreach', 'listen', 'find_out', 'take_heed', 'get_wind', 'pick_up', 'listening', 'try', 'earshot', 'get_a_line', 'audience', 'learn', 'sense_of_hearing', 'hear', 'hearing', 'auditory_modality', 'see', 'get_word', 'audition', 'auditory_sense', 'discover']",High Fidelity
thought,"['cogitate', 'imagine', 'consider', 'retrieve', 'cerebrate', 'suppose', 'thought_process', 'opinion', 'persuasion', 'reckon', 'conceive', 'call_back', 'call_up', 'intend', 'cerebration', 'remember', 'mentation', 'guess', 'think', 'thought', 'opine', 'sentiment', 'view', 'idea', 'believe', 'recall', 'mean', 'recollect', 'intellection', 'thinking']",High Fidelity
serve,"['wait_on', 'suffice', 'assist', 'service', 'dish', 'function', 'dish_up', 'serve_well', 'do', 'attend', 'answer', 'help', 'process', 'dish_out', 'serve', 'swear_out', 'attend_to', 'serve_up']",High Fidelity
likely,"['in_all_probability', 'potential', 'probable', 'in_all_likelihood', 'probably', 'belike', 'likely']",High Fidelity
string,"['string_along', 'bowed_stringed_instrument', 'cosmic_string', 'chain', 'strand', 'drawing_string', 'thread', 'draw', 'drawstring', 'string_up', 'twine', 'train', 'string']",High Fidelity
by,"['away', 'aside', 'past', 'by']",High Fidelity
Whether,[],High Fidelity
Demus-Schubert,[],High Fidelity
must,"['mustiness', 'must', 'moldiness']",High Fidelity
good,"['expert', 'ripe', 'adept', 'skilful', 'serious', 'salutary', 'honest', 'undecomposed', 'full', 'thoroughly', 'respectable', 'commodity', 'in_effect', 'sound', 'trade_good', 'estimable', 'proficient', 'skillful', 'secure', 'dependable', 'dear', 'practiced', 'near', 'beneficial', 'right', 'in_force', 'soundly', 'unspoilt', 'good', 'goodness', 'well', 'upright', 'just', 'effective', 'unspoiled', 'honorable', 'safe']",High Fidelity
filled,"['satisfy', 'filled', 'fill', 'sate', 'replete', 'take', 'fulfill', 'make_full', 'satiate', 'fill_up', 'meet', 'occupy', 'fulfil']",High Fidelity
paper,"['report', 'composition', 'newspaper', 'paper', 'wallpaper', 'newspaper_publisher', 'theme']",High Fidelity
spirit,"['feel', 'smell', 'tone', 'liveliness', 'feeling', 'look', 'flavour', 'emotional_state', 'life', 'spirit', 'disembodied_spirit', 'intent', 'purport', 'inspirit', 'spirit_up', 'sprightliness', 'heart', 'flavor']",High Fidelity
master's,[],High Fidelity
group,"['radical', 'mathematical_group', 'group', 'grouping', 'aggroup', 'chemical_group']",High Fidelity
everyone's,[],High Fidelity
and,[],High Fidelity
trio,"['terzetto', 'triad', 'threesome', 'deuce-ace', 'triplet', 'trey', '3', 'three', 'troika', 'ternary', 'ternion', 'III', 'leash', 'triple', 'trinity', 'tercet', 'tierce', 'trine', 'trio']",High Fidelity
experience,"['feel', 'see', 'get', 'receive', 'go_through', 'live', 'know', 'experience', 'have']",High Fidelity
your,[],High Fidelity
chamber,"['chamber', 'sleeping_room', 'bedroom', 'bedchamber', 'sleeping_accommodation']",High Fidelity
offers,"['offering', 'crack', 'whirl', 'extend', 'propose', 'go', 'proffer', 'offer_up', 'put_up', 'pop_the_question', 'provide', 'declare_oneself', 'bid', 'tender', 'pass', 'fling', 'volunteer', 'offer']",High Fidelity
delightful,"['delicious', 'delightful']",High Fidelity
