w,vector_semantico
A,"['vitamin_A', 'A', 'a', 'axerophthol', 'deoxyadenosine_monophosphate', 'group_A', 'ampere', 'amp', 'type_A', 'angstrom', 'adenine', 'angstrom_unit', 'antiophthalmic_factor']",How to design your Interlocking Frame
steel,"['steel', 'brand', 'nerve', 'blade', 'sword']",How to design your Interlocking Frame
beginning,"['beginning', 'showtime', 'set_about', 'kickoff', 'start_out', 'root', 'get_down', 'get', 'set_out', 'commence', 'offset', 'get-go', 'begin', 'origin', 'rootage', 'outset', 'source', 'starting_time', 'lead_off', 'start', 'commencement', 'first']",How to design your Interlocking Frame
forced,"['hale', 'strained', 'ram', 'force', 'forced', 'draw', 'coerce', 'drive', 'push', 'wedge', 'storm', 'squeeze', 'impel', 'thrust', 'constrained', 'pressure', 'pull']",How to design your Interlocking Frame
left,"['get_out', 'leave_alone', 'go_away', 'left', 'left-hand', 'entrust', 'remaining', 'allow_for', 'exit', 'left_over', 'left_hand', 'go_out', 'pull_up_stakes', 'leftfield', 'go_forth', 'leftover', 'odd', 'impart', 'allow', 'leave', 'provide', 'depart', 'unexpended', 'left_wing', 'will', 'pass_on', 'bequeath', 'forget', 'leave_behind', 'left_field', 'lead', 'result', 'give']",How to design your Interlocking Frame
1/8'',[],How to design your Interlocking Frame
machine,"['motorcar', 'machine', 'political_machine', 'car', 'auto', 'automobile', 'simple_machine']",How to design your Interlocking Frame
clear,"['vindicated', 'well-defined', 'brighten', 'light_up', 'sack', 'crystalize', 'make', 'discharge', 'take_in', 'elucidate', 'clear', 'realise', 'straighten_out', 'authorize', 'earn', 'unmortgaged', 'clean-cut', 'shed_light_on', 'absolved', 'clear_up', 'solve', 'crystallise', 'pull_in', 'clearly', 'net', 'sort_out', 'exculpated', 'clear-cut', 'illuminate', 'exonerate', 'light', 'all_the_way', 'percipient', 'crystallize', 'acquit', 'top', 'pass', 'exonerated', 'enlighten', 'bring_in', 'assoil', 'readable', 'decipherable', 'gain', 'realize', 'cleared', 'crystalise', 'unclouded', 'unclutter', 'sack_up', 'authorise', 'clean', 'exculpate', 'open']",How to design your Interlocking Frame
tapped,"['rap', 'pink', 'tap', 'bug', 'tip', 'beg', 'wiretap', 'knock', 'solicit', 'exploit', 'tapped', 'intercept', 'tapdance']",How to design your Interlocking Frame
Since,[],How to design your Interlocking Frame
disks,"['phonograph_recording', 'harrow', 'magnetic_disk', 'phonograph_record', 'saucer', 'magnetic_disc', 'platter', 'disk', 'disc', 'record']",How to design your Interlocking Frame
marring,"['deflower', 'impair', 'spoil', 'mar', 'vitiate', 'mutilate']",How to design your Interlocking Frame
installed,"['instal', 'establish', 'put_in', 'set_up', 'install']",How to design your Interlocking Frame
second,"['s', 'endorse', 'moment', 'endorsement', '2nd', 'irregular', 'second', 'sec', 'indorse', 'arcsecond', 'back', 'indorsement', 'minute', 'secondly', 'mo', '2d', 'second_gear', 'bit', 'secondment', 'second_base', 'instant']",How to design your Interlocking Frame
started,"['come_out', 'pop_out', 'get_going', 'set_about', 'take_up', 'originate', 'start_out', 'jump', 'set_off', 'get_down', 'startle', 'initiate', 'pop', 'get', 'set_out', 'commence', 'depart', 'embark_on', 'bulge', 'bulge_out', 'begin', 'start_up', 'take_off', 'set_forth', 'part', 'go', 'bug_out', 'protrude', 'lead_off', 'start']",How to design your Interlocking Frame
works,"['kit_and_caboodle', 'piece_of_work', 'whole_kit_and_caboodle', 'employment', 'make', 'whole_kit_and_boodle', 'whole_works', 'whole_kit', 'bring', 'industrial_plant', 'kit_and_boodle', 'function', 'solve', 'wreak', 'works', 'deeds', 'oeuvre', 'operate', 'exploit', 'do_work', 'crop', 'work', 'exercise', 'mould', 'knead', 'form', 'workplace', 'whole_shebang', 'process', 'body_of_work', 'work_out', 'forge', 'play', 'whole_caboodle', 'plant', 'workings', 'make_for', 'cultivate', 'run', 'study', 'full_treatment', 'act', 'act_upon', 'shape', 'puzzle_out', 'go', 'influence', 'turn', 'figure_out', 'put_to_work', 'lick', 'sour', 'ferment', 'mold', 'work_on']",How to design your Interlocking Frame
with,[],How to design your Interlocking Frame
5/16'',[],How to design your Interlocking Frame
like,"['corresponding', 'wish', 'like', 'similar', 'ilk', 'same', 'alike', 'the_likes_of', 'comparable', 'the_like', 'care']",How to design your Interlocking Frame
electric,"['galvanizing', 'electric', 'electric_car', 'electric_automobile', 'electrical', 'galvanising', 'galvanic']",How to design your Interlocking Frame
alike,"['similar', 'alike', 'like', 'likewise']",How to design your Interlocking Frame
Turnout,"['siding', 'outfit', 'railroad_siding', 'sidetrack', 'getup', 'output', 'turnout', 'widening', 'outturn', 'rig']",How to design your Interlocking Frame
This,[],How to design your Interlocking Frame
behind,"['butt', 'stern', 'tail_end', 'hindquarters', 'fanny', 'tush', 'tail', 'buttocks', 'buns', 'in_arrears', 'posterior', 'keister', 'tooshie', 'nates', 'prat', 'seat', 'behindhand', 'ass', 'hind_end', 'bum', 'backside', 'behind', 'can', 'bottom', 'rear', 'rump', 'slow', 'rear_end', 'derriere', 'fundament', 'arse']",How to design your Interlocking Frame
In,"['atomic_number_49', 'indium', 'inwards', 'inch', 'IN', 'in', 'In', 'inward', 'Indiana', 'Hoosier_State']",How to design your Interlocking Frame
normally,"['usually', 'commonly', 'ordinarily', 'normally', 'unremarkably']",How to design your Interlocking Frame
end,"['cease', 'closing', 'conclusion', 'remnant', 'remainder', 'finish', 'goal', 'close', 'terminal', 'stop', 'terminate', 'destruction', 'oddment', 'end', 'final_stage', 'last', 'death', 'ending']",How to design your Interlocking Frame
pinched,"['nip', 'adenoidal', 'pilfer', 'vellicate', 'gaunt', 'in_straitened_circumstances', 'tweet', 'lift', 'impecunious', 'cabbage', 'nasal', 'hard_up', 'squeeze', 'crimp', 'sneak', 'swipe', 'penniless', 'abstract', 'skeletal', 'hook', 'penurious', 'twinge', 'wasted', 'top', 'nobble', 'pinch', 'pinched', 'emaciated', 'bony', 'twitch', 'snarf', 'purloin', 'filch', 'cadaverous', 'haggard']",How to design your Interlocking Frame
Be,"['constitute', 'Be', 'equal', 'embody', 'cost', 'comprise', 'glucinium', 'represent', 'make_up', 'be', 'live', 'exist', 'follow', 'personify', 'beryllium', 'atomic_number_4']",How to design your Interlocking Frame
made,"['take_a_shit', 'arrive_at', 'lay_down', 'make', 'make_believe', 'draw', 'take_in', 'take_a_leak', 'wee', 'clear', 'realise', 'cause', 'hit', 'micturate', 'urinate', 'pee', 'earn', 'constitute', 'construct', 'cook', 'stool', 'piddle', 'have', 'pull_in', 'build', 'spend_a_penny', 'ready', 'get_to', 'do', 'make_water', 'progress_to', 'relieve_oneself', 'wee-wee', 'work', 'get', 'form', 'throw', 'make_up', 'induce', 'name', 'attain', 'score', 'puddle', 'create', 'reach', 'defecate', 'fix', 'stimulate', 'bring_in', 'pretend', 'take', 'pass_water', 'produce', 'gain', 'establish', 'realize', 'take_a_crap', 'made', 'give', 'piss', 'prepare', 'hold', 'seduce', 'crap', 'pee-pee', 'ca-ca', 'nominate', 'shit']",How to design your Interlocking Frame
diagrams,"['plot', 'diagram']",How to design your Interlocking Frame
2-56,[],How to design your Interlocking Frame
disk,"['phonograph_recording', 'harrow', 'magnetic_disk', 'phonograph_record', 'saucer', 'magnetic_disc', 'platter', 'disk', 'disc', 'record']",How to design your Interlocking Frame
Repeat,"['replicate', 'ingeminate', 'retell', 'reiterate', 'duplicate', 'repetition', 'reduplicate', 'recur', 'restate', 'reprise', 'reprize', 'iterate', 'recapitulate', 'take_over', 'double', 'echo', 'repeat']",How to design your Interlocking Frame
So,"['sol', 'thusly', 'therefore', 'indeed', 'and_so', 'soh', 'thus', 'thence', 'then', 'and_then', 'hence', 'so']",How to design your Interlocking Frame
slight,"['slight', 'slim', 'svelte', 'fragile', 'tenuous', 'flimsy', 'rebuff', 'cold-shoulder', 'slender', 'thin', 'little']",How to design your Interlocking Frame
3-3/4'',[],How to design your Interlocking Frame
Frame,"['put', 'systema_skeletale', 'frame_of_reference', 'physique', 'figure', 'material_body', 'framing', 'entrap', 'frame_up', 'bod', 'soma', 'draw_up', 'build', 'anatomy', 'flesh', 'inning', 'redact', 'physical_body', 'skeleton', 'skeletal_frame', 'couch', 'form', 'border', 'cast', 'frame', 'chassis', 'shape', 'compose', 'human_body', 'set_up', 'ensnare', 'skeletal_system', 'frame_in', 'underframe']",How to design your Interlocking Frame
sanding,"['sandpaper', 'sand']",How to design your Interlocking Frame
slide,"['slideway', 'glide', 'swoop', 'lantern_slide', 'slew', 'slide', 'slip', 'sliding_board', 'sloping_trough', 'chute', 'slither', 'playground_slide', 'skid', 'microscope_slide', 'slue', 'coast']",How to design your Interlocking Frame
called,"['ring', 'shout_out', 'anticipate', 'promise', 'cry', 'shout', 'yell', 'predict', 'foretell', 'call_off', 'forebode', 'squall', 'visit', 'call', 'phone', 'hollo', 'call_in', 'name', 'prognosticate', 'holler', 'telephone', 'send_for', 'address', 'scream', 'bid', 'call_up']",How to design your Interlocking Frame
to,[],How to design your Interlocking Frame
in,"['atomic_number_49', 'indium', 'inwards', 'inch', 'IN', 'in', 'In', 'inward', 'Indiana', 'Hoosier_State']",How to design your Interlocking Frame
sharp,"['tart', 'acutely', 'sharp', 'sharp-worded', 'penetrating', 'crisp', 'sharply', 'shrill', 'incisive', 'abrupt', 'astute', 'penetrative', 'keen', 'shrewd', 'precipitous', 'discriminating', 'acuate', 'knifelike', 'needlelike', 'piercing', 'acute']",How to design your Interlocking Frame
facing,"['front', 'veneer', 'face_up', 'look', 'face', 'present', 'lining', 'facing', 'cladding', 'confront']",How to design your Interlocking Frame
row,"['run-in', 'course', 'quarrel', 'wrangle', 'words', 'dustup', 'rowing', 'row']",How to design your Interlocking Frame
