w,vector_semantico
like,"['wish', 'like', 'corresponding', 'comparable', 'the_like', 'care', 'same', 'alike', 'ilk', 'similar', 'the_likes_of']",People. Art & Education
Then,"['then', 'and_so', 'so', 'and_then']",People. Art & Education
1946,[],People. Art & Education
experienced,"['experient', 'go_through', 'feel', 'receive', 'experienced', 'know', 'get', 'live', 'experience', 'have', 'see']",People. Art & Education
bellboys,"['bellboy', 'bellman', 'bellhop']",People. Art & Education
new,"['newfangled', 'New', 'novel', 'new', 'newly', 'unexampled', 'freshly', 'fresh', 'young', 'raw', 'Modern']",People. Art & Education
Wall,"['rampart', 'wall', 'palisade', 'fence_in', 'fence', 'paries', 'surround', 'bulwark']",People. Art & Education
recruit,"['raise', 'enlistee', 'military_recruit', 'levy', 'enroll', 'recruit', 'enrol', 'inscribe', 'enter']",People. Art & Education
I,"['ane', 'unity', 'single', '1', 'iodin', 'I', 'i', 'one', 'atomic_number_53', 'ace', 'iodine']",People. Art & Education
Illustrated,"['instance', 'exemplify', 'illustrate']",People. Art & Education
into,[],People. Art & Education
report,"['write_up', 'reputation', 'theme', 'report_card', 'written_report', 'cover', 'story', 'composition', 'paper', 'news_report', 'report', 'account', 'describe', 'study']",People. Art & Education
Chicago,"['Windy_City', 'stops', 'Michigan', 'boodle', 'Chicago', 'Newmarket']",People. Art & Education
most,"['near', 'nigh', 'well-nigh', 'nearly', 'about', 'almost', 'virtually', 'most', 'to_the_highest_degree']",People. Art & Education
