w,vector_semantico
Some,"['roughly', 'just_about', 'some', 'approximately', 'around', 'or_so', 'more_or_less', 'close_to', 'about']",Proceedings of the 1961 Heat
Maecker,[],Proceedings of the 1961 Heat
measuring,"['measure_out', 'quantify', 'measuring', 'measurement', 'valuate', 'appraise', 'assess', 'value', 'evaluate', 'measure', 'mensuration', 'mensurate']",Proceedings of the 1961 Heat
falling,"['go_down', 'come', 'falling', 'precipitate', 'settle', 'diminish', 'return', 'hang', 'fall_down', 'come_down', 'shine', 'lessen', 'descend', 'flow', 'strike', 'light', 'fall', 'decrease', 'dropping', 'pass', 'devolve', 'accrue']",Proceedings of the 1961 Heat
pyrometer,['pyrometer'],Proceedings of the 1961 Heat
transpirating,"['transpirate', 'transpire']",Proceedings of the 1961 Heat
voltage,"['potential', 'emf', 'potential_difference', 'voltage', 'electric_potential', 'potential_drop', 'electromotive_force']",Proceedings of the 1961 Heat
as,"['a', 'As', 'amp', 'as', 'deoxyadenosine_monophosphate', 'AS', 'adenine', 'every_bit', 'vitamin_A', 'A', 'ampere', 'angstrom', 'group_A', 'Eastern_Samoa', 'equally', 'angstrom_unit', 'arsenic', 'axerophthol', 'American_Samoa', 'atomic_number_33', 'antiophthalmic_factor', 'type_A']",Proceedings of the 1961 Heat
purpose,"['purpose', 'design', 'intention', 'function', 'use', 'determination', 'intent', 'purport', 'propose', 'role', 'aim', 'resolve']",Proceedings of the 1961 Heat
whereas,[],Proceedings of the 1961 Heat
design,"['innovation', 'plan', 'purpose', 'conception', 'excogitation', 'aim', 'blueprint', 'design', 'intention', 'pattern', 'designing', 'intent', 'invention', 'project', 'contrive', 'figure']",Proceedings of the 1961 Heat
50,"['L', 'l', '50', 'fifty']",Proceedings of the 1961 Heat
feeds,"['feed_in', 'run', 'prey', 'fertilize', 'feast', 'flow', 'course', 'give', 'fertilise', 'feed', 'eat', 'provender']",Proceedings of the 1961 Heat
models,"['pose', 'mould', 'manakin', 'role_model', 'modeling', 'model', 'poser', 'sit', 'mold', 'example', 'mannikin', 'fashion_model', 'framework', 'simulation', 'theoretical_account', 'manikin', 'mock_up', 'pattern', 'posture', 'good_example', 'exemplar', 'modelling', 'simulate', 'mannequin']",Proceedings of the 1961 Heat
1/4'',[],Proceedings of the 1961 Heat
at,"['astatine', 'atomic_number_85', 'at', 'At']",Proceedings of the 1961 Heat
distribution,"['statistical_distribution', 'dispersion', 'distribution']",Proceedings of the 1961 Heat
showed,"['prove', 'read', 'establish', 'express', 'register', 'record', 'shew', 'evidence', 'point', 'present', 'show', 'demonstrate', 'show_up', 'usher', 'picture', 'evince', 'testify', 'indicate', 'designate', 'depict', 'demo', 'bear_witness', 'exhibit', 'render']",Proceedings of the 1961 Heat
pressure,"['pressure_sensation', 'insistence', 'force_per_unit_area', 'air_pressure', 'blackjack', 'pressure_level', 'atmospheric_pressure', 'imperativeness', 'insistency', 'hale', 'blackmail', 'pressing', 'squeeze', 'force', 'press', 'coerce', 'pressure']",Proceedings of the 1961 Heat
phenomenon,['phenomenon'],Proceedings of the 1961 Heat
knowledge,"['cognition', 'knowledge', 'noesis']",Proceedings of the 1961 Heat
In,"['inch', 'inwards', 'indium', 'inward', 'Indiana', 'In', 'in', 'IN', 'atomic_number_49', 'Hoosier_State']",Proceedings of the 1961 Heat
motion,"['motion', 'apparent_motion', 'movement', 'apparent_movement', 'move', 'question', 'gesticulate', 'gesture', 'motility']",Proceedings of the 1961 Heat
fraction,"['fraction', 'divide']",Proceedings of the 1961 Heat
be,"['exist', 'cost', 'represent', 'make_up', 'be', 'embody', 'follow', 'beryllium', 'Be', 'comprise', 'live', 'constitute', 'equal', 'glucinium', 'personify', 'atomic_number_4']",Proceedings of the 1961 Heat
particularly,"['specially', 'peculiarly', 'particularly', 'in_particular', 'especially']",Proceedings of the 1961 Heat
producing,"['produce', 'get', 'raise', 'grow', 'bring_forth', 'farm', 'bring_on', 'acquire', 'create', 'bring_out', 'give_rise', 'bring_about', 'develop', 'make']",Proceedings of the 1961 Heat
which,[],Proceedings of the 1961 Heat
voltages,"['potential', 'emf', 'potential_difference', 'voltage', 'electric_potential', 'potential_drop', 'electromotive_force']",Proceedings of the 1961 Heat
chemical,"['chemic', 'chemical', 'chemical_substance']",Proceedings of the 1961 Heat
because,[],Proceedings of the 1961 Heat
assumes,"['get_into', 'take', 'adopt', 'seize', 'assume', 'bear', 'take_over', 'don', 'feign', 'accept', 'acquire', 'put_on', 'take_on', 'strike', 'wear', 'sham', 'usurp', 'take_for_granted', 'take_up', 'arrogate', 'presume', 'simulate']",Proceedings of the 1961 Heat
),[],Proceedings of the 1961 Heat
means,"['means', 'intend', 'imply', 'entail', 'mean_value', 'substance', 'stand_for', 'think', 'have_in_mind', 'agency', 'way', 'signify', 'mean', 'think_of']",Proceedings of the 1961 Heat
Continuous,"['continuous', 'uninterrupted']",Proceedings of the 1961 Heat
arc,"['arc', 'arch', 'curve', 'electric_arc', 'spark', 'discharge', 'bow', 'electric_discharge']",Proceedings of the 1961 Heat
since,[],Proceedings of the 1961 Heat
size,"['size', 'sizing', 'size_of_it']",Proceedings of the 1961 Heat
described,"['trace', 'line', 'key_out', 'key', 'name', 'depict', 'described', 'report', 'draw', 'describe', 'identify', 'delineate', 'discover', 'distinguish', 'account']",Proceedings of the 1961 Heat
However,"['withal', 'nonetheless', 'all_the_same', 'nevertheless', 'however', 'yet', 'even_so', 'still', 'notwithstanding']",Proceedings of the 1961 Heat
analysis,"['analysis', 'psychoanalysis', 'depth_psychology', 'analytic_thinking']",Proceedings of the 1961 Heat
detailed,"['detailed', 'detail', 'elaborated', 'elaborate']",Proceedings of the 1961 Heat
currents,"['flow', 'stream', 'electric_current', 'current']",Proceedings of the 1961 Heat
will,"['testament', 'volition', 'leave', 'will', 'bequeath']",Proceedings of the 1961 Heat
shield,"['cuticle', 'shell', 'carapace', 'harbour', 'screen', 'buckler', 'harbor', 'shield']",Proceedings of the 1961 Heat
but,"['but', 'simply', 'just', 'only', 'merely']",Proceedings of the 1961 Heat
characteristic,"['characteristic', 'feature', 'device_characteristic']",Proceedings of the 1961 Heat
aluminum,"['aluminum', 'Al', 'aluminium', 'atomic_number_13']",Proceedings of the 1961 Heat
resistive,"['resistive', 'resistant', 'insubordinate']",Proceedings of the 1961 Heat
measurements,"['measure', 'measuring', 'mensuration', 'measurement']",Proceedings of the 1961 Heat
powers,"['ability', 'office', 'power', 'world_power', 'tycoon', 'baron', 'king', 'business_leader', 'top_executive', 'might', 'exponent', 'superpower', 'great_power', 'force', 'mogul', 'major_power', 'powerfulness', 'index', 'mightiness', 'magnate', 'big_businessman']",Proceedings of the 1961 Heat
third,"['one-third', 'third_base', 'third', 'tertiary', '3rd', 'thirdly', 'third_gear', 'tierce']",Proceedings of the 1961 Heat
Pyrometer,['pyrometer'],Proceedings of the 1961 Heat
conditions,"['precondition', 'qualify', 'conditions', 'term', 'train', 'stipulate', 'weather_condition', 'discipline', 'status', 'condition', 'shape', 'specify', 'weather', 'stipulation', 'consideration', 'experimental_condition', 'atmospheric_condition', 'circumstance', 'check']",Proceedings of the 1961 Heat
part,"['persona', 'office', 'percentage', 'section', 'portion', 'part', 'function', 'depart', 'split_up', 'start_out', 'share', 'separate', 'split', 'take_off', 'break_up', 'set_off', 'theatrical_role', 'component', 'start', 'role', 'set_out', 'component_part', 'divide', 'division', 'partly', 'disunite', 'region', 'piece', 'character', 'set_forth', 'contribution', 'partially', 'break', 'voice', 'parting', 'constituent']",Proceedings of the 1961 Heat
fourth,"['twenty-five_percent', '4th', 'fourthly', 'one-quarter', 'fourth', 'quarter', 'one-fourth', 'fourth_part', 'quartern', 'quaternary']",Proceedings of the 1961 Heat
arcs,"['arc', 'arch', 'curve', 'electric_arc', 'spark', 'discharge', 'bow', 'electric_discharge']",Proceedings of the 1961 Heat
1/4,[],Proceedings of the 1961 Heat
2,"['deuce', 'ii', '2', 'II', 'two']",Proceedings of the 1961 Heat
whereby,[],Proceedings of the 1961 Heat
values,"['prise', 'note_value', 'treasure', 'valuate', 'appraise', 'rate', 'prize', 'assess', 'economic_value', 'value', 'respect', 'evaluate', 'appreciate', 'esteem', 'values', 'time_value', 'measure']",Proceedings of the 1961 Heat
(,[],Proceedings of the 1961 Heat
co-workers,"['workfellow', 'fellow_worker', 'colleague', 'co-worker']",Proceedings of the 1961 Heat
Inflow,"['inflow', 'influx']",Proceedings of the 1961 Heat
establish,"['plant', 'prove', 'give', 'establish', 'make', 'shew', 'instal', 'ground', 'found', 'base', 'show', 'demonstrate', 'launch', 'build', 'install', 'set_up', 'lay_down', 'institute', 'constitute']",Proceedings of the 1961 Heat
toward,[],Proceedings of the 1961 Heat
ejected,"['force_out', 'boot_out', 'eject', 'release', 'expel', 'turf_out', 'exclude', 'exhaust', 'discharge', 'squirt', 'chuck_out', 'squeeze_out', 'turn_out']",Proceedings of the 1961 Heat
point,"['taper', 'steer', 'item', 'full_stop', 'decimal_point', 'manoeuvre', 'channelize', 'level', 'luff', 'head', 'place', 'betoken', 'target', 'distributor_point', 'period', 'percentage_point', 'point', 'detail', 'manoeuver', 'power_point', 'tip', 'stop', 'show', 'guide', 'gunpoint', 'maneuver', 'breaker_point', 'sharpen', 'point_in_time', 'direct', 'peak', 'channelise', 'dot', 'repoint', 'stage', 'degree', 'indicate', 'designate', 'charge', 'signal', 'pointedness', 'full_point', 'compass_point', 'spot', 'orient', 'aim', 'bespeak']",Proceedings of the 1961 Heat
