w,vector_semantico
roughly,"['roughly', 'more_or_less', 'close_to', 'just_about', 'about', 'approximately', 'or_so', 'around', 'rough', 'some']",Renting a Car in Europe
Brindisi,['Brindisi'],Renting a Car in Europe
Imperial,"['majestic', 'imperial', 'regal', 'purple', 'royal', 'imperial_beard']",Renting a Car in Europe
Then,"['then', 'and_so', 'so', 'and_then']",Renting a Car in Europe
like,"['wish', 'like', 'corresponding', 'comparable', 'the_like', 'care', 'same', 'alike', 'ilk', 'similar', 'the_likes_of']",Renting a Car in Europe
either,['either'],Renting a Car in Europe
comes,"['issue_forth', 'number', 'come_up', 'come_in', 'seed', 'do', 'make_out', 'seminal_fluid', 'fare', 'fall', 'get_along', 'semen', 'descend', 'occur', 'total', 'come', 'ejaculate', 'arrive', 'hail', 'get', 'follow', 'add_up', 'amount', 'cum', 'derive']",Renting a Car in Europe
throughout,"['end-to-end', 'throughout', 'passim']",Renting a Car in Europe
new,"['newfangled', 'New', 'novel', 'new', 'newly', 'unexampled', 'freshly', 'fresh', 'young', 'raw', 'Modern']",Renting a Car in Europe
seen,"['image', 'project', 'assure', 'come_across', 'realize', 'find_out', 'regard', 'determine', 'take_in', 'catch', 'figure', 'ensure', 'reckon', 'look', 'construe', 'hear', 'run_across', 'fancy', 'consider', 'learn', 'realise', 'get_word', 'visit', 'discover', 'go_through', 'watch', 'examine', 'escort', 'understand', 'get_a_line', 'go_steady', 'witness', 'pick_up', 'see_to_it', 'view', 'visualize', 'encounter', 'find', 'go_out', 'envision', 'run_into', 'interpret', 'date', 'take_care', 'picture', 'control', 'ascertain', 'get_wind', 'visualise', 'check', 'attend', 'experience', 'insure', 'see', 'meet']",Renting a Car in Europe
small,"['small-scale', 'minor', 'minuscule', 'little', 'diminished', 'modest', 'low', 'small', 'humble', 'pocket-size', 'belittled', 'pocket-sized', 'lowly']",Renting a Car in Europe
travelled,"['locomote', 'journey', 'move_around', 'travel', 'traveled', 'go', 'trip', 'jaunt', 'travelled', 'move']",Renting a Car in Europe
Sweepstakes,['sweepstakes'],Renting a Car in Europe
most,"['near', 'nigh', 'well-nigh', 'nearly', 'about', 'almost', 'virtually', 'most', 'to_the_highest_degree']",Renting a Car in Europe
station,"['post', 'send', 'place', 'station']",Renting a Car in Europe
stands,"['fend', 'sales_booth', 'digest', 'stall', 'base', 'bandstand', 'tie-up', 'endure', 'brook', 'support', 'point_of_view', 'resist', 'abide', 'outdoor_stage', 'standstill', 'place_upright', 'standpoint', 'stomach', 'pedestal', 'rack', 'viewpoint', 'put_up', 'suffer', 'stick_out', 'bear', 'remain_firm', 'tolerate', 'stand', 'stand_up']",Renting a Car in Europe
wise,"['impertinent', 'judicious', 'wise', 'Wise', 'Stephen_Samuel_Wise', 'knowing', 'impudent', 'overbold', 'wise_to', 'Isaac_Mayer_Wise', 'fresh', 'saucy', 'smart', 'sassy', 'heady']",Renting a Car in Europe
$.86,[],Renting a Car in Europe
racks,"['squeeze', 'torture', 'scud', 'torment', 'single-foot', 'wheel', 'gouge', 'excruciate', 'stand', 'extort', 'wrack', 'wring', 'rack']",Renting a Car in Europe
worth,"['worth', 'Charles_Frederick_Worth', 'Worth', 'deserving']",Renting a Car in Europe
dockside,['dockside'],Renting a Car in Europe
been,"['equal', 'constitute', 'follow', 'be', 'exist', 'embody', 'live', 'make_up', 'cost', 'personify', 'represent', 'comprise']",Renting a Car in Europe
Grail,"['grail', 'Sangraal', 'Holy_Grail']",Renting a Car in Europe
forums,"['meeting_place', 'assembly', 'forum']",Renting a Car in Europe
end,"['close', 'end', 'terminal', 'finish', 'stop', 'last', 'conclusion', 'goal', 'final_stage', 'death', 'cease', 'ending', 'remainder', 'oddment', 'remnant', 'destruction', 'terminate', 'closing']",Renting a Car in Europe
feel,"['feel', 'flavor', 'smell', 'experience', 'flavour', 'tone', 'sense', 'finger', 'palpate', 'find', 'feeling', 'spirit', 'tactile_property', 'look']",Renting a Car in Europe
waiting,"['wait', 'waitress', 'waiting', 'hold_off', 'await', 'hold_back', 'expect', 'ready_and_waiting', 'look']",Renting a Car in Europe
pick,"['plectron', 'choice', 'clean', 'plunk', 'break_up', 'peck', 'plectrum', 'cull', 'pluck', 'weft', 'picking', 'pickaxe', 'nibble', 'cream', 'piece', 'filling', 'pick', 'option', 'pickax', 'selection', 'find_fault', 'foot', 'blame', 'beak', 'woof']",Renting a Car in Europe
