w,vector_semantico
symbol,"['symbol', 'symbolic_representation', 'symbolization', 'symbolisation']",Reviews
exerts,"['exert', 'exercise', 'maintain', 'wield']",Reviews
like,"['wish', 'like', 'corresponding', 'comparable', 'the_like', 'care', 'same', 'alike', 'ilk', 'similar', 'the_likes_of']",Reviews
Reports,"['write_up', 'reputation', 'theme', 'report_card', 'written_report', 'cover', 'story', 'composition', 'paper', 'news_report', 'report', 'account', 'describe', 'study']",Reviews
either,['either'],Reviews
comes,"['issue_forth', 'number', 'come_up', 'come_in', 'seed', 'do', 'make_out', 'seminal_fluid', 'fare', 'fall', 'get_along', 'semen', 'descend', 'occur', 'total', 'come', 'ejaculate', 'arrive', 'hail', 'get', 'follow', 'add_up', 'amount', 'cum', 'derive']",Reviews
throughout,"['end-to-end', 'throughout', 'passim']",Reviews
new,"['newfangled', 'New', 'novel', 'new', 'newly', 'unexampled', 'freshly', 'fresh', 'young', 'raw', 'Modern']",Reviews
into,[],Reviews
Dexedrine,"['Dexedrine', 'dextroamphetamine_sulphate']",Reviews
"3,000",[],Reviews
toward,[],Reviews
most,"['near', 'nigh', 'well-nigh', 'nearly', 'about', 'almost', 'virtually', 'most', 'to_the_highest_degree']",Reviews
undue,"['inordinate', 'unwarranted', 'unreasonable', 'unjustified', 'excessive', 'undue']",Reviews
becoming,"['become', 'suit', 'decorous', 'seemly', 'get', 'go', 'comme_il_faut', 'decent', 'comely', 'becoming', 'turn']",Reviews
Food,"['intellectual_nourishment', 'food_for_thought', 'nutrient', 'food', 'solid_food']",Reviews
England,['England'],Reviews
So,"['and_so', 'hence', 'thus', 'therefore', 'thence', 'indeed', 'sol', 'then', 'soh', 'so', 'thusly', 'and_then']",Reviews
downright,"['absolute', 'rank', 'sheer', 'out-and-out', 'downright', 'right-down']",Reviews
controls,"['assure', 'restraint', 'mastery', 'hold', 'ensure', 'control_condition', 'master', 'ascendence', 'hold_in', 'dominance', 'moderate', 'operate', 'curb', 'keep_in_line', 'see_to_it', 'manipulate', 'ascendancy', 'ascendance', 'controller', 'control', 'verify', 'command', 'ascertain', 'check', 'ascendency', 'contain', 'insure', 'see']",Reviews
inner,"['interior', 'internal', 'intimate', 'inner', 'privileged', 'inside']",Reviews
bloodstream,"['bloodstream', 'blood_stream']",Reviews
premiums,"['agio', 'agiotage', 'premium', 'insurance_premium', 'exchange_premium', 'bounty']",Reviews
weather,"['endure', 'weather_condition', 'brave', 'atmospheric_condition', 'conditions', 'upwind', 'weather', 'brave_out']",Reviews
