w,vector_semantico
here,"['here', 'Here', 'Hera', 'hither']",Seize a Nettle
popularly,['popularly'],Seize a Nettle
flaxen,"['sandy', 'flaxen']",Seize a Nettle
offices,"['office', 'power', 'federal_agency', 'post', 'part', 'function', 'situation', 'place', 'government_agency', 'berth', 'authority', 'business_office', 'bureau', 'role', 'position', 'office_staff', 'agency', 'billet', 'spot']",Seize a Nettle
starched,['starch'],Seize a Nettle
lines,"['demarcation', 'argument', 'business', 'credit_line', 'trace', 'seam', 'communication_channel', 'contrast', 'crease', 'line_of_work', 'air', 'strain', 'business_line', 'production_line', 'logical_argument', 'cable', 'channel', 'blood', 'tune', 'melodic_line', 'note', 'origin', 'rail_line', 'ancestry', 'descent', 'dividing_line', 'draw', 'parentage', 'job', 'pedigree', 'occupation', 'argumentation', 'delineate', 'line_of_business', 'line', 'line_of_merchandise', 'assembly_line', 'pipeline', 'run_along', 'stemma', 'line_of_products', 'crinkle', 'railway_line', 'course', 'line_of_reasoning', 'short_letter', 'subscriber_line', 'bank_line', 'phone_line', 'telephone_line', 'personal_line_of_credit', 'billet', 'agate_line', 'transmission_line', 'bloodline', 'furrow', 'telephone_circuit', 'blood_line', 'melodic_phrase', 'personal_credit_line', 'melody', 'describe', 'lineage', 'product_line', 'line_of_credit', 'line_of_descent', 'stock', 'wrinkle']",Seize a Nettle
beds,"['hit_the_sack', 'kip_down', 'make_out', 'hump', 'crawl_in', 'seam', 'have_it_away', 'layer', 'know', 'have_a_go_at_it', 'have_sex', 'sleep_together', 'make_love', 'get_it_on', 'fuck', 'hit_the_hay', 'do_it', 'be_intimate', 'get_laid', 'love', 'bottom', 'bang', 'turn_in', 'sack_out', 'screw', 'sleep_with', 'eff', 'lie_with', 'bed', 'retire', 'jazz', 'roll_in_the_hay', 'go_to_bed', 'have_intercourse', 'bonk', 'have_it_off', 'go_to_sleep']",Seize a Nettle
company,"['keep_company', 'companion', 'company', 'fellowship', 'caller', 'accompany', 'society', 'companionship', 'party', ""ship's_company"", 'troupe']",Seize a Nettle
outdistanced,"['outdistance', 'distance', 'outstrip']",Seize a Nettle
daily,"['day-after-day', 'day_by_day', 'casual', 'day-by-day', 'daily', 'everyday', 'day-to-day']",Seize a Nettle
desperation,"['despair', 'desperation']",Seize a Nettle
right,"['decently', 'flop', 'mightily', 'right_field', 'mighty', 'right', 'powerful', 'aright', 'rightfield', 'justly', 'ripe', 'right_wing', 'rectify', 'rightfulness', 'compensate', 'in_good_order', 'correctly', 'good', 'properly', 'right_on', 'redress', 'proper', 'correct', 'right_hand', 'veracious', 'right-hand', 'the_right_way', 'decent']",Seize a Nettle
shivering,"['trembling', 'shudder', 'shiver', 'shaky', 'chill', 'throb', 'shivering', 'thrill']",Seize a Nettle
as,"['a', 'As', 'amp', 'as', 'deoxyadenosine_monophosphate', 'AS', 'adenine', 'every_bit', 'vitamin_A', 'A', 'ampere', 'angstrom', 'group_A', 'Eastern_Samoa', 'equally', 'angstrom_unit', 'arsenic', 'axerophthol', 'American_Samoa', 'atomic_number_33', 'antiophthalmic_factor', 'type_A']",Seize a Nettle
kind,"['sort', 'form', 'tolerant', 'variety', 'genial', 'kind']",Seize a Nettle
really,"['really', 'rattling', 'actually', 'truly', 'very', 'genuinely', 'real', 'in_truth']",Seize a Nettle
came,"['come', 'make_out', 'number', 'amount', 'get_along', 'issue_forth', 'hail', 'derive', 'get', 'follow', 'arrive', 'occur', 'do', 'descend', 'add_up', 'come_in', 'fare', 'fall', 'total', 'come_up']",Seize a Nettle
fire,"['displace', 'give_the_sack', 'flak', 'flack', 'evoke', 'discharge', 'fervidness', 'enkindle', 'elicit', 'firing', 'give_notice', 'force_out', 'fire', 'fervour', 'arouse', 'send_away', 'burn_down', 'sack', 'burn', 'give_the_axe', 'attack', 'ardor', 'provoke', 'raise', 'kindle', 'fuel', 'can', 'open_fire', 'dismiss', 'go_off', 'fervor', 'blast', 'fervency', 'flame', 'terminate', 'flaming', 'ardour']",Seize a Nettle
Little,"['trivial', 'slight', 'piffling', 'short', 'piddling', 'little', 'petty', 'niggling', 'footling', 'picayune', 'minuscule', 'fiddling', 'lilliputian', 'small']",Seize a Nettle
York,"['House_of_York', 'York']",Seize a Nettle
created,"['create', 'produce', 'make']",Seize a Nettle
little,"['trivial', 'slight', 'piffling', 'short', 'piddling', 'little', 'petty', 'niggling', 'footling', 'picayune', 'minuscule', 'fiddling', 'lilliputian', 'small']",Seize a Nettle
foot,"['groundwork', 'infantry', 'hoof', 'hoof_it', 'substructure', 'human_foot', 'foot', 'understructure', 'metrical_foot', 'leg_it', 'base', 'foot_up', 'pick', 'fundament', 'invertebrate_foot', 'animal_foot', 'metrical_unit', 'foundation', 'ft', 'pes']",Seize a Nettle
plunged,"['douse', 'immerse', 'absorb', 'dip', 'plunge', 'dive', 'dunk', 'engulf', 'engross', 'launch', 'soak_up', 'dump', 'souse', 'plunk', 'steep']",Seize a Nettle
caught,"['arrest', 'trip_up', 'watch', 'entrance', 'view', 'becharm', 'take_hold_of', 'fascinate', 'pick_up', 'get', 'bewitch', 'hitch', 'overhear', 'charm', 'capture', 'overtake', 'enamour', 'enchant', 'catch', 'see', 'grab', 'catch_up_with', 'captivate', 'enamor', 'beguile', 'trance', 'take_in']",Seize a Nettle
beginning,"['kickoff', 'get_down', 'offset', 'start_out', 'starting_time', 'rootage', 'set_about', 'get', 'lead_off', 'origin', 'commence', 'beginning', 'first', 'start', 'root', 'source', 'set_out', 'begin', 'get-go', 'outset', 'showtime', 'commencement']",Seize a Nettle
at,"['astatine', 'atomic_number_85', 'at', 'At']",Seize a Nettle
laughed,"['express_joy', 'laugh', 'express_mirth']",Seize a Nettle
In,"['inch', 'inwards', 'indium', 'inward', 'Indiana', 'In', 'in', 'IN', 'atomic_number_49', 'Hoosier_State']",Seize a Nettle
skin,"['skin', 'hide', 'shin', 'pare', 'pelt', 'sputter', 'cutis', 'peel', 'tegument', 'scramble', 'scrape', 'shinny', 'bark', 'struggle', 'clamber']",Seize a Nettle
strength,"['specialty', 'forte', 'long_suit', 'military_strength', 'strong_suit', 'strong_point', 'intensity_level', 'potency', 'force', 'effectiveness', 'military_capability', 'forcefulness', 'strength', 'metier', 'persuasiveness', 'posture', 'speciality', 'enduringness', 'lastingness', 'intensity', 'durability', 'military_posture']",Seize a Nettle
happier,"['happy', 'well-chosen', 'glad', 'felicitous']",Seize a Nettle
be,"['exist', 'cost', 'represent', 'make_up', 'be', 'embody', 'follow', 'beryllium', 'Be', 'comprise', 'live', 'constitute', 'equal', 'glucinium', 'personify', 'atomic_number_4']",Seize a Nettle
food,"['solid_food', 'intellectual_nourishment', 'food', 'nutrient', 'food_for_thought']",Seize a Nettle
don't,[],Seize a Nettle
him,[],Seize a Nettle
