w,vector_semantico
guru,"['guru', 'Guru']",Stranger in a Strange Land.
inevitability,"['inevitability', 'inevitableness']",Stranger in a Strange Land.
mind,"['brain', 'creative_thinker', 'mind', 'judgement', 'head', 'judgment', 'idea', 'take_care', 'listen', 'bear_in_mind', 'intellect', 'nous', 'psyche', 'beware', 'thinker', 'heed']",Stranger in a Strange Land.
individual,"['mortal', 'case-by-case', 'soul', 'individual', 'person', 'somebody', 'single', 'someone', 'private', 'item-by-item']",Stranger in a Strange Land.
bishops,['bishop'],Stranger in a Strange Land.
For,[],Stranger in a Strange Land.
next,"['following', 'succeeding', 'adjacent', 'future', 'next', 'side_by_side']",Stranger in a Strange Land.
gripes,"['holler', 'grapple', 'bellyache', 'grip', 'kick', 'griping', 'gripes', 'fascinate', 'beef', 'grouse', 'intestinal_colic', 'squawk', 'gripe', 'transfix', 'spellbind', 'crab', 'colic', 'bitch']",Stranger in a Strange Land.
by,"['aside', 'away', 'by', 'past']",Stranger in a Strange Land.
last,"['death', 'live_on', 'in_conclusion', 'finally', 'finish', 'close', 'last', 'live', 'terminal', 'hold_up', 'final_stage', 'endure', 'finale', 'utmost', 'last-place', 'end', 'lastly', ""cobbler's_last"", 'final', 'lowest', 'stopping_point', 'go', 'hold_out', 'concluding', 'finis', 'net', 'conclusion', 'survive', ""shoemaker's_last""]",Stranger in a Strange Land.
heaved,"['heave_up', 'heave', 'pant', 'heft_up', 'puff', 'surge', 'gasp', 'gag', 'retch', 'heft', 'billow', 'buckle', 'warp']",Stranger in a Strange Land.
them,[],Stranger in a Strange Land.
Before,"['in_front', 'ahead', 'earlier', 'before']",Stranger in a Strange Land.
stars,"['virtuoso', 'star_topology', 'star', 'superstar', 'mavin', 'adept', 'wizard', 'sensation', 'maven', 'whizz', 'wiz', 'headliner', 'champion', 'lead', 'ace', 'principal', 'whiz', 'hotshot', 'genius', 'asterisk']",Stranger in a Strange Land.
real,"['material', 'real', 'real_number', 'genuine', 'existent', 'literal', 'substantial', 'tangible', 'really', 'rattling', 'veridical', 'actual', 'very']",Stranger in a Strange Land.
That,[],Stranger in a Strange Land.
touch,"['allude', 'adjoin', 'impact', 'touching', 'have-to_doe_with', 'tactile_sensation', 'refer', 'jot', 'soupcon', 'match', 'skin_senses', 'partake', 'bear_on', 'come_to', 'touch', 'equal', 'signature', 'ghost', 'sense_of_touch', 'pertain', 'bear_upon', 'speck', 'extend_to', 'cutaneous_senses', 'advert', 'feeling', 'affect', 'tactual_sensation', 'touch_modality', 'hint', 'tinge', 'trace', 'tint', 'rival', 'touch_sensation', 'meet', 'contact', 'tinct', 'touch_on', 'disturb', 'reach', 'spot', 'pinch', 'stir', 'mite', 'relate', 'concern']",Stranger in a Strange Land.
scheduled,"['scheduled', 'schedule']",Stranger in a Strange Land.
chipper,"['chipper', 'jaunty', 'debonair', 'debonaire']",Stranger in a Strange Land.
forced,"['squeeze', 'ram', 'strained', 'force', 'thrust', 'wedge', 'drive', 'coerce', 'push', 'draw', 'hale', 'pressure', 'storm', 'pull', 'forced', 'constrained', 'impel']",Stranger in a Strange Land.
AD,"['advertising', 'anno_Domini', 'advertizement', 'advertizing', 'advertisement', 'ad', 'A.D.', 'AD', 'advert']",Stranger in a Strange Land.
If,[],Stranger in a Strange Land.
got,"['experience', 'contract', 'scram', 'stick', 'develop', 'find', 'fuck_off', 'baffle', 'receive', 'stimulate', 'bring', 'amaze', 'set_about', 'commence', 'let', 'catch', 'cause', 'engender', 'mystify', 'fix', 'bugger_off', 'pay_back', 'grow', 'come', 'arrive', 'draw', 'start_out', 'arrest', 'bring_forth', 'generate', 'bewilder', 'get', 'take', 'become', 'aim', 'beat', 'get_down', 'go', 'father', 'buzz_off', 'induce', 'perplex', 'vex', 'nonplus', 'gravel', 'suffer', 'acquire', 'sire', 'stupefy', 'incur', 'have', 'start', 'begin', 'pose', ""get_under_one's_skin"", 'flummox', 'set_out', 'puzzle', 'pay_off', 'fetch', 'drive', 'obtain', 'make', 'sustain', 'mother', 'produce', 'convey', 'dumbfound', 'beget', 'capture']",Stranger in a Strange Land.
Yes,['yes'],Stranger in a Strange Land.
later,"['by_and_by', 'recent', 'later', 'tardy', 'ulterior', 'belated', 'subsequently', 'after', 'later_on', 'former', 'afterwards', 'posterior', 'afterward', 'late', 'previous']",Stranger in a Strange Land.
human,"['human', 'homo', 'human_being', 'man']",Stranger in a Strange Land.
as,"['every_bit', 'AS', 'a', 'group_A', 'arsenic', 'type_A', 'deoxyadenosine_monophosphate', 'amp', 'antiophthalmic_factor', 'American_Samoa', 'angstrom', 'atomic_number_33', 'As', 'as', 'equally', 'A', 'adenine', 'axerophthol', 'ampere', 'angstrom_unit', 'vitamin_A', 'Eastern_Samoa']",Stranger in a Strange Land.
always,"['perpetually', 'invariably', 'ever', 'constantly', 'incessantly', 'always', ""e'er"", 'forever']",Stranger in a Strange Land.
show,"['shew', 'read', 'demonstrate', 'evince', 'establish', 'present', 'express', 'testify', 'usher', 'render', 'demo', 'picture', 'designate', 'appearance', 'bear_witness', 'show', 'point', 'evidence', 'display', 'indicate', 'depict', 'show_up', 'register', 'record', 'exhibit', 'prove']",Stranger in a Strange Land.
planet,"['planet', 'satellite', 'major_planet']",Stranger in a Strange Land.
home,"['home_plate', 'habitation', 'menage', 'abode', 'home_base', 'rest_home', 'plate', 'household', 'family', 'internal', 'national', 'place', 'dwelling_house', 'home', 'nursing_home', 'domicile', 'house', 'dwelling', 'base', 'interior']",Stranger in a Strange Land.
news,"['news_program', 'intelligence', 'newsworthiness', 'tidings', 'word', 'news_show', 'news']",Stranger in a Strange Land.
downstairs,"['downstairs', 'downstair', 'below', 'on_a_lower_floor', 'down_the_stairs']",Stranger in a Strange Land.
England,['England'],Stranger in a Strange Land.
My,[],Stranger in a Strange Land.
other,"['early', 'former', 'other']",Stranger in a Strange Land.
Stinky,"['lousy', 'unpleasant-smelling', 'rotten', 'ill-smelling', 'malodourous', 'malodorous', 'stinky', 'icky', 'shitty', 'stinking', 'crappy']",Stranger in a Strange Land.
generations,"['coevals', 'generation', 'propagation', 'contemporaries', 'genesis', 'multiplication']",Stranger in a Strange Land.
another,"['some_other', 'another']",Stranger in a Strange Land.
shouldn't,[],Stranger in a Strange Land.
spoke,"['radius', 'address', 'rundle', 'verbalise', 'rung', 'mouth', 'talk', 'spoke', 'utter', 'verbalize', 'speak', 'wheel_spoke']",Stranger in a Strange Land.
CD,"['standard_candle', 'candle', 'cadmium', '400', 'certificate_of_deposit', 'cd', 'four_hundred', 'candela', 'Cd', 'CD', 'compact_disk', 'atomic_number_48', 'compact_disc']",Stranger in a Strange Land.
away,"['outside', 'forth', 'aside', 'by', 'off', 'out', 'away']",Stranger in a Strange Land.
pronounced,"['judge', 'articulate', 'pronounce', 'enounce', 'say', 'enunciate', 'sound_out', 'pronounced', 'label', 'marked']",Stranger in a Strange Land.
grokking,[],Stranger in a Strange Land.
Short's,[],Stranger in a Strange Land.
same,"['Saami', 'Saame', 'Lapp', 'Sami', 'Lapplander', 'Same', 'same', 'like']",Stranger in a Strange Land.
gotten,"['experience', 'contract', 'scram', 'stick', 'develop', 'find', 'fuck_off', 'baffle', 'receive', 'stimulate', 'bring', 'amaze', 'set_about', 'commence', 'let', 'catch', 'cause', 'engender', 'mystify', 'fix', 'bugger_off', 'pay_back', 'grow', 'come', 'arrive', 'draw', 'start_out', 'arrest', 'bring_forth', 'generate', 'bewilder', 'get', 'take', 'become', 'aim', 'beat', 'get_down', 'go', 'father', 'buzz_off', 'induce', 'perplex', 'vex', 'nonplus', 'gravel', 'suffer', 'acquire', 'sire', 'stupefy', 'incur', 'have', 'start', 'begin', 'pose', ""get_under_one's_skin"", 'flummox', 'set_out', 'puzzle', 'pay_off', 'fetch', 'drive', 'obtain', 'make', 'sustain', 'mother', 'produce', 'convey', 'dumbfound', 'beget', 'capture']",Stranger in a Strange Land.
Where,[],Stranger in a Strange Land.
grown,"['rise', 'farm', 'develop', 'adult', 'spring_up', 'mature', 'maturate', 'grow', 'originate', 'full-grown', 'fully_grown', 'get', 'big', 'turn', 'acquire', 'grownup', 'arise', 'raise', 'produce', 'uprise', 'grown']",Stranger in a Strange Land.
totality,"['totality', 'sum', 'aggregate', 'integrality', 'entirety', 'total', 'entireness']",Stranger in a Strange Land.
punctuation,"['punctuation_mark', 'punctuation']",Stranger in a Strange Land.
and,[],Stranger in a Strange Land.
beauty,"['smasher', 'sweetheart', 'beauty', 'looker', 'dish', 'beaut', 'mantrap', 'stunner', 'ravisher', 'peach', 'lulu', 'knockout']",Stranger in a Strange Land.
knotty,"['problematic', 'gnarly', 'elusive', 'knobbed', 'Byzantine', 'knotted', 'convoluted', 'involved', 'snarled', 'knotty', 'snarly', 'gnarled', 'problematical', 'tough', 'baffling', 'tangled', 'tortuous']",Stranger in a Strange Land.
extremely,"['exceedingly', 'super', 'extremely', 'passing', 'highly']",Stranger in a Strange Land.
