w,vector_semantico
accidental-war,[],The Chances of Accidental War
staff,"['staff', 'stave', 'faculty']",The Chances of Accidental War
weeks,"['hebdomad', 'week', 'workweek', 'calendar_week']",The Chances of Accidental War
initiate,"['start', 'pundit', 'novice', 'savant', 'initiate', 'enlightened', 'originate', 'induct', 'lead_up', 'tiro', 'broach', 'tyro', 'beginner', 'pioneer', 'learned_person']",The Chances of Accidental War
sealed,"['sealed', 'seal_off', 'plastered', 'seal', 'varnish', 'certain']",The Chances of Accidental War
klaxon,"['claxon', 'klaxon']",The Chances of Accidental War
impressive,"['impressive', 'telling']",The Chances of Accidental War
seem,"['appear', 'seem', 'look']",The Chances of Accidental War
perhaps,"['peradventure', 'possibly', 'perhaps', 'maybe', 'perchance', 'mayhap']",The Chances of Accidental War
toward,[],The Chances of Accidental War
contact,"['physical_contact', 'middleman', 'inter-group_communication', 'impinging', 'striking', 'link', 'reach', 'touch', 'adjoin', 'tangency', 'meet', 'contact', 'liaison', 'get_through', 'get_hold_of', 'contact_lens']",The Chances of Accidental War
these,[],The Chances of Accidental War
in,"['atomic_number_49', 'inward', 'In', 'inch', 'inwards', 'IN', 'Hoosier_State', 'indium', 'in', 'Indiana']",The Chances of Accidental War
machines,"['car', 'machine', 'auto', 'political_machine', 'motorcar', 'automobile', 'simple_machine']",The Chances of Accidental War
financed,['finance'],The Chances of Accidental War
pale,"['pale', 'sick', 'blench', 'blanch', 'picket', 'pallid', 'wan']",The Chances of Accidental War
pressure,"['imperativeness', 'force_per_unit_area', 'pressure', 'insistence', 'atmospheric_pressure', 'squeeze', 'blackjack', 'insistency', 'blackmail', 'air_pressure', 'coerce', 'force', 'pressure_sensation', 'hale', 'pressing', 'pressure_level', 'press']",The Chances of Accidental War
clobber,"['clobber', 'cream', 'baste', 'lick', 'batter', 'bat', 'stuff', 'drub', 'thrash']",The Chances of Accidental War
homes,"['place', 'domicile', 'home', 'dwelling', 'dwelling_house', 'house', 'nursing_home', 'abode', 'plate', 'rest_home', 'menage', 'household', 'habitation', 'home_plate', 'base', 'family', 'home_base']",The Chances of Accidental War
headquarters,"['central_office', 'HQ', 'headquarters', 'military_headquarters', 'main_office', 'headquarter', 'home_office', 'home_base']",The Chances of Accidental War
increased,"['increase', 'increased']",The Chances of Accidental War
call,"['prognosticate', 'cry', 'send_for', 'phone_call', 'scream', 'shout', 'telephone_call', 'predict', 'call_option', 'hollo', 'name', 'holler', 'squall', 'call_off', 'call', 'address', 'phone', 'forebode', 'Call', 'song', 'call_up', 'shout_out', 'ring', 'vociferation', 'anticipate', 'telephone', 'call_in', 'claim', 'yell', 'margin_call', 'outcry', 'visit', 'promise', 'bid', 'foretell', 'birdcall', 'birdsong']",The Chances of Accidental War
chain,"['Ernst_Boris_Chain', 'chain', 'mountain_chain', 'strand', 'Sir_Ernst_Boris_Chain', 'mountain_range', 'string', 'range_of_mountains', 'range', 'concatenation', 'Chain', 'chain_of_mountains', 'chemical_chain']",The Chances of Accidental War
William,[],The Chances of Accidental War
damaged,"['discredited', 'damaged', 'damage']",The Chances of Accidental War
weapons,"['artillery', 'weapon', 'weapon_system', 'arm']",The Chances of Accidental War
obnoxious,"['obnoxious', 'objectionable']",The Chances of Accidental War
continually,['continually'],The Chances of Accidental War
communications,"['communication_theory', 'communicating', 'communication', 'communications']",The Chances of Accidental War
broke,"['infract', 'bankrupt', 'die', 'wear_out', 'broke', 'better', 'give_out', 'unwrap', 'divulge', 'breach', 'break_dance', 'offend', 'pause', 'transgress', 'discontinue', 'damp', 'recrudesce', 'dampen', 'part', 'snap_off', 'collapse', 'fall_in', 'wear', 'crack', 'interrupt', 'break-dance', 'go_bad', 'soften', 'weaken', 'skint', 'conk_out', 'stone-broke', 'relegate', 'break', 'break_away', 'give_way', 'bring_out', 'violate', 'founder', 'let_on', 'give', 'get_around', 'break_out', 'erupt', 'demote', 'let_out', 'split_up', 'fall_apart', 'split', 'ruin', 'kick_downstairs', 'go', 'fracture', 'go_against', 'break_off', 'disclose', 'discover', 'give_away', 'expose', 'bump', 'break_down', 'break_up', 'burst', 'stop', 'break_in', 'cave_in', 'come_apart', 'check', 'get_out', 'stony-broke', 'reveal', 'separate', 'intermit', 'smash', 'fail', 'bust', 'develop']",The Chances of Accidental War
miles,"['mile', 'statute_mile', 'stat_mi', 'mil', 'international_mile', 'air_mile', 'Roman_mile', 'naut_mi', 'international_nautical_mile', 'sea_mile', 'mi', 'land_mile', 'knot', 'geographical_mile', 'Swedish_mile', 'nautical_mile', 'Admiralty_mile']",The Chances of Accidental War
supplied,"['furnish', 'ply', 'append', 'supply', 'issue', 'provide', 'render', 'add', 'cater']",The Chances of Accidental War
they,[],The Chances of Accidental War
gray,"['grayish', 'white-haired', 'grey-haired', 'Louis_Harold_Gray', 'hoary', 'Robert_Gray', 'Thomas_Gray', 'hoar', 'gray-headed', 'grey', 'gray', 'grayness', 'greyness', 'Gray', 'Asa_Gray', 'greyish', 'grey-headed', 'Gy', 'grizzly', 'gray-haired']",The Chances of Accidental War
NORAD,[],The Chances of Accidental War
continual,['continual'],The Chances of Accidental War
precise,"['precise', 'accurate', 'exact']",The Chances of Accidental War
decided,"['decide', 'adjudicate', 'settle', ""make_up_one's_mind"", 'distinct', 'resolve', 'determine', 'decided']",The Chances of Accidental War
set,"['arrange', 'adjust', 'go_down', 'do', 'specify', 'fix', 'solidification', 'countersink', 'Seth', 'coif', 'readiness', 'localise', 'dress', 'prepare', 'lay', 'set_up', 'fixed', 'laid', 'bent', 'mark', 'determined', 'Set', 'determine', 'jell', 'congeal', 'primed', 'set', 'define', 'put', 'place', 'curing', 'limit', 'rigid', 'hardening', 'go_under', 'located', 'dictated', 'correct', 'plant', 'typeset', 'lot', 'lay_out', 'coiffe', 'hardened', 'sic', 'position', 'fit', 'exercise_set', 'circle', 'placed', 'stage_set', 'ready', 'localize', 'fructify', 'coiffure', 'solidifying', 'situated', 'rig', 'pose', 'gear_up', 'band']",The Chances of Accidental War
day,"['daylight', 'Clarence_Shepard_Day_Jr.', '24-hour_interval', 'twenty-four_hour_period', 'Day', 'mean_solar_day', 'day', 'Clarence_Day', 'sidereal_day', 'daytime', 'solar_day', 'twenty-four_hours']",The Chances of Accidental War
enormously,"['hugely', 'staggeringly', 'tremendously', 'enormously']",The Chances of Accidental War
Chiefs,"['tribal_chief', 'boss', 'headman', 'gaffer', 'honcho', 'head', 'chief', 'foreman', 'top_dog', 'chieftain']",The Chances of Accidental War
buttons,"['push_button', 'clit', 'button', 'release', 'clitoris', 'push']",The Chances of Accidental War
continuous,"['continuous', 'uninterrupted']",The Chances of Accidental War
Can,"['give_the_sack', 'ass', 'backside', 'give_the_axe', 'keister', 'send_away', 'fanny', 'give_notice', 'terminate', 'buns', 'stern', 'lav', 'lavatory', 'tooshie', 'bathroom', 'privy', 'tin', 'stool', 'derriere', 'commode', 'behind', 'can', 'john', 'bum', 'crapper', 'put_up', 'tail', 'seat', 'prat', 'canful', 'rump', 'can_buoy', 'butt', 'bottom', 'fire', 'tush', 'force_out', 'hind_end', 'rear', 'potty', 'dismiss', 'tail_end', 'tin_can', 'buttocks', 'rear_end', 'throne', 'arse', 'posterior', 'toilet', 'displace', 'hindquarters', 'pot', 'nates', 'fundament', 'sack']",The Chances of Accidental War
Telephones,"['call_up', 'ring', 'call', 'phone', 'telephony', 'telephone', 'telephone_set']",The Chances of Accidental War
calls,"['prognosticate', 'cry', 'send_for', 'phone_call', 'scream', 'shout', 'telephone_call', 'predict', 'call_option', 'hollo', 'name', 'holler', 'squall', 'call_off', 'call', 'address', 'phone', 'forebode', 'Call', 'song', 'call_up', 'shout_out', 'ring', 'vociferation', 'anticipate', 'telephone', 'call_in', 'claim', 'yell', 'margin_call', 'outcry', 'visit', 'promise', 'bid', 'foretell', 'birdcall', 'birdsong']",The Chances of Accidental War
above,"['above', 'higher_up', 'in_a_higher_place', 'supra', 'to_a_higher_place']",The Chances of Accidental War
Unless,[],The Chances of Accidental War
Accidental,"['inadvertent', 'accidental']",The Chances of Accidental War
receive,"['welcome', 'incur', 'get', 'receive', 'pick_up', 'find', 'invite', 'encounter', 'obtain', 'meet', 'take_in', 'experience', 'have']",The Chances of Accidental War
