w,vector_semantico
Do,"['arrange', 'make', 'do', 'Doctor_of_Osteopathy', 'act', 'behave', 'brawl', 'coif', 'suffice', 'perform', 'exercise', 'dress', 'answer', 'practice', 'set', 'make_out', 'DO', 'practise', 'coiffe', 'execute', 'get_along', 'serve', 'ut', 'coiffure', 'cause', 'bash', 'doh', 'come', 'manage', 'fare']","The Miami Herald, September"
building,"['building', 'work_up', 'progress', 'edifice', 'construct', 'make', 'construction', 'build_up', 'build', 'ramp_up', 'establish']","The Miami Herald, September"
impressive,"['impressive', 'telling']","The Miami Herald, September"
access,"['accession', 'access', 'approach', 'memory_access', 'get_at', 'entree', 'access_code', 'admittance', 'admission']","The Miami Herald, September"
province,"['state', 'province', 'responsibility']","The Miami Herald, September"
began,"['begin', 'lead_off', 'get_down', 'get', 'set_about', 'set_out', 'start', 'start_out', 'commence']","The Miami Herald, September"
seem,"['appear', 'seem', 'look']","The Miami Herald, September"
togetherness,['togetherness'],"The Miami Herald, September"
personality,['personality'],"The Miami Herald, September"
Too,"['excessively', 'overly', 'as_well', 'to_a_fault', 'besides', 'likewise', 'too', 'also']","The Miami Herald, September"
fairly,"['middling', 'somewhat', 'passably', 'fair', 'evenhandedly', 'clean', 'pretty', 'reasonably', 'fairly', 'jolly', 'moderately']","The Miami Herald, September"
Goodbody,[],"The Miami Herald, September"
toward,[],"The Miami Herald, September"
fast,"['quick', 'dissolute', 'tight', 'libertine', 'flying', 'firm', 'immobile', 'debauched', 'degenerate', 'riotous', 'dissipated', 'fasting', 'loyal', 'fast', 'truehearted', 'profligate', 'degraded']","The Miami Herald, September"
Erhart,[],"The Miami Herald, September"
in,"['atomic_number_49', 'inward', 'In', 'inch', 'inwards', 'IN', 'Hoosier_State', 'indium', 'in', 'Indiana']","The Miami Herald, September"
these,[],"The Miami Herald, September"
rewrite,"['rewrite', 'revision', 'rescript']","The Miami Herald, September"
retired,"['sack_out', 'strike_out', 'turn_in', 'go_to_sleep', 'retreat', 'adjourn', 'retired', 'go_to_bed', 'recede', 'retire', 'crawl_in', 'draw_back', 'move_back', 'pull_away', 'hit_the_sack', 'bed', 'put_out', 'pull_back', 'hit_the_hay', 'withdraw', 'kip_down']","The Miami Herald, September"
organization,"['constitution', 'administration', 'organization', 'formation', 'governance', 'brass', 'organisation', 'system', 'arrangement', 'governing_body', 'establishment']","The Miami Herald, September"
pressure,"['imperativeness', 'force_per_unit_area', 'pressure', 'insistence', 'atmospheric_pressure', 'squeeze', 'blackjack', 'insistency', 'blackmail', 'air_pressure', 'coerce', 'force', 'pressure_sensation', 'hale', 'pressing', 'pressure_level', 'press']","The Miami Herald, September"
William,[],"The Miami Herald, September"
developers,['developer'],"The Miami Herald, September"
subversive,"['insurgent', 'seditious', 'revolutionist', 'subverter', 'subversive', 'revolutionary']","The Miami Herald, September"
end,"['death', 'remainder', 'oddment', 'final_stage', 'remnant', 'last', 'end', 'finish', 'cease', 'conclusion', 'destruction', 'terminate', 'goal', 'closing', 'terminal', 'close', 'stop', 'ending']","The Miami Herald, September"
whose,[],"The Miami Herald, September"
disagrees,"['dissent', 'disaccord', 'discord', 'take_issue', 'disagree', 'differ']","The Miami Herald, September"
troubled,"['pain', 'incommode', 'riotous', 'disquiet', 'disruptive', 'disorder', 'bother', 'troubled', 'trouble_oneself', 'inconvenience_oneself', 'inconvenience', 'trouble', 'distract', 'disoblige', 'ail', 'put_out', 'perturb', 'discommode', 'unhinge', 'disturb', 'turbulent', 'tumultuous', 'upset', 'cark']","The Miami Herald, September"
painstaking,"['scrupulous', 'painstaking', 'conscientious']","The Miami Herald, September"
they,[],"The Miami Herald, September"
calls,"['prognosticate', 'cry', 'send_for', 'phone_call', 'scream', 'shout', 'telephone_call', 'predict', 'call_option', 'hollo', 'name', 'holler', 'squall', 'call_off', 'call', 'address', 'phone', 'forebode', 'Call', 'song', 'call_up', 'shout_out', 'ring', 'vociferation', 'anticipate', 'telephone', 'call_in', 'claim', 'yell', 'margin_call', 'outcry', 'visit', 'promise', 'bid', 'foretell', 'birdcall', 'birdsong']","The Miami Herald, September"
belongs,"['go', 'belong_to', 'belong']","The Miami Herald, September"
arranged,"['arrange', 'arranged', 'coif', 'coiffure', 'staged', 'dress', 'order', 'set_up', 'format', 'do', 'ordered', 'coiffe', 'stage', 'fix_up', 'set', 'put']","The Miami Herald, September"
project,"['externalize', 'contrive', 'undertaking', 'task', 'labor', 'projection', 'externalise', 'image', 'envision', 'send_off', 'project', 'jut_out', 'propose', 'fancy', 'picture', 'visualize', 'jut', 'plan', 'stick_out', 'see', 'throw', 'design', 'figure', 'visualise', 'protrude', 'cast']","The Miami Herald, September"
Floridians,['Floridian'],"The Miami Herald, September"
body,"['torso', 'body', 'soundbox', 'consistence', 'organic_structure', 'personify', 'trunk', 'dead_body', 'eubstance', 'physical_structure', 'consistency']","The Miami Herald, September"
689-page,[],"The Miami Herald, September"
controversial,['controversial'],"The Miami Herald, September"
small,"['low', 'pocket-size', 'small-scale', 'modest', 'minor', 'belittled', 'small', 'diminished', 'lowly', 'minuscule', 'little', 'humble', 'pocket-sized']","The Miami Herald, September"
repaired,"['vivify', 'revive', 'fix', 'restore', 'revivify', 'compensate', 'resort', 'animate', 'renovate', 'amend', 'recreate', 'indemnify', 'reanimate', 'quicken', 'doctor', 'rectify', 'remedy', 'repair', 'bushel', 'furbish_up', 'mend', 'touch_on', 'remediate', 'recompense']","The Miami Herald, September"
campaigns,"['safari', 'drive', 'take_the_field', 'crusade', 'cause', 'effort', 'movement', 'agitate', 'run', 'push', 'campaign', 'military_campaign', 'hunting_expedition', 'political_campaign', 'press', 'fight']","The Miami Herald, September"
Americans,"['American_English', 'American', 'American_language']","The Miami Herald, September"
courageously,"['courageously', 'bravely']","The Miami Herald, September"
no,"['No', 'no_more', 'no', 'nobelium', 'atomic_number_102']","The Miami Herald, September"
globe,"['Earth', 'earth', 'ball', 'orb', 'world', 'globe']","The Miami Herald, September"
approvingly,['approvingly'],"The Miami Herald, September"
too,"['excessively', 'overly', 'as_well', 'to_a_fault', 'besides', 'likewise', 'too', 'also']","The Miami Herald, September"
