w,vector_semantico
like,"['wish', 'like', 'corresponding', 'comparable', 'the_like', 'care', 'same', 'alike', 'ilk', 'similar', 'the_likes_of']",The Murders
Then,"['then', 'and_so', 'so', 'and_then']",The Murders
seen,"['image', 'project', 'assure', 'come_across', 'realize', 'find_out', 'regard', 'determine', 'take_in', 'catch', 'figure', 'ensure', 'reckon', 'look', 'construe', 'hear', 'run_across', 'fancy', 'consider', 'learn', 'realise', 'get_word', 'visit', 'discover', 'go_through', 'watch', 'examine', 'escort', 'understand', 'get_a_line', 'go_steady', 'witness', 'pick_up', 'see_to_it', 'view', 'visualize', 'encounter', 'find', 'go_out', 'envision', 'run_into', 'interpret', 'date', 'take_care', 'picture', 'control', 'ascertain', 'get_wind', 'visualise', 'check', 'attend', 'experience', 'insure', 'see', 'meet']",The Murders
join,"['get_together', 'connect', 'link', 'fall_in', 'join', 'bring_together', 'conjoin', 'articulation', 'link_up', 'union', 'unite', 'junction', 'sum', 'joint', 'juncture']",The Murders
amusedly,[],The Murders
I,"['ane', 'unity', 'single', '1', 'iodin', 'I', 'i', 'one', 'atomic_number_53', 'ace', 'iodine']",The Murders
into,[],The Murders
passed,"['overtake', 'make_it', 'exit', 'snuff_it', 'kick_the_bucket', 'overhaul', 'fleet', 'travel_by', 'slip_by', 'fall_out', 'egest', 'go_through', 'fall', 'go_by', 'occur', 'slide_by', 'clear', 'evanesce', 'draw', 'drop_dead', 'lapse', 'overstep', 'top', 'conk', 'give', 'devolve', 'go', 'pass_away', 'spend', 'decease', 'transcend', 'pass_on', 'expire', 'pop_off', ""cash_in_one's_chips"", 'return', 'glide_by', 'happen', 'excrete', 'give-up_the_ghost', 'take_place', 'croak', 'go_on', 'hand', 'go_across', 'elapse', 'pass_by', 'pass', 'guide', 'buy_the_farm', 'exceed', 'perish', 'authorize', 'put_across', 'choke', 'go_along', 'pass_along', 'come_about', 'extend', 'fade', 'lead', 'sink', 'blow_over', 'run', 'pass_off', 'die', 'communicate', 'legislate', 'hap', 'surpass', 'go_past', 'reach', 'slip_away', 'make_pass', 'eliminate', 'authorise', 'turn_over']",The Murders
toward,[],The Murders
split,"['divide', 'break_open', 'fragmented', 'schism', 'break_up', 'split', 'part', 'rip', 'burst', 'snag', 'disconnected', 'dissever', 'cleave', 'rent', 'carve_up', 'break', 'rive', 'stock_split', 'disunited', 'split_up', 'separate', 'tear', 'Split']",The Murders
station,"['post', 'send', 'place', 'station']",The Murders
poker,"['poker', 'salamander', 'fire_hook', 'poker_game', 'stove_poker']",The Murders
We'd,[],The Murders
Murder,"['mutilate', 'murder', 'dispatch', 'mangle', 'bump_off', 'off', 'slay', 'slaying', 'polish_off', 'remove', 'execution', 'hit']",The Murders
So,"['and_so', 'hence', 'thus', 'therefore', 'thence', 'indeed', 'sol', 'then', 'soh', 'so', 'thusly', 'and_then']",The Murders
floor,"['blow_out_of_the_water', 'coldcock', 'take_aback', 'storey', 'level', 'deck', 'flooring', 'story', 'trading_floor', 'shock', 'floor', 'dump', 'knock_down', 'ball_over', 'base']",The Murders
been,"['equal', 'constitute', 'follow', 'be', 'exist', 'embody', 'live', 'make_up', 'cost', 'personify', 'represent', 'comprise']",The Murders
end,"['close', 'end', 'terminal', 'finish', 'stop', 'last', 'conclusion', 'goal', 'final_stage', 'death', 'cease', 'ending', 'remainder', 'oddment', 'remnant', 'destruction', 'terminate', 'closing']",The Murders
down,"['pile', 'blue', 'downcast', 'downhearted', 'land', 'kill', 'low-spirited', 'down_pat', 'consume', 'fine-tune', 'downwardly', 'dispirited', 'push_down', 'refine', 'polish', 'toss_off', 'knock_down', 'low', 'devour', 'down_feather', 'down', 'go_through', 'depressed', 'Down', 'grim', 'cut_down', 'shoot_down', 'pull_down', 'downward', 'drink_down', 'gloomy', 'bolt_down', 'John_L._H._Down', 'pop', 'belt_down', 'down_in_the_mouth', 'pour_down', 'downwards', 'mastered']",The Murders
feel,"['feel', 'flavor', 'smell', 'experience', 'flavour', 'tone', 'sense', 'finger', 'palpate', 'find', 'feeling', 'spirit', 'tactile_property', 'look']",The Murders
darkness,"['darkness', 'duskiness', 'wickedness', 'dark', 'iniquity', 'shadow', 'swarthiness']",The Murders
waiting,"['wait', 'waitress', 'waiting', 'hold_off', 'await', 'hold_back', 'expect', 'ready_and_waiting', 'look']",The Murders
discussed,"['hash_out', 'talk_over', 'talk_about', 'discourse', 'discuss']",The Murders
fourteen,"['fourteen', '14', 'xiv', 'XIV']",The Murders
ones,"['unity', 'single', '1', 'I', 'one', 'ace']",The Murders
detailed,"['detailed', 'elaborated', 'detail', 'elaborate']",The Murders
filling,"['make_full', 'replete', 'satiate', 'fulfill', 'occupy', 'fulfil', 'meet', 'filling', 'pick', 'satisfy', 'weft', 'fill', 'take', 'woof', 'sate', 'fill_up']",The Murders
bat,"['drub', 'squash_racket', 'cream', 'at-bat', 'clobber', 'thrash', 'flutter', 'squash_racquet', 'bat', 'chiropteran', 'cricket_bat', 'lick']",The Murders
Sure-sure,[],The Murders
lighted,"['illumine', 'illume', 'alight', 'fall', 'ignite', 'well-lighted', 'light', 'illuminate', 'light_up', 'fire_up', 'illuminated', 'unhorse', 'get_off', 'lit', 'dismount', 'perch', 'get_down', 'lighted']",The Murders
question,"['dubiousness', 'query', 'interrogation', 'inquiry', 'head', 'call_into_question', 'interrogate', 'enquiry', 'oppugn', 'doubtfulness', 'interrogative_sentence', 'doubt', 'interview', 'wonder', 'motion', 'question', 'interrogative']",The Murders
known,"['cognize', 'fuck', 'get_laid', 'have_a_go_at_it', 'have_it_away', 'bed', 'have_it_off', 'sleep_together', 'sleep_with', 'have_intercourse', 'recognize', 'cognise', 'live', 'acknowledge', 'make_out', 'make_love', 'love', 'bang', 'jazz', 'recognise', 'bonk', 'be_intimate', 'lie_with', 'screw', 'hump', 'known', 'roll_in_the_hay', 'have_sex', 'eff', 'know', 'get_it_on', 'do_it', 'experience']",The Murders
A,"['vitamin_A', 'A', 'deoxyadenosine_monophosphate', 'adenine', 'a', 'group_A', 'amp', 'ampere', 'angstrom', 'type_A', 'antiophthalmic_factor', 'axerophthol', 'angstrom_unit']",The Murders
game,"['gamy', 'bet_on', 'spunky', 'gage', 'halt', 'plot', 'spirited', 'crippled', 'back', 'gritty', 'gimpy', 'mettlesome', 'biz', 'stake', 'game', 'lame', 'gamey', 'secret_plan', 'punt', 'halting']",The Murders
Maxine's,[],The Murders
pocket,"['pocket', 'bag', 'air_pocket', 'sac', 'air_hole', 'sack', 'scoop', 'pouch']",The Murders
'',[],The Murders
window,"['window', 'windowpane']",The Murders
himself,[],The Murders
than,[],The Murders
met,"['conform_to', 'touch', 'receive', 'come_across', 'assemble', 'gather', 'run_across', 'contact', 'fill', 'get_together', 'converge', 'play', 'cope_with', 'fulfill', 'encounter', 'satisfy', 'fit', 'take_on', 'foregather', 'run_into', 'suffer', 'forgather', 'match', 'fulfil', 'adjoin', 'see', 'meet']",The Murders
opened,"['opened', 'give', 'afford', 'open', 'spread', 'open_up', 'spread_out', 'unfold']",The Murders
prints,"['photographic_print', 'mark', 'print', 'impress', 'publish']",The Murders
dead,"['deadened', 'bushed', 'numb', 'perfectly', 'dead', 'suddenly', 'beat', 'idle', 'utter', 'short', 'absolutely', 'stagnant', 'utterly', 'drained', 'abruptly', 'all_in']",The Murders
would,[],The Murders
grinned,['grin'],The Murders
talked,"['peach', 'blab_out', 'babble_out', 'let_the_cat_out_of_the_bag', 'tattle', 'lecture', 'verbalize', 'spill', 'mouth', 'sing', 'verbalise', 'utter', 'babble', 'blab', 'talk', 'speak', 'spill_the_beans']",The Murders
Besides,"['also', 'likewise', 'besides', 'as_well', 'too', 'in_any_case']",The Murders
Manny,[],The Murders
And,[],The Murders
walked,"['walk', 'take_the_air']",The Murders
I'd,[],The Murders
across,"['across', 'crosswise', 'crossways']",The Murders
as,"['adenine', 'group_A', 'arsenic', 'AS', 'angstrom_unit', 'As', 'as', 'Eastern_Samoa', 'angstrom', 'every_bit', 'a', 'ampere', 'type_A', 'axerophthol', 'atomic_number_33', 'vitamin_A', 'A', 'deoxyadenosine_monophosphate', 'equally', 'amp', 'American_Samoa', 'antiophthalmic_factor']",The Murders
book,"['Christian_Bible', 'account_book', 'Scripture', 'leger', 'hold', 'Quran', 'rule_book', 'record', 'book', 'Koran', 'Word', 'Book', 'Bible', 'record_book', 'script', 'volume', ""al-Qur'an"", 'ledger', 'Word_of_God', 'Holy_Writ', 'Holy_Scripture', 'reserve', 'book_of_account', 'playscript', 'Good_Book']",The Murders
deep,"['thick', 'cryptical', 'inscrutable', 'rich', 'deeply', 'late', 'trench', 'mysterious', 'cryptic', 'mystifying', 'abstruse', 'deep', 'oceanic_abyss', 'bass', 'recondite']",The Murders
talking,"['peach', 'blab_out', 'babble_out', 'let_the_cat_out_of_the_bag', 'tattle', 'lecture', 'verbalize', 'spill', 'talking', 'mouth', 'sing', 'verbalise', 'utter', 'babble', 'blab', 'talk', 'speak', 'spill_the_beans']",The Murders
we've,[],The Murders
they,[],The Murders
cents,"['centime', 'penny', 'cent']",The Murders
you,[],The Murders
When,[],The Murders
I've,[],The Murders
exaggerating,"['hyperbolize', 'overstate', 'exaggerate', 'hyperbolise', 'overdraw', 'overdo', 'amplify', 'magnify']",The Murders
How,[],The Murders
plunge,"['dive', 'absorb', 'immerse', 'launch', 'plunge', 'steep', 'soak_up', 'dump', 'souse', 'engulf', 'douse', 'engross', 'dip', 'dunk', 'plunk']",The Murders
bottle,"['nursing_bottle', 'feeding_bottle', 'bottleful', 'bottle']",The Murders
at,"['At', 'atomic_number_85', 'astatine', 'at']",The Murders
harder,"['laborious', 'gruelling', 'surd', 'tough', 'hard', 'concentrated', 'intemperate', 'heavy', 'grueling', 'firmly', 'punishing', 'operose', 'unvoiced', 'heavily', 'intemperately', 'severe', 'strong', 'difficult', 'knockout', 'arduous', 'severely', 'backbreaking', 'toilsome', 'voiceless']",The Murders
doubt,"['dubiousness', 'uncertainty', 'incertitude', 'doubtfulness', 'doubt', 'dubiety', 'question']",The Murders
took,"['hire', 'use_up', 'get_hold_of', 'take_away', 'engage', 'read', 'look_at', 'postulate', 'take_in', 'pick_out', 'ask', 'aim', 'conduct', 'require', 'claim', 'consume', 'study', 'take_aim', 'film', 'convey', 'pack', 'adopt', 'call_for', 'subscribe', 'lead', 'contain', 'choose', 'select', 'occupy', 'consider', 'accept', 'withdraw', 'learn', 'train', 'exact', 'fill', 'subscribe_to', 'submit', 'demand', 'carry', 'ingest', 'make', 'rent', 'shoot', 'assume', 'remove', 'take_on', 'drive', 'necessitate', 'bring', 'charter', 'hold', 'direct', 'take_up', 'guide', 'involve', 'admit', 'deal', 'need', 'strike', 'lease', 'contract', 'get', 'take', 'have', 'acquire']",The Murders
decide,"['determine', 'decide', 'adjudicate', 'settle', ""make_up_one's_mind"", 'resolve']",The Murders
much,"['a_good_deal', 'often', 'a_lot', 'a_great_deal', 'very_much', 'much', 'lots', 'practically']",The Murders
turned,"['call_on', 'sour', 'change_by_reversal', 'wrench', 'plow', 'release', 'become', 'bend', 'flex', 'ferment', 'reverse', 'work', 'turn', 'off', 'move_around', 'turned', 'twist', 'change_state', 'plough', 'rick', 'deform', 'grow', 'wrick', 'sprain', 'turn_over']",The Murders
