w,vector_semantico
A,"['vitamin_A', 'A', 'a', 'axerophthol', 'deoxyadenosine_monophosphate', 'group_A', 'ampere', 'amp', 'type_A', 'angstrom', 'adenine', 'angstrom_unit', 'antiophthalmic_factor']",The Ship Who Sang
experience,"['get', 'experience', 'have', 'live', 'know', 'see', 'go_through', 'receive', 'feel']",The Ship Who Sang
kept,"['celebrate', 'sustain', 'kept', 'save', 'keep_back', 'proceed', 'maintain', 'hold_open', 'prevent', 'unbroken', 'keep_on', 'keep_open', 'hold_on', 'stay_fresh', 'preserve', 'continue', 'observe', 'keep', 'restrain', 'retain', 'hold_back', 'hold', 'go_along', 'go_on']",The Ship Who Sang
forced,"['hale', 'strained', 'ram', 'force', 'forced', 'draw', 'coerce', 'drive', 'push', 'wedge', 'storm', 'squeeze', 'impel', 'thrust', 'constrained', 'pressure', 'pull']",The Ship Who Sang
left,"['get_out', 'leave_alone', 'go_away', 'left', 'left-hand', 'entrust', 'remaining', 'allow_for', 'exit', 'left_over', 'left_hand', 'go_out', 'pull_up_stakes', 'leftfield', 'go_forth', 'leftover', 'odd', 'impart', 'allow', 'leave', 'provide', 'depart', 'unexpended', 'left_wing', 'will', 'pass_on', 'bequeath', 'forget', 'leave_behind', 'left_field', 'lead', 'result', 'give']",The Ship Who Sang
shells,"['eggshell', 'racing_shell', 'blast', 'case', 'casing', 'beat', 'crush', 'beat_out', 'vanquish', 'husk', 'cuticle', 'shield', 'plate', 'trounce', 'carapace', 'shell', 'scale']",The Ship Who Sang
development,"['ontogenesis', 'maturation', 'growing', 'ontogeny', 'growth', 'development', 'evolution', 'developing', 'exploitation']",The Ship Who Sang
extricate,"['extricate', 'untangle', 'disentangle', 'disencumber']",The Ship Who Sang
Base,"['al-Qaeda', 'base', ""al-Qa'ida"", 'lowly', 'Base', 'nucleotide', 'basal', 'root', 'groundwork', 'radix', 'base_of_operations', 'immoral', 'mean', 'understructure', 'stem', 'baseborn', 'root_word', 'humble', 'pedestal', 'found', 'meanspirited', 'al-Qaida', 'ground', 'free-base', 'foundation', 'infrastructure', 'basis', 'theme', 'establish', 'home', 'alkali', 'stand', 'floor', 'cornerstone', 'fundament', 'radical', 'bag', 'foot', 'Qaeda', 'substructure']",The Ship Who Sang
installed,"['instal', 'establish', 'put_in', 'set_up', 'install']",The Ship Who Sang
politely,"['courteously', 'politely']",The Ship Who Sang
