w,vector_semantico
here,"['here', 'Here', 'Hera', 'hither']",Toward a Concept of National Responsibility
sovereignty,"['reign', 'sovereignty']",Toward a Concept of National Responsibility
personifies,"['body', 'be', 'embody', 'personate', 'personify']",Toward a Concept of National Responsibility
lines,"['demarcation', 'argument', 'business', 'credit_line', 'trace', 'seam', 'communication_channel', 'contrast', 'crease', 'line_of_work', 'air', 'strain', 'business_line', 'production_line', 'logical_argument', 'cable', 'channel', 'blood', 'tune', 'melodic_line', 'note', 'origin', 'rail_line', 'ancestry', 'descent', 'dividing_line', 'draw', 'parentage', 'job', 'pedigree', 'occupation', 'argumentation', 'delineate', 'line_of_business', 'line', 'line_of_merchandise', 'assembly_line', 'pipeline', 'run_along', 'stemma', 'line_of_products', 'crinkle', 'railway_line', 'course', 'line_of_reasoning', 'short_letter', 'subscriber_line', 'bank_line', 'phone_line', 'telephone_line', 'personal_line_of_credit', 'billet', 'agate_line', 'transmission_line', 'bloodline', 'furrow', 'telephone_circuit', 'blood_line', 'melodic_phrase', 'personal_credit_line', 'melody', 'describe', 'lineage', 'product_line', 'line_of_credit', 'line_of_descent', 'stock', 'wrinkle']",Toward a Concept of National Responsibility
vastly,"['vastly', 'immensely']",Toward a Concept of National Responsibility
ideological,"['ideological', 'ideologic']",Toward a Concept of National Responsibility
Americans,"['American_language', 'American', 'American_English']",Toward a Concept of National Responsibility
as,"['a', 'As', 'amp', 'as', 'deoxyadenosine_monophosphate', 'AS', 'adenine', 'every_bit', 'vitamin_A', 'A', 'ampere', 'angstrom', 'group_A', 'Eastern_Samoa', 'equally', 'angstrom_unit', 'arsenic', 'axerophthol', 'American_Samoa', 'atomic_number_33', 'antiophthalmic_factor', 'type_A']",Toward a Concept of National Responsibility
transformed,"['transubstantiate', 'metamorphose', 'transmute', 'translate', 'transform', 'transformed']",Toward a Concept of National Responsibility
came,"['come', 'make_out', 'number', 'amount', 'get_along', 'issue_forth', 'hail', 'derive', 'get', 'follow', 'arrive', 'occur', 'do', 'descend', 'add_up', 'come_in', 'fare', 'fall', 'total', 'come_up']",Toward a Concept of National Responsibility
constitutional,"['constitutional', 'inbuilt', 'organic', 'integral', 'built-in', 'constitutive', 'constituent', 'inherent']",Toward a Concept of National Responsibility
unemployment,['unemployment'],Toward a Concept of National Responsibility
irony,"['irony', 'sarcasm', 'satire', 'caustic_remark']",Toward a Concept of National Responsibility
corpus,"['corpus', 'principal_sum', 'principal']",Toward a Concept of National Responsibility
little,"['trivial', 'slight', 'piffling', 'short', 'piddling', 'little', 'petty', 'niggling', 'footling', 'picayune', 'minuscule', 'fiddling', 'lilliputian', 'small']",Toward a Concept of National Responsibility
