w,vector_semantico
kept,"['celebrate', 'sustain', 'kept', 'save', 'keep_back', 'proceed', 'maintain', 'hold_open', 'prevent', 'unbroken', 'keep_on', 'keep_open', 'hold_on', 'stay_fresh', 'preserve', 'continue', 'observe', 'keep', 'restrain', 'retain', 'hold_back', 'hold', 'go_along', 'go_on']",Tracts published by American Tract Society
left,"['get_out', 'leave_alone', 'go_away', 'left', 'left-hand', 'entrust', 'remaining', 'allow_for', 'exit', 'left_over', 'left_hand', 'go_out', 'pull_up_stakes', 'leftfield', 'go_forth', 'leftover', 'odd', 'impart', 'allow', 'leave', 'provide', 'depart', 'unexpended', 'left_wing', 'will', 'pass_on', 'bequeath', 'forget', 'leave_behind', 'left_field', 'lead', 'result', 'give']",Tracts published by American Tract Society
Word,"['Word', 'Holy_Scripture', 'articulate', 'parole', 'password', 'countersign', 'formulate', 'Book', 'phrase', 'word_of_honor', 'Bible', 'Scripture', 'give_voice', 'Son', 'Logos', 'tidings', 'watchword', 'Christian_Bible', 'Holy_Writ', 'news', 'give-and-take', 'intelligence', 'Word_of_God', 'Good_Book', 'discussion', 'word']",Tracts published by American Tract Society
joy,"['joyfulness', 'pleasure', 'gladden', 'joy', 'joyousness', 'delight', 'rejoice']",Tracts published by American Tract Society
sin,"['sine', 'trespass', 'sinfulness', 'transgress', 'drop_the_ball', 'goof', 'Sin', 'wickedness', 'sinning', 'blunder', 'hell', 'sin', 'boob']",Tracts published by American Tract Society
experiment,"['experimentation', 'try_out', 'experiment']",Tracts published by American Tract Society
authoritative,"['classical', 'classic', 'authorized', 'authoritative', 'authorised', 'important', 'definitive']",Tracts published by American Tract Society
filling,"['weft', 'take', 'replete', 'satisfy', 'make_full', 'sate', 'meet', 'fill_up', 'fulfill', 'fill', 'fulfil', 'occupy', 'satiate', 'woof', 'filling', 'pick']",Tracts published by American Tract Society
practical,"['hard-nosed', 'practical', 'pragmatic', 'hardheaded', 'virtual']",Tracts published by American Tract Society
night,"['nighttime', 'Night', 'night', 'Nox', 'dark']",Tracts published by American Tract Society
works,"['kit_and_caboodle', 'piece_of_work', 'whole_kit_and_caboodle', 'employment', 'make', 'whole_kit_and_boodle', 'whole_works', 'whole_kit', 'bring', 'industrial_plant', 'kit_and_boodle', 'function', 'solve', 'wreak', 'works', 'deeds', 'oeuvre', 'operate', 'exploit', 'do_work', 'crop', 'work', 'exercise', 'mould', 'knead', 'form', 'workplace', 'whole_shebang', 'process', 'body_of_work', 'work_out', 'forge', 'play', 'whole_caboodle', 'plant', 'workings', 'make_for', 'cultivate', 'run', 'study', 'full_treatment', 'act', 'act_upon', 'shape', 'puzzle_out', 'go', 'influence', 'turn', 'figure_out', 'put_to_work', 'lick', 'sour', 'ferment', 'mold', 'work_on']",Tracts published by American Tract Society
wonderful,"['marvelous', 'terrific', 'fantastic', 'grand', 'howling', 'wonderful', 'marvellous', 'wondrous', 'tremendous', 'rattling']",Tracts published by American Tract Society
greater,"['large', 'big', 'enceinte', 'capital', 'not_bad', 'bully', 'bang-up', 'outstanding', 'greater', 'great', 'cracking', 'nifty', 'swell', 'corking', 'keen', 'groovy', 'dandy', 'peachy', 'expectant', 'smashing', 'slap-up', 'gravid', 'heavy', 'with_child', 'majuscule', 'neat']",Tracts published by American Tract Society
with,[],Tracts published by American Tract Society
doubt,"['dubiety', 'uncertainty', 'incertitude', 'question', 'dubiousness', 'doubt', 'doubtfulness']",Tracts published by American Tract Society
utterly,"['absolutely', 'perfectly', 'utterly', 'dead']",Tracts published by American Tract Society
offers,"['crack', 'whirl', 'provide', 'pop_the_question', 'volunteer', 'offer_up', 'offering', 'bid', 'go', 'offer', 'put_up', 'extend', 'fling', 'pass', 'proffer', 'declare_oneself', 'propose', 'tender']",Tracts published by American Tract Society
like,"['corresponding', 'wish', 'like', 'similar', 'ilk', 'same', 'alike', 'the_likes_of', 'comparable', 'the_like', 'care']",Tracts published by American Tract Society
written,"['written', 'pen', 'compose', 'save', 'publish', 'drop_a_line', 'scripted', 'write', 'spell', 'indite']",Tracts published by American Tract Society
spirit,"['disembodied_spirit', 'spirit', 'intent', 'life', 'tone', 'spirit_up', 'feeling', 'flavour', 'emotional_state', 'inspirit', 'look', 'purport', 'heart', 'flavor', 'smell', 'liveliness', 'sprightliness', 'feel']",Tracts published by American Tract Society
scientists,['scientist'],Tracts published by American Tract Society
Why,"['wherefore', 'why']",Tracts published by American Tract Society
country,"['commonwealth', 'country', 'rural_area', 'body_politic', 'land', 'state', 'nation', 'res_publica', 'area']",Tracts published by American Tract Society
who,"['World_Health_Organization', 'WHO']",Tracts published by American Tract Society
past,"['past_tense', 'retiring', 'past', 'yesteryear', 'preceding', 'past_times', 'by']",Tracts published by American Tract Society
weaken,"['damp', 'countermine', 'subvert', 'de-escalate', 'step_down', 'weaken', 'sabotage', 'break', 'dampen', 'undermine', 'counteract', 'soften']",Tracts published by American Tract Society
stayed,"['bide', 'stick', 'abide', 'outride', 'continue', 'appease', 'remain', 'stick_around', 'detain', 'rest', 'stay', 'ride_out', 'persist', 'quell', 'last_out', 'stay_put', 'stay_on', 'delay']",Tracts published by American Tract Society
am,"['cost', 'Master_of_Arts', 'Artium_Magister', 'live', 'atomic_number_95', 'constitute', 'americium', 'Am', 'represent', 'make_up', 'be', 'amplitude_modulation', 'equal', 'embody', 'comprise', 'exist', 'follow', 'AM', 'personify', 'MA']",Tracts published by American Tract Society
privileges,"['perquisite', 'favor', 'prerogative', 'exclusive_right', 'privilege', 'favour']",Tracts published by American Tract Society
150,"['cl', 'one_hundred_fifty', '150']",Tracts published by American Tract Society
In,"['atomic_number_49', 'indium', 'inwards', 'inch', 'IN', 'in', 'In', 'inward', 'Indiana', 'Hoosier_State']",Tracts published by American Tract Society
interpolations,"['interpellation', 'interpolation', 'interposition', 'interjection', 'insertion']",Tracts published by American Tract Society
putting,"['putting', 'put', 'couch', 'lay', 'invest', 'place', 'arrange', 'order', 'putt', 'commit', 'cast', 'set_up', 'redact', 'set', 'pose', 'frame', 'assign', 'position']",Tracts published by American Tract Society
For,[],Tracts published by American Tract Society
value,"['value', 'evaluate', 'prise', 'valuate', 'respect', 'economic_value', 'esteem', 'appraise', 'appreciate', 'treasure', 'note_value', 'time_value', 'rate', 'prize', 'measure', 'assess']",Tracts published by American Tract Society
troubles,"['distract', 'inconvenience_oneself', 'incommode', 'upset', 'fuss', 'trouble_oneself', 'ail', 'disoblige', 'problem', 'inconvenience', 'perturb', 'put_out', 'worry', 'unhinge', 'disquiet', 'trouble', 'pain', 'cark', 'difficulty', 'hassle', 'bother', 'discommode', 'disorder', 'disturb']",Tracts published by American Tract Society
presence,"['presence', 'mien', 'bearing', 'comportment', 'front']",Tracts published by American Tract Society
Hebrew,"['Israelite', 'Jew', 'Hebrew', 'Hebraic', 'Hebraical']",Tracts published by American Tract Society
wonders,"['wonderment', 'admiration', 'wonder', 'inquire', 'enquire', 'question', 'marvel', 'curiosity']",Tracts published by American Tract Society
made,"['take_a_shit', 'arrive_at', 'lay_down', 'make', 'make_believe', 'draw', 'take_in', 'take_a_leak', 'wee', 'clear', 'realise', 'cause', 'hit', 'micturate', 'urinate', 'pee', 'earn', 'constitute', 'construct', 'cook', 'stool', 'piddle', 'have', 'pull_in', 'build', 'spend_a_penny', 'ready', 'get_to', 'do', 'make_water', 'progress_to', 'relieve_oneself', 'wee-wee', 'work', 'get', 'form', 'throw', 'make_up', 'induce', 'name', 'attain', 'score', 'puddle', 'create', 'reach', 'defecate', 'fix', 'stimulate', 'bring_in', 'pretend', 'take', 'pass_water', 'produce', 'gain', 'establish', 'realize', 'take_a_crap', 'made', 'give', 'piss', 'prepare', 'hold', 'seduce', 'crap', 'pee-pee', 'ca-ca', 'nominate', 'shit']",Tracts published by American Tract Society
So,"['sol', 'thusly', 'therefore', 'indeed', 'and_so', 'soh', 'thus', 'thence', 'then', 'and_then', 'hence', 'so']",Tracts published by American Tract Society
trusteth,[],Tracts published by American Tract Society
knowledge,"['cognition', 'noesis', 'knowledge']",Tracts published by American Tract Society
claim,"['claim', 'exact', 'title', 'lay_claim', 'take', 'call', 'arrogate']",Tracts published by American Tract Society
body,"['trunk', 'dead_body', 'body', 'consistence', 'eubstance', 'torso', 'organic_structure', 'physical_structure', 'personify', 'soundbox', 'consistency']",Tracts published by American Tract Society
life,"['lifetime', 'life-time', 'spirit', 'aliveness', 'life', 'lifespan', 'biography', 'life_story', 'life_sentence', 'animation', 'life_history', 'liveliness', 'sprightliness', 'living']",Tracts published by American Tract Society
glow,"['glow', 'gleam', 'shine', 'luminescence', 'radiate', 'gleaming', 'radiance', 'incandescence', 'glowing', 'lambency', 'burn', 'beam', 'freshness']",Tracts published by American Tract Society
perfect,"['staring', 'perfective_tense', 'perfective', 'gross', 'perfect', 'consummate', 'sodding', 'thoroughgoing', 'arrant', 'pure', 'stark', 'double-dyed', 'perfect_tense', 'everlasting', 'hone', 'unadulterated', 'complete', 'utter']",Tracts published by American Tract Society
called,"['ring', 'shout_out', 'anticipate', 'promise', 'cry', 'shout', 'yell', 'predict', 'foretell', 'call_off', 'forebode', 'squall', 'visit', 'call', 'phone', 'hollo', 'call_in', 'name', 'prognosticate', 'holler', 'telephone', 'send_for', 'address', 'scream', 'bid', 'call_up']",Tracts published by American Tract Society
to,[],Tracts published by American Tract Society
in,"['atomic_number_49', 'indium', 'inwards', 'inch', 'IN', 'in', 'In', 'inward', 'Indiana', 'Hoosier_State']",Tracts published by American Tract Society
God,"['idol', 'deity', 'immortal', 'divinity', 'God', 'Supreme_Being', 'god', 'graven_image']",Tracts published by American Tract Society
losing,"['recede', 'turn_a_loss', 'lose', 'fall_behind', 'suffer', 'mislay', 'fall_back', 'misplace', 'drop_off', 'miss']",Tracts published by American Tract Society
fearful,"['dreaded', 'frightening', 'timorous', 'trepid', 'fearsome', 'direful', 'terrible', 'dire', 'awful', 'horrific', 'fearful', 'frightful', 'dreadful', 'cowardly', 'horrendous', 'dread']",Tracts published by American Tract Society
happy,"['felicitous', 'well-chosen', 'happy', 'glad']",Tracts published by American Tract Society
forgotten,"['forgotten', 'forget', 'block', 'disregarded', 'bury', 'blank_out', 'draw_a_blank', 'leave']",Tracts published by American Tract Society
